Strain,298.15,373.15,473.15,573.15,673.15,77.15,233.15,sref373.15,sref473.15,sref573.15,sref673.15,sref77.15,sref233.15
0.000,377.306,562.7919913,562.9815446,639.8655737,422.1026371,1068.442457,571.5473458,1.4916062593756791,1.4921086455025896,1.6958796671667031,1.1187276033246225,2.8317664097575976,1.514811176604666
0.001,727.558,727.5450715,755.3554034,752.9907706,678.1714256,1150.593967,700.0829667,0.9999822302826715,1.0382064431976556,1.0349563479475177,0.9321200860962288,1.58144638228155,0.9622366418897188
0.002,784.839,776.2370008,804.0818838,798.1961973,740.6971677,1193.762402,779.4483108,0.9890397913457409,1.024518256355762,1.0170190284886453,0.9437568312736752,1.521028391810295,0.9931314712953866
0.003,820.567,804.6611896,834.3723212,827.692672,765.6167986,1224.455474,830.6143445,0.9806160735198953,1.0168241242945426,1.0086838393452333,0.9330338639014243,1.4922065766719843,1.0122443925968263
0.004,844.964,823.6513182,856.7071695,849.9284515,781.6205296,1248.216974,865.066098,0.974776816763791,1.0138978341089087,1.0058753408429235,0.9250341193234268,1.4772427866749351,1.0237904786476109
0.005,864.705,837.5596291,874.5520371,867.9477441,794.0151852,1267.382604,889.3957555,0.968607362163975,1.0113877415997363,1.0037501160511388,0.9182497906222353,1.4656820580429162,1.0285539640686707
0.010,917.043,891.1623977,920.5376051,941.8297198,832.9778646,1326.506581,951.4564122,0.9717782020036139,1.0038107319940286,1.0270289613464145,0.9083302141775249,1.4465042326259512,1.0375264978850502
0.011,924.392,899.4681704,928.9513792,949.4995677,838.8539384,1337.24429,968.437032,0.9730375970367549,1.0049323005824369,1.0271611693956675,0.9074655972790763,1.4466203623570952,1.0476475694294196
0.012,931.174,907.1146601,936.7732084,956.6023006,844.2338326,1343.192572,975.7497702,0.9741623585924866,1.0060130635090756,1.0273077862998752,0.9066338112962776,1.442472160949511,1.0478705056197875
0.013,937.459,914.1745173,944.06317,963.2166907,849.1959216,1348.876817,982.3721582,0.9751621322105821,1.0070447560906663,1.0274760717002023,0.9058485988187217,1.438864864490074,1.047909463987225
0.014,943.306,920.7088226,950.8717113,969.4052962,853.8012896,1354.320694,988.4478027,0.9760447008711912,1.0080204210510693,1.0276679001299682,0.9051159322637616,1.435717247637564,1.04785488770346
0.015,948.763,926.7697634,957.2419679,975.2187504,858.0984793,1359.544778,994.078973,0.9768190405823161,1.0089368661088174,1.027884466826805,0.9044392322424041,1.4329656384154945,1.047763216946698
0.016,953.871,932.4025041,963.2113664,980.6987073,862.1267126,1364.567065,999.3402141,0.977493292174728,1.0097920645454155,1.028125089556135,0.9038189782475827,1.4305572399202826,1.0476680956858946
0.017,958.663,937.6465349,968.8127667,985.8799195,865.9181386,1369.403394,1004.287196,0.978077316950795,1.0105874188322694,1.0283904974949487,0.9032560332463024,1.428451284758043,1.0475914852247348
0.018,963.169,942.5366729,974.0752986,990.7917407,869.4994416,1374.06778,1008.962523,0.9785787051908855,1.011323348861934,1.0286790175971194,0.9027485743415745,1.4266113008205208,1.0475446396219148
0.019,967.416,947.1038242,979.0249916,995.4592335,872.8930157,1378.572685,1013.39958,0.9790036801127953,1.0119999995865274,1.0289877710312834,0.9022933419542368,1.4250050495340163,1.0475323749038676
0.020,971.424,951.375577,983.6852574,999.9040024,876.1178402,1382.929242,1017.625124,0.9793618203791548,1.0126219420150213,1.0293177874954706,0.901890256160029,1.4236103308133214,1.047560204400962
0.021,975.215,955.3766719,988.0772685,1004.144829,879.1901415,1387.147436,1021.661035,0.9796574826063996,1.0131891618771245,1.0296650779571683,0.9015346785067908,1.4224016611721517,1.0476264567300544
0.022,978.806,959.1293827,992.2202602,1008.198168,882.1239022,1391.236264,1025.525533,0.9798973266408255,1.0137047179931467,1.0300285940216958,0.9012244532624442,1.4213605801353892,1.0477311469279917
0.023,982.213,962.6538276,996.1317752,1012.078528,884.9312575,1395.203855,1029.234032,0.9800866284604256,1.0141708317849591,1.0304063660326224,0.9009565720470001,1.4204697504512769,1.0478725408847165
0.024,985.45,965.9682288,999.8278651,1015.798787,887.6228078,1399.057585,1032.799743,0.9802305837942057,1.0145901518088183,1.0307968816276827,0.9007284061088843,1.4197144299558577,1.0480488538231265
0.025,988.53,969.0891304,1003.323258,1019.370435,890.2078675,1402.804163,1036.234121,0.9803335562906539,1.0149649054656915,1.0311982792631484,0.900537027202007,1.4190810223260801,1.0482576360859053
0.026,991.464,972.0315841,1006.6315,1022.803776,892.6946655,1406.449715,1039.547195,0.9804002808977431,1.0152980844488553,1.0316095955072497,0.9003803118418823,1.4185585306173496,1.0484971668159409
0.027,994.263,974.8093083,1009.765075,1026.108093,895.0905077,1409.999846,1042.747816,0.9804340584935776,1.0155915235707254,1.032028842469246,0.9002552721965918,1.4181356904561468,1.0487645783862016
0.028,996.937,977.434826,1012.735511,1029.291783,897.4019109,1413.459698,1045.84385,0.9804379073100908,1.0158470505157295,1.0324541901845352,0.9001590982178412,1.4178024268333906,1.0490571119338534
0.029,999.493,979.9195848,1015.553467,1032.36247,899.634712,1416.834003,1048.842331,0.9804166560446146,1.01606861378719,1.0328861432746401,0.9000910581664904,1.4175527022200254,1.0493743638024478
0.030,1001.941,982.2740621,1018.228815,1035.327103,901.7941604,1420.127123,1051.749579,0.9803711616751885,1.0162562615962418,1.0333214261119168,0.9000471688452714,1.4173759961913925,1.0497120878375075
0.031,1004.287,984.5078579,1020.770705,1038.192032,903.8849939,1423.343091,1054.571298,0.9803052891255188,1.0164133410071026,1.033760301587096,0.9000265799517468,1.4172672662296733,1.0500696494129667
0.032,1006.539,986.6297773,1023.187633,1040.96308,905.9115037,1426.48564,1057.312662,0.9802201179487332,1.0165404748350535,1.034200443301253,0.9000262321678545,1.4172184485648347,1.0504438099268882
0.033,1008.701,988.6479035,1025.487491,1043.645599,907.8775884,1429.558233,1059.978375,0.9801198804204615,1.0166416916410315,1.0346431687883724,0.9000462856683993,1.4172269413830263,1.0508350591503328
