Tmp373.15K_StrRt0.0001_RD_E,Tmp373.15K_StrRt0.0001_RD_S,Tmp373.15K_StrRt0.001_RD_E,Tmp373.15K_StrRt0.001_RD_S,Tmp373.15K_StrRt0.01_RD_E,Tmp373.15K_StrRt0.01_RD_S,Tmp373.15K_StrRt0.1_RD_E,Tmp373.15K_StrRt0.1_RD_S
0,562.8642578,0,362.3907776,0,537.8914795,0,535.1958618
1.53023E-05,571.1622314,1.78591E-05,377.0867004,2.06319E-05,542.2512817,2.41271E-05,563.7228394
8.40589E-06,579.5199585,1.71173E-05,396.4808044,9.04683E-06,550.8632202,9.62432E-05,591.6992798
3.50919E-05,587.7206421,3.98558E-05,411.2057495,2.32899E-05,559.4289551,0.000201257,618.8585205
4.98523E-05,595.7753906,4.1848E-05,430.1581726,4.44405E-05,563.6751099,0.000304791,644.9596558
3.49764E-05,603.7835693,5.84223E-05,446.9111328,7.09166E-05,572.0983276,0.000432066,669.8480835
9.52801E-05,610.6230469,5.52834E-05,466.7038574,8.55225E-05,580.381958,0.0006257,693.425293
0.000115127,618.4825439,7.23889E-05,482.7223511,9.04524E-05,588.5371704,0.000895885,715.5939331
0.000126674,626.2449341,7.72281E-05,500.6427307,9.63673E-05,596.5670776,0.001181891,736.2703857
0.000142935,633.8414917,0.000108197,514.7479858,0.000115062,600.5132446,0.001481321,755.4561768
0.000206288,640.2110596,0.000118746,533.3604736,0.000139715,604.4517212,0.001819913,773.1546021
0.000242996,647.463501,0.000140444,549.0921631,0.000148508,612.2265015,0.002245626,789.508606
0.000275244,654.6759644,0.000178733,561.0841064,0.000164539,619.8822632,0.002721353,804.5790405
0.000292772,661.5863037,0.000217396,572.9130859,0.000201911,623.6940918,0.003199951,818.418335
0.000367628,666.3786621,0.000256992,586.5571289,0.000238665,627.4724731,0.003677695,831.1604614
0.000382318,673.1062622,0.000275486,601.8070068,0.000236554,634.8862915,0.004192518,842.9380493
0.000460581,677.5303345,0.000322696,612.0001831,0.000283199,642.1914673,0.004774544,853.8459473
0.000481765,683.8738403,0.000366098,624.2738037,0.000318656,645.7880249,0.005418231,863.9765625
0.000556959,688.8218384,0.00040272,636.6655884,0.000335305,652.8491211,0.00604917,873.3314209
0.000558403,694.9043579,0.000455174,646.135437,0.000357138,656.3596802,0.00670211,882.0137329
0.000644016,698.7980957,0.000500682,657.4179688,0.000390618,659.8200684,0.007391281,890.0814209
0.000681093,704.6772461,0.0005695,665.0988159,0.000404686,666.6170044,0.008145956,897.6500854
0.000757305,709.2478638,0.000629906,674.6262817,0.000452786,673.2516479,0.008900155,904.699707
0.000826453,714.3758545,0.000693836,681.8929443,0.000497495,676.5262451,0.009635911,911.2582397
0.000900076,719.3427124,0.000755265,690.1166382,0.000524663,682.9151611,0.010418162,917.4295654
0.000929947,724.7123413,0.00083198,696.2501221,0.000556639,686.0756836,0.011290198,923.2579346
