PEEQ,normalized stress (temperature calibration),Stress 298,stress (temperature calibration),stress (strain rate calibration),beta,True stress
0.00011,1.4941613663407693,276.5499752,413.2102888,649.8592176,0.5,485.4972682
0.0002,1.2073850247723832,464.7917575,561.1826076,680.3480602,,410.7210298
0.0003,1.0759254463411332,578.9929228,622.9532189,699.4783264,,376.2932653
0.0004,1.0278582046941254,628.6112195,646.1231995,716.4127855,,368.1853798
0.0005,1.0138254605289876,653.1743004,662.2047359,730.0708225,,370.0821939
0.0006,1.0136871401456757,669.6384337,678.8038688,741.3718562,,375.7595583
0.0007,1.0192203025065494,682.8692873,695.9942416,750.9542655,,382.6939168
0.0008,1.0270625690982136,694.3736935,713.1652296,759.2636352,,389.9056299
0.0009,1.0358339094575086,704.7000951,729.9522545,766.6129736,,397.0418567
0.001,1.044962698031275,714.1053866,746.2134915,773.2238637,,403.9950474
0.002,1.1339440622126737,722.7448869,819.552273,779.2546309,,441.8155808
0.003,1.2040855117793892,783.4464168,886.1395868,822.8401309,,495.3849401
0.004,1.2432735736776155,820.3590849,926.3620372,852.003848,,529.6369344
0.005,1.2465417778801031,846.393232,926.4158725,874.0617058,,544.7772164
0.01,1.022937896690395,866.2691935,933.5358028,891.7384008,,456.0965021
0.011,1.001415214986001,925.1066477,943.3364797,948.3443438,,474.8432275
0.012,0.9931206089555232,932.7789886,943.9035105,956.2051242,,474.8135076
0.013,0.9934547011078172,939.6863307,954.5085017,963.3790326,,478.5367144
0.014,0.9978287363704316,945.9574335,963.8746535,969.9724519,,483.933193
0.015,1.0029596824030889,951.6917962,971.76881,976.0690915,,489.478973
0.016,1.007217430885784,956.9678045,978.6758616,981.7359712,,494.4107914
0.017,1.010314066479578,961.8482433,985.2722049,987.0275583,,498.6039131
0.018,1.012719299642587,966.3841323,992.0540917,991.9887013,,502.3030514
0.019,1.0150983750940163,970.6174584,999.1660614,996.656757,,505.8523273
0.02,1.0179265643101818,974.5831639,1006.406464,1001.063161,,509.5043921
0.021,1.0213178115055142,978.31062,1013.3532,1005.234611,,513.3320065
0.022,1.025036778016608,981.8247364,1019.53864,1009.193964,,517.2304646
0.023,1.0286316609725874,985.1468108,1019.930771,1012.96094,,520.9818471
0.024,1.0316134851493506,988.2951853,1024.604572,1016.552665,,524.3447188
0.025,1.0336117091531019,991.2857629,1028.388831,1019.984101,,527.133755
0.026,1.0344586037400476,994.1324156,1030.81535,1023.268401,,529.2644007
0.027,1.034191167750072,996.8473117,1030.828588,1026.417181,,530.7557915
0.028,1.0329932140276783,999.4411801,1030.908459,1029.440752,,531.7026555
0.029,1.0311159105692114,1001.923526,1030.930685,1032.348305,,532.2353813
0.03,1.0288095987404255,1004.302806,1030.944515,1035.148071,,532.4851358
0.031,1.0262827956993847,1006.586579,1031.109921,1037.847444,,532.5624882
0.032,1.023688177234574,1008.781622,1031.157234,1040.453092,,532.5497646
0.033,1.0211266818383256,1010.894036,1031.420414,1042.971052,,532.5027848
0.034,1.0186596606843707,1012.92933,1031.457456,1045.406801,,532.4568686
0.035,1.0163218843466382,1014.892498,1031.830248,1047.765325,,532.4334147
0.036,1.0141319109842604,1016.788075,1031.839495,1050.051177,,532.4452034
0.037,1.0120990351411816,1018.620193,1032.250873,1052.268525,,532.4999794
0.038,1.010227395608433,1020.392629,1032.365759,1054.421191,,532.6025868
0.039,1.0085181823017924,1022.108841,1032.415957,1056.512691,,532.7561294
0.04,1.0069707475478582,1023.772003,1032.67782,1058.546267,,532.9625629
0.041,1.0055831567562823,1025.385036,1032.996986,1060.524912,,533.2229944
0.042,1.0043524797627166,1026.950632,1033.042488,1062.451397,,533.5378476
0.043,1.0032749719389915,1028.47128,1033.099289,1064.328291,,533.9069681
0.044,1.002346210916973,1029.949281,1033.236367,1066.157979,,534.3297052
0.045,1.0015612148551454,1031.38677,1033.730267,1067.942683,,534.8049855
0.046,1.0009145510562245,1032.785732,1034.562121,1069.684471,,535.331376
0.047,1.000400437144573,1034.14801,1035.488616,1071.385276,,535.9071492
0.048,1.0000128347897888,1035.475326,1036.505462,1073.046904,,536.5303382
