Strain,Tmp298.15K,Tmp373.15K_StrRt0.1,Tmp473.15K,Tmp573.15K_StrRt0.1,Tmp673.15K,Tmp298.15K_ref,Tmp373.15K_StrRt0.1_ref,Tmp473.15K_ref,Tmp573.15K_StrRt0.1_ref,Tmp673.15K_ref
0,377.306,537.8084003329277,668.6095700071284,663.1938575050821,512.3386669734318,1,1.425390533,1.772061854,1.75770822,1.357886349
0.00011,470.9662536371053,598.8582180400845,700.0194344,687.9167583113174,598.8076827052573,1.01327417,1.28843109,1.506077358,1.480038701,1.288322364
0.0002,600.6512941195246,625.5944931628765,716.1123804235483,702.7533844828603,626.5290819869842,1.037404296,1.080484502,1.236820876,1.213748122,1.082098661
0.0003,663.8275387008804,646.8434006677708,729.5100843896498,716.0714578630376,646.9415937476733,1.05602329,1.029004758,1.160511721,1.139133423,1.029160965
0.0004,697.3208385329432,663.3574658443104,740.1459107984755,727.2131656,662.1279386,1.06758953,1.015592029,1.133154183,1.113354311,1.013709638
0.0005,719.5317053573287,676.9706537912716,748.9893864435708,736.8368884504109,674.2997890099068,1.074509607,1.010951242,1.118500109,1.100352228,1.006962717
0.0006,736.5247070420343,688.6157581792213,756.5722641,745.3382278375617,684.5039035141235,1.07857501,1.00841661,1.107932877,1.091481629,1.002395164
0.0007,750.5445357668789,698.8327903544996,763.2185664879742,752.9738291525285,693.3193746505422,1.080895444,1.006422861,1.099147928,1.084393987,0.998482725
0.0008,762.5737524375535,707.9627883658395,769.1407240436464,759.9198407,701.1005085057404,1.082126125,1.004630734,1.09144495,1.078360106,0.994892854
0.0009,773.1309940226985,716.2351046717376,774.4857359248456,766.3025073455397,708.0800009090162,1.082657372,1.002982964,1.084554491,1.073095071,0.991562929
0.001,782.5365081512831,723.8115197707084,779.3596437601508,772.2154679845253,714.4189629335888,1.08272899,1.001476234,1.078333433,1.068448647,0.988480555
0.002,843.0588058506496,777.8658269636799,813.4287548,815.9102755003793,758.570659,1.0760897,0.992876651,1.038269571,1.041437012,0.968248083
0.003,876.8885804248899,812.5585848598275,834.8662571649257,845.2161755862055,786.4477364994236,1.068907942,0.990491089,1.017683652,1.030299976,0.958662538
0.004,900.0238417585072,837.9935658661416,850.7580901655771,867.4493037630518,807.0029750856629,1.063363459,0.990075702,1.005156778,1.024877174,0.953460825
0.005,917.4416772,857.7652616,863.509107,885.2955543,823.2110328657436,1.05907208,0.990183095,0.996813649,1.021963387,0.950294545
0.01,968.5210623,915.3696369,906.0509127,941.1906261165894,872.6389524564147,1.046929094,0.989474718,0.979401583,1.017386083,0.943284709
0.011,975.1859369455436,922.513464,912.3299354,948.5893234432926,879.0532832805766,1.045463039,0.988994707,0.978077299,1.016949732,0.942402554
0.012,981.1955097172704,928.848488,918.1706065164964,955.2279051838304,884.7872726,1.044173476,0.988466565,0.977103324,1.016539143,0.941577283
0.013,986.6609136535916,934.5242795,923.6393176032326,961.2287159,889.9542763725331,1.043028917,0.987913713,0.976406893,1.016143776,0.940797423
0.014,991.6676687911638,939.656938,928.7876720597694,966.6898306726628,894.6443169407721,1.042005116,0.9873543,0.975933305,1.015759393,0.94005682
0.015,996.2829326,944.3375306348316,933.6565619406098,971.6907844711576,898.9297777285101,1.041083081,0.986801835,0.975640572,1.01538509,0.939352218
0.016,1000.560365198102,948.6381563981412,938.27894,976.2966933293662,902.8694569343644,1.040247704,0.986265995,0.975495879,1.015021611,0.938681875
0.017,1004.5434902661232,952.6163863502444,942.6817562898696,980.5612972,906.5115325522492,1.039486805,0.985753403,0.975473194,1.014670385,0.93804478
0.018,1008.2680760040864,956.3185641,946.8873437161024,984.5292559693478,909.8957789263804,1.038790445,0.985268313,0.97555159,1.014333002,0.937440214
0.019,1011.7638589529424,959.7822877655854,950.9144287799096,988.2379119191824,913.0552536110044,1.038150424,0.984813185,0.975714055,1.014010926,0.936867521
0.02,1015.0558164053268,963.0382947064354,955.3133053720056,991.7186629174048,916.0176,1.037559913,0.984389147,0.976492892,1.013705367,0.936325989
0.021,1018.1651217364044,966.1119044613442,958.7377154805288,994.9980444294454,918.8060657729802,1.037013173,0.983996358,0.976485659,1.013417231,0.935814803
0.022,1021.109872681712,969.0241311813588,962.0142228951815,998.0985909508142,921.4403065,1.036505343,0.983634295,0.976518697,1.013147116,0.93533304
0.023,1023.9056541740032,971.7925466536544,965.1555200000588,1001.0395274491328,923.9370263,1.036032278,0.983301969,0.976586337,1.012895336,0.934879672
0.024,1026.5659787319955,974.4319536,968.1727149341256,1003.8373283269368,926.3104914895956,1.035590413,0.982998083,0.97668382,1.012661958,0.934453591
0.025,1029.1026349292954,976.9549140176388,971.0755861,1006.5061720561674,928.5729450324144,1.035176672,0.982721161,0.976807132,1.012446838,0.934053629
0.026,1031.525965966399,979.3721651,973.8727873,1009.0583129312964,930.7349435,1.034788377,0.982469629,0.976952858,1.012249665,0.933678582
0.027,1033.8450944634262,981.6929497243837,976.5720148762616,1011.5043864843976,932.8056315205469,1.034423192,0.982241885,0.977118087,1.012069991,0.93332723
0.028,1036.068105425858,983.9252784355776,979.1801445141392,1013.853661459808,934.7929671509772,1.034079064,0.98203634,0.977300316,1.011907267,0.932998353
0.029,1038.202196354589,986.0761400404152,981.7033446355802,1016.1142484965932,936.7039069041784,1.033754183,0.981851452,0.977497391,1.011760867,0.932690747
0.03,1040.2538013095798,988.1516703247908,984.1471706722308,1018.2932735673542,938.5445589,1.033446946,0.981685743,0.977707447,1.011630116,0.932403234
0.031,1042.228694149019,990.1572886127396,986.5166441238172,1020.397023,940.3203097484948,1.033155928,0.981537812,0.97792886,1.011514305,0.932134672
0.032,1044.1320749870265,992.0978086474352,988.8163192252108,1022.4310624509434,942.0359300677374,1.032879858,0.981406345,0.978160219,1.011412709,0.931883965
0.033,1045.9686430281747,993.9775291254628,991.0503394905209,1024.4003423850547,943.6956626451864,1.032617596,0.981290111,0.978400285,1.011324599,0.931650057
0.034,1047.7426582665082,995.8003080120544,993.2224859281754,1026.3092794701893,945.3032962105935,1.032368118,0.981187968,0.978647973,1.011249252,0.931431948
0.035,1049.457994023779,997.5696238739764,995.3362183601544,1028.161830618052,946.8622274388616,1.032130504,0.981098857,0.978902327,1.011185959,0.931228685
0.036,1051.118181905856,999.2886267785216,997.3947109984356,1029.9615535397625,948.3755132041116,1.031903918,0.981021799,0.979162503,1.01113403,0.931039368
0.037,1052.7264504484524,1000.9601807662402,999.4008832125468,1031.7116584600612,949.8459148,1.031687608,0.980955893,0.979427758,1.011092799,0.93086315
0.038,1054.2857584821047,1002.586899491842,1001.3574262493552,1033.415052112104,951.2759352097636,1.031480885,0.980900305,0.979697426,1.011061625,0.93069923
0.039,1055.7988240559332,1004.1711762971244,1003.2668265290756,1035.074375268052,952.6678513937512,1.031283124,0.980854273,0.979970922,1.011039898,0.930546858
0.04,1057.2681496084545,1005.715209726768,1005.1313860319156,1036.692034843772,954.0237411005656,1.031093757,0.980817094,0.980247724,1.011027038,0.930405332
0.041,1058.6960439527318,1007.2210252957302,1006.9532402016604,1038.2702314386108,955.3455063738802,1.03091226,0.98078812,0.980527363,1.01102249,0.930273992
0.042,1060.084641545846,1008.6904941566172,1008.7343737212592,1039.8109830257736,956.6348935,1.030738153,0.980766758,0.980809423,1.011025734,0.930152221
0.043,1061.435919433938,1010.1253491927636,1010.476634457534,1041.3161453892574,957.8935104290722,1.030570998,0.98075246,0.981093531,1.011036276,0.930039443
0.044,1062.7517122000315,1011.5271989621106,1012.181745824751,1042.787429804709,959.1228414,1.030410389,0.980744724,0.981379352,1.011053654,0.929935119
0.045,1064.0337251894916,1012.897539836238,1013.8513177778868,1044.2264183801783,960.3242600433005,1.030255954,0.980743088,0.981666588,1.011077431,0.929838748
0.046,1065.2835462449548,1014.2377666183164,1015.4868566142776,1045.634577405315,961.4990408270968,1.030107348,0.980747126,0.98195497,1.011107198,0.929749859
0.047,1066.502656,1015.5491818715818,1017.0897737356976,1047.013269001655,962.6483686,1.02996425,0.980756443,0.982244254,1.01114257,0.929668013
0.048,1067.6924379278737,1016.8330041492007,1018.661393500714,1048.3637613201936,963.7733473007976,1.029826365,0.980770678,0.982534223,1.011183187,0.9295928
0.049,1068.8541851993937,1018.0903752840824,1020.2029602785984,1049.6872374937234,964.8750076621654,1.029693418,0.980789497,0.982824681,1.011228711,0.929523839
0.05,1069.989109619024,1019.3223668699502,1021.7156448004966,1050.984803519199,965.9543137267174,1.029565155,0.980812591,0.983115451,1.011278827,0.929460771
0.051,1071.098347596722,1020.529986044683,1023.2005498904016,1052.2574952183916,967.0121688356156,1.029441337,0.980839673,0.983406374,1.01133324,0.929403264
0.052,1072.1829663340352,1021.7141806675936,1024.6587156473804,1053.5062844025642,968.0494208536692,1.029321743,0.980870481,0.983697306,1.011391674,0.929351005
0.053,1073.2439692730047,1022.8758439688244,1026.0911241410558,1054.7320843479802,969.0668668333964,1.029206166,0.980904767,0.983988117,1.011453869,0.929303703
0.054,1074.2823010225209,1024.015818736807,1027.4987036743114,1055.9357546731644,970.0652572,1.029094413,0.980942307,0.98427869,1.011519584,0.929261085
0.055,1075.2988518208913,1025.1349011006532,1028.882333,1057.1181056955072,971.0452993677172,1.028986303,0.980982887,0.984568919,1.011588592,0.929222896
0.056,1076.2944615858285,1026.233843954804,1030.2428431551807,1058.2799023335149,972.0076613053096,1.028881666,0.981026313,0.984858708,1.011660682,0.929188896
0.057,1077.2699235966134,1027.3133600682486,1031.5810240821213,1059.421867611532,972.9529743,1.028780344,0.981072402,0.985147972,1.011735656,0.929158861
