Strain,Tmp77.15K,Tmp233.15K,Tmp298.15K,Tmp373.15K,Tmp473.15K,Tmp573.15K,Tmp673.15K,Tmp77.15K_ref,Tmp233.15K_ref,Tmp298.15K_ref,Tmp373.15K_ref,Tmp473.15K_ref,Tmp573.15K_ref,Tmp673.15K_ref
0.0,1067.4538450093387,568.7754321000424,377.306,570.6734130973928,649.8592176090394,643.9279975015197,450.4427462177701,2.8291462235144387,1.5074645833886617,1.0,1.5124949327532369,1.7223665078451957,1.7066465879194068,1.1938393405293584
0.00011,1083.997263440276,587.7623492362436,464.7964665,617.0899876066469,680.3480601710539,665.1985349922516,542.8857664046227,2.3321977286165017,1.2645585575600402,1.0,1.3276563659217209,1.4637548028155114,1.4311609122188789,1.168007516263299
0.0002,1094.1693741576644,602.3167357527577,578.9944157,640.2133203419726,699.4783263525696,679.5665166593662,573.3587431582273,1.889775349274866,1.0402807340111584,1.0,1.1057331521375027,1.2080916626923,1.1737013315366356,0.9902664475011228
0.0003,1103.7197879056785,617.5413455494365,628.6106993,659.2032333,716.4127855381855,693.2159068486503,595.7895874231472,1.7558081482461947,0.9823907646451295,1.0,1.0486668999335627,1.139676410751454,1.1027745910475157,0.9477878567555383
0.0004,1112.096404039244,631.8490778373717,653.1731707,674.1443371101122,730.0708224654327,705.0105046,612.4224198284792,1.7026057620330912,0.9673530790620573,1.0,1.0321065949289339,1.117729348379423,1.0793623134343475,0.9376111072843843
0.0005,1119.6499347254564,645.3141950555099,669.637294,686.4969254695607,741.3718562463721,715.3646863574827,625.6984465490677,1.672024459745004,0.963677203819998,1.0,1.0251772588244774,1.1071245029049592,1.0682868065551359,0.9343841093609516
0.0006,1126.5822414871318,658.0034231201187,682.8683216,697.0497223449784,750.9542654931281,724.5724145116831,636.7800286402926,1.6497796220030891,0.9635875648446813,1.0,1.0207674017030848,1.0997058169774208,1.0610719396295438,0.9325077888344274
0.0007,1133.0216898851154,669.9768781,694.3729293,706.2774827,759.2636351929457,732.8493484623953,646.3125248994329,1.6317192708352253,0.9648660681161725,1.0,1.0171443224493226,1.0934522403665163,1.0554117499960483,0.9307858898689829
0.0008,1139.0557897527565,681.2888592522862,704.6995121,714.4882989637845,766.6129735544046,740.3580694415862,654.6917119426071,1.6163709073082477,0.966779240732053,1.0,1.0138907246219229,1.0878579598698783,1.05060108135356,0.9290367038734425
0.0009,1144.747359990457,691.9885303903659,714.1049551,721.8935144025381,773.2238637429427,747.2239353163266,662.1779371662997,1.6030519769046438,0.969029167839149,1.0,1.0109067431151595,1.0827874225220353,1.046378308930357,0.927283773116476
0.001,1150.143336047641,702.1205076,722.7445794,728.644431,779.2546308988162,753.5454490880438,668.9516541605117,1.591355188028465,0.9714642317800274,1.0,1.0081631212023727,1.0781881360434817,1.0426165350331837,0.9255713196989377
0.002,1193.253688547015,779.6288098222886,783.4465901,775.9749250737877,822.8401308657062,798.7845136611588,715.4303935839562,1.523082369143641,0.9951269425051374,1.0,0.9904630830989276,1.050282356530109,1.0195774973750298,0.9131833651769904
0.003,1224.4033452968447,829.1574569809725,820.3593085,806.0178133005174,852.0038480455612,828.1403175287653,744.2083921037847,1.4925208169279214,1.0107247499843204,1.0,0.9825180319758844,1.038573999487398,1.0094848793061086,0.9071737035135803
0.004,1248.4788707510932,863.1751894582347,846.3934268,828.3864265230368,874.0617057976035,850.6191349,765.2535196717945,1.4750573801964373,1.0198273782934282,1.0,0.9787250234857764,1.0326896194151818,1.0049926050536289,0.9041345259083886
0.005,1267.7577008811122,887.9798592409072,866.2693452,846.2990987708254,891.7384008075898,869.1937991738209,781.8203651373624,1.4634682710472902,1.0250620827819952,1.0,0.9769468392944645,1.0294008506115493,1.0033759176519697,0.9025141769929069
0.01,1326.855454124062,955.5836749,925.1066455,904.0128625289072,948.3443437545408,933.0313052948682,832.9851110476884,1.434272967963521,1.0329443416586073,1.0,0.9771985391374072,1.0251189399271705,1.0085662121587993,0.9004206326909241
0.011,1334.6762940634028,964.2247499077862,932.77897,912.0045349236972,956.2051242,942.3185058725078,839.7831531,1.430860189808313,1.0337119306064397,1.0,0.9777284482771917,1.0251143678764543,1.010227005731602,0.9003024082972197
0.012,1341.770793573039,972.0961569,939.6862991,919.2654241570708,963.3790326,950.8461752928852,845.9055678938166,1.427892260276799,1.034490082308363,1.0,0.9782684125941948,1.025213449980799,1.0118761720837834,0.9001999589692822
0.013,1348.2775775836851,979.3459981447728,945.9573917,925.9020611859742,969.9724519,958.7181466,851.4617723509436,1.4253047646899477,1.0352960997373988,1.0,0.9787989071283814,1.0253870421762252,1.0134897776707124,0.9001058396729305
0.014,1354.3027599056377,986.0782284369936,951.6917467,931.9998317038772,976.0690914952348,966.0199370932272,856.5384888463304,1.4230477090945626,1.0361319532886875,1.0,0.9793085155309956,1.025614748556729,1.0150554950622515,0.9000167247602868
0.015,1359.928268383263,992.3675774848688,956.9677492,937.6283894353182,981.7359712010182,972.8226337,861.2054681847221,1.421080563603243,1.0369916627958071,1.0,0.9797910015454032,1.0258819819390192,1.016567835763801,0.899931548272831
