Strain,Tmp298.15K,Tmp373.15K_StrRt0.1,Tmp473.15K,Tmp573.15K_StrRt0.1,Tmp673.15K,Tmp298.15K_ref,Tmp373.15K_StrRt0.1_ref,Tmp473.15K_ref,Tmp573.15K_StrRt0.1_ref,Tmp673.15K_ref
0,277.306,561.8756494501962,574.5816534468904,665.1026689350376,345.4139601071365,0.734963133,1.489177616,1.522853211,1.762767274,0.915474337
0.00011,344.4019196755693,623.5219181205426,643.4119507592404,700.2602706576097,485.5559227,0.740973619,1.341494532,1.384287526,1.506595513,1.044663541
0.0002,500.1586589649602,634.5865752326762,668.5506091968855,718.0914523822692,534.6963677965105,0.863840212,1.096015018,1.154675401,1.240238995,0.923491407
0.0003,601.0363035,644.3335251680782,687.3863271053415,732.2365851393256,572.4168609742774,0.956134384,1.025012024,1.093500839,1.164849065,0.910606297
0.0004,659.4723216227883,652.7748021,701.4593714142684,742.9122356962371,600.6663657539757,1.009643922,0.999390103,1.073925573,1.137389392,0.919612735
0.0005,694.6642593256984,660.4221810971219,712.7303196094581,751.4450408826065,622.9104525,1.037373912,0.98623865,1.064352786,1.12216725,0.93022067
0.0006,717.0497749718052,667.5170214999417,722.1529741574195,758.5761428,640.9589606232475,1.050055702,0.977519385,1.057528884,1.110867379,0.938627464
0.0007,732.3105038005751,674.1941295283618,730.2639396830928,764.7502711437237,655.9165158,1.054635734,0.970939536,1.051688378,1.10135381,0.944617061
0.0008,743.5450898,680.5372689702402,737.3952564848005,770.2479413,668.5209865,1.055123605,0.965712701,1.046396718,1.093016141,0.948661061
0.0009,752.4486793577182,686.6025031380386,743.7667546487646,775.2526324,679.2936400371836,1.053694802,0.961486821,1.041537031,1.085628418,0.951251823
0.001,759.9532318465949,692.4294861599852,749.5315362573601,779.8876761222159,688.6164991661208,1.051482437,0.958055592,1.037062826,1.079064027,0.952779888
0.002,810.4818474454971,741.7830235180987,789.1239708582289,816.4642271621558,742.3720114593161,1.034508105,0.946820157,1.007246672,1.042144082,0.947571948
0.003,844.3162254203846,780.5013787549123,813.8650747654028,844.2026929425683,769.8776343418285,1.029202956,0.951414058,0.992083672,1.029064563,0.938463947
0.004,869.6398878517687,812.0113742545826,832.2933735261322,866.1834603456359,788.9642702537822,1.027465314,0.959378167,0.983341018,1.023381601,0.93214839
0.005,889.6042409742192,838.0179645924292,847.1529404507019,883.9114517223459,803.7416445419658,1.026937229,0.967387302,0.977932493,1.020365613,0.927819562
0.01,950.5459439091948,916.6260169222384,896.6522303158417,939.3135541275856,849.7093015286373,1.027498774,0.99083281,0.969242016,1.01535705,0.918498754
