PEEQ,CT1,CT2,CT3,CT4,CT5,CT6
0.00011,2.1824385823939503,0.003126200987293391,-0.035986973891169435,0.7212670911410657,594.7151374729432,594.7151374729432
0.0002,2.168467322188307,0.003122727304070131,-0.03589977348309996,0.7210904673324675,594.7118142808674,594.7118142808674
0.0003,2.153523158382623,0.003118882947434075,-0.035802919396324184,0.7208943826408156,594.7081226588755,594.7081226588755
0.0004,2.1391658237997992,0.0031150546375202535,-0.03570610250693968,0.7206984707036175,594.7044318932443,594.7044318932443
0.0005,2.1253723085368863,0.0031112423232866554,-0.03560932290418249,0.7205027316645186,594.7007419838598,594.7007419838598
0.0006,2.112120504922134,0.0031074459538361337,-0.03551258067723296,0.720307165666888,594.6970529306076,594.6970529306076
0.0007,2.0993891721380016,0.003103665478416074,-0.03541587591521594,0.720111772853817,594.6933647333736,594.6933647333736
0.0008,2.087157902231316,0.003099900846417949,-0.03531920870720034,0.7199165533681211,594.6896773920434,594.6896773920434
0.0009,2.0754070874561936,0.003096152007376993,-0.03522257914219934,0.7197215073523375,594.6859909065029,594.6859909065029
0.001,2.0641178888974645,0.003092418910971763,-0.035125987309170124,0.7195266349487266,594.6823052766379,594.6823052766379
0.002,1.972962990926975,0.003055942822903071,-0.03416216376774093,0.7175874906807396,594.6454960150104,594.6454960150104
0.003,1.9119323588081856,0.0030209866946142305,-0.03320221085770097,0.7156658620511318,594.6087721953326,594.6087721953326
0.004,1.8710946259621568,0.0029875025109405155,-0.032246216599543444,0.7137618867208986,594.5721337035025,594.5721337035025
0.005,1.8437925982864112,0.0029554436084842455,-0.031294268435161074,0.7118756995462869,594.5355804254929,594.5355804254929
0.01,1.796504780137449,0.0028149852936725575,-0.026598237900155128,0.7027161080003197,594.3540882569977,594.3540882569977
0.011,1.7942274691144389,0.0027905694575881402,-0.02567236909534274,0.7009393230508119,594.318043871499,594.318043871499
0.012,1.7927732651705839,0.0027672872192792785,-0.024751141558691944,0.6991811906547182,594.2820839037104,594.2820839037104
0.013,1.7918708064019278,0.002745101516926952,-0.023834637797540834,0.6974418227887829,594.2462082401993,594.2462082401993
0.014,1.7913381934845152,0.002723976349817737,-0.022922939665195936,0.6957213285216689,594.2104167676071,594.2104167676071
0.015,1.7910534956551376,0.0027038767500219773,-0.022016128352894095,0.6940198140048395,594.1747093726492,594.1747093726492
0.016,1.7909349802789871,0.0026847687547958093,-0.02111428438183625,0.6923373824639127,594.1390859421157,594.1390859421157
0.017,1.790927860332535,0.002666619379688964,-0.02021748759529355,0.6906741341904967,594.1035463628709,594.1035463628709
0.018,1.7909954109756479,0.002649396592340983,-0.019325817150787118,0.6890301665345009,594.068090521853,594.068090521853
0.019,1.7911130148117955,0.0026330692869486146,-0.018439351512341454,0.6874055738969278,594.0327183060746,594.0327183060746
0.02,1.7912641703066035,0.0026176072593877427,-0.017558168442813153,0.6858004477231431,593.9974296026224,593.9974296026224
0.021,1.7914378161507893,0.002602981182973628,-0.01668234499629499,0.6842148764966283,593.9622242986576,593.9622242986576
0.022,1.7916265377270055,0.002589162584843497,-0.015811957510596705,0.6826489457332126,593.9271022814149,593.9271022814149
0.023,1.7918253648686102,0.0025761238229460495,-0.014947081599802712,0.6811027379757861,593.8920634382039,593.8920634382039
0.024,1.7920309659732723,0.002563838063622744,-0.01408779214690809,0.679576332789497,593.8571076564077,593.8571076564077
0.025,1.792241107801162,0.0025522792597660587,-0.01323416329653299,0.678069806757428,593.822234823484,593.822234823484
0.026,1.7924542933668555,0.0025414221295404684,-0.012386268447716649,0.6765832334767568,593.7874448269645,593.7874448269645
0.027,1.792669519211013,0.0025312421356519822,-0.011544180246791557,0.6751166835553991,593.7527375544548,593.7527375544548
0.028,1.7928861126947249,0.002521715465152548,-0.010707970580338488,0.6736702246091335,593.7181128936347,593.7181128936347
0.029,1.793103622934646,0.002512819009766074,-0.009877710568223215,0.6722439212592086,593.6835707322583,593.6835707322583
0.03,1.7933217476946308,0.0025045303467228766,-0.009053470556715449,0.6708378351304344,593.6491109581535,593.6491109581535
0.031,1.7935402843797337,0.00249682772008998,-0.008235320111690862,0.6694520248497529,593.6147334592223,593.6147334592223
0.032,1.7937590971865007,0.00248969002258475,-0.007423328011916775,0.6680865460452938,593.5804381234408,593.5804381234408
0.033,1.7939780950831539,0.0024830967778598206,-0.0066175622424222095,0.6667414513459096,593.5462248388592,593.5462248388592
0.034,1.7941972170492684,0.002477028123247499,-0.005818089987953183,0.6654167903811933,593.5120934936015,593.5120934936015
0.035,1.7944164221816297,0.002471464792952098,-0.005024977626513359,0.6641126097819758,593.478043975866,593.478043975866
0.036,1.7946356830619932,0.002466388101679006,-0.004238290722991449,0.6628289531813045,593.4440761739246,593.4440761739246
0.037,1.794854981311361,0.002461779928689474,-0.003458094022875259,0.6615658612159001,593.4101899761238,593.4101899761238
0.038,1.7950743046099205,0.002457622702270522,-0.0026844514460538363,0.6603233715280936,593.3763852708832,593.3763852708832
0.039,1.795293644699456,0.002453899384609384,-0.0019174260807073608,0.65910151876824,593.3426619466974,593.3426619466974
0.04,1.7955129960443186,0.0024505934570624812,-0.0011570801772864047,0.6579003345976102,593.3090198921341,593.3090198921341
0.041,1.7957323549338535,0.0024476889058088814,-0.0004034751425803303,0.6567198476917575,593.2754589958354,593.2754589958354
0.042,1.7959517188807328,0.002445170207878623,0.00034332846612392825,0.6555600837443609,593.2419791465171,593.2419791465171
0.043,1.7961710862176516,0.0024430223175464037,0.0010832709467926648,0.654421065471541,593.2085802329689,593.2085802329689
0.044,1.7963904558269816,0.002441230653081497,0.0018162934583046675,0.6533028126166485,593.1752621440547,593.1752621440547
0.045,1.7966098269595552,0.0024397810838448454,0.002542338026018891,0.6522053419555259,593.142024768712,593.142024768712
0.046,1.7968291991131886,0.0024386599177245788,0.003261347547249616,0.6511286673022365,593.1088679959524,593.1088679959524
0.047,1.7970485719512592,0.0024378538889014523,0.003973265796648521,0.6500727995152648,593.075791714861,593.075791714861
0.048,1.7972679452481217,0.002437350145935788,0.004678037431493644,0.649037746504181,593.0427958145972,593.0427958145972
0.049,1.797487318852522,0.002437136240167863,0.005375607996883913,0.6480235132367744,593.009880184394,593.009880184394
0.05,1.7977066926630705,0.0024372001144237648,0.006065923930839364,0.6470301017466483,592.9770447135583,592.9770447135583
0.051,1.7979260666118047,0.002437530092018961,0.006748932569306241,0.646057511141277,592.9442892914708,592.9442892914708
0.052,1.7981454406531672,0.002438114866052129,0.007424582151066648,0.6451057376105239,592.911613807586,592.911613807586
0.053,1.7983648147566207,0.0024389434889817347,0.008092821822551798,0.6441747744356181,592.8790181514323,592.8790181514323
0.054,1.7985841889016945,0.002440005362478327,0.00875360164255927,0.6432646119985868,592.8465022126119,592.8465022126119
0.055,1.7988035630746677,0.002441290227545455,0.009406872586872748,0.642375237792142,592.8140658808004,592.8140658808004
0.056,1.7990229372663422,0.0024427881549024277,0.010052586552784615,0.6415066364300194,592.7817090457479,592.7817090457479
0.057,1.799242311470553,0.0024444895356221996,0.010690696363520463,0.6406587896577689,592.7494315972775,592.7494315972775
0.058,1.7994616856831662,0.0024463850720179638,0.011321155772565369,0.6398316763639894,592.7172334252864,592.7172334252864
0.059,1.7996810599014126,0.002448465768772057,0.011943919467891124,0.6390252725920134,592.6851144197458,592.6851144197458
0.06,1.7999004341234346,0.0024507229243010053,0.012558943076084683,0.6382395515520305,592.6530744707001,592.6530744707001
