Tmp233.15K_StrRt0.0001_RD_E,Tmp233.15K_StrRt0.0001_RD_S
0,586.276
0.0002,602.748
0.0004,619.22
0.0006,635.692
0.0008,672.517
0.001,700.076
0.0012,724.76
0.0014,744.96
0.0016,759.372
0.0018,772.658
0.002,784.827
0.0022,796.012
0.0024,804.945
0.0026,814.683
0.0028,822.501
0.003,829.877
0.0032,840.323
0.0034,844.742
0.0036,851.086
0.0038,857.136
0.004,862.871
0.0042,867.478
0.0044,872.763
0.0046,877.815
0.0048,881.81
0.005,886.39
0.0052,890.026
0.0054,894.852
0.0056,898.179
0.0058,901.422
0.006,905.788
0.0062,908.813
0.0064,911.4355
0.0066,915.691
0.0068,917.873
0.007,920.557
0.0072,924.24
0.0074,926.757
0.0076,929.206
0.0078,931.607
0.008,934.776
0.0082,936.515
0.0084,938.664
0.0086,940.77
0.0088,942.856
0.009,944.898
0.0092,947.675
0.0094,949.217
0.0096,951.2945
0.0098,953.733
0.01,955.574
0.0102,957.354
0.0104,959.098
0.0106,960.648
0.0108,963.125
0.011,964.438
0.0112,966.042
0.0114,967.594
0.0116,969.142
0.0118,971.338
0.012,972.586
0.0122,974.092
0.0124,975.544
0.0126,977.532
0.0128,978.92
0.013,980.256
0.0132,981.4455
0.0134,982.776
0.0136,984.458
0.0138,985.768
0.014,987.071
0.0142,988.329
0.0144,989.419
0.0146,990.626
0.0148,992.138
0.015,993.33
0.0152,994.505
0.0154,995.656
0.0156,997.228
0.0158,998.135
0.016,999.222
0.0162,1000.297
0.0164,1001.346
0.0166,1002.376
0.0168,1003.798
0.017,1004.67
0.0172,1005.696
0.0174,1006.681
0.0176,1007.617
0.0178,1008.898
0.018,1009.856
0.0182,1010.64
0.0184,1011.63
0.0186,1012.611
0.0188,1013.553
0.019,1014.77
0.0192,1015.624
0.0194,1016.379
0.0196,1017.291
0.0198,1018.161
0.02,1019.004
0.0202,1020.165
0.0204,1020.989
0.0206,1021.687
0.0208,1022.571
0.021,1023.41
0.0212,1024.215
0.0214,1025.286
0.0216,1025.9845
0.0218,1026.782
0.022,1027.795
0.0222,1028.515
0.0224,1029.236
0.0226,1029.963
0.0228,1030.528
0.023,1031.233
0.0232,1032.252
0.0234,1032.965
0.0236,1033.689
0.0238,1034.385
0.024,1034.9535
0.0242,1035.94
0.0244,1036.499
0.0246,1037.148
0.0248,1037.808
0.025,1038.502
0.0252,1039.1145
0.0254,1039.997
0.0256,1040.66
0.0258,1041.306
0.026,1041.946
0.0262,1042.474
0.0264,1043.203
0.0266,1043.764
0.0268,1044.363
0.027,1044.967
0.0272,1045.577
0.0274,1046.13
0.0276,1046.881
0.0278,1047.466
0.028,1048.046
0.0282,1048.621
0.0284,1049.149
0.0286,1049.733
0.0288,1050.424
0.029,1050.971
0.0292,1051.526
0.0294,1052.073
0.0296,1052.5985
0.0298,1053.17
0.03,1053.858
0.0302,1054.339
0.0304,1054.8
0.0306,1055.268
0.0308,1055.712
0.031,1056.216
0.0312,1056.695
0.0314,1057.354
0.0316,1057.846
0.0318,1058.304
0.032,1058.99
0.0322,1059.435
0.0324,1059.923
0.0326,1060.415
0.0328,1060.916
0.033,1061.405
0.0332,1062.045
0.0334,1062.402
0.0336,1062.851
0.0338,1063.306
0.034,1063.758
0.0342,1064.343
0.0344,1064.805
0.0346,1065.143
0.0348,1065.55
0.035,1066.174
0.0352,1066.632
0.0354,1067.072
0.0356,1067.492
0.0358,1067.864
0.036,1068.251
0.0362,1068.658
0.0364,1069.207
0.0366,1069.646
0.0368,1070.095
0.037,1070.641
0.0372,1070.988
0.0374,1071.392
0.0376,1071.768
0.0378,1072.13
0.038,1072.436
0.0382,1073.007
0.0384,1073.311
0.0386,1073.696
0.0388,1074.074
0.039,1074.434
0.0392,1074.7695
0.0394,1075.1465
0.0396,1075.626
0.0398,1075.994
0.04,1076.365
0.0402,1076.73
0.0404,1077.281
0.0406,1077.641
0.0408,1077.957
0.041,1078.337
0.0412,1078.686
0.0414,1079.038
0.0416,1079.514
0.0418,1079.803
0.042,1080.164
0.0422,1080.482
0.0424,1080.914
0.0426,1081.197
0.0428,1081.49
0.043,1081.745
0.0432,1082.064
0.0434,1082.448
0.0436,1082.818
0.0438,1083.198
0.044,1083.538
0.0442,1083.957
0.0444,1084.267
0.0446,1084.539
0.0448,1084.835
0.045,1085.15
0.0452,1085.593
0.0454,1085.894
0.0456,1086.144
0.0458,1086.474
0.046,1086.786
0.0462,1087.17
0.0464,1087.439
0.0466,1087.67
0.0468,1087.904
0.047,1088.222
0.0472,1088.483
0.0474,1088.77
0.0476,1089.043
0.0478,1089.448
0.048,1089.74
0.0482,1089.951
0.0484,1090.316
0.0486,1090.565
0.0488,1090.842
0.049,1091.08
0.0492,1091.407
