Tmp298.15K_StrRt0.0001_RD_E,Tmp298.15K_StrRt0.0001_RD_S,Tmp298.15K_StrRt0.0001_RD_U,Tmp298.15K_StrRt0.0001_RD_L,Tmp298.15K_StrRt0.0001_DD_E,Tmp298.15K_StrRt0.0001_DD_S,Tmp298.15K_StrRt0.0001_DD_U,Tmp298.15K_StrRt0.0001_DD_L,Tmp298.15K_StrRt0.0001_TD_E,Tmp298.15K_StrRt0.0001_TD_S,Tmp298.15K_StrRt0.0001_TD_U,Tmp298.15K_StrRt0.0001_TD_L,Tmp298.15K_StrRt0.001_RD_E,Tmp298.15K_StrRt0.001_RD_S,Tmp298.15K_StrRt0.001_RD_U,Tmp298.15K_StrRt0.001_RD_L,Tmp298.15K_StrRt0.001_DD_E,Tmp298.15K_StrRt0.001_DD_S,Tmp298.15K_StrRt0.001_DD_U,Tmp298.15K_StrRt0.001_DD_L,Tmp298.15K_StrRt0.001_TD_E,Tmp298.15K_StrRt0.001_TD_S,Tmp298.15K_StrRt0.001_TD_U,Tmp298.15K_StrRt0.001_TD_L,Tmp298.15K_StrRt0.01_RD_E,Tmp298.15K_StrRt0.01_RD_S,Tmp298.15K_StrRt0.01_RD_U,Tmp298.15K_StrRt0.01_RD_L,Tmp298.15K_StrRt0.01_DD_E,Tmp298.15K_StrRt0.01_DD_S,Tmp298.15K_StrRt0.01_DD_U,Tmp298.15K_StrRt0.01_DD_L,Tmp298.15K_StrRt0.01_TD_E,Tmp298.15K_StrRt0.01_TD_S,Tmp298.15K_StrRt0.01_TD_U,Tmp298.15K_StrRt0.01_TD_L,Tmp298.15K_StrRt0.1_RD_E,Tmp298.15K_StrRt0.1_RD_S,Tmp298.15K_StrRt0.1_RD_U,Tmp298.15K_StrRt0.1_RD_L,Tmp298.15K_StrRt0.1_DD_E,Tmp298.15K_StrRt0.1_DD_S,Tmp298.15K_StrRt0.1_DD_U,Tmp298.15K_StrRt0.1_DD_L,Tmp298.15K_StrRt0.1_TD_E,Tmp298.15K_StrRt0.1_TD_S,Tmp298.15K_StrRt0.1_TD_U,Tmp298.15K_StrRt0.1_TD_L,Tmp298.15K_StrRt1_RD_E,Tmp298.15K_StrRt1_RD_S
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,838.511
0.0002,580.2822,5.6254,0.3611,0.0002,512.6700667,11.61593333,7.270533333,0.0002,496.2646,37.6542,21.6293,0.0002,528.9854323,22.19695287,14.73047963,0.0002,501.1544833,50.66852675,30.20546753,0.0002,451.7199794,72.94753887,68.58199187,0.0005,694.8929827,7.670877098,11.43794383,0.0005,610.4573743,23.41033835,12.90849674,0.0005,604.1626967,12.66693879,22.02389347,0.001,783.6010148,4.745485233,9.33196741,0.001,752.2733171,75.72183403,111.1893343,0.001,756.3303845,40.28996448,0.581247037,0.0001,840.4717
0.0004,644.631,5.1648,0.0586,0.0004,585.8028333,10.80676667,1.962566667,0.0004,571.9389667,31.03003333,10.18416667,0.0004,624.0839653,1.422935838,16.49919571,0.0004,588.0113559,32.30026376,14.25761952,0.0004,523.4676757,72.18047811,88.76173053,0.001,757.4279023,4.383397835,2.054459144,0.001,701.4903906,11.62276665,6.042649566,0.001,702.5159754,10.25777403,15.74863894,0.002,841.2224011,19.48656115,7.022660082,0.002,836.730037,31.47940938,43.48180008,0.002,861.0643463,4.467433846,8.093101921,0.0005,847.6735
0.0006,681.6933,5.3558,2.9502,0.0006,630.9688333,13.19806667,3.139133333,0.0006,616.1924667,24.46973333,6.719466667,0.0006,669.7694019,6.793584606,14.51087165,0.0006,637.2799405,23.3483306,8.93206829,0.0006,587.4199954,53.10203918,55.43084495,0.0015,789.7268136,2.182146522,2.224606589,0.0015,748.3394531,5.551740605,5.380257937,0.0015,754.4813842,8.939077155,13.38185293,0.003,873.8594778,17.77620958,7.233731789,0.003,889.3126935,9.970639749,15.96429396,0.003,909.9572417,11.77908714,9.507731131,0.0009,855.0657
0.0008,706.1125333,5.165766667,3.275533333,0.0008,661.7035667,10.46123333,4.961566667,0.0008,650.5319333,24.34476667,5.922633333,0.0008,698.2853585,5.484319309,10.1105356,0.0008,670.5698564,19.01527068,7.807381904,0.0008,633.6946028,39.41112622,40.17774221,0.002,811.8936697,1.480630274,2.170114119,0.002,778.4679448,4.155724701,4.151116251,0.002,789.2555809,8.968773643,11.5522806,0.004,898.2911661,11.10555873,4.460492587,0.004,916.0048457,8.739672723,13.86195875,0.004,938.9329969,5.623781878,6.045181828,0.0013,862.6307
0.001,727.0734,3.8478,3.7355,0.001,685.9663,10.7972,5.5094,0.001,677.1208333,22.77626667,4.490933333,0.001,722.7752809,4.404319383,10.56784651,0.001,695.804959,16.88454227,8.425316949,0.001,663.4550872,32.78236634,31.98386735,0.0025,829.7954938,1.755698571,1.848440876,0.0025,801.5645556,2.444548637,3.144884382,0.0025,816.2931587,8.254838016,9.45823545,0.005,918.3900355,6.094902781,2.338467237,0.005,932.502289,11.8496379,13.59816704,0.005,958.562679,4.526246102,4.111432808,0.0018,870.3464
0.0012,742.6388,3.6182,3.4072,0.0012,705.1348667,10.10673333,5.847666667,0.0012,698.4154667,19.65803333,3.155766667,0.0012,741.8739136,-2.291076694,6.995197282,0.0012,715.4353642,15.21379984,7.012833219,0.0012,688.9048047,27.92217762,27.87400747,0.003,845.0129926,2.12396059,2.134167609,0.003,820.655626,1.283317126,2.958742811,0.003,837.3351066,8.807690189,8.490771411,0.006,934.2536593,3.402644714,3.641959318,0.006,944.7041318,10.07745789,11.15221004,0.006,974.2636226,3.075321748,1.582999768,0.0022,878.1859
0.0014,755.4031,4.2658,3.6079,0.0014,720.8534,8.8227,5.5125,0.0014,717.0115,18.9066,3.2326,0.0014,755.0734196,5.248489509,10.8383805,0.0014,731.7649524,13.54114928,6.476475845,0.0014,710.5776139,23.3916759,20.6058269,0.0035,858.3834029,2.564894568,2.344735667,0.0035,836.3921147,1.596435493,2.226660321,0.0035,854.8487104,9.047836884,8.263961561,0.007,945.415875,3.957058271,4.145075044,0.007,955.5818152,8.693033088,9.186614592,0.007,985.5543509,1.128632968,2.46037135,0.0027,886.1186
0.0016,767.3534,3.4032,3.4779,0.0016,734.8251,9.3862,6.1626,0.0016,732.5530333,18.83516667,3.345133333,0.0016,769.44943,2.655711493,8.947438723,0.0016,745.7193376,12.59649158,6.496387608,0.0016,726.7388891,20.98773122,18.16870143,0.004,869.8837093,3.03463152,2.586921983,0.004,850.0922138,2.066597297,2.132956709,0.004,870.1841929,8.862427007,7.939206612,0.008,954.6227396,5.064196199,3.863239581,0.008,965.0513775,7.261103023,7.415411927,0.008,994.140637,2.246880491,2.329947852,0.0031,894.1103
0.0018,777.4862667,3.393133333,3.016966667,0.0018,747.3719,8.2291,6.1656,0.0018,747.2462,17.7001,2.8337,0.0018,782.1023324,3.625048933,8.167001813,0.0018,758.1315682,11.39538755,6.231958603,0.0018,742.2381527,19.27620573,17.23839119,0.0045,880.1329859,3.337704312,2.693644518,0.0045,862.3238552,2.479351557,2.057235502,0.0045,883.6201433,8.791685706,7.594181322,0.009,962.9361269,5.97275259,2.34042565,0.009,972.9778045,5.032007762,5.445823403,0.009,1001.708827,2.711245387,2.105565879,0.0036,902.1244
