Tmp573.15K_StrRt0.0001_RD_E,Tmp573.15K_StrRt0.0001_RD_S,Tmp573.15K_StrRt0.001_RD_E,Tmp573.15K_StrRt0.001_RD_S,Tmp573.15K_StrRt0.01_RD_E,Tmp573.15K_StrRt0.01_RD_S,Tmp573.15K_StrRt0.1_RD_E,Tmp573.15K_StrRt0.1_RD_S
0,640.1702881,0,385.0869141,0,658.317627,0,664.8251343
4.069E-05,646.8779907,1.14364E-05,386.1324463,1.18845E-05,666.8928223,0.000179512,693.7280273
5.06593E-05,653.8121948,7.42608E-06,390.368866,1.17861E-05,675.2476807,0.000345758,720.7125244
6.83599E-05,662.0368652,1.00272E-05,394.0635986,3.03E-05,679.3422852,0.000534589,745.6016846
8.39656E-05,668.413208,2.1301E-05,395.6781311,5.56501E-05,683.3869019,0.00087255,768.4291992
0.000158343,674.4434814,1.94263E-05,399.4194946,6.02392E-05,691.303772,0.001351568,789.1401367
0.000168109,680.2730103,1.57653E-05,401.5574646,9.17697E-05,699.0341797,0.001845972,807.7093506
0.000261655,682.7267456,2.61192E-05,403.6716919,0.000125835,702.7942505,0.002292483,824.2671509
0.000266136,688.8422852,2.70595E-05,421.3031616,0.000145871,710.1710205,0.002753796,839.0747681
0.000344967,693.5140381,3.66034E-05,436.8754272,0.000198633,717.3522949,0.003317328,852.5270386
0.000403299,699.192627,3.48377E-05,454.0954285,0.000234921,720.8442383,0.003954573,864.9080811
0.000427269,706.4781494,6.43323E-05,465.9563599,0.000248817,727.6210327,0.004543385,876.2503052
0.000481575,712.062439,7.42152E-05,481.6846313,0.000274414,730.9321899,0.005069266,886.7460938
0.000519524,718.7154541,7.77503E-05,499.1242371,0.000317001,734.2098389,0.005656016,896.5152588
0.000593745,723.56427,9.42841E-05,514.3706665,0.000352016,737.428772,0.006357549,905.6643066
0.000614287,730.036438,0.000101076,530.7341919,0.000395213,743.6392822,0.00712762,914.244812
0.000701736,732.6377563,0.000127481,543.1838379,0.000444171,746.6676025,0.007864775,922.187439
0.0007195,738.7603149,0.000144243,558.288147,0.000506146,749.6367798,0.008565258,929.5236206
0.00079532,742.8381348,0.000175381,570.0602417,0.000549646,752.5450439,0.009317935,936.4014282
0.00086864,746.9403687,0.000190835,584.2738647,0.000598193,758.1255493,0.010133246,942.8580322
0.000936448,752.1182251,0.000221487,596.1452637,0.000641733,760.8567505,0.011009443,948.9214478
0.001026666,755.0773926,0.000241574,610.9400024,0.000701726,763.5199585,0.011862985,954.5496216
0.001053631,759.5891113,0.000275676,624.5309448,0.000749781,766.1540527,0.012711012,959.7783813
0.001144185,761.7561646,0.000321989,634.3302002,0.000786464,768.7123413,0.013579125,964.6969604
0.001223274,765.7055664,0.000343791,647.4276733,0.000836426,771.2041626,0.0145342,969.3840332
0.001303693,768.9119263,0.000377305,658.8129272,0.000883001,773.6536865,0.015502308,973.7930908
0.001385622,772.9631958,0.000407667,671.6288452,0.000924568,776.0444336,0.016454913,977.9316406
0.001461104,777.5233765,0.000455123,680.9241943,0.000963251,778.4022827,0.017364468,981.7687988
0.001544358,780.8098145,0.000503064,690.2471924,0.001013516,780.7421875,0.018311441,985.4449463
0.001626878,784.5023193,0.000571799,697.6327515,0.001081347,783.0179443,0.019299664,988.9636841
0.001710241,788.1430664,0.000620861,706.3464355,0.001142208,785.2477417,0.020294812,992.2935181
0.001805756,789.7488403,0.000684389,714.326355,0.001186506,787.4525146,0.021249836,995.4696045
0.001881911,793.8981323,0.000747506,720.951355,0.001226595,789.5986938,0.022179289,998.4361572
0.001963655,796.8204956,0.000812043,728.3364258,0.001277893,791.7450562,0.023156801,1001.311096
0.002051825,799.7614746,0.000882627,734.0825806,0.001346335,793.8927612,0.024179267,1004.129456
0.002139621,802.0602417,0.000947947,740.8931885,0.001413871,796.0046997,0.025208795,1006.829773
0.002220633,805.447937,0.001024296,745.6759644,0.001453761,798.0942993,0.026191952,1009.391296
0.002302754,808.6013794,0.001094691,752.0470581,0.001482209,800.1104126,0.027170634,1011.859741
0.002388552,811.4203491,0.001172356,756.4827271,0.001522377,802.1213379,0.028200196,1014.255493
0.002478411,813.8916626,0.001247575,761.0029297,0.001591366,804.1547241,0.029262034,1016.606506
0.002574265,815.5217285,0.001325881,765.9604492,0.001680581,806.1752319,0.030295109,1018.864075
0.002652687,819.0357056,0.001402292,770.9675293,0.001748637,808.1567993,0.03128263,1020.970154
0.002761382,821.1972046,0.001486999,773.8556519,0.001788247,810.0645752,0.03228223,1023.069397
0.002846529,824.0557861,0.001582791,778.1859741,0.00181898,811.9349365,0.033348478,1025.153564
0.002930816,826.8215332,0.001667334,783.2876587,0.001869913,813.8131104,0.034439191,1027.185303
0.003019022,829.152832,0.001751946,786.116333,0.001945119,815.677124,0.035473842,1029.102661
0.003120926,830.2683105,0.001830196,790.0606079,0.002009899,817.4981689,0.036480829,1030.928223
0.003217639,833.5380249,0.001917578,793.6939697,0.002060706,819.3270264,0.037523683,1032.750122
0.003305257,835.8264771,0.002004701,796.4284668,0.002126448,821.1274414,0.038632873,1034.590698
0.003396585,837.7710571,0.002095093,800.5818481,0.002202981,822.9486694,0.039733682,1036.382324
0.003485347,839.6836548,0.002178801,803.7199097,0.002273102,824.7150879,0.040791422,1038.098145
0.00357868,841.4467163,0.00227008,806.9425659,0.002313764,826.4151001,0.041852377,1039.741821
0.003670758,843.1598511,0.00235249,810.0424194,0.002354342,828.1387329,0.042979371,1041.410278
0.003776068,843.5886841,0.002439813,812.8708496,0.002429815,829.8526611,0.044124622,1043.084961
0.00385966,846.2689819,0.002528968,816.0317993,0.002512242,831.5371704,0.045244418,1044.674072
0.003951327,848.3800659,0.002628807,818.3848877,0.002571778,833.21698,0.046305232,1046.187256
0.004036746,850.7576294,0.002714192,821.5800781,0.00260215,834.8289185,0.047396503,1047.689819
0.004125276,852.8828125,0.002808331,823.8179932,0.00263868,836.4279175,0.048577368,1049.220337
