Tmp298.15K_StrRt0.0001_RD_E,Tmp298.15K_StrRt0.0001_RD_r,Tmp298.15K_StrRt0.0001_DD_E,Tmp298.15K_StrRt0.0001_DD_r,Tmp298.15K_StrRt0.0001_TD_E,Tmp298.15K_StrRt0.0001_TD_r,Tmp298.15K_StrRt0.001_RD_E,Tmp298.15K_StrRt0.001_RD_r,Tmp298.15K_StrRt0.001_DD_E,Tmp298.15K_StrRt0.001_DD_r,Tmp298.15K_StrRt0.001_TD_E,Tmp298.15K_StrRt0.001_TD_r,Tmp298.15K_StrRt0.01_RD_E,Tmp298.15K_StrRt0.01_RD_r,Tmp298.15K_StrRt0.01_DD_E,Tmp298.15K_StrRt0.01_DD_r,Tmp298.15K_StrRt0.01_TD_E,Tmp298.15K_StrRt0.01_TD_r,Tmp298.15K_StrRt0.1_RD_E,Tmp298.15K_StrRt0.1_RD_r,Tmp298.15K_StrRt0.1_DD_E,Tmp298.15K_StrRt0.1_DD_r,Tmp298.15K_StrRt0.1_TD_E,Tmp298.15K_StrRt0.1_TD_r
0.001,0.456533333,0.001,0.46285,0.001,0.551133333,0.01,0.6771,0.01,1.07835,0.01,0.8219,0.01,0.69035,0.01,1.066133333,0.01,1.174933333,0.01,0.61685,0.01,0.8261,0.01,0.7897
0.002,0.514066667,0.002,0.5879,0.002,0.603266667,0.011,0.6223,0.011,1.0802,0.011,0.815966667,0.011,0.699766667,0.011,1.1008,0.011,1.1447,0.011,0.726833333,0.011,1.175633333,0.011,0.865233333
0.003,0.545866667,0.003,0.6578,0.003,0.644366667,0.012,0.6466,0.012,1.0772,0.012,0.809933333,0.012,0.6864,0.012,1.120933333,0.012,1.107666667,0.012,0.737233333,0.012,1.150333333,0.012,0.862166667
0.004,0.574633333,0.004,0.696833333,0.004,0.678233333,0.013,0.669666667,0.013,1.07475,0.013,0.801166667,0.013,0.6802,0.013,1.1233,0.013,1.0771,0.013,0.7505,0.013,1.132633333,0.013,0.8595
0.005,0.596066667,0.005,0.732766667,0.005,0.7046,0.014,0.679133333,0.014,1.0719,0.014,0.787066667,0.014,0.675033333,0.014,1.1196,0.014,1.038533333,0.014,0.760466667,0.014,1.120733333,0.014,0.8569
0.006,0.610966667,0.006,0.7677,0.006,0.716,0.015,0.712333333,0.015,1.061825,0.015,0.779333333,0.015,0.670533333,0.015,1.101733333,0.015,1.0221,0.015,0.7653,0.015,1.111966667,0.015,0.854733333
0.007,0.629966667,0.007,0.794166667,0.007,0.7368,0.016,0.7376,0.016,1.0521,0.016,0.772266667,0.016,0.664266667,0.016,1.0811,0.016,1.013933333,0.016,0.768,0.016,1.1071,0.016,0.853033333
0.008,0.637166667,0.008,0.813733333,0.008,0.757066667,0.017,0.7366,0.017,1.041925,0.017,0.765366667,0.017,0.665166667,0.017,1.057133333,0.017,1.023033333,0.017,0.769433333,0.017,1.104033333,0.017,0.851433333
0.009,0.642033333,0.009,0.8302,0.009,0.757066667,0.018,0.742466667,0.018,1.029375,0.018,0.766966667,0.018,0.670133333,0.018,1.037966667,0.018,1.022266667,0.018,0.771233333,0.018,1.101933333,0.018,0.8502
0.01,0.6538,0.01,0.843466667,0.01,0.766166667,0.019,0.736033333,0.019,1.018275,0.019,0.7714,0.019,0.679,0.019,1.028866667,0.019,1.013366667,0.019,0.769866667,0.019,1.099466667,0.019,0.8491
