strain, RD, DD, TD, biaxial, r_RD, r_DD, r_TD
0,      562.7919913,      464.4210958,      412.5036741,      787.6767472,      0.423884849,      0.541846459,      0.486724755
0.00011,      619.2515043,      752.1456336,      729.0579139,      649.0335897,      0.426853766,      0.545506131,      0.490408919
0.0002,      641.0739744,      717.9601677,      698.0460334,      612.691743,      0.429261514,      0.54847944,      0.49339572
0.0003,      658.7823927,      708.5695582,      690.7918061,      602.7829441,      0.431914435,      0.55176114,      0.496685611
0.0004,      672.941543,      701.6147192,      685.6322039,      597.3627025,      0.434544025,      0.555019862,      0.499945478
0.0005,      684.8998592,      700.337871,      685.849431,      597.9577433,      0.437150489,      0.558255767,      0.503175594
0.0006,      695.3217839,      702.6078004,      689.4278347,      602.2538978,      0.439734031,      0.561469014,      0.506376231
0.0007,      704.5894999,      701.4942509,      689.5962844,      604.0514466,      0.442294852,      0.564659764,      0.509547658
0.0008,      712.946184,      706.4380227,      695.6474593,      611.3212074,      0.444833152,      0.567828172,      0.512690141
0.0009,      720.5580705,      707.4500141,      697.7678844,      615.3558574,      0.447349129,      0.570974396,      0.515803945
0.001,      727.5450715,      710.9814277,      702.3183305,      621.6789309,      0.44984298,      0.57409859,      0.518889332
0.002,      776.2370008,      750.9665982,      750.4076729,      689.507215,      0.473606496,      0.604162331,      0.548236132
0.003,      804.6611896,      780.5206635,      785.401722,      743.290096,      0.495360939,      0.632186171,      0.575012008
0.004,      823.6513182,      805.146405,      813.5347876,      786.6849965,      0.515276165,      0.65830852,      0.599442185
0.005,      837.5596291,      824.5600993,      835.0125439,      813.7880911,      0.53350767,      0.682658402,      0.621732158
0.01,      891.1623977,      896.821987,      917.8611596,      871.5940514,      0.603991148,      0.781755861,      0.707095658
0.011,      899.4681704,      905.4468688,      928.5066164,      881.3277244,      0.614722295,      0.797729523,      0.719954656
0.012,      907.1146601,      913.332442,      937.6941882,      890.3660544,      0.624546183,      0.81261933,      0.731687141
0.013,      914.1745173,      920.5514063,      945.6556169,      898.7721765,      0.633539516,      0.826498826,      0.742391803
