Strain,Stress,delT,Rate,I_Temp,Temp
0.0,276.5499752,0,0.0001,298.0,298.0
0.00011,464.79175748106434,0,0.0001,298.0,298.0
0.0002,578.9929227857886,0,0.0001,298.0,298.0
0.0003,628.6112194921564,0,0.0001,298.0,298.0
0.0004,653.1743003794115,0,0.0001,298.0,298.0
0.0005,669.6384337358439,0,0.0001,298.0,298.0
0.0006,682.8692873042116,0,0.0001,298.0,298.0
0.0007,694.373693451125,0,0.0001,298.0,298.0
0.0008,704.7000950845701,0,0.0001,298.0,298.0
0.0009,714.1053865956255,0,0.0001,298.0,298.0
0.001,722.7448869444363,0,0.0001,298.0,298.0
0.002,783.4464168476738,0,0.0001,298.0,298.0
0.003,820.3590849223658,0,0.0001,298.0,298.0
0.004,846.3932319776574,0,0.0001,298.0,298.0
0.005,866.2691935240255,0,0.0001,298.0,298.0
0.01,925.1066477101914,0,0.0001,298.0,298.0
0.011,932.778988571787,0,0.0001,298.0,298.0
0.012,939.6863306908916,0,0.0001,298.0,298.0
0.013,945.9574334933444,0,0.0001,298.0,298.0
0.014,951.6917962412458,0,0.0001,298.0,298.0
0.015,956.967804520141,0,0.0001,298.0,298.0
0.016,961.8482433200307,0,0.0001,298.0,298.0
0.017,966.3841323024504,0,0.0001,298.0,298.0
0.018,970.6174583996236,0,0.0001,298.0,298.0
0.019,974.5831639223428,0,0.0001,298.0,298.0
0.02,978.3106199662684,0,0.0001,298.0,298.0
0.021,981.8247364474214,0,0.0001,298.0,298.0
0.022,985.1468107676814,0,0.0001,298.0,298.0
0.023,988.2951853018524,0,0.0001,298.0,298.0
0.024,991.285762917135,0,0.0001,298.0,298.0
0.025,994.1324156126602,0,0.0001,298.0,298.0
0.026,996.8473116827232,0,0.0001,298.0,298.0
0.027,999.4411800548352,0,0.0001,298.0,298.0
0.028,1001.9235256725063,0,0.0001,298.0,298.0
0.029,1004.3028063593192,0,0.0001,298.0,298.0
0.03,1006.586579103186,0,0.0001,298.0,298.0
0.031,1008.78162186087,0,0.0001,298.0,298.0
0.032,1010.8940356139276,0,0.0001,298.0,298.0
0.033,1012.9293303775828,0,0.0001,298.0,298.0
0.034,1014.8924980821024,0,0.0001,298.0,298.0
0.035,1016.7880746470466,0,0.0001,298.0,298.0
0.036,1018.6201931057326,0,0.0001,298.0,298.0
0.037,1020.3926292766132,0,0.0001,298.0,298.0
0.038,1022.108841195263,0,0.0001,298.0,298.0
0.039,1023.7720032970616,0,0.0001,298.0,298.0
0.04,1025.3850361627835,0,0.0001,298.0,298.0
0.041,1026.9506324969375,0,0.0001,298.0,298.0
0.042,1028.471279894081,0,0.0001,298.0,298.0
0.043,1029.9492808555144,0,0.0001,298.0,298.0
0.044,1031.3867704432405,0,0.0001,298.0,298.0
0.045,1032.7857318962426,0,0.0001,298.0,298.0
0.046,1034.14801048337,0,0.0001,298.0,298.0
0.047,1035.4753258251312,0,0.0001,298.0,298.0
0.048,1036.769282881924,0,0.0001,298.0,298.0
