Strain,Stress
0.0,0.27766674653685186
0.00011,352.3212680942519
0.0002,439.8165973227118
0.0003,498.33512836292743
0.0004,538.9929430247008
0.0005,569.970294008169
0.0006,594.9217735081751
0.0007,615.7818094177062
0.0008,633.6920769046994
0.0009,649.3798719028698
0.001,663.3355888753507
0.002,753.9486095468808
0.003,806.4056081744102
0.004,843.2241906520296
0.005,871.239013018229
0.01,950.7943848910163
0.011,960.3477001864932
0.012,968.7048929598142
0.013,976.0787382864603
0.014,982.6365028757396
0.015,988.5113765277667
0.016,993.8105270064675
0.017,998.6209396683739
0.018,1003.0137494359296
0.019,1007.0475146918752
0.02,1010.7707293185312
0.021,1014.223774311936
0.022,1017.440449722734
0.023,1020.449187608551
0.024,1023.2740194835521
0.025,1025.9353528293286
0.026,1028.450597780636
0.027,1030.8346753549242
0.028,1033.1004314169159
0.029,1035.2589752056908
0.03,1037.3199571928444
0.031,1039.2917979352533
0.032,1041.1818771881615
0.033,1042.996690677383
0.034,1044.7419804654805
0.035,1046.422843691714
0.036,1048.0438235491981
0.037,1049.608985632272
0.038,1051.121982202372
0.039,1052.5861064508579
0.04,1054.0043384584471
0.041,1055.379384244571
0.042,1056.7137090515248
0.043,1058.009565806288
0.044,1059.2690195382613
0.045,1060.4939683966795
0.046,1061.6861618013806
0.047,1062.8472161703044
0.048,1063.978628592876
0.049,1065.0817887573128
0.05,1066.1579893894639
0.051,1067.2084354191174
0.052,1068.2342520551792
0.053,1069.2364919224942
0.054,1070.216141389276
0.055,1071.1741261942648
0.056,1072.1113164662065
0.057,1073.0285312143822
0.058,1073.926542357351
0.059,1074.8060783473093
0.06,1075.6678274392873
0.061,1076.512440647506
0.062,1077.3405344253583
0.063,1078.15269310055
0.064,1078.9494710927313
0.065,1079.7313949373693
0.066,1080.4989651365786
0.067,1081.2526578549998
0.068,1081.9929264765929
0.069,1082.7202030362862
0.07,1083.434899538765
0.071,1084.1374091752537
0.072,1084.828107447901
0.073,1085.5073532103072
0.074,1086.175489631793
0.075,1086.8328450921867
0.076,1087.4797340131952
0.077,1088.116457631793
0.078,1088.7433047205132
0.079,1089.3605522590328
0.08,1089.9684660610162
0.081,1090.5673013598039
0.082,1091.1573033561804
0.083,1091.7387077311746
0.084,1092.3117411265555
0.085,1092.876621595461
0.086,1093.4335590253759
0.087,1093.982755535483
0.088,1094.524405850238
0.089,1095.0586976508616
0.09,1095.5858119063016
0.091,1096.1059231850925
0.092,1096.6191999494206
0.093,1097.125804832601
0.094,1097.6258949010755
0.095,1098.119621901958
0.096,1098.6071324970715
0.097,1099.0885684843477
0.098,1099.5640670074017
0.099,1100.0337607540282
0.1,1100.4977781443097
0.11,1104.8512848747941
0.12,1108.7525848692228
0.13,1112.280866600038
0.14,1115.4966366795654
0.15,1118.4471078980825
0.16,1121.1697866352588
0.17,1123.6949339218452
0.18,1126.0472978494186
0.19,1128.2473607191878
0.2,1130.3122547242494
0.21,1132.2564461032712
0.22,1134.0922543320928
0.23,1135.830251677965
0.24,1137.4795745921097
0.25,1139.048169190674
0.26,1140.5429868078406
0.27,1141.9701412728855
0.28,1143.3350365196668
0.29,1144.6424709673402
0.3,1145.8967235431564
0.31,1147.101625070889
0.32,1148.260617899159
0.33,1149.3768060084915
0.34,1150.4529973557194
0.35,1151.491739848057
0.36,1152.4953520573165
0.37,1153.4659495660976
0.38,1154.4054676668463
0.39,1155.3156810001133
0.4,1156.1982206116354
0.41,1157.0545888227462
0.42,1157.886172240287
0.43,1158.6942531770158
0.44,1159.4800197087302
0.45,1160.2445745577693
0.46,1160.9889429625932
0.47,1161.714079668446
0.48,1162.4208751536714
0.49,1163.1101611892643
0.5,1163.7827158150683
0.51,1164.4392678041515
0.52,1165.0805006769037
0.53,1165.7070563179682
0.54,1166.3195382419867
0.55,1166.9185145480606
0.56,1167.504520597666
0.57,1168.0780614463415
0.58,1168.6396140556653
0.59,1169.1896293087889
0.6,1169.7285338499757
0.61,1170.2567317661621
0.62,1170.774606126455
0.63,1171.2825203936434
0.64,1171.7808197202119
0.65,1172.2698321399457
0.66,1172.7498696650057
0.67,1173.2212292972758
0.68,1173.6841939618528
0.69,1174.1390333697211
0.7,1174.586004815922
0.71,1175.0253539188889
0.72,1175.4573153060437
0.73,1175.8821132502517
0.74,1176.2999622612708
0.75,1176.711067635943
0.76,1177.1156259705115
0.77,1177.5138256381335
0.78,1177.9058472343675
0.79,1178.2918639931665
0.8,1178.6720421756747
0.81,1179.04654143392
0.82,1179.4155151513128
0.83,1179.7791107616924
0.84,1180.1374700485123
0.85,1180.4907294256218
0.86,1180.8390202009791
0.87,1181.1824688245144
0.88,1181.5211971212707
0.89,1181.855322510849
0.9,1182.1849582141099
0.91,1182.5102134480012
0.92,1182.831193609316
0.93,1183.1480004481264
0.94,1183.460732231572
0.95,1183.7694838986397
0.96,1184.074347206518
0.97,1184.375410869066
0.98,1184.6727606879008
0.99,1184.9664796765649
1.0,1185.256648178206
1.01,1185.5433439771714
1.02,1185.8266424048834
1.03,1186.1066164403464
1.04,1186.3833368056062
1.05,1186.6568720564567
1.06,1186.927288668681
1.07,1187.1946511200795
1.08,1187.459021968531
1.09,1187.720461926314
1.1,1187.9790299308997
