Strain,Stress
0.0,411.3563602
0.00011,506.60986026460955
0.0002,566.6093598076408
0.0003,609.2183974214123
0.0004,640.8844530130244
0.0005,666.4418585984105
0.0006,688.0185416747453
0.0007,706.7470882577477
0.0008,723.3073772071909
0.0009,738.1433878086488
0.001,751.5637833180621
0.002,839.8579004638563
0.003,886.272199223012
0.004,914.3137388256774
0.005,933.0155113795039
0.01,979.313188243533
0.011,984.9547610085565
0.012,990.0375552373185
0.013,994.6657249258124
0.014,998.9150152005245
0.015,1002.8426862391364
0.016,1006.4933943260736
0.017,1009.9028355981532
0.018,1013.10010616338
0.019,1016.109296193779
0.02,1018.9506077822546
0.021,1021.6411645306481
0.022,1024.195613909822
0.023,1026.626585524157
0.024,1028.9450462094892
0.025,1031.160579423074
0.026,1033.2816079182335
0.027,1035.315573192659
0.028,1037.2690815084666
0.029,1039.1480237376204
0.03,1040.9576744896272
0.031,1042.702774683497
0.032,1044.3876007761933
0.033,1046.0160231527905
0.034,1047.5915556503523
0.035,1049.1173977809422
0.036,1050.5964709059326
0.037,1052.0314493703504
0.038,1053.4247874152181
0.039,1054.778742535239
0.04,1056.0953958294451
0.041,1057.3766697965993
0.042,1058.6243439500204
0.043,1059.840068564026
0.044,1061.0253768133548
0.045,1062.1816955253057
0.046,1063.3103547301303
0.047,1064.4125961669317
0.048,1065.4895808788856
0.049,1066.5423960120352
0.05,1067.5720609155694
0.051,1068.5795326277612
0.052,1069.5657108201456
0.053,1070.531442262743
0.054,1071.477524864803
0.055,1072.4047113384663
0.056,1073.3137125266899
0.057,1074.2052004315988
0.058,1075.0798109749715
0.059,1075.938146518719
0.06,1076.780778169913
0.061,1077.6082478920282
0.062,1078.4210704415814
0.063,1079.2197351471627
0.064,1080.0047075459704
0.065,1080.7764308912892
0.066,1081.535327542906
0.067,1082.2818002511767
0.068,1083.0162333443304
0.069,1083.7389938276117
0.07,1084.4504324019786
0.071,1085.150884409301
0.072,1085.8406707103168
0.073,1086.5200985009906
0.074,1087.1894620723756
0.075,1087.8490435185922
0.076,1088.4991133971084
0.077,1089.139931345117
0.078,1089.771746655454
0.079,1090.394798815199
0.08,1091.0093180098124
0.081,1091.6155255954168
0.082,1092.2136345415981
0.083,1092.8038498469073
0.084,1093.386368929046
0.085,1093.961381991564
0.086,1094.5290723687394
0.087,1095.0896168501768
0.088,1095.6431859865327
0.089,1096.1899443776697
0.09,1096.7300509444306
0.091,1097.263659185136
0.092,1097.7909174178228
0.093,1098.3119690091585
0.094,1098.8269525909025
0.095,1099.336002264713
0.096,1099.8392477960451
0.097,1100.336814797828
0.098,1100.8288249045554
0.099,1101.315395937388
0.1,1101.7966420608127
0.11,1106.3390117462577
0.12,1110.4522189029353
0.13,1114.2078591661102
0.14,1117.6611666828048
0.15,1120.8556241813167
0.16,1123.8260601852287
0.17,1126.6007915559671
0.18,1129.2031434219498
0.19,1131.6525513251954
0.2,1133.965375970219
0.21,1136.1555158877136
0.22,1138.2348752080243
0.23,1140.2137257278757
0.24,1142.1009906400216
0.25,1143.9044693806497
0.26,1145.631017644176
0.27,1147.286692858968
0.28,1148.8768727657548
0.29,1150.4063528409158
0.3,1151.8794269278796
0.31,1153.2999544264035
0.32,1154.6714166361523
0.33,1155.996964285032
0.34,1157.2794578433554
0.35,1158.5215018961485
0.36,1159.725474592006
0.37,1160.8935529892465
0.38,1162.0277349650553
0.39,1163.129858230819
0.4,1164.2016168994285
0.41,1165.244575972342
0.42,1166.260184051429
0.43,1167.2497845297535
0.44,1168.2146254740735
0.45,1169.1558683779563
0.46,1170.0745959365454
0.47,1170.9718189710156
0.48,1171.8484826116457
0.49,1172.705471832529
0.5,1173.5436164176294
0.51,1174.3636954267095
0.52,1175.1664412202203
0.53,1175.952543094285
0.54,1176.7226505701162
0.55,1177.4773763764651
0.56,1178.21729915875
0.57,1178.942965944314
0.58,1179.6548943896157
0.59,1180.3535748320405
0.6,1181.0394721663179
0.61,1181.7130275631869
