Strain,Stress
0.0,832.5547373209959
0.00011,835.7463067832023
0.0002,838.2871509640071
0.0003,841.0400966193232
0.0004,843.7229952109999
0.0005,846.3395296302774
0.0006,848.8930946039644
0.0007,851.3868262486061
0.0008,853.8236279117893
0.0009,856.206192848393
0.001,858.5370241873551
0.002,879.4448290784892
0.003,897.0101588222184
0.004,912.1976069768592
0.005,925.6018455942997
0.01,976.2828948736636
0.011,984.2885010927623
0.012,991.8062087966696
0.013,998.8951819889785
0.014,1005.6042700481718
0.015,1011.9742914030313
0.016,1018.0397156547749
0.017,1023.8299253021579
0.018,1029.370177498342
0.019,1034.682347775799
0.02,1032.094710293308
0.021,1033.9722236315592
0.022,1035.7655591702983
0.023,1037.4820700014222
0.024,1039.1281808275642
0.025,1040.70953835607
0.026,1042.231132376356
0.027,1043.6973941282342
0.028,1045.1122768929097
0.029,1046.4793225315516
0.03,1047.8017168158033
0.031,1049.0823357443337
0.032,1050.323784553873
0.033,1051.5284307666855
0.034,1052.6984323371669
0.035,1053.8357617455308
0.036,1054.942226720047
0.037,1056.019488139148
0.038,1057.0690755622647
0.039,1058.0924007569788
0.04,1059.0907695252326
0.041,1060.0653920792363
0.042,1061.0173921756261
0.043,1061.9478151822295
0.044,1062.857635223864
0.045,1063.7477615306632
0.046,1064.6190440935177
0.047,1065.4722787155386
0.048,1066.3082115354157
0.049,1067.1275430876387
0.05,1067.9309319554086
0.051,1068.7189980643582
0.052,1069.4923256586976
0.053,1070.2514659958742
0.054,1070.9969397911357
0.055,1071.7292394393776
0.056,1072.4488310382117
0.057,1073.1561562332488
0.058,1073.8516339040395
0.059,1074.5356617069224
0.06,1075.2086174891272
0.061,1075.8708605868294
0.062,1076.5227330184089
0.063,1077.1645605829203
0.064,1077.7966538726757
0.065,1078.4193092078865
0.066,1079.032809500458
0.067,1079.6374250532995
0.068,1080.2334143008397
0.069,1080.821024495876
0.07,1081.400492347355
0.071,1081.9720446132471
0.072,1082.5358986522474
0.073,1083.0922629377048
0.074,1083.6413375368352
0.075,1084.1833145580006
0.076,1084.7183785685797
0.077,1085.2467069857212
0.078,1085.7684704420633
0.079,1086.28383312833
0.08,1086.79295311453
0.081,1087.2959826513506
0.082,1087.7930684531923
0.083,1088.2843519641706
0.084,1088.769969608307
0.085,1089.25005302502
0.086,1089.7247292909408
0.087,1090.1941211290052
0.088,1090.6583471056763
0.089,1091.1175218171097
0.09,1091.5717560649905
0.091,1092.0211570227257
0.092,1092.4658283926215
0.093,1092.905870554623
0.094,1093.3413807071613
0.095,1093.7724530005964
0.096,1094.19917866373
0.097,1094.6216461238046
0.098,1095.0399411203978
0.099,1095.4541468135749
0.1,1095.8643438866445
0.11,1099.7620020724394
0.12,1103.3323887234196
0.13,1106.6270611301434
0.14,1109.68622179998
0.15,1112.5418330991472
0.16,1115.2197308535424
0.17,1117.7411000738743
0.18,1120.123530905743
0.19,1122.3817905284095
0.2,1124.5283981082875
0.21,1126.574060241456
0.22,1128.5280056696581
0.23,1130.3982460226105
0.24,1132.1917813948671
0.25,1133.9147642089752
0.26,1135.572631136437
0.27,1137.1702102758343
0.28,1138.7118089615008
0.29,1140.20128626124
0.3,1141.6421132621986
0.31,1143.0374235354952
0.32,1144.3900556410586
0.33,1145.7025891348078
0.34,1146.9773752360402
0.35,1148.216563078933
0.36,1149.4221222906467
0.37,1150.5958624967382
0.38,1151.7394502429213
0.39,1152.8544237337057
0.4,1153.9422057177514
0.41,1155.0041147930363
0.42,1156.041375359063
0.43,1157.0551264060784
0.44,1158.046429300844
0.45,1159.016274703515
0.46,1159.9655887295776
0.47,1160.8952384537188
0.48,1161.8060368382926
0.49,1162.6987471571733
0.5,1163.574086975817
0.51,1164.4327317399673
0.52,1165.2753180183413
0.53,1166.1024464386214
0.54,1166.9146843509532
0.55,1167.7125682487774
0.56,1168.496605973086
0.57,1169.2672787229642
0.58,1170.025042892526
0.59,1170.7703317519356
0.6,1171.5035569881597
0.61,1172.2251101192728
0.62,1172.935363794584
0.63,1173.6346729914858
0.64,1174.323376118723
0.65,1175.001796034739
0.66,1175.6702409888348
0.67,1176.3290054920603
0.68,1176.9783711240534
0.69,1177.6186072814
0.7,1178.2499718725376
0.71,1178.8727119637215
0.72,1179.4870643801423
0.73,1180.0932562658777
0.74,1180.6915056060243
0.75,1181.2820217140368
0.76,1181.8650056870204
0.77,1182.4406508314803
0.78,1183.009143061796
0.79,1183.5706612734994
0.8,1184.1253776932392
0.81,1184.6734582071695
0.82,1185.21506266933
0.83,1185.7503451914743
0.84,1186.2794544156643
0.85,1186.8025337708534
0.86,1187.319721714569
0.87,1187.8311519607269
0.88,1188.336953694521
0.89,1188.8372517752593
0.9,1189.3321669279494
0.91,1189.821815924374
0.92,1190.3063117543463
0.93,1190.78576378777
0.94,1191.2602779280994
0.95,1191.729956757737
0.96,1192.1948996758715
0.97,1192.6552030292291
0.98,1193.1109602361644
0.99,1193.5622619045
1.0,1194.0091959434862
1.01,1194.4518476702312
1.02,1194.8902999109257
1.03,1195.3246330971656
1.04,1195.7549253576553
1.05,1196.181252605555
1.06,1196.6036886217182
1.07,1197.0223051340488
1.08,1197.4371718931948
1.09,1197.848356744779
1.1,1198.2559256983552
1.11,1198.6599429932658
1.12,1199.0604711615701
1.13,1199.4575710881925
1.14,1199.851302068444
1.15,1200.2417218630462
1.16,1200.6288867507951
1.17,1201.0128515789754
1.18,1201.3936698116504
1.19,1201.7713935759268
1.2,1202.1460737062962
1.21,1202.517759787154
1.22,1202.8865001935774
1.23,1203.2523421304527
1.24,1203.6153316700313
1.25,1203.975513787986
1.26,1204.3329323980422
1.27,1204.6876303852516
1.28,1205.0396496379676
1.29,1205.3890310785885
1.3,1205.7358146931208
1.31,1206.0800395596184
1.32,1206.4217438755477
1.33,1206.7609649841293
1.34,1207.0977393996977
1.35,1207.432102832128
1.36,1207.7640902103662
1.37,1208.0937357051027
1.38,1208.4210727506309
1.39,1208.7461340659174
1.4,1209.0689516749292
1.41,1209.389556926234
1.42,1209.7079805119229
1.43,1210.0242524858654
