Strain,Stress
0.00011,554.467
0.0002,587.2956
0.0003,609.3986
0.0004,627.298
0.0005,640.2747
0.0006,650.35956
0.0007,658.9816
0.0008,666.8002
0.0009,672.68494
0.001,678.1966
0.002,719.57556
0.003,746.43365
0.004,766.1715
0.005,782.4672
0.01,831.5261
0.011,838.4342
0.012,844.7346
0.013,850.5277
0.014,855.932
0.015,861.0298
0.016,865.3556
0.017,869.16144
0.018,872.7466
0.019,876.16254
0.02,879.4152
0.021,882.432
0.022,885.29846
0.023,888.03564
0.024,890.6547
0.025,893.1654
0.026,895.5762
0.027,897.89465
0.028,900.1277
0.029,902.28577
0.03,904.3721
0.031,906.3887
0.032,908.3372
0.033,910.225
0.034,912.05566
0.035,913.8324
0.036,915.5585
0.037,917.1615
0.038,918.77686
0.039,920.3744
0.04,921.9309
0.041,923.4485
0.042,924.92883
0.043,926.3407
0.044,927.6957
0.045,929.01465
0.046,930.3042
0.047,931.5655
0.048,932.7999
0.049,934.00854
0.05,935.1923
0.051,936.3524
0.052,937.48956
0.053,938.60474
0.054,939.6988
0.055,940.77246
0.056,941.8265
0.057,942.8616
0.058,943.885
0.059,944.8955
0.06,945.8888
0.061,946.86536
0.062,947.8258
0.063,948.7706
0.064,949.7004
0.065,950.61554
0.066,951.5165
0.067,952.4037
0.068,953.27747
0.069,954.1384
0.07,954.9868
0.071,955.8229
0.072,956.6471
0.073,957.45984
0.074,958.26526
0.075,959.0621
0.076,959.848
0.077,960.6238
0.078,961.3893
0.079,962.1482
0.08,962.904
0.081,963.65027
0.082,964.3872
0.083,965.1152
0.084,965.8342
0.085,966.5446
0.086,967.2466
0.087,967.9403
0.088,968.626
0.089,969.30383
0.09,969.97394
0.091,970.6366
0.092,971.2919
0.093,971.9399
0.094,972.58093
0.095,973.2151
0.096,973.8425
0.097,974.46326
0.098,975.07764
0.099,975.6856
0.1,976.2874
0.11,981.98987
0.12,987.177
0.13,991.884
0.14,996.23694
0.15,1000.28503
0.16,1004.06506
0.17,1007.5955
0.18,1010.92114
0.19,1014.06433
0.2,1017.0444
0.21,1019.8761
0.22,1022.53204
0.23,1024.9967
0.24,1027.3549
0.25,1029.6152
0.26,1031.7858
0.27,1033.873
0.28,1035.8833
0.29,1037.822
0.3,1039.6938
0.31,1041.5035
0.32,1043.2549
0.33,1044.9514
0.34,1046.5966
0.35,1048.1934
0.36,1049.7444
0.37,1051.2524
0.38,1052.7195
0.39,1054.148
0.4,1055.5398
0.41,1056.8966
0.42,1058.2202
0.43,1059.5122
0.44,1060.7742
0.45,1062.0073
0.46,1063.2129
0.47,1064.3921
0.48,1065.5461
0.49,1066.676
0.5,1067.783
0.51,1068.8673
0.52,1069.9304
0.53,1070.9741
0.54,1072.0007
0.55,1073.0083
0.56,1073.9973
0.57,1074.9688
0.58,1075.9229
0.59,1076.8605
0.6,1077.782
0.61,1078.6882
0.62,1079.5795
0.63,1080.456
0.64,1081.3188
0.65,1082.168
0.66,1083.0039
0.67,1083.8271
0.68,1084.638
0.69,1085.4368
0.7,1086.2239
0.71,1086.9998
0.72,1087.7644
0.73,1088.5186
0.74,1089.2622
0.75,1089.9956
0.76,1090.7194
0.77,1091.4333
0.78,1092.138
0.79,1092.8336
0.8,1093.5203
0.81,1094.1982
0.82,1094.8679
0.83,1095.5293
0.84,1096.1826
0.85,1096.8281
0.86,1097.4658
0.87,1098.0962
0.88,1098.7191
0.89,1099.335
0.9,1099.9438
0.91,1100.5459
0.92,1101.1411
0.93,1101.7301
0.94,1102.3125
0.95,1102.8887
0.96,1103.4587
0.97,1104.0227
0.98,1104.5809
0.99,1105.1333
1.0,1105.68
1.01,1106.2213
1.02,1106.7571
1.03,1107.2877
1.04,1107.813
1.05,1108.3333
1.06,1108.8485
1.07,1109.3588
1.08,1109.8643
1.09,1110.365
1.1,1110.8611
1.11,1111.3527
1.12,1111.8397
1.13,1112.3224
1.14,1112.8008
1.15,1113.2749
1.16,1113.7449
1.17,1114.2107
1.18,1114.6726
1.19,1115.1304
1.2,1115.5845
1.21,1116.0345
1.22,1116.481
1.23,1116.9236
1.24,1117.3628
1.25,1117.7982
1.26,1118.2302
1.27,1118.6587
1.28,1119.0837
1.29,1119.5055
1.3,1119.9238
1.31,1120.3391
1.32,1120.751
1.33,1121.1597
1.34,1121.5654
1.35,1121.968
1.36,1122.3677
1.37,1122.7644
1.38,1123.158
1.39,1123.5488
1.4,1123.9368
1.41,1124.322
1.42,1124.7045
1.43,1125.084
1.44,1125.461
1.45,1125.8354
1.46,1126.2073
1.47,1126.5764
1.48,1126.9429
1.49,1127.307
1.5,1127.6687
1.51,1128.0278
1.52,1128.3846
1.53,1128.739
1.54,1129.0911
1.55,1129.4409
1.56,1129.7883
1.57,1130.1335
1.58,1130.4766
1.59,1130.8174
1.6,1131.156
1.61,1131.4924
1.62,1131.8269
1.63,1132.1592
1.64,1132.4894
1.65,1132.8176
1.66,1133.1436
1.67,1133.4679
1.68,1133.79
1.69,1134.1104
1.7,1134.4287
1.71,1134.7451
1.72,1135.0586
1.73,1135.3678
1.74,1135.6746
1.75,1135.9781
1.76,1136.28
1.77,1136.5801
1.78,1136.8784
1.79,1137.175
1.8,1137.4702
1.81,1137.7635
1.82,1138.0552
1.83,1138.3429
1.84,1138.6284
1.85,1138.9124
1.86,1139.1948
1.87,1139.4756
1.88,1139.755
1.89,1140.0322
1.9,1140.3077
1.91,1140.5818
1.92,1140.8545
1.93,1141.1256
1.94,1141.3954
1.95,1141.6637
1.96,1141.9307
1.97,1142.1962
1.98,1142.4603
1.99,1142.7231
2.0,1142.9844
2.01,1143.244
2.02,1143.5022
2.03,1143.7593
2.04,1144.0149
2.05,1144.2694
