PEEQ,Stress
,
0.00011,528.5607702
0.0002,492.4018444
0.0003,452.0638091
0.0004,438.4825774
0.0005,440.3268572
0.0006,449.1583018
0.0007,460.8319091
0.0008,473.5161115
0.0009,486.4448656
0.001,499.314319
0.002,617.1643008
0.003,713.0478362
0.004,779.2060694
0.005,809.5826048
0.01,656.8733433
0.011,636.536181
0.012,628.6245807
0.013,629.977017
0.014,636.7727262
0.015,645.7770886
0.016,654.8178786
0.017,662.7267373
0.018,669.0523696
0.019,673.7608243
0.02,677.0156335
0.021,679.0475663
0.022,680.0899088
0.023,680.3520107
0.024,680.0118483
0.025,679.2167885
0.026,678.0873052
0.027,676.721357
0.028,675.1985014
0.029,673.5834229
0.03,671.9288067
0.031,670.277608
0.032,668.6648012
0.033,667.1187268
0.034,665.6621147
0.035,664.3128872
0.036,663.0847968
0.037,661.987953
0.038,661.0292767
0.039,660.212897
0.04,659.5405182
0.041,659.0117577
0.042,658.6244568
0.043,658.3749741
0.044,658.2584542
0.045,658.269075
0.046,658.4002745
0.047,658.6449497
0.048,658.9956351
0.049,659.4446568
0.05,659.9842647
0.051,660.606744
0.052,661.3045055
0.053,662.0701611
0.054,662.8965776
0.055,663.7769225
0.056,664.7046927
0.057,665.6737345
0.058,666.6782542
0.059,667.7128212
0.06,668.7723663
0.061,669.8521737
0.062,670.9478695
0.063,672.0554084
0.064,673.1710591
0.065,674.2913875
0.066,675.4132409
0.067,676.5337267
0.068,677.6502019
0.069,678.7602508
0.07,679.8616736
0.071,680.952469
0.072,682.0308227
0.073,683.0950909
0.074,684.1437921
0.075,685.1755924
0.076,686.1892975
0.077,687.1838429
0.078,688.1582845
0.079,689.1117918
0.08,690.0436381
0.081,690.953196
0.082,691.8399315
0.083,692.7033964
0.084,693.5432229
0.085,694.3591204
0.086,695.1508702
0.087,695.9183197
0.088,696.66138
0.089,697.3800206
0.09,698.074267
0.091,698.7441966
0.092,699.3899348
0.093,700.0116524
0.094,700.6095638
0.095,701.1839207
0.096,701.7350123
0.097,702.263163
0.098,702.768726
0.099,703.2520848
0.1,703.7136499
0.11,707.2355197
0.12,709.1501259
0.13,710.0298418
0.14,710.4035497
0.15,710.7002509
0.16,711.2276507
0.17,712.1745464
0.18,713.6275452
0.19,715.5943356
0.2,718.0278942
0.21,720.8482044
0.22,723.9598995
0.23,727.2654351
0.24,730.6740855
0.25,734.1073703
0.26,737.5016293
0.27,740.8084691
0.28,743.9937479
0.29,747.0356906
0.3,749.9226151
0.31,752.6506196
