Strain,Stress
0.0,1067.4538450093387
0.00011,1083.997263440276
0.0002,1094.1693741576644
0.0003,1103.7197879056785
0.0004,1112.096404039244
0.0005,1119.6499347254564
0.0006,1126.5822414871318
0.0007,1133.0216898851154
0.0008,1139.0557897527563
0.0009,1144.747359990457
0.001,1150.143336047641
0.002,1193.253688547015
0.003,1224.4033452968447
0.004,1248.4788707510932
0.005,1267.7577008811122
0.01,1326.855454124062
0.011,1334.6762940634028
0.012,1341.7707935730393
0.013,1348.2775775836853
0.014,1354.3027599056377
0.015,1359.928268383263
0.016,1365.2179044294069
0.017,1370.2217936840207
0.018,1374.9796787632345
0.019,1379.5233702328878
0.02,1383.8785808310618
0.021,1388.0663049615127
0.022,1392.1038611498561
0.023,1396.0056835487394
0.024,1399.7839258150245
0.025,1403.4489241568426
0.026,1407.0095542758677
0.027,1410.4735080650269
0.028,1413.8475093840568
0.029,1417.1374833960374
0.03,1420.3486903544376
0.031,1423.4858320537169
0.032,1426.5531371576708
0.033,1429.5544301229181
0.034,1432.4931873112362
0.035,1435.3725830385983
0.036,1438.1955276703807
0.037,1440.9646993890367
0.038,1443.6825708937595
0.039,1446.3514320123732
0.04,1448.9734089923177
0.041,1451.5504810739776
0.042,1454.084494823673
0.043,1456.577176606301
0.044,1459.0301435020413
0.045,1461.4449129126144
0.046,1463.822911056367
0.047,1466.1654805150476
0.048,1468.4738869662879
0.049,1470.7493252127913
0.05,1472.9929246008035
0.051,1475.2057539055447
0.052,1477.3888257492113
0.053,1479.5431006072827
0.054,1481.6694904507576
0.055,1483.7688620652184
0.056,1485.8420400820582
0.057,1487.8898097524957
0.058,1489.9129194910915
0.059,1491.9120832121198
0.06,1493.8879824793216
0.061,1495.8412684871273
0.062,1497.7725638893464
0.063,1499.6824644895296
0.064,1501.5715408056149
0.065,1503.4403395201427
0.066,1505.2893848261047
0.067,1507.1191796774635
0.068,1508.9302069524592
0.069,1510.7229305370015
0.07,1512.4977963347442
0.071,1514.2552332097914
0.072,1515.995653867421
0.073,1517.7194556777222
0.074,1519.4270214465705
0.075,1521.118720137988
0.076,1522.7949075515535
0.077,1524.4559269582232
0.078,1526.1021096976149
0.079,1527.7337757395626
0.08,1529.3512342124945
0.081,1530.954783900994
0.082,1532.5447137146875
0.083,1534.12130313045
0.084,1535.6848226097416
0.085,1537.2355339927542
0.086,1538.773690870917
0.087,1540.2995389391792
0.088,1541.8133163293915
0.089,1543.3152539260027
0.09,1544.8055756651952
0.091,1546.2844988185018
0.092,1547.752234261871
0.093,1549.2089867310767
0.094,1550.6549550643017
0.095,1552.0903324326737
0.096,1553.515306559464
0.097,1554.9300599286269
0.098,1556.3347699832948
0.099,1557.7296093148148
0.1,1559.1147458428663
0.11,1572.466380355857
0.12,1585.0034797610874
0.13,1596.8377990900372
0.14,1608.0585135637516
0.15,1618.738041854908
0.16,1628.93608455288
0.17,1638.7025010147777
0.18,1648.079406664192
0.19,1657.1027330851434
0.2,1665.8034092440143
0.21,1674.2082699947382
0.22,1682.3407646861733
0.23,1690.2215168504754
0.24,1697.8687713188915
0.25,1705.2987551088072
0.26,1712.5259714629383
0.27,1719.5634414939268
0.28,1726.4229043475634
0.29,1733.1149842193786
0.3,1739.6493306573348
0.31,1746.034737163856
0.32,1752.279242039517
0.33,1758.390214594652
0.34,1764.3744292274405
0.35,1770.2381293799788
0.36,1775.9870830028547
0.37,1781.6266308584143
0.38,1787.1617287544734
0.39,1792.5969846096298
0.4,1797.936691098023
0.41,1803.18485449731
0.42,1808.3452202626377
0.43,1813.4212957667646
0.44,1818.4163705785097
0.45,1823.3335345955334
0.46,1828.175694300818
0.47,1832.945587373306
0.48,1837.6457958505807
0.49,1842.2787580140782
0.5,1846.8467791441935
0.51,1851.3520412730602
0.52,1855.7966120461183
0.53,1860.1824527893878
0.54,1864.511425867198
0.55,1868.7853014046964
0.56,1873.0057634404573
0.57,1877.174415566775
0.58,1881.2927861084816
0.59,1885.3623328853164
0.6,1889.3844475977867
0.61,1893.3604598720362
0.62,1897.2916409953557
0.63,1901.1792073705826
0.64,1905.0243237146483
0.65,1908.8281060239037
0.66,1912.5916243265387
0.67,1916.3159052403626
0.68,1920.00193435239
0.69,1923.6506584350814
0.7,1927.2629875126365
0.71,1930.8397967894787
0.72,1934.3819284519222
0.73,1937.8901933529996
0.74,1941.365372589518
0.75,1944.8082189795928
0.76,1948.219458448176
0.77,1951.5997913274455
0.78,1954.9498935783088
0.79,1958.270417938762
0.8,1961.5619950043479
0.81,1964.825234245521
0.82,1968.0607249663371
0.83,1971.2690372085212
0.84,1974.4507226046449
0.85,1977.6063151838466
0.86,1980.7363321332605
0.87,1983.841274518071
0.88,1986.9216279628956
0.89,1989.9778632969765
0.9,1993.010437165498
0.91,1996.0197926091564
0.92,1999.006359613962
0.93,2001.9705556331105
0.94,2004.912786082623
0.95,2007.8334448123405
0.96,2010.7329145537421
0.97,2013.6115673459558
0.98,2016.4697649412387
0.99,2019.307859191113
1.0,2022.1261924142677
1.01,2024.925097747258
1.02,2027.7048994789707
1.03,2030.4659133697587
1.04,2033.2084469560843
1.05,2035.9327998414694
1.06,2038.639263974485
1.07,2041.328123914478
1.08,2043.999657085685
1.09,2046.6541340203407
1.1,2049.2918185913572
1.11,2051.9129682351113
1.12,2054.51783416484
1.13,2057.1066615751306
1.14,2059.6796898379425
1.15,2062.2371526905877
1.16,2064.7792784160642
1.17,2067.306290016121
1.18,2069.8184053773984
1.19,2072.3158374309883
1.2,2074.798794305715
1.21,2077.2674794754466
1.22,2079.722091900709
1.23,2082.1628261648666
1.24,2084.5898726051273
1.25,2087.0034174386037
1.26,2089.4036428836525
1.27,2091.7907272767143
