Strain,Stress
0.0,635.2037835667368
0.00011,832.8728566702091
0.0002,853.7387270417549
0.0003,868.1934235522588
0.0004,878.5993953505932
0.0005,886.75756507487
0.0006,893.4799190351021
0.0007,899.2035904572059
0.0008,904.1914542053444
0.0009,908.6141339063435
0.001,912.5887622505472
0.002,939.1755192772
0.003,955.0862003309885
0.004,966.5384319896061
0.005,975.5160496380602
0.01,1003.9387389575074
0.011,1007.9112184578015
0.012,1011.5515366545144
0.013,1014.9119179594121
0.014,1018.0330995959025
0.015,1020.9474796784789
0.016,1023.6812542219318
0.017,1026.2559096734396
0.018,1028.6892911969321
0.019,1030.9963837987177
0.02,1033.189894300849
0.021,1035.2806922052064
0.022,1037.2781486533192
0.023,1039.1904005310157
0.024,1041.0245587385657
0.025,1042.7868742327773
0.026,1044.4828717268906
0.027,1046.1174583332215
0.028,1047.6950125868086
0.029,1049.2194579582463
0.03,1050.6943239932887
0.031,1052.122797499868
0.032,1053.507765667678
0.033,1054.8518526012765
0.034,1056.1574504396488
0.035,1057.426745998293
0.036,1058.6617436861895
0.037,1059.864285306419
0.038,1061.0360672361035
0.039,1062.1786553916659
0.04,1063.2934983138061
0.041,1064.3819386490818
0.042,1065.4452232585077
0.043,1066.4845121458368
0.044,1067.5008863673254
0.045,1068.4953550594767
0.046,1069.4688617003528
0.047,1070.4222897027444
0.048,1071.3564674230697
0.049,1072.2721726578343
0.05,1073.1701366893801
0.051,1074.0510479341385
0.052,1074.9155552394056
0.053,1075.7642708685585
0.054,1076.5977732094323
0.055,1077.4166092361422
0.056,1078.2212967508394
0.057,1079.012326428618
0.058,1079.7901636859888
0.059,1080.555250390894
0.06,1081.3080064301437
0.061,1082.048831148326
0.062,1082.7781046706418
0.063,1083.4961891207454
0.064,1084.2034297434386
0.065,1084.9001559410224
0.066,1085.586682231153
0.067,1086.2633091332498
0.068,1086.9303239897563
0.069,1087.5880017279292
0.07,1088.236605567254
0.071,1088.8763876770854
0.072,1089.5075897886613
0.073,1090.1304437652432
0.074,1090.7451721337782
0.075,1091.351988581162
0.076,1091.9510984178962
0.077,1092.5426990116825
0.078,1093.1269801932638
0.079,1093.704124636623
0.08,1094.2743082154575
0.081,1094.83770033769
0.082,1095.3944642596196
0.083,1095.9447573811863
0.084,1096.4887315236945
0.085,1097.0265331912349
0.086,1097.5583038169395
0.087,1098.084179995118
0.088,1098.604293700232
0.089,1099.1187724936005
0.09,1099.6277397186464
0.091,1100.1313146854432
0.092,1100.6296128452593
0.093,1101.1227459557415
0.094,1101.6108222373364
0.095,1102.093946521501
0.096,1102.5722203912187
0.097,1103.045742314288
0.098,1103.5146077698353
0.099,1103.978909368456
0.1,1104.4387369663657
0.11,1108.808944220816
0.12,1112.8137293455177
0.13,1116.5105468833456
0.14,1119.9442136434775
0.15,1123.1503721238107
0.16,1126.1578415739298
0.17,1128.9902600206292
0.18,1131.6672595488133
0.19,1134.2053256601343
0.2,1136.6184375318205
0.21,1138.9185530328336
0.22,1141.1159816294078
0.23,1143.2196749383932
0.24,1145.2374558541824
0.25,1147.1762012184765
0.26,1149.0419889088591
0.27,1150.8402173607428
0.28,1152.5757035055894
0.29,1154.252763645024
0.3,1155.875280712646
0.31,1157.4467605866025
0.32,1158.9703795268636
0.33,1160.449024366459
0.34,1161.885326747084
0.35,1163.2816924288682
0.36,1164.6403265020158
0.37,1165.963255170042
0.38,1167.2523446499144
0.39,1168.5093176357511
0.4,1169.7357676939603
0.41,1170.9331718944325
0.42,1172.102901931278
