Strain,Stress
0.0,607.9450590727524
0.00011,773.7026201650549
0.0002,798.7869307782837
0.0003,816.3214346013827
0.0004,829.0147960000401
0.0005,839.0045894927608
0.0006,847.2604469643711
0.0007,854.3065506066332
0.0008,860.4591229789577
0.0009,865.9239376417628
0.001,870.8425586451808
0.002,903.919318911861
0.003,923.8552528520754
0.004,938.2683340353799
0.005,949.6036025361889
0.01,985.698665427005
0.011,990.7683226954141
0.012,995.4193703766672
0.013,999.7172358838365
0.014,1003.7130099364188
0.015,1007.4473647163543
0.016,1010.9532163276887
0.017,1014.2575860556657
0.018,1017.382933726772
0.019,1020.3481334478341
0.02,1023.1692011281744
0.021,1025.8598459964455
0.022,1028.4318949230953
0.023,1030.8956232483536
0.024,1033.26001582867
0.025,1035.5329752752073
0.026,1037.7214897239428
0.027,1039.831769235594
0.028,1041.8693576208948
0.029,1043.8392248273738
0.03,1045.7458438122417
0.031,1047.5932549306876
0.032,1049.3851201997934
0.033,1051.1247692930638
0.034,1052.815238735377
0.035,1054.4593054718125
0.036,1056.0595157538999
0.037,1057.6182101070456
0.038,1059.1375450012385
0.039,1060.6195117347706
0.04,1062.0659529509624
0.041,1063.478577135774
0.042,1064.858971385898
0.043,1066.2086126895338
0.044,1067.5288779233529
0.045,1068.821052737349
0.046,1070.0863394730375
0.047,1071.3258642387252
0.048,1072.5406832474512
0.049,1073.7317885080754
0.05,1074.900112947273
0.051,1076.0465350295015
0.052,1077.1718829329377
0.053,1078.2769383317225
0.054,1079.3624398282927
0.055,1080.4290860740073
0.056,1081.4775386114843
0.057,1082.5084244679556
0.058,1083.5223385254046
0.059,1084.5198456901908
0.06,1085.501482882205
0.061,1086.4677608613138
0.062,1087.4191659068267
0.063,1088.3561613639783
0.064,1089.2791890698877
0.065,1090.1886706701102
0.066,1091.085008835719
0.067,1091.968588389817
0.068,1092.8397773514591
0.069,1093.6989279041616
0.07,1094.5463772954479
0.071,1095.3824486732576
0.072,1096.207451864466
0.073,1097.0216841002662
0.074,1097.8254306927156
0.075,1098.6189656663469
0.076,1099.402552348379
0.077,1100.1764439207557
0.078,1100.940883936934
0.079,1101.6961068060991
0.08,1102.4423382472394
0.081,1103.179795715312
0.082,1103.908688801534
0.083,1104.6292196096645
0.084,1105.3415831099906
0.085,1106.0459674725826
0.086,1106.7425543812658
0.087,1107.4315193296316
0.088,1108.113031900308
0.089,1108.7872560286194
0.09,1109.4543502516672
0.091,1110.1144679437946
0.092,1110.7677575393182
0.093,1111.414362743344
0.094,1112.0544227314301
0.095,1112.6880723387937
0.096,1113.3154422397156
0.097,1113.9366591177463
0.098,1114.5518458272759
0.099,1115.1611215469861
0.1,1115.7646019256742
0.11,1121.5038393641582
0.12,1126.7691318669
0.13,1131.6345623677673
0.14,1136.1579791024908
0.15,1140.385432831225
0.16,1144.354191908521
0.17,1148.0948499805895
0.18,1151.6328358485214
0.19,1154.9895183455833
0.2,1158.1830301298244
0.21,1161.2288921701015
0.22,1164.1404942014701
0.23,1166.9294693124982
0.24,1169.605989517042
0.25,1172.1790015310555
0.26,1174.6564167272481
0.27,1177.045265569907
0.28,1179.3518242246366
0.29,1181.5817191587491
0.3,1183.7400141761404
0.31,1185.8312833166765
0.32,1187.8596722925095
0.33,1189.8289505616633
0.34,1191.7425557030836
0.35,1193.603631421792
0.36,1195.4150602524633
0.37,1197.1794918261644
0.38,1198.8993674046176
0.39,1200.5769412591123
0.4,1202.214299369585
0.41,1203.813375837735
0.42,1205.375967342051
0.43,1206.9037459089732
0.44,1208.3982702305916
0.45,1209.8609957232716
0.46,1211.2932834918997
0.47,1212.6964083398173
0.48,1214.0715659440032
0.49,1215.4198792979373
0.5,1216.7424045101823
0.51,1218.040136034603
0.52,1219.3140113979023
0.53,1220.5649154814453
0.54,1221.793684406945
0.55,1223.001109069267
0.56,1224.187938354177
0.57,1225.3548820742205
0.58,1226.5026136518932
0.59,1227.6317725758122
0.6,1228.7429666525854
0.61,1229.836774074468
0.62,1230.9137453206326
0.63,1231.974404907889
0.64,1233.0192530049596
0.65,1234.0487669228974
0.66,1235.0634024928966
0.67,1236.0635953415692
0.68,1237.0497620727258
0.69,1238.0223013637792
0.7,1238.9815949840834
0.71,1239.9280087417897
0.72,1240.8618933651708
0.73,1241.783585323792
0.74,1242.6934075943943
0.75,1243.5916703759058
0.76,1244.4786717575912
0.77,1245.354698343983
0.78,1246.2200258399089
0.79,1247.0749195986434
0.8,1247.919635135942
0.81,1248.7544186124753
0.82,1249.5795072869766
0.83,1250.3951299422074
0.84,1251.201507285682
0.85,1251.9988523269271
0.86,1252.7873707329068
0.87,1253.5672611631185
0.88,1254.3387155857374
0.89,1255.1019195760866
0.9,1255.8570525986065
0.91,1256.6042882734073
0.92,1257.3437946284075
0.93,1258.0757343379855
0.94,1258.8002649490031
0.95,1259.517539094992
0.96,1260.227704699246
0.97,1260.9309051675004
0.98,1261.6272795708296
0.99,1262.3169628193623
1.0,1263.0000858273559
1.01,1263.6767756701436
1.02,1264.3471557334342
1.03,1265.0113458554
1.04,1265.6694624619768
1.05,1266.3216186957568
1.06,1266.9679245388343
1.07,1267.608486929949
1.08,1268.2434098762337
1.09,1268.872794559867
1.1,1269.4967394399107
1.11,1270.1153403495816
1.12,1270.7286905892115
1.13,1271.3368810151187
1.14,1271.9400001246024
1.15,1272.5381341372674
1.16,1273.131367072865
1.17,1273.7197808258275
1.18,1274.303455236662
1.19,1274.8824681603699
1.2,1275.4568955320256
1.21,1276.0268114296696
1.22,1276.5922881346362
1.23,1277.1533961894472
1.24,1277.7102044533842
1.25,1278.2627801558558
1.26,1278.811188947657
1.27,1279.355494950227
1.28,1279.8957608029946
1.29,1280.4320477088997
1.3,1280.9644154781777
1.31,1281.492922570483
1.32,1282.017626135426
1.33,1282.5385820516012
1.34,1283.0558449641637
1.35,1283.5694683210268
1.36,1284.0795044077365
1.37,1284.5860043810833
1.38,1285.0890183015028
1.39,1285.5885951643213
1.4,1286.0847829298912
1.41,1286.5776285526658
1.42,1287.0671780092591
1.43,1287.5534763255287
1.44,1288.036567602728
1.45,1288.5164950427602
1.46,1288.9933009725762
1.47,1289.4670268677462
1.48,1289.9377133752425
1.49,1290.405400335463
1.5,1290.8701268035247
1.51,1291.3319310698591
1.52,1291.7908506801336
1.53,1292.2469224545264
1.54,1292.7001825063833
1.55,1293.1506662602715
1.56,1293.598408469465
