Tmp298.15K_StrRt0.0001_RD_E,Tmp298.15K_StrRt0.0001_RD_r,Tmp298.15K_StrRt0.0001_RD_U,Tmp298.15K_StrRt0.0001_RD_L,Tmp298.15K_StrRt0.0001_DD_E,Tmp298.15K_StrRt0.0001_DD_r,Tmp298.15K_StrRt0.0001_DD_U,Tmp298.15K_StrRt0.0001_DD_L,Tmp298.15K_StrRt0.0001_TD_E,Tmp298.15K_StrRt0.0001_TD_r,Tmp298.15K_StrRt0.0001_TD_U,Tmp298.15K_StrRt0.0001_TD_L,Tmp298.15K_StrRt0.001_RD_E,Tmp298.15K_StrRt0.001_RD_r,Tmp298.15K_StrRt0.001_RD_U,Tmp298.15K_StrRt0.001_RD_L,Tmp298.15K_StrRt0.001_DD_E,Tmp298.15K_StrRt0.001_DD_r,Tmp298.15K_StrRt0.001_DD_U,Tmp298.15K_StrRt0.001_DD_L,Tmp298.15K_StrRt0.001_TD_E,Tmp298.15K_StrRt0.001_TD_r,Tmp298.15K_StrRt0.001_TD_U,Tmp298.15K_StrRt0.001_TD_L,Tmp298.15K_StrRt0.01_RD_E,Tmp298.15K_StrRt0.01_RD_r,Tmp298.15K_StrRt0.01_RD_U,Tmp298.15K_StrRt0.01_RD_L,Tmp298.15K_StrRt0.01_DD_E,Tmp298.15K_StrRt0.01_DD_r,Tmp298.15K_StrRt0.01_DD_U,Tmp298.15K_StrRt0.01_DD_L,Tmp298.15K_StrRt0.01_TD_E,Tmp298.15K_StrRt0.01_TD_r,Tmp298.15K_StrRt0.01_TD_U,Tmp298.15K_StrRt0.01_TD_L,Tmp298.15K_StrRt0.1_RD_E,Tmp298.15K_StrRt0.1_RD_r,Tmp298.15K_StrRt0.1_RD_U,Tmp298.15K_StrRt0.1_RD_L,Tmp298.15K_StrRt0.1_DD_E,Tmp298.15K_StrRt0.1_DD_r,Tmp298.15K_StrRt0.1_DD_U,Tmp298.15K_StrRt0.1_DD_L,Tmp298.15K_StrRt0.1_TD_E,Tmp298.15K_StrRt0.1_TD_r,Tmp298.15K_StrRt0.1_TD_U,Tmp298.15K_StrRt0.1_TD_L
0.001,0.456533333,0.055666667,0.033633333,0.001,0.46285,0.02125,0.02125,0.001,0.551133333,0.021366667,0.028933333,0.01,0.6771,0.2296,0.2296,0.01,1.07835,0.13195,0.12225,0.01,0.8219,0.1093,0.1093,0.01,0.69035,0.08185,0.08185,0.01,1.066133333,0.341466667,0.220133333,0.01,1.174933333,0.226166667,0.198033333,0.01,0.61685,0.07885,0.07885,0.01,0.8261,0.0201,0.0352,0.01,0.7897,0,0
0.002,0.514066667,0.055033333,0.040366667,0.002,0.5879,0.0068,0.0046,0.002,0.603266667,0.016333333,0.020366667,0.011,0.6223,0.2203,0.2211,0.011,1.0802,0.1102,0.0919,0.011,0.815966667,0.261233333,0.252366667,0.011,0.699766667,0.180133333,0.238366667,0.011,1.1008,0.2377,0.1932,0.011,1.1447,0.2086,0.114,0.011,0.726833333,0.126066667,0.188333333,0.011,1.175633333,0.072166667,0.071133333,0.011,0.865233333,0.146066667,0.169333333
0.003,0.545866667,0.044633333,0.025666667,0.003,0.6578,0.0087,0.014,0.003,0.644366667,0.009033333,0.005066667,0.012,0.6466,0.2049,0.2104,0.012,1.0772,0.171,0.1123,0.012,0.809933333,0.269566667,0.224933333,0.012,0.6864,0.1644,0.2141,0.012,1.120933333,0.140466667,0.151633333,0.012,1.107666667,0.245933333,0.125566667,0.012,0.737233333,0.112866667,0.171133333,0.012,1.150333333,0.077866667,0.076933333,0.012,0.862166667,0.147733333,0.157466667
0.004,0.574633333,0.039766667,0.024833333,0.004,0.696833333,0.013466667,0.012833333,0.004,0.678233333,0.011166667,0.010833333,0.013,0.669666667,0.199133333,0.191266667,0.013,1.07475,0.19455,0.15745,0.013,0.801166667,0.261833333,0.198366667,0.013,0.6802,0.1498,0.1924,0.013,1.1233,0.0706,0.0968,0.013,1.0771,0.284,0.1615,0.013,0.7505,0.0973,0.1483,0.013,1.132633333,0.078166667,0.084533333,0.013,0.8595,0.151,0.1472
0.005,0.596066667,0.032333333,0.025266667,0.005,0.732766667,0.009533333,0.005766667,0.005,0.7046,0.0108,0.0108,0.014,0.679133333,0.117466667,0.144533333,0.014,1.0719,0.1842,0.1857,0.014,0.787066667,0.247733333,0.182366667,0.014,0.675033333,0.138066667,0.170933333,0.014,1.1196,0.0501,0.0738,0.014,1.038533333,0.293166667,0.173233333,0.014,0.760466667,0.085033333,0.131766667,0.014,1.120733333,0.074666667,0.081933333,0.014,0.8569,0.1546,0.1379
0.006,0.610966667,0.029233333,0.023466667,0.006,0.7677,0.0099,0.0118,0.006,0.716,0.0083,0.0143,0.015,0.712333333,0.098466667,0.093233333,0.015,1.061825,0.180275,0.193325,0.015,0.779333333,0.222266667,0.170033333,0.015,0.670533333,0.125566667,0.151233333,0.015,1.101733333,0.042266667,0.078033333,0.015,1.0221,0.3021,0.1853,0.015,0.7653,0.0771,0.124,0.015,1.111966667,0.070733333,0.080266667,0.015,0.854733333,0.158366667,0.129833333
0.007,0.629966667,0.022633333,0.011466667,0.007,0.794166667,0.016033333,0.010166667,0.007,0.7368,0.0049,0.0046,0.016,0.7376,0.0873,0.0552,0.016,1.0521,0.1895,0.1988,0.016,0.772266667,0.194133333,0.162666667,0.016,0.664266667,0.115033333,0.134566667,0.016,1.0811,0.0427,0.0832,0.016,1.013933333,0.313866667,0.203733333,0.016,0.768,0.0681,0.1157,0.016,1.1071,0.0656,0.0775,0.016,0.853033333,0.161866667,0.123033333
0.008,0.637166667,0.023533333,0.014966667,0.008,0.813733333,0.009366667,0.012933333,0.008,0.757066667,0.012233333,0.012166667,0.017,0.7366,0.0521,0.0527,0.017,1.041925,0.204775,0.187425,0.017,0.765366667,0.170033333,0.166066667,0.017,0.665166667,0.102733333,0.117866667,0.017,1.057133333,0.047566667,0.093133333,0.017,1.023033333,0.338066667,0.232633333,0.017,0.769433333,0.059066667,0.106633333,0.017,1.104033333,0.060766667,0.074133333,0.017,0.851433333,0.164566667,0.116933333
0.009,0.642033333,0.020866667,0.021533333,0.009,0.8302,0.0054,0.0074,0.009,0.757066667,0.006233333,0.005466667,0.018,0.742466667,0.060333333,0.045666667,0.018,1.029375,0.208825,0.186675,0.018,0.766966667,0.145933333,0.163466667,0.018,0.670133333,0.089966667,0.102133333,0.018,1.037966667,0.075633333,0.114166667,0.018,1.022266667,0.342433333,0.247666667,0.018,0.771233333,0.051966667,0.097933333,0.018,1.101933333,0.056766667,0.070833333,0.018,0.8502,0.1668,0.1117
0.01,0.6538,0.0228,0.0169,0.01,0.843466667,0.010933333,0.013766667,0.01,0.766166667,0.006033333,0.003066667,0.019,0.736033333,0.081566667,0.041833333,0.019,1.018275,0.209125,0.184275,0.019,0.7714,0.1145,0.1596,0.019,0.679,0.0786,0.082,0.019,1.028866667,0.100633333,0.118966667,0.019,1.013366667,0.320633333,0.245066667,0.019,0.769866667,0.046333333,0.086566667,0.019,1.099466667,0.050833333,0.066666667,0.019,0.8491,0.169,0.1079
