strain,r_value
0.0,1.0052539373991314
0.00011,1.0054680748218674
0.0002,1.005643278143469
0.0003,1.0058379484749658
0.0004,1.0060326187792963
0.0005,1.0062272890566153
0.0006,1.006421959306768
0.0007,1.0066166295297543
0.0008,1.0068112997257295
0.0009,1.0070059698946934
0.001,1.007200640036491
0.002,1.0091473399634168
0.003,1.0110940371802197
0.004,1.0130407316865888
0.005,1.0149874234828349
0.01,1.0247208418097344
0.011,1.0266675173443103
0.012,1.0286141901687629
0.013,1.030560860282782
0.014,1.032507527686678
0.015,1.0344541923802957
0.016,1.0364008543637901
0.017,1.0383475136370064
0.018,1.040294170199944
0.019,1.0422408240526033
0.02,1.0441874751951397
0.021,1.0461341236275528
0.022,1.0480807693495322
0.023,1.0500274123615438
0.024,1.0519740526632773
0.025,1.053920690254732
0.026,1.0558673251360637
0.027,1.0578139573071172
0.028,1.0597605867680475
0.029,1.0617072135188546
0.03,1.0636538375593834
0.031,1.065600458889789
0.032,1.067547077509916
0.033,1.0694936934200756
0.034,1.0714403066199565
0.035,1.0733869171095591
0.036,1.0753335248891938
0.037,1.0772801299585502
0.038,1.0792267323179388
0.039,1.0811733319670487
0.04,1.0831199289060358
0.041,1.0850665231348995
0.042,1.087013114653485
0.043,1.0889597034621026
0.044,1.090906289560597
0.045,1.0928528729489684
0.046,1.0947994536270613
0.047,1.0967460315951862
0.048,1.0986926068531881
0.049,1.100639179401067
0.05,1.1025857492388227
0.051,1.1045323163666105
0.052,1.10647888078412
0.053,1.1084254424916613
0.054,1.1103720014890797
0.055,1.112318557776375
0.056,1.114265111353547
0.057,1.1162116622207512
0.058,1.1181582103778323
0.059,1.1201047558247903
0.06,1.1220512985617803
0.061,1.123997838588647
0.062,1.125944375905391
0.063,1.1278909105121668
0.064,1.129837442408975
0.065,1.1317839715956597
0.066,1.1337304980722216
0.067,1.1356770218388152
0.068,1.1376235428954413
0.069,1.1395700612419442
0.07,1.141516576878479
0.071,1.1434630898048908
0.072,1.1454096000213347
0.073,1.1473561075278107
0.074,1.1493026123241634
0.075,1.1512491144105486
0.076,1.1531956137869657
0.077,1.1551421104534147
0.078,1.1570886044097408
0.079,1.1590350956562543
0.08,1.1609815841926445
0.081,1.162928070019067
0.082,1.1648745531355214
0.083,1.166821033542008
0.084,1.1687675112385265
0.085,1.170713986224922
0.086,1.172660458501505
0.087,1.17460692806812
0.088,1.176553394924767
0.089,1.1784998590714464
0.09,1.1804463205081577
0.091,1.1823927792349012
0.092,1.1843392352518318
0.093,1.1862856885586395
0.094,1.1882321391556345
0.095,1.1901785870426616
0.096,1.1921250322197208
0.097,1.194071474686812
0.098,1.1960179144440906
0.099,1.1979643514914013
0.1,1.1999107858287443
0.11,1.2193749801582852
0.12,1.238838903500506
0.13,1.2583025558591325
0.14,1.2777659372378904
0.15,1.2972290476406605
0.16,1.3166918870710136
0.17,1.3361544555329852
0.18,1.3556167530303016
0.19,1.3750787795666881
0.2,1.3945405351457152
0.21,1.4140020197715746
0.22,1.4334632334476811
0.23,1.4529241761779157
0.24,1.4723848479661596
0.25,1.491845248815983
0.26,1.511305378731267
0.27,1.5307652377158925
0.28,1.5502248257734295
0.29,1.5696841429077595
0.3,1.5891431891226078
0.31,1.6086019644218554
0.32,1.628060468809073
0.33,1.6475187022882964
0.34,1.6669766648630964
0.35,1.6864343565373536
0.36,1.7058917773146387
0.37,1.7253489271989877
0.38,1.744805806194126
0.39,1.7642624143036247
0.4,1.7837187515313642
0.41,1.8031748178812257
0.42,1.8226306133569348
0.43,1.842086137962217
0.44,1.8615413917007984
0.45,1.8809963745764042
0.46,1.9004510865930708
0.47,1.9199055277542134
0.48,1.9393596980640233
0.49,1.958813597525916
0.5,1.978267226143772
0.51,1.9977205839213172
0.52,2.017173670862433
0.53,2.0366264869708437
0.54,2.0560790322502767
0.55,2.0755313067046117
0.56,2.0949833103375743
0.57,2.1144350431528913
0.58,2.1338865051542877
0.59,2.153337696345489
0.6,2.1727886167305317
0.61,2.1922392663129857
0.62,2.211689645096733
0.63,2.231139753085343
0.64,2.250589590282697
0.65,2.2700391566926763
0.66,2.2894884523190058
0.67,2.308937477165256
0.68,2.328386231235464
0.69,2.3478347145331995
0.7,2.3672829270623437
0.71,2.386730868826622
0.72,2.4061785398299156
0.73,2.4256259400757942
0.74,2.44507306956814
0.75,2.4645199283108328
0.76,2.4839665163074436
0.77,2.5034128335618533
0.78,2.5228588800776324
0.79,2.542304655858972
0.8,2.561750160909132
0.81,2.581195395232305
0.82,2.6006403588320595
0.83,2.6200850517122776
0.84,2.6395294738765296
0.85,2.658973625328696
0.86,2.678417506072658
0.87,2.6978611161119868
0.88,2.717304455450562
0.89,2.7367475240921104
0.9,2.7561903220405117
0.91,2.775632849299338
0.92,2.7950751058724688
0.93,2.8145170917637854
0.94,2.8339588069768586
0.95,2.853400251515569
0.96,2.8728414253836423
0.97,2.892282328584804
0.98,2.9117229611230906
0.99,2.931163323001762
1.0,2.950603414225165
1.01,2.970043234796559
1.02,2.9894827847199807
1.03,3.008922063999311
1.04,3.028361072637965
1.05,3.0477998106401336
1.06,3.0672382780092327
1.07,3.086676474749143
1.08,3.10611440086359
1.09,3.125552056356455
1.1,3.144989441231463
1.11,3.1644265554923403
1.12,3.183863399142968
1.13,3.2032999721869158
1.14,3.2227362746282204
1.15,3.2421723064702967
1.16,3.2616080677171815
1.17,3.2810435583725996
1.18,3.300478778440277
1.19,3.3199137279239395
1.2,3.3393484068274684
1.21,3.3587828151545884
1.22,3.378216952909026
1.23,3.3976508200945066
1.24,3.417084416714911
1.25,3.4365177427739653
1.26,3.4559507982753943
1.27,3.475383583222925
1.28,3.494816097620592
1.29,3.5142483414718124
1.3,3.5336803147804656
1.31,3.5531120175504327
1.32,3.57254344978544
1.33,3.5919746114892126
1.34,3.6114055026654768
1.35,3.6308361233179576
1.36,3.6502664734506918
1.37,3.669696553067094
1.38,3.6891263621712005
1.39,3.7085559007667372
1.4,3.7279851688572747
1.41,3.7474141664468488
1.42,3.76684289353903
1.43,3.786271350137544
1.44,3.805699536246272
1.45,3.8251274518690943
1.46,3.844555097009582
1.47,3.8639824716716156
1.48,3.883409575858766
1.49,3.9028364095750687
1.5,3.92226297282425
1.51,3.9416892656098796
1.52,3.961115287935839
1.53,3.9805410398058543
1.54,3.9999665212238056
1.55,4.019391732193263
1.56,4.038816672718109
1.57,4.058241342802223
1.58,4.0776657424491765
1.59,4.09708987166285
1.6,4.116513730446968
1.61,4.135937318805258
1.62,4.155360636741601
1.63,4.174783684259566
1.64,4.19420646136319
1.65,4.213628968056042
1.66,4.233051204341851
1.67,4.252473170224494
1.68,4.2718948657077
1.69,4.2913162907951925
1.7,4.310737445490854
1.71,4.330158329798408
1.72,4.349578943721582
1.73,4.368999287264101
1.74,4.388419360429692
1.75,4.407839163222233
1.76,4.427258695645609
1.77,4.446677957703232
1.78,4.466096949399137
1.79,4.485515670737055
1.8,4.504934121720706
1.81,4.524352302353819
1.82,4.543770212640119
1.83,4.563187852583642
1.84,4.582605222187803
1.85,4.602022321456638
1.86,4.6214391503937176
1.87,4.640855709002769
1.88,4.6602719972878255
1.89,4.679688015252459
1.9,4.6991037629005525
1.91,4.718519240235672
1.92,4.737934447261702
1.93,4.757349383982367
1.94,4.776764050401548
1.95,4.796178446522815
1.96,4.815592572350205
1.97,4.835006427887133
1.98,4.854420013137634
1.99,4.873833328105279
2.0,4.893246372794106
2.01,4.912659147207528
2.02,4.932071651349582
2.03,4.951483885223993
2.04,4.970895848834333
2.05,4.990307542184481
2.06,5.009718965278319
2.07,5.029130118119417
2.08,5.048541000711657
2.09,5.067951613058763
2.1,5.087361955164462
2.11,5.106772027032634
2.12,5.126181828667006
2.13,5.145591360071148
2.14,5.165000621249094
2.15,5.184409612204417
2.16,5.2038183329409975
2.17,5.223226783462561
2.18,5.242634963772833
2.19,5.262042873875538
2.2,5.281450513774559
2.21,5.300857883473466
2.22,5.320264982976293
2.23,5.339671812286614
2.24,5.359078371408307
2.25,5.378484660344943
2.26,5.39789067910056
2.27,5.4172964276787265
2.28,5.436701906083169
2.29,5.456107114317768
2.3,5.475512052386094
2.31,5.494916720292183
2.32,5.514321118039762
2.33,5.533725245632244
2.34,5.553129103073823
2.35,5.5725326903680665
2.36,5.591936007518703
2.37,5.611339054529611
2.38,5.630741831404363
2.39,5.650144338146993
2.4,5.669546574760918
2.41,5.688948541250174
2.42,5.708350237618486
2.43,5.72775166386958
2.44,5.7471528200070265
2.45,5.766553706035017
2.46,5.785954321956811
2.47,5.8053546677766
2.48,5.8247547434978
2.49,5.844154549124445
2.5,5.863554084660109
2.51,5.88295335010867
2.52,5.902352345473698
2.53,5.921751070759233
2.54,5.941149525968841
2.55,5.960547711106405
2.56,5.979945626175652
2.57,5.999343271180149
2.58,6.018740646123935
2.59,6.03813775101058
2.6,6.057534585843964
2.61,6.076931150627813
2.62,6.096327445365854
2.63,6.115723470061811
2.64,6.135119224719564
2.65,6.154514709342842
2.66,6.173909923935213
2.67,6.1933048685007135
2.68,6.212699543042914
2.69,6.232093947565696
2.7,6.251488082072785
2.71,6.270881946567906
2.72,6.290275541054785
2.73,6.309668865537149
2.74,6.3290619200188765
2.75,6.34845470450385
2.76,6.367847218995485
2.77,6.387239463497816
2.78,6.406631438014415
2.79,6.4260231425491625
2.8,6.445414577105784
2.81,6.464805741688161
2.82,6.484196636299707
2.83,6.503587260944616
2.84,6.5229776156263
2.85,6.542367700348644
2.86,6.5617575151155245
2.87,6.581147059930515
2.88,6.600536334797341
2.89,6.619925339720037
2.9,6.639314074702175
2.91,6.6587025397474795
2.92,6.678090734859832
2.93,6.697478660042803
2.94,6.7168663153002734
2.95,6.736253700636124
2.96,6.755640816053925
2.97,6.775027661557403
2.98,6.794414237150438
2.99,6.813800542836756
3.0,6.8331865786202375
