strain,RD,DD,TD,biaxial
0.0,537.8084003329277,4809.205319223939,-1123669.7038984746,752.7100206464434
0.00011,598.8582180400845,644.1809276495852,713.1467362549596,627.6595152001495
0.0002,625.5944931628765,590.1389021225797,623.0899190499296,597.897583950281
0.0003,646.8434006677708,593.6314433544502,613.0263166915719,591.8588197661993
0.0004,663.3574658443104,609.6698437180755,622.6496378310087,588.8550240987405
0.0005,676.9706537912716,627.0211268941699,636.5256005657286,591.0350819668474
0.0006,688.6157581792213,643.264788250583,650.8564035940642,596.4454646074814
0.0007,698.8327903544996,658.052941864979,664.6737665922846,599.11616339026
0.0008,707.9627883658395,671.5084357104441,677.7663019932914,607.0481563557618
0.0009,716.2351046717376,683.8222897766234,690.1248775354302,611.6640489911158
0.001,723.8115197707084,695.1631247125194,701.7898407522117,618.4886537083197
0.002,777.8658269636799,774.9124447103289,789.3305947342488,690.9540506837932
0.003,812.5585848598275,821.2538058738492,842.4873896889535,750.5851609996494
0.004,837.9935658661416,851.2985931816194,876.6073599545066,800.383549280439
0.005,857.76526161324,872.326071593835,899.7394208986135,833.4202492665613
0.01,915.36963689368,925.5695022208472,953.6862695723343,895.2697425383183
0.011,922.513463958283,931.7546469816925,959.6501908723367,903.9082411967415
0.012,928.848487965588,937.2188081825914,964.9267711395465,911.6985974784671
0.013,934.524279475212,942.106104581475,969.6679472875103,918.7790785688645
0.014,939.656937955413,946.5241774043136,973.9818916695739,925.2570023781623
0.015,944.3375306348316,950.5552639137013,977.9480322369694,931.2189628600945
0.016,948.6381563981412,954.2633020760844,981.6262239819072,936.7342439728708
0.017,952.6163863502444,957.6986951132518,985.0625442857029,941.8611771528408
0.018,956.31856410217,960.9016310995379,988.2930881974545,946.6462371102734
0.019,959.7822877655854,963.9044687067666,991.3465420738778,951.1270666433247
0.02,963.0382947064354,966.7334937144633,994.2459853851336,961.37460506523
0.021,966.1119044613442,969.4102361879394,997.0101874801322,965.0079547035075
0.022,969.0241311813588,971.9524719922912,999.6545624553925,968.445463479733
0.023,971.7925466536544,974.3749924046439,1002.1918852890504,971.7049373776505
0.024,974.431953639898,976.6902004725067,1004.6328367654659,974.802069594491
0.025,976.9549140176388,978.9085762839013,1006.9864228841212,977.7501162509648
0.026,979.37216514413,981.0390420976105,1009.2603006261909,980.5614199354605
0.027,981.6929497243837,983.089250397413,1011.4610328897265,983.2458641770737
0.028,983.9252784355776,985.0658122675591,1013.5942892774607,985.8122154954427
0.029,986.0761400404152,986.974479321799,1015.6650051407612,988.2703902166013
0.03,988.1516703247908,988.8202893268891,1017.6775082303793,990.888218742113
0.031,990.1572886127396,990.6076833286384,1019.6356200684122,993.1365512614738
0.032,992.0978086474352,992.3406003225099,1021.5427374999101,995.2955526853366
0.033,993.9775291254628,994.022554164702,1023.4018986399593,997.3728135608958
0.034,995.8003080120544,995.6566963813526,1025.2158364834709,999.3720101075556
0.035,997.5696238739764,997.2458677371948,1026.9870227232461,1001.2969623123424
0.036,999.2886267785216,998.7926408107559,1028.717703768511,1003.1527089915838
0.037,1000.9601807662402,1000.2993553405341,1030.4099305221446,1004.9436059909866
0.038,1002.586899491842,1001.7681477392384,1032.0655831466818,1006.6733920278431
0.039,1004.1711762971244,1003.2009758789998,1033.6863917860596,1008.344258394082
0.04,1005.715209726768,1004.5996400264502,1035.2739540110445,1009.959863428942
0.041,1007.2210252957302,1005.9658006277253,1036.8297495973786,1011.52340316974
0.042,1008.6904941566172,1007.3009935018383,1038.3551531200408,1013.0366569853214
0.043,1010.1253491927636,1008.6066428933866,1039.8514447525813,1014.5039851267771
0.044,1011.5271989621106,1009.8840727472966,1041.3198195826596,1015.9254320624092
