strain,RD,DD,TD,biaxial,r_RD,r_DD,r_TD
0.0,536.8129,604.3757933137814,536.8129,570.5943466568907,0.3961640965328839,0.3447016950309489,0.4823122157890935
0.00011,559.97015,480.8191723951505,461.6856566939417,495.8235378710607,0.4041761399821709,0.361064414671759,0.4907677336336533
0.0002,577.5743,509.727211132046,493.25608104673057,522.5712008277056,0.4105437054017922,0.3740600158899383,0.4975082483193347
0.0003,590.7869,531.4946460542392,516.9865012524464,542.6906733402312,0.4174267125146089,0.3880977561691594,0.5048150270396121
0.0004,599.4923,546.0364652005472,532.8681654973426,556.1083489746093,0.4241135659597878,0.4017244597672089,0.5119342998974759
0.0005,606.58496,557.3775430623697,545.2563353979886,566.649095380682,0.430610304442602,0.4149521440879766,0.5188709080656153
0.0006,612.6037,566.7939679177773,555.6224153874108,575.4535128057414,0.4369227782361066,0.4277925038723396,0.5256295771329818
0.0007,618.3843,575.4317710439593,565.1768418003259,583.6061709720611,0.4430566550683731,0.440256918903259,0.5322149195382977
0.0008,623.87683,583.4233576896874,574.075624510053,591.1997924723569,0.4490174258258407,0.4523564615566755,0.5386314369623761
0.0009,629.0216,590.8025512410195,582.3541304570733,598.2452082347781,0.454810410078529,0.4641019042004046,0.5448835226794344
0.001,660.48395,622.7633607801472,614.8827831627273,630.2233636807555,0.4604407614326736,0.4755037264430939,0.5509754638680135
0.002,670.8823,647.7727736499803,647.6457468380634,653.518398534506,0.5088245065964774,0.5727328036558106,0.603958675980806
0.003,678.0487,662.0811008864026,666.8501193804893,667.2652552883237,0.5455620669072633,0.645209033982141,0.6449380374915066
0.004,684.35583,672.5123979064117,680.5349461862307,677.4788929997635,0.5737472873513023,0.6995652320718335,0.6767702506439832
0.005,705.9089,696.4713212555263,707.0240266894857,701.4688923001346,0.5956347324100125,0.7407474097395834,0.7016605789194443
0.01,710.12317,705.8684562492427,721.5948164637045,710.8637247405475,0.6548854397620119,0.8475370153527138,0.7688607117165347
0.011,714.04004,710.1129276481767,726.3881313111801,715.1635066518834,0.6615403275640226,0.8596616240459127,0.7763139010910436
0.012,717.8067,714.1105533458565,730.8464684423018,719.2185687835038,0.6673178326745575,0.8704626675565947,0.7827786501812284
0.013,721.4093,717.8699932087652,734.9960070400127,723.0363233643859,0.6724039631919982,0.8802700585818997,0.788477320623322
0.014,724.76,721.3201553455173,738.7767875442928,726.5442745588318,0.6769365125134453,0.8893054404251757,0.7935725970877385
0.015,727.8944,724.5086051080931,742.2472087662767,729.7897047456157,0.6810181377305249,0.8977151248975446,0.7981830205393194
0.016,730.8365,727.4684601362115,745.4486971675564,732.8055293599949,0.6847258718302163,0.9055939724637624,0.8023947491778145
0.017,733.4317,730.0529613127827,748.2367209403536,735.4435858914798,0.6881180408974532,0.9130025088941238,0.8062703998003258
0.018,735.7951,732.382273855975,750.7390548240999,737.8246756340125,0.6912392933523575,0.9199790323843616,0.8098556442897475
0.019,738.0407,734.5743146134521,753.0803370366998,740.067416565901,0.6941242559032579,0.926548042142457,0.8131840911607355
