strain,RD,DD,TD,biaxial,r_RD,r_DD,r_TD
0.0,374.38610628626975,,,523.9861884232937,0.6087930202537064,0.9763605248836532,0.7571334706248127
0.00011,523.147831319131,,,548.3079371581684,0.6097933860563042,0.9767438271580976,0.7573329918084519
0.0002,591.408688602347,,,565.2252855596756,0.6106077846366152,0.9770573517969556,0.7574964309180954
0.0003,637.8434890905264,,,583.6239409089535,0.6115083841037021,0.9774056214602918,0.757678235472718
0.0004,667.3784273934662,,,592.4243868207152,0.6124044918122079,0.9777537953477946,0.7578602566257288
0.0005,687.693316375231,,,600.3965952373582,0.6132961301648719,0.9781018735241104,0.758042494620697
0.0006,702.804451242665,,,608.7350201773033,0.6141833214526995,0.9784498560537752,0.7582249497001965
0.0007,714.8412152554783,,,612.8403421079333,0.6150660878555189,0.9787977430012152,0.7584076221058003
0.0008,724.9543574351146,,,621.6177083810935,0.6159444514425362,0.979145534430744,0.7585905120780712
0.0009,733.7825469618529,,,626.6495468124339,0.6168184341728868,0.9794932304065646,0.7587736198565556
0.001,741.6932399288917,,,633.7683787811221,0.6176880578961846,0.9798408309927658,0.7589569456797748
0.002,796.4272513145133,,,707.4415873477068,0.6261492794337513,0.9833116044432384,0.7608022480994363
0.003,830.7799449151562,,,767.4167873286244,0.6341978423275041,0.986772908564078,0.7626696094661628
0.004,855.8900191650919,,,817.4767912746544,0.6418538721769862,0.990224805467351,0.7645592501968734
0.005,875.6727652860982,,,850.8195038676466,0.6491365130446693,0.9936673559729652,0.7664713787625657
0.01,938.1910603305278,13545.553421971248,1127.1610084587892,917.5900479768935,0.680556056822107,1.0107419410630152,0.7763756986172716
0.011,946.865013427956,56497.58601138114,1106.3418338281047,927.7686693764033,0.6859511698715679,1.0141296082846365,0.7784263619807608
0.012,954.7930414126686,65934.86195518951,1093.5118962423032,937.1641209695113,0.6910831601527231,1.0175083121320738,0.7805005702532167
0.013,962.092562609485,72249.36170178409,1085.6138101127863,945.8828813615074,0.6959648603144095,1.020878100268909,0.7825984071306876
0.014,968.8553349792246,77172.6747631191,1080.9860942298678,954.0079435070419,0.7006084771497956,1.0242390183564407,0.7847199370113384
0.015,975.1544213889048,81303.76914666976,1078.6408543569412,961.6077508894011,0.7050256221197216,1.0275911099752306,0.7868652041850195
0.016,981.048942210432,84922.84264037047,1077.9509507576033,968.7383255498938,0.7092273403874008,1.0309344165477197,0.7890342320343644
0.017,986.5874083043228,88183.68856991727,1078.4978996415132,975.4486601997569,0.7132241384370791,1.034268977262237,0.7912270222506324
0.018,991.8101145110204,91179.83155574485,1079.9912688365873,981.7788214863709,0.7170260103457204,1.0375948289987191,0.7934435540676246
0.019,996.7508944382616,93972.41817924617,1082.2230037860247,987.7622941013473,0.7206424627734026,1.040912006256471,0.7956837835171127
0.02,1001.4384306773428,96603.65777716426,1085.0401197321842,999.7084031669302,0.7240825387349209,1.0442205410843113,0.797947642709314
0.021,1005.8972490636306,99103.94956183381,1088.327639343742,1004.747837676208,0.7273548402120349,1.047520463013459,0.8002350391420278
0.022,1010.148484186776,101495.94637712982,1091.9975314836472,1009.5452584436435,0.7304675496629027,1.0508117989935069,0.8025458550421083
0.023,1014.2104765131198,103797.00851426163,1095.98131214814,1014.1190431656745,0.7334284504824895,1.0540945733318527,0.8048799467430028
0.024,1018.0992436846154,106020.7561073008,1100.2249597334787,1018.4859456724138,0.7362449464651091,1.0573688076369483,0.8072371441021018
0.025,1021.8288565152698,108178.09005195605,1104.685337678556,1022.6605843433599,0.7389240803177647,1.0606345207657335,0.8096172499616627
0.026,1025.411741905582,110277.88577088955,1109.3276251092204,1026.6569027040496,0.7414725512705866,1.063891728775618,0.8120200396570506
0.027,1028.8589290781665,112327.47810172821,1114.1234373741167,1030.486454162454,0.7438967318283963,1.0671404448813724,0.8144452605759959
0.028,1032.1802513980592,114333.00856361551,1119.0494285823622,1034.1597301364452,0.7462026837052874,1.0703806794172837,0.8168926317725143
0.029,1035.384513053823,116299.67943473255,1124.086237159276,1037.6884858992623,0.7483961729820687,1.0736124398049216,0.8193618436390383
0.03,1038.4796276918614,118231.94319188289,1129.2176795891298,1041.3555523772363,0.7504826845244702,1.0768357305268528,0.8218525576402
0.031,1041.472734480888,120133.64615029717,1134.4301264422654,1044.6063990543832,0.7524674356981627,1.080050553106622,0.8243644061115601
0.032,1044.3702958753292,122008.13902839624,1139.712014116552,1047.7365253517855,0.7543553894148914,1.083256906095312,0.82689699212641
0.033,1047.1781804334669,123858.3632155521,1145.0534588843825,1050.7551906504675,0.7561512665423391,1.0864547850649635,0.8294498894335814
0.034,1049.9017333496658,125686.91891371782,1150.4459489415844,1053.667484565953,0.7578595577087552,1.0896441826091303,0.8320226424689667
0.035,1052.5458368240188,127496.11956596105,1155.882096552638,1056.4785894478416,0.7594845345318649,1.0928250883508,0.8346147664432121
0.036,1055.1149619766447,129288.03577732592,1161.3554369443389,1059.1949153034961,0.7610302603001387,1.0959974889579116,0.8372257475077618
0.037,1057.6132136885262,131064.53108965764,1166.8602638892817,1061.822095554543,0.7625006001331294,1.0991613681666403,0.8398550430011352
0.038,1060.0443694942924,132827.2913731237,1172.3914943219054,1064.3650557170665,0.7638992306462857,1.1023167068126194,0.8425020817769859
0.039,1062.4119134489165,134577.84916616502,1177.944556104332,1066.8270293576968,0.7652296491444046,1.105463482870211,0.845166264615152
0.04,1064.7190657278152,136317.60398098262,1183.5152943808098,1069.2127471203285,0.7664951823667153,1.1086016714999196,0.8478469647165279
0.041,1066.968808589263,138047.8393596488,1189.0998929576515,1071.5264010928402,0.7676989948054606,1.1117312451039898,0.8505435282822055
0.042,1069.163909222514,139769.73729242952,1194.6948079018803,1073.770634939643,0.7688440966187748,1.1148521733902046,0.8532552751769255
0.043,1071.3069399192063,141484.39047908285,1200.296711132419,1075.9507824554194,0.7699333511576486,1.1179644234438482,0.8559814996764602
0.044,1073.400295935623,143192.81281424468,1205.9024422265086,1078.0675601637115,0.7709694821257964,1.121067959807764,0.8587214712981208
0.045,1075.446211355761,144895.9484012223,1211.508967012044,1080.1265409425462,0.7719550803903349,1.1241627445703897,0.8614744357131425
0.046,1077.4467732177443,146594.67933918623,1217.1133417912592,1082.1927871696869,0.7728926104603007,1.1272487374616162,0.8642396157392604
0.047,1079.403934126729,148289.8324820968,1222.712682255681,1084.3595584881823,0.7737844166492063,1.1303258959562614,0.867016212411344
0.048,1081.3195235447583,149982.1853311552,1228.3041363243644,1086.4772102318584,0.7746327289370453,1.133394175384924,0.8698034061275164
0.049,1083.1952579205854,151672.47119348604,1233.8848602740802,1088.5489863014482,0.7754396685464033,1.136453529051923,0.8726003578677524
0.05,1085.0327497995668,153361.38371646454,1239.451997639421,1090.5768135608666,0.7762072532466197,1.13950390836,0.8754062104815187
0.051,1086.8335160343804,155049.58088853225,1245.0026604502732,1092.5613198956783,0.776937402399262,1.1425452629414117,0.8782200900406116
0.052,1088.5989852009543,156737.68858217986,1250.5339124455097,1094.5050130167813,0.7776319417575297,1.1455775407950095,0.8810411072529523
0.053,1090.3305043101343,158426.30370250362,1256.042753960487,1096.4080757319712,0.7782926080315878,1.1486006884288604,0.8838683589327218
0.054,1092.029344893821,160115.99699470133,1261.5261082339994,1098.2736600100584,0.7789210532312472,1.151614651007931,0.8867009295218712
0.055,1093.6967085342258,161807.31555568476,1266.980808920358,1100.1026219895577,0.7795188487968492,1.1546193725063258,0.8895378926577195
0.056,1095.333731896263,163500.7850880012,1272.4035886235733,1101.896704507801,0.7800874895286861,1.157614795863538,0.8923783127810556
0.057,1096.9414913156895,165196.91192883565,1277.7910682995594,1103.6553719528674,0.780628397324779,1.160600863144156,0.8952212467789057
0.058,1098.5210069892137,166896.18488190064,1283.1397473927957,1105.382172107207,0.7811429247363643,1.163577515700428,0.8980657456559042
0.059,1100.0732468072883,168599.07687629433,1288.4459945944354,1107.076274792334,0.7816323583499764,1.1665446943370876,0.900910856228015
0.06,1101.59912986552,170306.04647294004,1293.7060391233736,1108.74096473728,0.7820979220045841,1.16950233947782,0.9037556228322146
0.061,1103.0995296864885,172017.53923647237,1298.9159624454492,1110.3751560325504,0.7825407798518248,1.1724503913327335,0.906599089045632
0.062,1104.57527718015,173733.9889881372,1304.0716903575972,1111.9797686743414,0.7829620392669914,1.1753887900662037,0.9094402994075924
0.063,1106.027163367874,175455.81895307224,1309.1689853717785,1113.557746146311,0.7833627536180457,1.1783174759644484,0.912278301137979
0.064,1107.4559418923727,177183.44281389395,1314.2034393435547,1115.108741203238,0.7837439248995882,1.1812363896021962,0.9151121458453592
0.065,1108.8623313334238,178917.2656807389,1319.1704662946063,1116.6344355017177,0.7841065062383663,1.1841454720078175,0.9179408912183908
0.066,1110.2470173471063,180657.6849869589,1324.0652953865583,1118.1342970017358,0.7844514042765868,1.187044664826294,0.9207636026941224
0.067,1111.610654644468,182405.0913182984,1328.882964006232,1119.6098407514676,0.7847794814389947,1.1899339104794202,0.9235793550969652
0.068,1112.953868823839,184159.8691826957,1333.618310928447,1121.0614322151123,0.7850915580893838,1.1928131523226475,0.9263872342422936
0.069,1114.277258069612,185922.39772685367,1338.2659695246768,1122.4904391764426,0.7853884145819335,1.1956823347980008,0.9291863384988648
0.07,1115.581394728978,187693.0514051341,1342.8203609897012,1123.898154479252,0.7856707932125009,1.198541403582527,0.9319757803045076
0.071,1116.8668267769915,189472.20060571653,1347.2756875609614,1125.2087376590398,0.7859394000747468,1.201390305731758,0.9347546876298322
