strain,RD,DD,TD,biaxial,r_RD,r_DD,r_TD
0.0,534.6669658401814,601.9597733928006,534.6669658401814,568.3133696164911,0.3961640965328839,0.3447016950309489,0.4823122157890935
0.00011,719.5445985439363,617.8380014957874,593.2520162000347,637.1181544338864,0.4041761399821709,0.361064414671759,0.4907677336336533
0.0002,744.6037882636314,657.1359085575265,635.9014702203134,673.6942688997494,0.4105437054017922,0.3740600158899383,0.4975082483193347
0.0003,762.1247764000192,685.6367977724192,666.9210533761818,700.0798563302599,0.4174267125146089,0.3880977561691594,0.5048150270396121
0.0004,774.8153822537373,705.7262495428907,688.7068463442671,718.7436819209464,0.4241135659597878,0.4017244597672089,0.5119342998974759
0.0005,784.8084935914455,721.1432178148291,705.4606220452406,733.138887816586,0.430610304442602,0.4149521440879766,0.5188709080656153
0.0006,793.0712242648797,733.766358320233,719.3037671830964,744.9769270221104,0.4369227782361066,0.4277925038723396,0.5256295771329818
0.0007,800.1263666733165,744.5501644103754,731.2813293571562,755.1270062128059,0.4430566550683731,0.440256918903259,0.5322149195382977
0.0008,806.289330695343,754.007852132684,741.9269778855573,764.0580032115671,0.4490174258258407,0.4523564615566755,0.5386314369623761
0.0009,811.7653901127142,762.4429168851324,751.5400550541294,772.0478197342771,0.454810410078529,0.4641019042004046,0.5448835226794344
0.001,816.695788966439,770.0538586467292,760.3094363110009,779.2782356427246,0.4604407614326736,0.4755037264430939,0.5509754638680135
0.002,849.8941292981915,820.618277519506,820.4573560855799,827.8970101056959,0.5088245065964774,0.5727328036558106,0.603958675980806
0.003,869.9400146646517,849.4535018123414,855.5721773863552,856.1047989189224,0.5455620669072633,0.645209033982141,0.6449380374915066
0.004,884.4500092820663,869.143756064196,879.5119630546324,875.5623711162727,0.5737472873513023,0.6995652320718335,0.6767702506439832
0.005,895.8717716105932,883.8945031705351,897.2869832942534,890.2369403114792,0.5956347324100125,0.7407474097395834,0.7016605789194443
0.01,932.302146044118,926.7162435863311,947.3629707976198,933.2744010035999,0.6548854397620119,0.8475370153527138,0.7688607117165347
0.011,937.426136278209,932.2704341432137,953.6373049519576,938.9010773791484,0.6615403275640226,0.8596616240459127,0.7763139010910436
0.012,942.1285841409314,937.2773541175204,959.2434126596279,943.9816762589,0.6673178326745575,0.8704626675565947,0.7827786501812284
0.013,946.4752641814174,941.8317610684785,964.3007650933845,948.6098878529398,0.6724039631919982,0.8802700585818997,0.788477320623322
0.014,950.5175534643796,946.0062218162803,968.9004700216277,952.8576167796421,0.6769365125134453,0.8893054404251757,0.7935725970877385
0.015,954.2963633702416,949.8574615838502,973.1134242101193,956.7811776870153,0.6810181377305249,0.8977151248975446,0.7981830205393194
0.016,957.8448120524132,953.4306106403114,976.9957674981672,960.4254502078008,0.6847258718302163,0.9055939724637624,0.8023947491778145
0.017,961.1900931575976,956.7621278085113,980.5926352850496,963.8267460149175,0.6881180408974532,0.9130025088941238,0.8062703998003258
0.018,964.3548148470296,959.8818639885278,983.9408039185486,967.0148366856585,0.6912392933523575,0.9199790323843616,0.8098556442897475
0.019,967.3579798956234,962.8145508339595,987.0705958830415,970.0144193616459,0.6941242559032579,0.926548042142457,0.8131840911607355
0.02,970.2157166177072,965.5808956114641,990.0072780849541,972.8461964813974,0.6968001908379713,0.9327259912098214,0.8162808655654104
0.021,972.941833073494,968.1984003316567,992.7721055408167,975.527684819406,0.6992889272965802,0.9385251135651628,0.8191652081919969
