strain,RD,DD,TD,biaxial,r_RD,r_DD,r_TD
0,532.2041528106112,599.1869924508186,532.2041528106112,565.6955726,0.3961640965328839,0.3447016950309489,0.4823122157890935
0.00011,716.3314723244538,615.0790460592292,590.6028494744828,634.2731035,0.4041761399821709,0.361064415,0.4907677336336533
0.0002,726.8866408303927,641.4999771278211,620.7707922967174,657.6643468,0.4105437054017922,0.3740600158899383,0.4975082483193347
0.0003,734.3610870481922,660.6595136701326,642.6255711644725,674.5764214,0.4174267125146089,0.3880977561691594,0.5048150270396121
0.0004,739.8680045122503,673.8950773827315,657.6433196466785,686.3253697,0.4241135659597878,0.4017244597672089,0.5119342998974759
0.0005,744.2839946980629,683.9061494459936,669.0333427397239,695.2824091,0.430610304,0.4149521440879766,0.5188709080656153
0.0006,748.0034888669651,692.0687313368301,678.4280036220373,702.6422388,0.4369227782361066,0.4277925038723396,0.5256295771329818
0.0007,751.2385161236255,699.0580288171187,686.5999217339667,708.9886239,0.4430566550683731,0.440256919,0.5322149195382977
0.0008,754.1164351791737,705.2179557641384,693.9188036183023,714.6177876,0.4490174258258407,0.4523564615566755,0.5386314369623761
0.0009,756.7198323946739,710.7419006810735,700.5783585075974,719.6954981,0.45481041,0.4641019042004046,0.5448835226794344
0.001,759.1053581705562,715.7524479444397,706.6951669993654,724.3263553,0.4604407614326736,0.4755037264430939,0.5509754638680135
0.002,776.5239291644608,749.7754217102517,749.6283924040695,756.4257912,0.5088245065964774,0.5727328036558106,0.603958676
0.003,788.6302474852432,770.0585259544719,775.6053137224498,776.0881533,0.5455620669072633,0.645209034,0.6449380374915066
0.004,798.4213573131683,784.6039121875688,793.9636247901246,790.3982016,0.5737472873513023,0.6995652320718335,0.6767702506439832
0.005,806.8558977227063,796.0687181444334,808.1304907277237,801.7809562,0.5956347324100125,0.7407474097395834,0.7016605789194443
0.01,838.7974761048872,833.7718083,852.3477847091297,839.6722194,0.6548854397620119,0.8475370153527138,0.7688607117165347
0.011,843.9380166175215,839.2964850176522,858.5324694582466,845.265864,0.6615403275640226,0.8596616240459127,0.7763139010910436
0.012,848.7896931514922,844.4190858773982,864.2089154,850.4591951,0.6673178326745575,0.8704626675565947,0.7827786501812284
0.013,853.3826322703303,849.1958509993982,869.4548672937655,855.3073004,0.6724039631919982,0.8802700585818997,0.788477321
0.014,857.7412719662175,853.6702736642939,874.3299043095062,859.8529309,0.6769365125134453,0.8893054404251757,0.7935725970877385
0.015,861.8858730229442,857.8768178821329,878.8807600750409,864.1300672,0.6810181377305249,0.8977151248975446,0.7981830205393194
0.016,865.8335469,861.8433768498318,883.1448477022631,868.1662871,0.6847258718302163,0.9055939724637624,0.8023947491778145
0.017,869.5989753544104,865.5929476624053,887.1526630936124,871.9843834,0.6881180408974532,0.9130025088941238,0.8062703998003258
0.018,873.1949274520512,869.144802,890.9294646193639,875.603499,0.6912392933523575,0.9199790323843616,0.8098556442897475
0.019,876.6326389,872.5153231755875,894.4964730934298,879.0399396,0.6941242559032579,0.926548042,0.8131840911607355
0.02,879.9220962500632,875.7186172240022,897.8717459578961,882.3077692,0.6968001908379713,0.9327259912098214,0.8162808655654104
0.021,883.0722536390011,878.7669666229345,901.0708253960358,885.4192531,0.6992889272965802,0.9385251135651628,0.8191652081919969
0.022,886.0912004092934,881.6711732707621,904.1072265200934,888.3851934,0.701608265,0.9439558823851542,0.8218523399020299
0.023,888.9862930117047,884.4408213480607,906.9928104445888,891.2151865,0.7037729942034006,0.94902851,0.824354781
0.024,891.76426,887.0844816423112,909.7380732,893.9178241,0.7057956385566319,0.9537537869590692,0.8266832697876367
0.025,894.4312865248446,889.6098723701211,912.3523721132965,896.5008508,0.7076869943736828,0.9581434835772028,0.8288473867818169
0.026,896.9930836101518,892.0239872425968,914.8441054849845,898.9712909,0.7094565246301044,0.9622104580097356,0.8308559703659668
0.027,899.4549447347918,894.3331986,917.2208562539397,901.3355495,0.711112646,0.9659685913803884,0.8327173808356676
0.028,901.8217933,896.5433410303827,919.4895084204891,903.5994959,0.7126629408779293,0.9694326194049694,0.8344396603984663
0.029,904.0982222197852,898.6597806186589,921.6563420213547,905.7685314,0.714114309,0.9726179144612814,0.8360306214451825
0.03,906.2885277879062,900.6874715223489,923.7271113555494,907.8476455,0.7154730862123001,0.9755402520162876,0.8374978872618613
0.031,908.3967381886124,902.6310037995274,925.7071099306966,909.8414639,0.7167451261700456,0.9782155831633048,0.8388489024362258
0.032,910.4266383218296,904.4946434538008,927.6012248003002,911.7542875,0.7179358674405573,0.980659826,0.8400909251509958
0.033,912.3817911953264,906.2823664,929.4139823572523,913.5901266,0.7190503816614805,0.9828886846057115,0.8412310098155302
0.034,914.2655566020362,907.9978877148465,931.1495872,915.3527298,0.7200934121157979,0.9849174930312756,0.8422759857484721
0.035,916.0811075,909.6446862264122,932.8119553,917.0456088,0.7210694041427032,0.9867610935804976,0.8432324356388605
0.036,917.8314445471594,911.2260265,934.4047425887445,918.6720601,0.7219825297975573,0.9884337388307358,0.844106676
0.037,919.5194088,912.7449776806094,935.9313695737527,920.2351834,0.7228367083266202,0.9899490204124106,0.8449047415645055
0.038,921.1476934150996,914.2044296194692,937.3950428,921.7378989,0.723635624,0.9913198198186848,0.8456323723086641
0.039,922.7188536398612,915.6071078135777,938.7987736968455,923.1829607,0.7243827391413609,0.992558278,0.8462950064660149
0.04,924.2353163077668,916.9555860606067,940.1453948654078,924.5729708,0.7250813118063766,0.9936757837727016,0.8468977761712821
0.041,925.6993880999236,918.2522979393425,941.4375748,925.9103897,0.7257344037082334,0.9946829690635894,0.8474455073277554
0.042,927.1132631720552,919.4995470319141,942.6778308353381,927.197547,0.7263448934806501,0.9955897236384744,0.8479427226244951
0.043,928.4790300858248,920.6995160982016,943.8685404050398,928.4366507,0.7269154865965013,0.9964052117829992,0.8483936473203499
0.044,929.7986781,921.8542753436532,945.0119516,929.6297951,0.7274487250446937,0.9971378980708892,0.8488022173158782
0.045,931.0741032293172,922.9657898989554,946.1101922933027,930.7789688,0.7279469964419885,0.997795577,0.8491720890543704
