strain,RD,DD,TD,biaxial,r_RD,r_DD,r_TD
0.0,441.5419145931865,497.11406881902985,441.5419145931865,617.9766315363725,0.3961640965328839,0.3447016950309489,0.4823122157890935
0.00011,634.5500986341615,544.8573522508988,523.175528183276,665.0679497768301,0.4041761399821709,0.361064414671759,0.4907677336336533
0.0002,655.2366780647137,578.2666655032137,559.5807777116796,626.2274220954544,0.4105437054017922,0.3740600158899383,0.4975082483193347
0.0003,669.8537268585505,602.6262083075951,586.1763938901048,612.9131653584257,0.4174267125146089,0.3880977561691594,0.5048150270396121
0.0004,680.5516769691671,619.8678983509025,604.9190684062168,604.1181335496904,0.4241135659597878,0.4017244597672089,0.5119342998974759
0.0005,689.0581339103796,633.1603238334638,619.3910791526221,601.5881609857977,0.430610304442602,0.4149521440879766,0.5188709080656153
0.0006,696.1568042625572,644.0990764191176,631.4038342777607,602.9771518094915,0.4369227782361066,0.4277925038723396,0.5256295771329818
0.0007,702.2715817983752,653.4923025505043,641.8462349172269,602.0642728164204,0.4430566550683731,0.440256918903259,0.5322149195382977
0.0008,707.6583604287534,661.7723192870013,651.1692623733065,606.7871222717841,0.4490174258258407,0.4523564615566755,0.5386314369623761
0.0009,712.48377574831,669.1936054818085,659.6242000126538,608.4604179160195,0.454810410078529,0.4641019042004046,0.5448835226794344
0.001,716.8625490517798,675.9221480929392,667.3688880798472,612.550837816732,0.4604407614326736,0.4755037264430939,0.5509754638680135
0.002,747.3931849160095,721.64812874052,721.5066151344399,663.8861493465382,0.5088245065964774,0.5727328036558106,0.603958675980806
0.003,766.9630514680556,748.9015780948549,754.2959708231831,708.4671754052546,0.5455620669072633,0.645209033982141,0.6449380374915066
0.004,781.7987175772882,768.2689431286932,777.4337922932929,746.7107838121026,0.5737472873513023,0.6995652320718335,0.6767702506439832
0.005,793.9141885357471,783.30003184972,795.1683374787589,771.3813912926466,0.5956347324100125,0.7407474097395834,0.7016605789194443
0.01,835.0950427750893,830.0915581518733,848.585540619721,816.7578361866921,0.6548854397620119,0.8475370153527138,0.7688607117165347
0.011,841.1409970713121,836.5148486564084,855.687080281735,824.1768916833776,0.6615403275640226,0.8596616240459127,0.7763139010910436
0.012,846.722949798738,842.3629846467198,862.1046273452952,831.0893927115263,0.6673178326745575,0.8704626675565947,0.7827786501812284
0.013,851.9025754442655,847.723055481409,867.9469357251678,837.5494146997023,0.6724039631919982,0.8802700585818997,0.788477320623322
0.014,856.729226413034,852.663031465995,873.2982858942661,843.6001309217165,0.6769365125134453,0.8893054404251757,0.7935725970877385
