strain,RD,DD,TD,biaxial,r_RD,r_DD,r_TD
0.0,832.5548238472203,907.6895729321684,1051.5443185558493,1165.2334888398893,0.7417173559248913,0.9999999999518696,0.8341896660344233
0.00011,835.7463835250355,898.9972324015224,995.2435948835406,875.9405049668876,0.7417173559248924,1.0007121500124798,0.8342456159066655
0.0002,838.287220291482,790.7772610738203,834.9311286153206,801.1737781364737,0.7417173559248932,1.001291911932425,0.8342915024060766
0.0003,841.0401582769183,771.8527893483362,797.0704344914635,769.5479847825187,0.7417173559248941,1.0019330393714834,0.8343426030058093
0.0004,843.7230497467243,775.4378692726602,791.9468437516161,748.9635413372675,0.741717355924895,1.002570969174135,0.8343938254886897
0.0005,846.3395775457648,783.8933529480614,795.7757176959756,738.9040851108716,0.7417173559248958,1.0032057172886577,0.8344451700599784
0.0006,848.8931363594276,792.986592481522,802.3451790116967,735.2699311685295,0.7417173559248966,1.0038372995837868,0.834496636924814
0.0007,851.3868622671513,801.7048385721691,809.7709786674872,729.9022563374815,0.7417173559248975,1.0044657318491126,0.8345482262882102
0.0008,853.8236585831871,809.8586518525971,817.4058201110847,732.1176851572283,0.7417173559248984,1.0050910297954736,0.834599938355053
0.0009,856.2062185323866,817.4590899815524,824.9933685958487,731.1992374890881,0.7417173559248992,1.005713209055351,0.8346517733300965
0.001,858.5370452165702,824.5562259402396,832.4163954081268,733.6100721675803,0.7417173559249001,1.006332285183259,0.8347037314179613
0.002,879.4448174050707,876.1057624851959,892.4067322354678,781.183512471329,0.7417173559249085,1.0123557412230435,0.8352301284157662
0.003,897.0101305762823,906.609070865028,930.0495219850845,828.5956309144917,0.7417173559249166,1.018085429848465,0.8357690606563423
0.004,912.1975710506948,926.6807533736969,954.230601626594,871.2572020859353,0.7417173559249245,1.0235356782652296,0.8363207300317077
0.005,925.6018072702076,941.3141619626895,970.8955017480181,899.3314645149869,0.7417173559249322,1.0287201149329823,0.8368853363556904
0.01,976.2828764379698,987.1614914362552,1017.1492880592662,954.8454353360961,0.7417173559249666,1.051087363032477,0.8399092241005798
0.011,984.288489151153,994.1484970875711,1023.9120331473692,964.4373896087117,0.741717355924973,1.0549280881927563,0.8405554851086594
0.012,991.8062036344212,1000.7438674463239,1030.3298870252231,973.4938868280149,0.741717355924979,1.05858149897867,0.8412159918268447
0.013,998.895183786526,1006.999252080194,1036.4595802279023,982.0654387509729,0.741717355924985,1.062056730819955,0.8418909134152545
0.014,1005.6042789105438,1012.9534774266999,1042.3382388634948,990.1937218789236,0.7417173559249908,1.065362473606189,0.8425804132426332
0.015,1011.9743073804748,1018.6373765948591,1047.9921113712455,997.9161416219468,0.7417173559249963,1.0685069934160374,0.843284648408819
0.016,1018.0397387574542,1024.076415437411,1053.4411860622952,1005.2649459517053,0.7417173559250019,1.071498153186757,0.8440037692562543
0.017,1023.8299555107892,1029.2921961663985,1058.7016508873821,1012.270732394467,0.7417173559250072,1.0743434323756331,0.8447379188713603
0.018,1029.370214771982,1034.303374951534,1063.787221793168,1018.9590341395734,0.7417173559250123,1.0770499456625195,0.8454872325766885
0.019,1034.682392057616,1039.126262392674,1068.7098778400953,1025.351729251349,0.7417173559250174,1.0796244607402423,0.8462518374148567
0.02,1032.094710314037,1036.054880299703,1065.5402053142327,1030.3117227758148,0.7417173559250223,1.0820734152373572,0.8470318516253875
0.021,1033.972223649742,1037.5022323101607,1067.0408218652956,1032.7907317535787,0.7417173559250272,1.084402932815574,0.8478273841156566
0.022,1035.765559186045,1038.895589140846,1068.5056579676732,1035.147035811579,0.7417173559250319,1.0866188384821,0.8486385339272717
0.023,1037.482070014833,1040.2390793916425,1069.93628967636,1037.3885386810787,0.7417173559250364,1.0887266731551917,0.8494653896992979
0.024,1039.128180838731,1041.5363612296633,1071.3342149540613,1039.5228701930353,0.741717355925041,1.090731707519336,0.850308029129854
0.025,1040.7095383650778,1042.7906937245223,1072.7008588246003,1041.556634313189,0.7417173559250453,1.092638955204708,0.851166518437703
0.026,1042.2311323832837,1044.0049943701758,1074.0375757323338,1043.4967170220693,0.7417173559250496,1.0944531853238553,0.85204091182556
0.027,1043.697394133154,1045.181886177511,1075.3456511943157,1045.3483917979934,0.741717355925054,1.096178934396965,0.8529312509469397
0.028,1045.1122768958896,1046.3237366847002,1076.6263035743286,1047.1165562148744,0.741717355925058,1.0978205176955265,0.853837564378459
0.029,1046.4793225326544,1047.4326905784003,1077.8806862280087,1048.8079839256256,0.7417173559250622,1.099382040032757,0.8547598670995985
0.03,1047.8017168150882,1048.5106971865564,1079.1098900206357,1050.7034577278728,0.7417173559250662,1.100867406027773,0.8556981599820128
0.031,1049.0823357418558,1049.559533805229,1080.3149461290573,1052.2388966784536,0.7417173559250702,1.1022803298691723,0.8566524292905549
0.032,1050.3237845496842,1050.5808256083367,1081.4968290202603,1053.709203397135,0.7417173559250738,1.1036243446024387,0.8576226461982536
0.033,1051.528430760835,1051.576062731849,1082.6564595090583,1055.1203008079565,0.7417173559250777,1.1049028109643964,0.8586087663175411
0.034,1052.6984323297,1052.5466150051946,1083.7947078167276,1056.474214649138,0.7417173559250814,1.1061189257868025,0.8596107292500824
0.035,1053.8357617364911,1053.4937447114567,1084.9123965725,1057.7733340607076,0.741717355925085,1.1072757299900906,0.8606284581576014
0.036,1054.9422267094758,1054.418617686787,1086.010303717326,1059.0215120979003,0.7417173559250887,1.1083761161872578,0.8616618593561242
0.037,1056.019488127084,1055.3223130134234,1087.0891652833661,1060.2220275963455,0.7417173559250922,1.1094228359169007,0.8627108219360864
0.038,1057.0690755487449,1056.2058315160657,1088.1496780333866,1061.377634626723,0.7417173559250958,1.110418506523497,0.8637752174107464
0.039,1058.0924007420383,1057.0701032355516,1089.1925019521389,1062.4895658456471,0.7417173559250992,1.1113656177021298,0.8648548993953424
0.04,1059.0907695089047,1057.9159940248278,1090.2182625874439,1063.5606964944532,0.7417173559251027,1.1122665377240208,0.865949703319409
0.041,1060.0653920615523,1058.7443113886948,1091.2275532426634,1064.5934963934392,0.741717355925106,1.1131235193584426,0.867059446174617
0.042,1061.017392156617,1059.555809669547,1092.220937024861,1065.5890168295107,0.7417173559251093,1.1139387055058154,0.8681839263004589
0.043,1061.947815161924,1060.3511946654828,1093.1989487546707,1066.551088277712,0.7417173559251127,1.1147141345560738,0.8693229232100114
0.044,1062.8576352022894,1061.1311277541379,1094.1620967449214,1067.4790587654406,0.7417173559251159,1.1154517454857034,0.8704761974579304
0.045,1063.7477615078462,1061.8962295846704,1095.1108644555652,1068.377179574962,0.7417173559251191,1.116153382706191,0.8716434905527115
0.046,1064.6190440694836,1062.6470833913309,1096.045712032673,1069.3085535304176,0.7417173559251223,1.1168208006760154,0.8728245249151293
0.047,1065.4722786903117,1063.384237974434,1096.967077739207,1070.3639417774975,0.7417173559251256,1.1174556682877066,0.8740190038846223
0.048,1066.308211509019,1064.1082103882138,1097.8753792850646,1071.394297117477,0.7417173559251287,1.1180595730409466,0.8752266117752268
0.049,1067.1275430600947,1064.819488369624,1098.7710150635944,1072.40185622894,0.7417173559251318,1.118634025012144,0.8764470139824826
0.05,1067.930931926739,1065.5185325376353,1099.654365301412,1073.3876125480012,0.7417173559251349,1.119180460630414,0.8776798571425406
0.051,1068.7189980345834,1066.2057783886914,1100.5257931279411,1074.3513351987156,0.741717355925138,1.1197002462693968,0.8789247693444867
0.052,1069.4923256278378,1066.8816381106851,1101.3856455706946,1075.2946931753377,0.7417173559251409,1.120194681663906,0.8801813603966719
0.053,1070.2514659639482,1067.5465022349968,1102.2342544818976,1076.2171155518563,0.7417173559251439,1.1206650031599397,0.8814492221475974
0.054,1070.9969397581622,1068.2007411437353,1103.071937401648,1077.1209898229763,0.7417173559251469,1.1211123868061914,0.8827279288616499
0.055,1071.7292394053743,1068.8447064472025,1103.8989983624294,1078.0064867460749,0.7417173559251499,1.1215379512947836,0.8840170376497216
0.056,1072.448831003196,1069.4787322448349,1104.7157286394158,1078.874682869334,0.7417173559251528,1.1219427607585806,0.8853160889544741
0.057,1073.1561561972371,1070.1031362813044,1105.522407450671,1079.7244576014616,0.7417173559251558,1.122327827432075,0.8866246070897263
0.058,1073.851633867048,1070.7182210081278,1106.3193026110198,1080.5587185065872,0.7417173559251586,1.1226941141825018,0.8879421008331635
0.059,1074.5356616689662,1071.3242745599239,1107.1066711430644,1081.3761182762303,0.7417173559251615,1.1230425369175063,0.8892680640712733
0.06,1075.2086174502217,1071.9215716534873,1107.8847598485463,1082.1793586121726,0.7417173559251644,1.1233739668753924,0.8906019764951303
0.061,1075.8708605469892,1072.5103744169,1108.6538058429985,1082.9668969129739,0.7417173559251671,1.1236892328036705,0.8919433043453572
0.062,1076.5227329776478,1073.0909331551543,1109.4140370563862,1083.739174975142,0.74171735592517,1.123989123031358,0.8932915012043149
0.063,1077.1645605412525,1073.6634870580615,1110.1656727022396,1084.4986271517455,0.7417173559251727,1.1242743874402137,0.894646008833289
0.064,1077.796653830114,1074.2282648556022,1110.908923717546,1085.2444999950728,0.7417173559251756,1.124545739339831,0.8960062580521772
0.065,1078.4193091644438,1074.7854854253699,1111.6439931755333,1085.978035771963,0.7417173559251785,1.124803857251285,0.8973716696589208
0.066,1079.0328094561469,1075.3353583562512,1112.3710766732581,1086.6983409925765,0.7417173559251812,1.1250493866037874,0.8987416553856852
0.067,1079.637425008132,1075.8780844721052,1113.0903626958032,1087.4065307239132,0.741717355925184,1.1252829413485963,0.9001156188885556
0.068,1080.2334142548275,1076.413856318807,1113.8020329587148,1088.1026181174261,0.7417173559251866,1.1255051054942145,0.9014929567673166
0.069,1080.8210244490306,1076.9428586177048,1114.506262730204,1088.7876043586384,0.7417173559251895,1.125716434566713,0.9028730596116814
0.07,1081.4004922996878,1077.4652686882464,1115.203221134498,1089.4624303445307,0.7417173559251922,1.1259174569988382,0.9042553130701768
0.071,1081.9720445647686,1077.9812568422653,1115.8930714376443,1090.0533253014103,0.7417173559251949,1.1261086754513667,0.9056390989377362
0.072,1082.535898602968,1078.4909867521878,1116.575971316941,1090.7077147720076,0.7417173559251976,1.1262905680700208,0.9070237962579394
0.073,1083.0922628876351,1078.9946157952156,1117.252073115106,1091.3523605306352,0.7417173559252004,1.1264635896810802,0.9084087824357348
0.074,1083.6413374859846,1079.4922953753478,1117.921524080192,1091.9869913057585,0.7417173559252032,1.1266281729286864,0.909793434356418
0.075,1084.1833145063792,1079.9841712249352,1118.5844665921857,1092.6123350476396,0.7417173559252058,1.1267847293566762,0.9111771295065968
0.076,1084.7183785161972,1080.4703836873255,1119.241038377164,1093.2290826024134,0.7417173559252085,1.126933650437658,0.9125592470928552
0.077,1085.2467069325864,1080.951067982005,1119.8913727098143,1093.8358144796225,0.7417173559252112,1.1270753085518954,0.9139391691538572
0.078,1085.7684703881855,1081.4263544535245,1120.535598605052,1094.4352297915664,0.7417173559252139,1.127210057918452,0.9153162816616572
0.079,1086.283833073718,1081.8963688053966,1121.1738409994398,1095.024809340627,0.7417173559252166,1.1273382354809252,0.916689975608066
0.08,1086.792953059192,1082.361232320041,1121.8062209230422,1095.6071910508424,0.7417173559252193,1.1274601617499782,0.9180596480720158
0.081,1087.2959825952955,1082.8210620657733,1122.4328556623136,1096.1818742243324,0.7417173559252218,1.1275761416047858,0.9194247032639896
0.082,1087.7930683964275,1083.2759710917385,1123.0538589145694,1096.7483349787406,0.7417173559252244,1.1276864650553895,0.920784553543728
0.083,1088.2843519067046,1083.7260686116374,1123.6693409345592,1097.3080961269593,0.7417173559252271,1.1277914079678746,0.922138620407598
0.084,1088.7699695501478,1084.171460177,1124.2794086736135,1097.8595477720194,0.7417173559252297,1.127891232754179,0.9234863354421988
0.085,1089.2500529661745,1084.6122478407272,1124.8841659118182,1098.404170313047,0.7417173559252324,1.127986189028259,0.9248271412409989
0.086,1089.724729231417,1085.0485303115465,1125.483713383619,1098.9423857297497,0.741717355925235,1.1280765142302551,0.9261604922810144
0.087,1090.1941210688103,1085.4804030999803,1126.0781488972543,1099.4735602469696,0.7417173559252377,1.1281624342202157,0.9274858557568
0.088,1090.6583470448174,1085.907958656391,1126.6675674483672,1099.999115688104,0.7417173559252404,1.1282441638428646,0.9288027123692656
0.089,1091.1175217555938,1086.331286501606,1127.2520613281397,1100.5173473921504,0.7417173559252429,1.128321907464825,0.9301105570671216
0.09,1091.5717560028245,1086.7504733506103,1127.831720226257,1100.9759107622504,0.7417173559252455,1.1283958594856418,0.931408899739006
0.091,1092.021156959916,1087.165603229728,1128.4066313289973,1101.48329301717,0.7417173559252481,1.1284662048238836,0.9326972658546624
0.092,1092.4658283291744,1087.576757587725,1128.9768794127265,1101.9843407087944,0.7417173559252508,1.1285331193795327,0.9339751970537924
0.093,1092.905870490545,1087.9840154011831,1129.5425469330416,1102.4793620759308,0.7417173559252533,1.1285967704738291,0.9352422516815282
0.094,1093.3413806424592,1088.387453274521,1130.1037141098175,1102.96865373481,0.7417173559252559,1.1286573172676593,0.9364980052697244
0.095,1093.772452935276,1088.7871455349684,1130.6604590083655,1103.4535370574895,0.7417173559252584,1.1287149111595418,0.9377420509635848
0.096,1094.199178597797,1089.1831643228109,1131.2128576169355,1103.932210220827,0.7417173559252611,1.1287696961642024,0.938973999893398
0.097,1094.6216460572653,1089.575579677178,1131.7609839207346,1104.405971034698,0.7417173559252638,1.128821809272686,0.9401934814914312
0.098,1095.039941053258,1089.9644596176386,1132.304909972664,1104.8750720287169,0.7417173559252663,1.1288713807949051,0.941400143754306
0.099,1095.45414674584,1090.3498702218537,1132.8447059609457,1105.2420533577267,0.7417173559252689,1.128918534685484,0.9425936534514132
0.1,1095.8643438183203,1090.7318756995048,1133.3804402737953,1107.5754601484261,0.7417173559252714,1.1289633888537074,0.9437736962801796
0.11,1099.7620019985034,1094.3775706980844,1138.5282660130688,1111.7540041461484,0.7417173559252973,1.1293076128176438,0.9547778929475086
0.12,1103.3323886443266,1097.7418550771981,1143.333868186378,1115.5795320448367,0.741717355925323,1.1295163952067422,0.9642282349125868
0.13,1106.6270610462775,1100.8666632283796,1147.8435978612927,1119.1109085187898,0.7417173559253485,1.129643028127644,0.9720988288670708
0.14,1109.6862217116702,1103.7850812947024,1152.0947481514097,1122.3919919575014,0.7417173559253739,1.1297198348771278,0.9784879064287056
0.15,1112.5418330066786,1106.5236901779476,1156.1177974085742,1125.4554636832627,0.7417173559253994,1.129766420525822,0.9835673101296074
0.16,1115.219730757165,1109.1041778642866,1159.937994239597,1128.3300482878176,0.7417173559254249,1.1297946761502151,0.987538972011906
0.17,1117.7410999738083,1111.544479244111,1163.5765040307663,1131.0382371274588,0.7417173559254503,1.1298118140528146,0.9906043220608928
0.18,1120.1235308021849,1113.8596008726079,1167.0512554659426,1133.5978649977767,0.7417173559254758,1.129822208716242,0.9929464973028286
0.19,1122.3817904215343,1116.0622300025393,1170.3775769364545,1136.0259993186155,0.7417173559255013,1.1298285133983432,0.9947223905546272
0.2,1124.5283979982537,1118.1631924316282,1173.5686827299978,1138.3339832712254,0.7417173559255267,1.129832337381359,0.9960610746758553
0.21,1126.5740601284067,1120.1718022012585,1176.6360498206288,1140.305193291697,0.7417173559255521,1.1298346567443127,0.9970657510094116
0.22,1128.5280055537237,1122.096132507846,1179.5897136634237,1142.4168359931055,0.7417173559255775,1.1298360635090634,0.9978172659157402
0.23,1130.3982459039105,1123.9432282713697,1182.4385031246984,1144.4383752476976,0.741717355925603,1.1298369167550202,0.9983780219468606
0.24,1132.1917812735107,1125.719274859814,1185.1902290552325,1146.3761328633336,0.7417173559256284,1.1298374342748565,0.9987956675086124
0.25,1133.914764085063,1127.4297334229907,1187.8518371207351,1148.236754681831,0.7417173559256538,1.1298377481665058,0.9991062979402346
0.26,1135.5726310100629,1129.0794504864969,1190.4295327632071,1150.0274787954454,0.7417173559256792,1.129837938551416,0.9993370977450696
0.27,1137.1702101470842,1130.6727474822942,1192.9288842080675,1151.7522053315602,0.7417173559257046,1.1298380540257018,0.9995084526034654
0.28,1138.711808830455,1132.2134944806287,1195.3549080123025,1153.416873854408,0.7417173559257301,1.129838124064397,0.9996356013382578
0.29,1140.2012861279736,1133.7051713643446,1197.712140606674,1155.0244083791235,0.7417173559257555,1.1298381665450132,0.9997299086976944
0.3,1141.6421131267814,1135.1509189349729,1200.004698510854,1156.4146889246044,0.7417173559257809,1.1298381923108096,0.9997998355646364
0.31,1143.037423397993,1136.5535818814335,1202.236329318863,1157.9248216329304,0.7417173559258063,1.1298382079385552,0.9998516728690544
0.32,1144.3900555015327,1137.9157451226704,1204.410455111014,1159.3880870123915,0.7417173559258318,1.129838217417262,0.999890093678336
0.33,1145.702588993316,1139.239764717207,1206.5302096106159,1160.807884593365,0.7417173559258572,1.1298382231663884,0.999918566832525
0.34,1146.9773750926374,1140.5277942887992,1208.5984701425418,1162.1860976446167,0.7417173559258826,1.12983822665341,0.9999396659296276
0.35,1148.2165629336705,1141.7818077289728,1210.6178852472754,1163.5252196779918,0.741717355925908,1.1298382287683952,0.9999552996356904
0.36,1149.4221221435737,1143.0036187904573,1212.5908986442437,1164.827364377887,0.7417173559259335,1.1298382300511989,0.999966883077518
0.37,1150.5958623479,1144.1948980703087,1214.519770111838,1166.0953490457584,0.7417173559259589,1.1298382308292585,0.9999754652395704
0.38,1151.7394500923622,1145.3571877903917,1216.406593750851,1167.1977114667818,0.7417173559259843,1.1298382313011754,0.9999818235760602
0.39,1152.8544235814668,1146.4919147103312,1218.253314017333,1168.403685858779,0.7417173559260097,1.1298382315874078,0.9999865342299616
0.4,1153.9422055638724,1147.6004014499335,1220.0617398457878,1169.5800221078239,0.7417173559260352,1.1298382317610165,0.9999900241231868
0.41,1155.0041146375552,1148.6838764511717,1221.8335571307998,1170.7285072757456,0.7417173559260606,1.1298382318663152,0.999992609584738
0.42,1156.0413752020156,1149.7434827718528,1223.570339792123,1171.8486523257588,0.741717355926086,1.1298382319301823,0.999994524988449
0.43,1157.0551262474987,1150.7802858720825,1225.27355961292,1172.9439385222104,0.7417173559261114,1.1298382319689195,0.99999594398004
0.44,1158.0464291407648,1151.7952805292516,1226.944595011758,1174.0145673376649,0.7417173559261369,1.1298382319924152,0.9999969952089278
0.45,1159.0162745419675,1152.7893969963657,1228.58473888484,1174.9479316666996,0.7417173559261623,1.1298382320066658,0.9999977739861594
0.46,1159.9655885665925,1153.7635065012107,1230.1952056349378,1175.9746989704154,0.7417173559261878,1.1298382320153093,0.999998350922758
0.47,1160.895238289324,1154.718426169497,1231.7771374867407,1176.9795783567704,0.7417173559262131,1.1298382320205518,0.9999987783302268
0.48,1161.806036672516,1155.6549234431,1233.3316101743117,1177.9632831018198,0.7417173559262386,1.1298382320237317,0.9999990949627432
0.49,1162.6987469900414,1156.5737200544534,1234.8596380745055,1178.927462549906,0.741717355926264,1.12983823202566,0.9999993295305808
0.5,1163.5740868073551,1157.4754956097051,1236.362178850249,1179.8715876852607,0.7417173559262894,1.12983823202683,0.9999995033030932
