strain,RD,DD,TD,biaxial,r_RD,r_DD,r_TD
0.0,554.467,624.2518258993261,554.467,589.3594129496631,0.3961640965328839,0.3447016950309489,0.4823122157890935
0.00011,587.2956,504.28220922724785,484.2150153172674,520.0187584429408,0.4041761399821709,0.361064414671759,0.4907677336336533
0.0002,609.3986,537.813141695836,520.4344535956052,551.3648342468193,0.4105437054017922,0.3740600158899383,0.4975082483193347
0.0003,627.298,564.3414376326424,548.936677950471,576.229388303939,0.4174267125146089,0.3880977561691594,0.5048150270396121
0.0004,640.2747,583.1823593819985,569.1182435593608,593.9394155808395,0.4241135659597878,0.4017244597672089,0.5119342998974759
0.0005,650.35956,597.601057665399,584.6051151295414,607.5416976150849,0.430610304442602,0.4149521440879766,0.5188709080656153
0.0006,658.9816,609.7037870466755,597.6864786939103,619.0189131968153,0.4369227782361066,0.4277925038723396,0.5256295771329818
0.0007,666.8002,620.4847374334475,609.4269067759734,629.2991454107171,0.4430566550683731,0.440256918903259,0.5322149195382977
0.0008,672.68494,629.0666482390216,618.9876085460771,637.4514612560301,0.4490174258258407,0.4523564615566755,0.5386314369623761
0.0009,678.1966,636.9897019800038,627.8808092948534,645.0142033137153,0.454810410078529,0.4641019042004046,0.5448835226794344
0.001,719.57556,678.4802175448115,669.8945871866804,686.6076455690758,0.4604407614326736,0.4755037264430939,0.5509754638680135
0.002,746.43365,720.7216464142497,720.58031448931,727.1143143294523,0.5088245065964774,0.5727328036558106,0.603958675980806
0.003,766.1715,748.1286671411455,753.5174925354603,753.9865817044379,0.5455620669072633,0.645209033982141,0.6449380374915066
0.004,782.4672,768.9258568238045,778.0985424563281,774.6043640259843,0.5737472873513023,0.6995652320718335,0.6767702506439832
0.005,831.5261,820.409094609028,832.8396646074358,826.2959884563729,0.5956347324100125,0.7407474097395834,0.7016605789194443
0.01,838.4342,833.4107087655918,851.978640079992,839.308564402794,0.6548854397620119,0.8475370153527138,0.7688607117165347
0.011,844.7346,840.0886873118649,859.3428283768194,846.0637007501373,0.6615403275640226,0.8596616240459127,0.7763139010910436
0.012,850.5277,846.1481433413461,865.9784951259908,852.2006204521707,0.6673178326745575,0.8704626675565947,0.7827786501812284
0.013,855.932,851.7327112738425,872.0522486995553,857.86241781181,0.6724039631919982,0.8802700585818997,0.788477320623322
0.014,861.0298,856.9431937374023,877.6820321539612,863.1495549071915,0.6769365125134453,0.8893054404251757,0.7935725970877385
0.015,865.3556,861.3304054523252,882.4189040199603,867.6088287311527,0.6810181377305249,0.8977151248975446,0.7981830205393194
0.016,869.16144,865.1559334633289,886.5392780413638,871.5031462420054,0.6847258718302163,0.9055939724637624,0.8023947491778145
0.017,872.7466,868.7260719787032,890.3638255557298,875.140642378284,0.6881180408974532,0.9130025088941238,0.8062703998003258
0.018,876.16254,872.0986498994442,893.9573492020844,878.5792972502433,0.6912392933523575,0.9199790323843616,0.8098556442897475
0.019,879.4152,875.2848153233987,897.3357366486655,881.8301418238657,0.6941242559032579,0.926548042142457,0.8131840911607355
0.02,882.432,878.2165309036643,900.4328495734843,884.8244778452033,0.6968001908379713,0.9327259912098214,0.8162808655654104
0.021,885.29846,880.9823194469758,903.3424057734521,887.6513761668509,0.6992889272965802,0.9385251135651628,0.8191652081919969
0.022,888.03564,883.6059135486257,906.0912005000602,890.3346668993279,0.701608264919044,0.9439558823851542,0.8218523399020299
0.023,890.6547,886.1006976123749,908.6950112042348,892.8877766072462,0.7037729942034006,0.949028509684851,0.824354781114998
0.024,893.1654,888.4782688018646,911.1674536678505,895.322347817895,0.7057956385566319,0.9537537869590692,0.8266832697876367
0.025,895.5762,890.7486142118395,913.5202254080766,897.6484134579389,0.7076869943736828,0.9581434835772028,0.8288473867818169
