strain,RD,DD,TD,biaxial,r_RD,r_DD,r_TD
0.0,643.9279975015197,724.9723215051941,643.9279975015197,901.2337032931173,0.3961640965328839,0.3447016950309489,0.4823122157890935
0.00011,665.1985349922516,571.1736760851287,548.4446313071253,697.1903823103916,0.4041761399821709,0.361064414671759,0.4907677336336533
0.0002,679.5665166593662,599.7385017226318,580.3587812303573,649.4801071376414,0.4105437054017922,0.3740600158899383,0.4975082483193347
0.0003,693.2159068486503,623.6437250888465,606.6201980684161,634.2894556039959,0.4174267125146089,0.3880977561691594,0.5048150270396121
0.0004,705.010504627513,642.1457688048057,626.6596822965344,625.8299620761857,0.4241135659597878,0.4017244597672089,0.5119342998974759
0.0005,715.3646863574827,657.3328347532988,643.0379140234741,624.5553240301098,0.430610304442602,0.4149521440879766,0.5188709080656153
0.0006,724.5724145116831,670.3898031710245,657.1763687912261,627.5893708239944,0.4369227782361066,0.4277925038723396,0.5256295771329818
0.0007,732.8493484623953,681.9461595226912,669.7930078098732,628.2788902494364,0.4430566550683731,0.440256918903259,0.5322149195382977
0.0008,740.3580694415862,692.351711100194,681.2587046640853,634.8257401141564,0.4490174258258407,0.4523564615566755,0.5386314369623761
0.0009,747.2239353163266,701.8229697251099,691.7869674234585,638.1284787599645,0.454810410078529,0.4641019042004046,0.5448835226794344
0.001,753.5454490880438,710.5100682229378,701.5191254456124,643.8959557622617,0.4604407614326736,0.4755037264430939,0.5509754638680135
0.002,798.7845136611588,771.2692076731483,771.1179634829545,709.535470264889,0.5088245065964774,0.5727328036558106,0.603958675980806
0.003,828.1403175287653,808.6381599402224,814.4628396276748,764.9784829605338,0.5455620669072633,0.645209033982141,0.6449380374915066
0.004,850.619134923604,835.8983573392667,845.869972657664,812.4424697608752,0.5737472873513023,0.6995652320718335,0.6767702506439832
0.005,869.1937991738209,857.5731992296762,870.5668675737153,844.5244231574203,0.5956347324100125,0.7407474097395834,0.7016605789194443
0.01,933.0313052948682,927.4410340683638,948.1039092121738,912.5435920140197,0.6548854397620119,0.8475370153527138,0.7688607117165347
0.011,942.3185058725078,937.1358964438214,958.6142796427415,923.3138556434964,0.6615403275640226,0.8596616240459127,0.7763139010910436
0.012,950.8461752928852,945.9500564500073,968.1193686889172,933.2901282220794,0.6673178326745575,0.8704626675565947,0.7827786501812284
0.013,958.718146558154,954.0145786293883,976.7742245588529,942.5653186844941,0.6724039631919982,0.8802700585818997,0.788477320623322
0.014,966.0199370932272,961.4350282727434,984.7026682342764,951.2159971672897,0.6769365125134453,0.8893054404251757,0.7935725970877385
0.015,972.822633701649,968.2975571192238,992.0050002990914,959.3083559789007,0.6810181377305249,0.8977151248975446,0.7981830205393194
0.016,979.1857681182066,974.673217498367,998.7634103232803,966.8985313534457,0.6847258718302163,0.9055939724637624,0.8023947491778145
0.017,985.159520233172,980.6211336539006,1005.0459081908248,974.0368932400373,0.6881180408974532,0.9130025088941238,0.8062703998003258
0.018,990.78644290052,986.1908946623263,1010.9092567695386,980.7655034200981,0.6912392933523575,0.9199790323843616,0.8098556442897475
0.019,996.1028303478186,991.4243941929876,1016.4012028083895,987.1200741883554,0.6941242559032579,0.926548042142457,0.8131840911607355
0.02,1001.1398132086804,996.3572645888519,1021.5621994997438,999.4103015726541,0.6968001908379713,0.9327259912098214,0.8162808655654104
0.021,1005.9242401058186,1001.0200065595513,1026.426752265018,1004.7747978764672,0.6992889272965802,0.9385251135651628,0.8191652081919969
0.022,1010.4793907969412,1005.4388866951218,1031.024480377578,1009.8759674478241,0.701608264919044,0.9439558823851542,0.8218523399020299
0.023,1014.8255555291998,1009.6366557199888,1035.3809613893577,1014.7340667310028,0.7037729942034006,0.949028509684851,0.824354781114998
0.024,1018.9805076495768,1013.6331270550126,1039.518407780058,1019.3675443655749,0.7057956385566319,0.9537537869590692,0.8266832697876367
0.025,1022.9598907556864,1017.4456457026464,1043.456212867823,1023.7925392004203,0.7076869943736828,0.9581434835772028,0.8288473867818169
0.026,1026.7775372128538,1021.089470466657,1047.2113940756117,1028.0243565009855,0.7094565246301044,0.9622104580097356,0.8308559703659668
0.027,1030.4457313767582,1024.578087292098,1050.7989550663794,1032.0757665821827,0.711112646300806,0.9659685913803884,0.8327173808356676
0.028,1033.9754281196977,1027.9234675623636,1054.2321833504886,1035.9583495844363,0.7126629408779293,0.9694326194049694,0.8344396603984663
0.029,1037.3764350979154,1031.1362821786754,1057.5228962667622,1039.6848404360585,0.71411430923086,0.9726179144612814,0.8360306214451825
0.03,1040.6575654920368,1034.2260799344233,1060.681645423213,1043.5395216727977,0.7154730862123001,0.9755402520162876,0.8374978872618613
0.031,1043.8267666055176,1037.2014369104045,1063.7178875273185,1046.9675141748799,0.7167451261700456,0.9782155831633048,0.8388489024362258
0.032,1046.8912286406514,1040.070082230516,1066.6401278742935,1050.2655836241393,0.7179358674405573,0.98065982625954,0.8400909251509958
0.033,1049.8574771281951,1042.8390044366297,1069.4560414745943,1053.4436394377724,0.7190503816614805,0.9828886846057115,0.8412310098155302
0.034,1052.7314518175774,1045.5145418952065,1072.172575799391,1056.5073525701723,0.7200934121157979,0.9849174930312756,0.8422759857484721
0.035,1055.518574302882,1048.1024599830141,1074.7960383382149,1059.4624343205217,0.7210694041427032,0.9867610935804976,0.8432324356388605
0.036,1058.223806235957,1050.6080172741813,1077.3321715459972,1062.3157809443028,0.7219825297975573,0.9884337388307358,0.844106676091684
0.037,1060.851699639292,1053.0360225344987,1079.7862172692053,1065.0734693972292,0.7228367083266202,0.9899490204124106,0.8449047415645055
0.038,1063.4064405596775,1055.3908839974022,1082.1629723537453,1067.7408304108567,0.723635623576995,0.9913198198186848,0.8456323723086641
0.039,1065.8918870851278,1057.6766521310085,1084.4668368286025,1070.321464886484,0.7243827391413609,0.99255827843524,0.8462950064660149
0.04,1068.311602571012,1059.8970568926486,1086.7018558117616,1072.8204463819357,0.7250813118063766,0.9936757837727016,0.8468977761712821
0.041,1070.668884778249,1062.0555402956104,1088.8717560857974,1075.242282279466,0.7257344037082334,0.9946829690635894,0.8474455073277554
0.042,1072.9667915099265,1064.155284973601,1090.9799781294048,1077.5899027741934,0.7263448934806501,0.9955897236384744,0.8479427226244951
0.043,1075.2081632375057,1066.1992393151854,1093.0297042602665,1079.8689165824828,0.7269154865965013,0.9964052117829992,0.8483936473203499
