strain,RD,DD,TD,biaxial,r_RD,r_DD,r_TD
0.0,,,,,0.3961640965328839,0.3447016950309489,0.4823122157890935
0.00011,528.5607702,453.84946338319514,435.78916892702694,468.01221647335433,0.4041761399821709,0.361064414671759,0.4907677336336533
0.0002,492.4018444,434.5598806980984,420.51767897035245,445.50982119163734,0.4105437054017922,0.3740600158899383,0.4975082483193347
0.0003,452.0638091,406.6940113457757,395.5925343122247,415.26109152594404,0.4174267125146089,0.3880977561691594,0.5048150270396121
0.0004,438.4825774,399.3837395668324,389.7521396382982,406.75054904299077,0.4241135659597878,0.4017244597672089,0.5119342998974759
0.0005,440.3268572,404.6066387971619,395.80771757708175,411.3369630928514,0.430610304442602,0.4149521440879766,0.5188709080656153
0.0006,449.1583018,415.57081046104116,407.37987794951886,421.9199501679003,0.4369227782361066,0.4277925038723396,0.5256295771329818
0.0007,460.8319091,428.822855960253,421.1806848685402,434.9145764722615,0.4430566550683731,0.440256918903259,0.5322149195382977
0.0008,473.5161115,442.81234116595476,435.71750761273563,448.71457536116134,0.4490174258258407,0.4523564615566755,0.5386314369623761
0.0009,486.4448656,456.88871039496075,450.3552449101842,462.6443828250264,0.454810410078529,0.4641019042004046,0.5448835226794344
0.001,499.314319,470.79821301651685,464.840634113398,476.4378447866079,0.4604407614326736,0.4755037264430939,0.5509754638680135
0.002,617.1643008,595.9051698441988,595.7883141549676,601.1907386608414,0.5088245065964774,0.5727328036558106,0.603958675980806
0.003,713.0478362,696.2560305417048,701.2712135484804,701.7077777079725,0.5455620669072633,0.645209033982141,0.6449380374915066
0.004,779.2060694,765.721163207485,774.8556193451489,771.3760037900297,0.5737472873513023,0.6995652320718335,0.6767702506439832
0.005,809.5826048,798.7589707829815,810.8615051934584,804.4905128898554,0.5956347324100125,0.7407474097395834,0.7016605789194443
0.01,656.8733433,652.9376766941007,667.4847683092265,657.5583662493569,0.6548854397620119,0.8475370153527138,0.7688607117165347
0.011,636.536181,633.0353281643698,647.5439767054872,637.5377035085568,0.6615403275640226,0.8596616240459127,0.7763139010910436
0.012,628.6245807,625.3876526514506,640.0442553414698,629.8610353360928,0.6673178326745575,0.8704626675565947,0.7827786501812284
0.013,629.977017,626.886286211542,641.8417284362403,631.3978294648311,0.6724039631919982,0.8802700585818997,0.788477320623322
0.014,636.7727262,633.7504853777423,649.0878484710214,638.3403863566265,0.6769365125134453,0.8893054404251757,0.7935725970877385
0.015,645.7770886,642.7732617153689,658.5106871251688,647.4585747889766,0.6810181377305249,0.8977151248975446,0.7981830205393194
0.016,654.8178786,651.8001684573809,667.9101748262341,656.582097585249,0.6847258718302163,0.9055939724637624,0.8023947491778145
0.017,662.7267373,659.6737189121,676.1045108860867,664.5446715025716,0.6881180408974532,0.9130025088941238,0.8062703998003258
0.018,669.0523696,665.949115149552,682.6407835297196,670.8978458572059,0.6912392933523575,0.9199790323843616,0.8098556442897475
0.019,673.7608243,670.5963447863606,687.4905796468523,675.6110233798934,0.6941242559032579,0.926548042142457,0.8131840911607355
0.02,677.0156335,673.7814596704524,690.8261668640787,678.8511799262458,0.6968001908379713,0.9327259912098214,0.8162808655654104
0.021,679.0475663,675.7369712060699,692.8877546856341,680.8523158494435,0.6992889272965802,0.9385251135651628,0.8191652081919969
0.022,680.0899088,676.6974635842606,693.9175120410353,681.8505870023891,0.701608264919044,0.9439558823851542,0.8218523399020299
0.023,680.3520107,676.8733060110186,694.1326172599328,682.0578099954926,0.7037729942034006,0.949028509684851,0.824354781114998
0.024,680.0118483,676.4432990153225,693.7177193378512,681.6540414171241,0.7057956385566319,0.9537537869590692,0.8266832697876367
0.025,679.2167885,675.5554838391095,692.8257737660624,680.7883824860703,0.7076869943736828,0.9581434835772028,0.8288473867818169
0.026,678.0873052,674.3308869770264,691.5818923259721,679.5827428700062,0.7094565246301044,0.9622104580097356,0.8308559703659668
0.027,676.721357,672.8679177101317,690.0878650412945,678.1362643653895,0.711112646300806,0.9659685913803884,0.8327173808356676
0.028,675.1985014,671.2464977181767,688.4264083725373,676.5294763022227,0.7126629408779293,0.9694326194049694,0.8344396603984663
0.029,673.5834229,669.5316019596445,686.664809573443,674.827859098183,0.71411430923086,0.9726179144612814,0.8360306214451825
0.03,671.9288067,667.7761434615481,684.8578974783475,673.0847477753609,0.7154730862123001,0.9755402520162876,0.8374978872618613
0.031,670.277608,666.023252505081,683.0503911652186,671.3436260438451,0.7167451261700456,0.9782155831633048,0.8388489024362258
0.032,668.6648012,664.3080348201615,681.2787131506511,669.6398959977436,0.7179358674405573,0.98065982625954,0.8400909251509958
0.033,667.1187268,662.6589266194219,679.5723879670778,668.0022420014803,0.7190503816614805,0.9828886846057115,0.8412310098155302
0.034,665.6621147,661.0987253263563,677.9551070671754,666.453668104972,0.7200934121157979,0.9849174930312756,0.8422759857484721
0.035,664.3128872,659.6453991656085,676.445565963767,665.0123128737459,0.7210694041427032,0.9867610935804976,0.8432324356388605
0.036,663.0847968,658.3127307715926,675.0581302802365,663.6920971558554,0.7219825297975573,0.9884337388307358,0.844106676091684
0.037,661.987953,657.1108489809648,673.8033863646546,662.5032593316461,0.7228367083266202,0.9899490204124106,0.8449047415645055
0.038,661.0292767,656.0466873958387,672.6886161325388,661.4528169060541,0.723635623576995,0.9913198198186848,0.8456323723086641
0.039,660.212897,655.1243846149146,671.7182114979885,660.5449694319543,0.7243827391413609,0.99255827843524,0.8462950064660149
0.04,659.5405182,654.3456538890917,670.8940569269437,659.7814707262818,0.7250813118063766,0.9936757837727016,0.8468977761712821
0.041,659.0117577,653.7101230229496,670.2158810159201,659.1619711904548,0.7257344037082334,0.9946829690635894,0.8474455073277554
0.042,658.6244568,653.215646618736,669.681579300311,658.6843323344457,0.7263448934806501,0.9955897236384744,0.8479427226244951
0.043,658.3749741,652.8586003811034,669.2875183034897,658.3449232914242,0.7269154865965013,0.9964052117829992,0.8483936473203499
0.044,658.2584542,652.6341503235984,669.0288135285336,658.1388920939326,0.7274487250446937,0.9971378980708892,0.8488022173158782
0.045,658.269075,652.5365002271918,668.8995848653674,658.0604150799377,0.7279469964419885,0.997795577455733,0.8491720890543704
0.046,658.4002745,652.5591183109524,668.8931904313009,658.1029253883014,0.7284125426501533,0.9983854086718368,0.8495066508286087
0.047,658.6449497,652.6949358426901,669.0024314214156,658.259313201699,0.7288474679485315,0.9989139497388636,0.8498090351129903
0.048,658.9956351,652.9365251845716,669.2197356806164,658.5221052874399,0.729253746798209,0.9993871945827806,0.8500821315875768
0.049,659.4446568,653.2762533618114,669.5373160131568,658.8836198841949,0.7296332312245479,0.9998106099773024,0.8503286005670532
0.05,659.9842647,653.7064136816589,669.9473058438564,659.3360994767936,0.729987657838616,1.0001891721751974,0.8505508865922877
0.051,660.606744,654.2193366355583,670.4418735159566,659.8718226967683,0.7303186545139715,1.0005274027405164,0.8507512319841339
0.052,661.3045055,654.8074796292991,671.0133147785547,660.4831948842882,0.7306277467326915,1.0008294032119809,0.8509316901961839
0.053,662.0701611,655.4635019148441,671.6541300127889,661.1628237356192,0.730916363612978,1.0010988883276184,0.8510941388373183
0.054,662.8965776,656.1803179218657,672.3570792416801,661.903573171353,0.7311858436297581,1.0013392176235527,0.8512402922635829
0.055,663.7769225,656.951142581455,673.1152288661746,662.6986091322711,0.7314374400392247,1.0015534252865166,0.851371713664733
