Strain,Stress,Strain Rate,Temperature,Normalized Stress
0.0,0.0,0.0001,298,0.0
0.0002,580.2822,0.0001,298,1.0
0.0004,644.631,0.0001,298,1.1108922520801086
0.0006,681.6933,0.0001,298,1.1747616935346286
0.0008,706.1125333,0.0001,298,1.2168433450138572
0.001,727.0734,0.0001,298,1.2529651952101926
0.0012,742.6388,0.0001,298,1.279789040573707
0.0014,755.4031,0.0001,298,1.301785751829024
0.0016,767.3534,0.0001,298,1.3223796973265767
0.0018,777.4862667,0.0001,298,1.3398416610056278
0.002,786.0922333,0.0001,298,1.3546723185718947
0.0022,794.2745667,0.0001,298,1.3687729292747564
0.0024,801.8906667,0.0001,298,1.3818977502670253
0.0026,808.6269667,0.0001,298,1.3935064123972785
0.0028,814.8081667,0.0001,298,1.4041584709991104
0.003,820.5854,0.0001,298,1.4141143740063025
0.0032,826.2517333,0.0001,298,1.423879163103745
0.0034,831.2607667,0.0001,298,1.4325112276406204
0.0036,836.1524667,0.0001,298,1.4409410915930214
0.0038,840.6859667,0.0001,298,1.448753669680028
0.004,844.9612,0.0001,298,1.4561211769032378
0.0042,849.2685667,0.0001,298,1.4635440595972098
0.0044,853.3019667,0.0001,298,1.4704948156259143
0.0046,857.1531,0.0001,298,1.4771314715495323
0.0048,860.9043,0.0001,298,1.4835959124715528
0.005,864.4417333,0.0001,298,1.4896919693555999
0.0052,867.7510667,0.0001,298,1.4953949418059007
0.0054,870.9156333,0.0001,298,1.5008484377084115
0.0056,874.2890333,0.0001,298,1.506661816095686
0.0058,877.1099333,0.0001,298,1.5115230715331265
0.006,880.1221667,0.0001,298,1.516714051714838
0.0062,882.9863333,0.0001,298,1.5216498684605524
0.0064,885.6179333,0.0001,298,1.5261849033108374
0.0066,888.3414667,0.0001,298,1.530878366939396
0.0068,890.9213667,0.0001,298,1.535324307207769
0.007,893.4977667,0.0001,298,1.5397642159280434
0.0072,895.82,0.0001,298,1.5437661193122934
0.0074,898.1611,0.0001,298,1.5478005356704032
0.0076,900.4830667,0.0001,298,1.551801979623018
0.0078,902.9626333,0.0001,298,1.5560750153976806
0.008,905.0175667,0.0001,298,1.5596162810094811
0.0082,907.099,0.0001,298,1.5632032138845549
0.0084,909.1656333,0.0001,298,1.566764641927669
0.0086,911.1735,0.0001,298,1.5702247975209302
0.0088,913.1359333,0.0001,298,1.5736066577606551
0.009,915.0535667,0.0001,298,1.5769113143570492
0.0092,916.9255667,0.0001,298,1.580137330940015
0.0094,918.7883,0.0001,298,1.5833473782239056
0.0096,920.6021333,0.0001,298,1.5864731561643628
0.0098,922.2459667,0.0001,298,1.589305973369509
0.01,923.9901333,0.0001,298,1.5923116947237053
0.0102,925.6552667,0.0001,298,1.595181218207279
0.0104,927.2863667,0.0001,298,1.5979920919511232
0.0106,928.8569,0.0001,298,1.6006985911337621
0.0108,930.4493,0.0001,298,1.6034427731886314
0.011,931.9957667,0.0001,298,1.6061077984125656
0.0112,933.4548333,0.0001,298,1.6086222070916532
0.0114,934.9568667,0.0001,298,1.6112106604338372
0.0116,936.3952333,0.0001,298,1.6136893968141708
0.0118,937.8098667,0.0001,298,1.6161272337838384
0.012,939.2146333,0.0001,298,1.6185480673024262
0.0122,940.5977667,0.0001,298,1.6209316203392072
0.0124,941.8943333,0.0001,298,1.6231659928565791
0.0126,943.2156,0.0001,298,1.6254429310428615
0.0128,944.5377,0.0001,298,1.6277213052545814
0.013,945.8291333,0.0001,298,1.629946831558852
0.0132,947.0266667,0.0001,298,1.632010540216467
0.0134,948.2596667,0.0001,298,1.6341353684465938
0.0136,949.375,0.0001,298,1.6360574217165373
0.0138,950.5761667,0.0001,298,1.6381273916380685
0.014,951.6750333,0.0001,298,1.6400210678528482
0.0142,952.7944667,0.0001,298,1.6419501868228943
0.0144,953.9576333,0.0001,298,1.6439546711927404
0.0146,955.075,0.0001,298,1.6458802286197993
0.0148,956.1908,0.0001,298,1.647803086153599
0.015,957.2361667,0.0001,298,1.6496045660197747
0.0152,958.3408667,0.0001,298,1.651508294929605
0.0154,959.3415333,0.0001,298,1.6532327431377356
0.0156,960.3194667,0.0001,298,1.6549180152346565
0.0158,961.3117667,0.0001,298,1.6566280452855524
0.016,962.3238,0.0001,298,1.6583720817216177
0.0162,963.2608333,0.0001,298,1.659986870698429
0.0164,964.2437333,0.0001,298,1.6616807017344322
0.0166,965.23,0.0001,298,1.6633803346027158
0.0168,966.2280667,0.0001,298,1.6651003024045887
0.017,967.0774667,0.0001,298,1.6665640729631204
0.0172,968.0709333,0.0001,298,1.6682761134151625
0.0174,968.8759,0.0001,298,1.6696633120919442
0.0176,969.7976667,0.0001,298,1.67125179214527
0.0178,970.5936333,0.0001,298,1.6726234809546114
0.018,971.4675333,0.0001,298,1.6741294723498326
0.0182,972.3210333,0.0001,298,1.6756003084361366
0.0184,973.1443667,0.0001,298,1.6770191584370502
0.0186,973.9573333,0.0001,298,1.6784201433371555
0.0188,974.7932333,0.0001,298,1.6798606493530217
0.019,975.5944667,0.0001,298,1.6812414144359418
0.0192,976.3731333,0.0001,298,1.6825832901646818
0.0194,977.1484333,0.0001,298,1.683919364233471
0.0196,977.9613333,0.0001,298,1.685320234361833
0.0198,978.6467667,0.0001,298,1.6865014413676656
0.02,979.338,0.0001,298,1.6876926433380173
0.0202,980.0606333,0.0001,298,1.6889379569113097
0.0204,980.8357667,0.0001,298,1.6902737438784097
0.0206,981.5763667,0.0001,298,1.6915500194560509
