Strain,Stress,delT,Rate,I_Temp,Temp
0.0,0.0,0.0,0.0001,298,298
0.0002,580.2822,0.0,0.0001,298,298
0.0004,644.631,0.0,0.0001,298,298
0.0006,681.6933,0.0,0.0001,298,298
0.0008,706.1125333,0.0,0.0001,298,298
0.001,727.0734,0.0,0.0001,298,298
0.0012,742.6388,0.0,0.0001,298,298
0.0014,755.4031,0.0,0.0001,298,298
0.0016,767.3534,0.0,0.0001,298,298
0.0018,777.4862667,0.0,0.0001,298,298
0.002,786.0922333,0.0,0.0001,298,298
0.0022,794.2745667,0.0,0.0001,298,298
0.0024,801.8906667,0.0,0.0001,298,298
0.0026,808.6269667,0.0,0.0001,298,298
0.0028,814.8081667,0.0,0.0001,298,298
0.003,820.5854,0.0,0.0001,298,298
0.0032,826.2517333,0.0,0.0001,298,298
0.0034,831.2607667,0.0,0.0001,298,298
0.0036,836.1524667,0.0,0.0001,298,298
0.0038,840.6859667,0.0,0.0001,298,298
0.004,844.9612,0.0,0.0001,298,298
0.0042,849.2685667,0.0,0.0001,298,298
0.0044,853.3019667,0.0,0.0001,298,298
0.0046,857.1531,0.0,0.0001,298,298
0.0048,860.9043,0.0,0.0001,298,298
0.005,864.4417333,0.0,0.0001,298,298
0.0052,867.7510667,0.0,0.0001,298,298
0.0054,870.9156333,0.0,0.0001,298,298
0.0056,874.2890333,0.0,0.0001,298,298
0.0058,877.1099333,0.0,0.0001,298,298
0.006,880.1221667,0.0,0.0001,298,298
0.0062,882.9863333,0.0,0.0001,298,298
0.0064,885.6179333,0.0,0.0001,298,298
0.0066,888.3414667,0.0,0.0001,298,298
0.0068,890.9213667,0.0,0.0001,298,298
0.007,893.4977667,0.0,0.0001,298,298
0.0072,895.82,0.0,0.0001,298,298
0.0074,898.1611,0.0,0.0001,298,298
0.0076,900.4830667,0.0,0.0001,298,298
0.0078,902.9626333,0.0,0.0001,298,298
0.008,905.0175667,0.0,0.0001,298,298
0.0082,907.099,0.0,0.0001,298,298
0.0084,909.1656333,0.0,0.0001,298,298
0.0086,911.1735,0.0,0.0001,298,298
0.0088,913.1359333,0.0,0.0001,298,298
0.009,915.0535667,0.0,0.0001,298,298
0.0092,916.9255667,0.0,0.0001,298,298
0.0094,918.7883,0.0,0.0001,298,298
0.0096,920.6021333,0.0,0.0001,298,298
0.0098,922.2459667,0.0,0.0001,298,298
0.01,923.9901333,0.0,0.0001,298,298
0.0102,925.6552667,0.0,0.0001,298,298
0.0104,927.2863667,0.0,0.0001,298,298
0.0106,928.8569,0.0,0.0001,298,298
0.0108,930.4493,0.0,0.0001,298,298
0.011,931.9957667,0.0,0.0001,298,298
0.0112,933.4548333,0.0,0.0001,298,298
0.0114,934.9568667,0.0,0.0001,298,298
0.0116,936.3952333,0.0,0.0001,298,298
