
                  X             Displacement          Force      

                0.                 0.                 1.47103    
               33.3369E-06         6.66726E-03        1.0392E+03 
               66.6717E-06        13.3357E-03         2.16352E+03
              100.E-06            20.0046E-03         3.27886E+03
              133.335E-06         26.673E-03          4.4306E+03 
              166.67E-06          33.3362E-03         5.64967E+03
              200.004E-06         39.9995E-03         6.80521E+03
              233.339E-06         46.6628E-03         7.91437E+03
              266.667E-06         53.3248E-03         8.75403E+03
              300.002E-06         59.9881E-03         9.54394E+03
              333.337E-06         66.6513E-03        10.529E+03  
              366.671E-06         73.3146E-03        11.4256E+03 
              400.006E-06         79.9779E-03        12.1333E+03 
              433.334E-06         86.6399E-03        12.9254E+03 
              466.669E-06         93.3032E-03        13.5302E+03 
              500.001E-06         99.9766E-03        14.1213E+03 
              533.335E-06        106.671E-03         14.5796E+03 
              566.67E-06         113.364E-03         15.0821E+03 
              600.005E-06        120.058E-03         15.4476E+03 
              633.34E-06         126.752E-03         15.7981E+03 
              666.668E-06        133.445E-03         16.1487E+03 
              700.003E-06        140.139E-03         16.4726E+03 
              733.337E-06        146.832E-03         16.7518E+03 
              766.672E-06        153.526E-03         17.0014E+03 
              800.E-06           160.219E-03         17.2316E+03 
              833.335E-06        166.913E-03         17.4415E+03 
              866.67E-06         173.606E-03         17.6345E+03 
              900.005E-06        180.3E-03           17.8122E+03 
              933.339E-06        186.994E-03         17.9745E+03 
              966.668E-06        193.687E-03         18.1223E+03 
                1.00001E-03      200.339E-03         18.2557E+03 
                1.03334E-03      206.971E-03         18.3832E+03 
                1.06667E-03      213.604E-03         18.5098E+03 
                1.10001E-03      220.237E-03         18.6258E+03 
                1.13334E-03      226.869E-03         18.729E+03  
                1.16667E-03      233.502E-03         18.8291E+03 
                1.20001E-03      240.135E-03         18.9288E+03 
                1.23334E-03      246.768E-03         19.0203E+03 
                1.26667E-03      253.369E-03         19.1052E+03 
                1.3E-03          259.963E-03         19.1894E+03 
                1.33334E-03      266.556E-03         19.2669E+03 
                1.36667E-03      273.15E-03          19.3385E+03 
                1.4E-03          279.744E-03         19.4082E+03 
                1.43334E-03      286.338E-03         19.4717E+03 
                1.46667E-03      292.932E-03         19.5325E+03 
                1.5E-03          299.526E-03         19.5895E+03 
                1.53334E-03      306.12E-03          19.6436E+03 
                1.56667E-03      312.714E-03         19.6954E+03 
                1.6E-03          319.308E-03         19.7437E+03 
                1.63334E-03      325.902E-03         19.7901E+03 
                1.66667E-03      332.496E-03         19.8337E+03 
                1.7E-03          339.089E-03         19.8754E+03 
                1.73334E-03      345.683E-03         19.9145E+03 
                1.76667E-03      352.277E-03         19.9518E+03 
                1.80001E-03      358.928E-03         19.9874E+03 
                1.83334E-03      365.644E-03         20.0215E+03 
                1.86667E-03      372.359E-03         20.0538E+03 
                1.9E-03          379.076E-03         20.0842E+03 
                1.93333E-03      385.792E-03         20.1131E+03 
                1.96667E-03      392.508E-03         20.1404E+03 
