
                  X             Displacement          Force      

                0.                 0.                 1.46934    
               33.3385E-06         6.66779E-03        1.03932E+03
               66.6698E-06        13.3322E-03         2.16314E+03
              100.004E-06         20.0004E-03         3.2802E+03 
              133.339E-06         26.6685E-03         4.43538E+03
              166.667E-06         33.3374E-03         5.6595E+03 
              200.002E-06         40.0105E-03         6.83671E+03
              233.337E-06         46.6835E-03         8.03945E+03
              266.671E-06         53.3565E-03         9.05472E+03
              300.006E-06         60.0295E-03         9.92726E+03
              333.334E-06         66.6947E-03        10.7686E+03 
              366.669E-06         73.358E-03         11.7101E+03 
              400.004E-06         80.0212E-03        12.6765E+03 
              433.338E-06         86.6845E-03        13.404E+03  
              466.673E-06         93.3478E-03        14.0523E+03 
              500.003E-06         99.9996E-03        14.7548E+03 
              533.335E-06        106.636E-03         15.1791E+03 
              566.67E-06         113.33E-03          15.7033E+03 
              600.005E-06        120.024E-03         16.041E+03  
              633.34E-06         126.718E-03         16.3848E+03 
              666.668E-06        133.41E-03          16.7313E+03 
              700.003E-06        140.104E-03         17.0109E+03 
              733.337E-06        146.798E-03         17.2455E+03 
              766.672E-06        153.492E-03         17.4642E+03 
              800.E-06           160.184E-03         17.6682E+03 
              833.335E-06        166.878E-03         17.8556E+03 
              866.67E-06         173.572E-03         18.0278E+03 
              900.005E-06        180.266E-03         18.1865E+03 
              933.339E-06        186.96E-03          18.3349E+03 
              966.668E-06        193.652E-03         18.4707E+03 
                1.00001E-03      200.304E-03         18.5936E+03 
                1.03334E-03      206.937E-03         18.7049E+03 
                1.06667E-03      213.57E-03          18.8086E+03 
                1.10001E-03      220.202E-03         18.9115E+03 
                1.13334E-03      226.835E-03         19.0108E+03 
                1.16667E-03      233.468E-03         19.1017E+03 
                1.20001E-03      240.1E-03           19.1862E+03 
                1.23334E-03      246.733E-03         19.2696E+03 
                1.26667E-03      253.338E-03         19.3494E+03 
                1.3E-03          259.932E-03         19.4217E+03 
                1.33334E-03      266.526E-03         19.4907E+03 
                1.36667E-03      273.12E-03          19.5568E+03 
                1.4E-03          279.714E-03         19.618E+03  
                1.43334E-03      286.307E-03         19.6762E+03 
                1.46667E-03      292.901E-03         19.7317E+03 
                1.5E-03          299.495E-03         19.7842E+03 
                1.53334E-03      306.089E-03         19.8341E+03 
                1.56667E-03      312.683E-03         19.8814E+03 
                1.6E-03          319.277E-03         19.9263E+03 
                1.63334E-03      325.871E-03         19.9693E+03 
                1.66667E-03      332.465E-03         20.0103E+03 
                1.7E-03          339.059E-03         20.0492E+03 
                1.73334E-03      345.653E-03         20.0863E+03 
                1.76667E-03      352.246E-03         20.1216E+03 
                1.8E-03          358.84E-03          20.1552E+03 
                1.83334E-03      365.434E-03         20.1873E+03 
                1.86667E-03      372.028E-03         20.2177E+03 
                1.9E-03          378.622E-03         20.2468E+03 
                1.93334E-03      385.216E-03         20.2744E+03 
                1.96667E-03      391.859E-03         20.3009E+03 
                2.E-03           398.576E-03         20.3264E+03 
                2.03334E-03      405.292E-03         20.3506E+03 
                2.06667E-03      412.008E-03         20.3737E+03 
                2.1E-03          418.724E-03         20.3956E+03 
                2.13333E-03      425.44E-03          20.4163E+03 
                2.16667E-03      432.156E-03         20.436E+03  
                2.2E-03          438.872E-03         20.4546E+03 
                2.23334E-03      445.588E-03         20.4722E+03 
                2.26667E-03      452.304E-03         20.4888E+03 
                2.30001E-03      459.021E-03         20.5045E+03 
                2.33334E-03      465.736E-03         20.5192E+03 
                2.36667E-03      472.452E-03         20.5331E+03 
                2.4E-03          479.169E-03         20.546E+03  
                2.43333E-03      485.884E-03         20.5581E+03 
                2.46667E-03      492.601E-03         20.5694E+03 
                2.5E-03          499.322E-03         20.5799E+03 
                2.53334E-03      506.118E-03         20.5896E+03 
                2.56667E-03      512.913E-03         20.5985E+03 
                2.6E-03          519.707E-03         20.6066E+03 
                2.63334E-03      526.503E-03         20.614E+03  
                2.66667E-03      533.297E-03         20.6207E+03 
                2.7E-03          540.093E-03         20.6267E+03 
                2.73334E-03      546.887E-03         20.632E+03  
                2.76667E-03      553.683E-03         20.6366E+03 
                2.8E-03          560.478E-03         20.6405E+03 
                2.83333E-03      567.272E-03         20.6438E+03 
                2.86667E-03      574.068E-03         20.6465E+03 
                2.9E-03          580.863E-03         20.6484E+03 
                2.93334E-03      587.659E-03         20.6498E+03 
                2.96667E-03      594.453E-03         20.6505E+03 
                3.00001E-03      601.249E-03         20.6506E+03 
                3.03334E-03      608.044E-03         20.6501E+03 
                3.06667E-03      614.838E-03         20.6489E+03 
                3.1E-03          621.634E-03         20.6472E+03 
                3.13333E-03      628.428E-03         20.6449E+03 
                3.16667E-03      635.224E-03         20.642E+03  
                3.2E-03          642.018E-03         20.6386E+03 
                3.23334E-03      648.814E-03         20.6346E+03 
                3.26667E-03      655.609E-03         20.63E+03   
                3.3E-03          662.403E-03         20.6249E+03 
                3.33334E-03      669.199E-03         20.6193E+03 
                3.36667E-03      675.994E-03         20.6131E+03 
                3.4E-03          682.789E-03         20.6064E+03 
                3.43334E-03      689.584E-03         20.5992E+03 
                3.46667E-03      696.38E-03          20.5915E+03 
                3.5E-03          703.174E-03         20.5833E+03 
                3.53333E-03      709.969E-03         20.5746E+03 
                3.56667E-03      716.765E-03         20.5654E+03 
                3.6E-03          723.559E-03         20.5558E+03 
                3.63334E-03      730.355E-03         20.5457E+03 
                3.66667E-03      737.149E-03         20.5351E+03 
                3.70001E-03      743.945E-03         20.5241E+03 
                3.73334E-03      750.74E-03          20.5126E+03 
                3.76667E-03      757.534E-03         20.5007E+03 
                3.8E-03          764.33E-03          20.4884E+03 
                3.83333E-03      771.124E-03         20.4756E+03 
                3.86667E-03      777.92E-03          20.4624E+03 
                3.9E-03          784.714E-03         20.4488E+03 
                3.90811E-03      786.354E-03         20.4454E+03 




