
                  X             Displacement          Force      

                0.                 0.                 6.94944    
               50.0023E-06         7.4997E-03       875.542      
              100.006E-06         14.9972E-03         1.55457E+03
              150.002E-06         22.4936E-03         2.61898E+03
              200.005E-06         29.9911E-03         3.22389E+03
              250.004E-06         37.4955E-03         4.24716E+03
              300.006E-06         45.0145E-03         4.94502E+03
              350.001E-06         52.5324E-03         5.79085E+03
              400.004E-06         60.0515E-03         6.4587E+03 
              450.006E-06         67.5705E-03         7.11097E+03
              500.001E-06         75.0885E-03         7.91044E+03
              550.003E-06         82.6075E-03         8.57119E+03
              600.006E-06         90.1265E-03         9.19627E+03
              650.001E-06         97.6445E-03         9.76268E+03
              700.003E-06        105.164E-03         10.3019E+03 
              750.005E-06        112.683E-03         10.807E+03  
              800.E-06           120.201E-03         11.2692E+03 
              850.002E-06        127.706E-03         11.6926E+03 
              900.005E-06        135.199E-03         12.0892E+03 
              950.007E-06        142.692E-03         12.4457E+03 
                1.E-03           150.156E-03         12.7948E+03 
                1.05E-03         157.588E-03         13.09E+03   
                1.10001E-03      165.021E-03         13.3523E+03 
                1.15E-03         172.453E-03         13.6137E+03 
                1.2E-03          179.885E-03         13.8677E+03 
                1.25001E-03      187.318E-03         14.0661E+03 
                1.3E-03          194.749E-03         14.2862E+03 
                1.35E-03         202.181E-03         14.4482E+03 
                1.40001E-03      209.614E-03         14.6315E+03 
                1.45E-03         217.046E-03         14.7742E+03 
                1.5E-03          224.478E-03         14.9127E+03 
                1.55E-03         231.911E-03         15.0549E+03 
                1.6E-03          239.343E-03         15.1723E+03 
                1.65001E-03      246.776E-03         15.2819E+03 
                1.7E-03          254.208E-03         15.3953E+03 
                1.75E-03         261.64E-03          15.5016E+03 
                1.80001E-03      269.073E-03         15.5935E+03 
                1.85E-03         276.504E-03         15.6727E+03 
                1.9E-03          283.936E-03         15.7446E+03 
                1.95001E-03      291.369E-03         15.8136E+03 
                2.E-03           298.801E-03         15.8774E+03 
                2.05001E-03      306.234E-03         15.9349E+03 
                2.1E-03          313.666E-03         15.989E+03  
                2.15E-03         321.097E-03         16.0389E+03 
                2.20001E-03      328.53E-03          16.0852E+03 
                2.25E-03         335.962E-03         16.1276E+03 
                2.3E-03          343.394E-03         16.1649E+03 
                2.35001E-03      350.827E-03         16.1985E+03 
                2.4E-03          358.259E-03         16.2265E+03 
                2.45E-03         365.691E-03         16.2512E+03 
                2.5E-03          373.124E-03         16.2753E+03 
                2.55E-03         380.556E-03         16.2984E+03 
                2.60001E-03      387.989E-03         16.3188E+03 
                2.65E-03         395.421E-03         16.3338E+03 
                2.7E-03          402.874E-03         16.3452E+03 
                2.75E-03         410.448E-03         16.3568E+03 
                2.8E-03          418.021E-03         16.3668E+03 
                2.85E-03         425.594E-03         16.3738E+03 
                2.90001E-03      433.168E-03         16.3777E+03 
                2.95E-03         440.742E-03         16.3797E+03 
                3.E-03           448.285E-03         16.3797E+03 
                3.05E-03         455.751E-03         16.3778E+03 
                3.10001E-03      463.219E-03         16.3738E+03 
                3.15E-03         470.685E-03         16.3682E+03 
                3.2E-03          478.151E-03         16.3609E+03 
                3.25001E-03      485.54E-03          16.3519E+03 
                3.3E-03          492.975E-03         16.3413E+03 
                3.35E-03         500.575E-03         16.3288E+03 
                3.4E-03          508.078E-03         16.3147E+03 
                3.45E-03         515.581E-03         16.2991E+03 
                3.5E-03          523.085E-03         16.2822E+03 
                3.55001E-03      530.589E-03         16.2637E+03 
                3.60001E-03      538.093E-03         16.244E+03  
                3.65E-03         545.596E-03         16.2229E+03 
                3.7E-03          553.099E-03         16.2005E+03 
                3.75E-03         560.602E-03         16.177E+03  
                3.8E-03          568.106E-03         16.1521E+03 
                3.85E-03         575.531E-03         16.1261E+03 
                3.9E-03          582.813E-03         16.0988E+03 
                3.95E-03         590.324E-03         16.0696E+03 
                4.E-03           597.866E-03         16.0389E+03 
                4.05E-03         605.41E-03          16.007E+03  
                4.10001E-03      612.953E-03         15.9738E+03 
                4.15E-03         620.495E-03         15.9395E+03 
                4.2E-03          628.038E-03         15.9041E+03 
                4.25E-03         635.581E-03         15.8674E+03 
                4.3E-03          643.124E-03         15.8298E+03 
                4.35001E-03      650.667E-03         15.7911E+03 
                4.4E-03          658.135E-03         15.7516E+03 
                4.45E-03         665.45E-03          15.7108E+03 
                4.5E-03          672.764E-03         15.6689E+03 
                4.55E-03         680.078E-03         15.6261E+03 
                4.6E-03          687.392E-03         15.5825E+03 
                4.65E-03         694.706E-03         15.5375E+03 
                4.70001E-03      702.021E-03         15.4915E+03 
                4.75E-03         709.335E-03         15.4443E+03 
                4.8E-03          716.65E-03          15.396E+03  
                4.85E-03         723.963E-03         15.3468E+03 
                4.9E-03          731.278E-03         15.2963E+03 
                4.95001E-03      738.593E-03         15.2443E+03 
                5.E-03           745.907E-03         15.1911E+03 
                5.05E-03         753.221E-03         15.1368E+03 
                5.1E-03          760.535E-03         15.0811E+03 
                5.15E-03         767.849E-03         15.0239E+03 
                5.20001E-03      775.471E-03         14.9625E+03 
                5.25E-03         783.102E-03         14.8995E+03 
                5.3E-03          790.632E-03         14.8355E+03 
                5.35E-03         798.016E-03         14.771E+03  
                5.4E-03          805.334E-03         14.7057E+03 
                5.45E-03         813.067E-03         14.6344E+03 
                5.50001E-03      820.614E-03         14.5626E+03 
                5.55E-03         828.08E-03          14.4905E+03 
                5.6E-03          835.319E-03         14.4173E+03 
                5.65E-03         843.076E-03         14.3374E+03 
                5.7E-03          850.639E-03         14.2572E+03 
                5.75E-03         857.997E-03         14.1766E+03 
                5.8E-03          865.404E-03         14.0939E+03 
                5.85E-03         873.084E-03         14.0046E+03 
                5.9E-03          880.644E-03         13.9151E+03 
                5.95E-03         888.004E-03         13.8253E+03 
                6.E-03           895.303E-03         13.7339E+03 
                6.05E-03         903.125E-03         13.6342E+03 
                6.1E-03          910.651E-03         13.5344E+03 
                6.15E-03         918.117E-03         13.435E+03  
                6.2E-03          925.25E-03          13.3356E+03 
                6.25E-03         933.031E-03         13.2275E+03 
                6.3E-03          940.655E-03         13.1165E+03 
                6.35E-03         948.254E-03         13.0062E+03 
                6.4E-03          955.513E-03         12.896E+03  
                6.45E-03         962.714E-03         12.7874E+03 
                6.5E-03          970.378E-03         12.6687E+03 
                6.55E-03         978.149E-03         12.5458E+03 
                6.6E-03          985.871E-03         12.4241E+03 
                6.65E-03         993.186E-03         12.3028E+03 
                6.7E-03            1.0005            12.1832E+03 
                6.75E-03           1.00781           12.0643E+03 
                6.8E-03            1.01576           11.9354E+03 
                6.85E-03           1.02336           11.8002E+03 
                6.9E-03            1.03083           11.6661E+03 
                6.95E-03           1.03829           11.5331E+03 
                7.E-03             1.04576           11.402E+03  
                7.05E-03           1.05323           11.2728E+03 
                7.1E-03            1.06069           11.1447E+03 
                7.15E-03           1.06808           11.0178E+03 
                7.2E-03            1.07527           10.877E+03  
                7.25E-03           1.08295           10.7288E+03 
                7.3E-03            1.09063           10.582E+03  
                7.35E-03           1.09831           10.4381E+03 
                7.4E-03            1.10599           10.2966E+03 
                7.45E-03           1.11367           10.1562E+03 
                7.5E-03            1.12135           10.0176E+03 
                7.55E-03           1.12903            9.88215E+03
                7.6E-03            1.13622            9.74838E+03
                7.65E-03           1.14262            9.61649E+03
                7.7E-03            1.14902            9.48587E+03
                7.75E-03           1.15665            9.33285E+03
                7.8E-03            1.16465            9.17535E+03
                7.85E-03           1.17265            9.02175E+03
                7.9E-03            1.18065            8.86973E+03
                7.95E-03           1.18865            8.71934E+03
                8.E-03             1.19665            8.57199E+03
                8.05E-03           1.20465            8.42892E+03
                8.1E-03            1.21265            8.28804E+03
                8.15E-03           1.22065            8.14968E+03
                8.2E-03            1.22817            8.01483E+03
                8.25E-03           1.23457            7.88261E+03
                8.3E-03            1.24097            7.75305E+03
                8.35E-03           1.24737            7.62493E+03
                8.4E-03            1.25377            7.498E+03  
                8.45E-03           1.26017            7.37411E+03
                8.5E-03            1.26657            7.25141E+03
                8.55E-03           1.27297            7.13017E+03
                8.6E-03            1.27937            7.0124E+03 
                8.65E-03           1.28577            6.89708E+03
                8.7E-03            1.29217            6.78331E+03
                8.75E-03           1.29857            6.67065E+03
                8.8E-03            1.30497            6.56053E+03
                8.85E-03           1.31137            6.45484E+03
                8.9E-03            1.31777            6.35425E+03
                8.95E-03           1.32417            6.26063E+03
                9.E-03             1.33057            6.16922E+03
                9.05E-03           1.33697            6.07898E+03
                9.1E-03            1.34337            5.99045E+03
                9.15E-03           1.35032            5.89493E+03
                9.2E-03            1.3603             5.72626E+03
                9.25E-03           1.3699             5.56564E+03
                9.3E-03            1.3795             5.41165E+03
                9.35E-03           1.3891             5.26306E+03
                9.4E-03            1.3987             5.11764E+03
                9.45E-03           1.4083             4.97922E+03
                9.5E-03            1.4179             4.85704E+03
                9.55E-03           1.4275             4.74251E+03
                9.6E-03            1.4371             4.63573E+03
                9.65E-03           1.4467             4.53541E+03
                9.7E-03            1.4563             4.44051E+03
                9.75E-03           1.4659             4.34777E+03
                9.8E-03            1.4755             4.25703E+03
                9.85E-03           1.4851             4.16838E+03
                9.9E-03            1.4947             4.08178E+03
                9.95E-03           1.5043             3.99776E+03
               10.E-03             1.5139             3.92014E+03




