
                  X             Displacement          Force      

                0.                 0.                 5.27611    
               50.0026E-06        10.0007E-03         1.00878E+03
              100.004E-06         19.9982E-03         2.1517E+03 
              150.E-06            30.0015E-03         2.93778E+03
              200.005E-06         40.0113E-03         4.02199E+03
              250.004E-06         50.0198E-03         4.65868E+03
              300.002E-06         60.0283E-03         5.47779E+03
              350.001E-06         70.0369E-03         6.3344E+03 
              400.006E-06         80.0467E-03         7.18209E+03
              450.005E-06         90.0552E-03         7.96248E+03
              500.002E-06        100.053E-03          8.73321E+03
              550.001E-06        110.018E-03          9.49658E+03
              600.E-06           120.017E-03         10.1961E+03 
              650.002E-06        130.051E-03         10.8027E+03 
              700.004E-06        140.076E-03         11.3154E+03 
              750.006E-06        150.102E-03         11.7816E+03 
              800.001E-06        160.125E-03         12.2068E+03 
              850.003E-06        170.15E-03          12.5964E+03 
              900.005E-06        180.176E-03         12.929E+03  
              950.E-06           190.2E-03           13.2158E+03 
                1.E-03           200.184E-03         13.5132E+03 
                1.05E-03         210.12E-03          13.7428E+03 
                1.1E-03          220.057E-03         13.9587E+03 
                1.15E-03         229.994E-03         14.1298E+03 
                1.2E-03          239.931E-03         14.3193E+03 
                1.25E-03         249.882E-03         14.47E+03   
                1.3E-03          259.874E-03         14.615E+03  
                1.35E-03         269.867E-03         14.7613E+03 
                1.4E-03          279.86E-03          14.8922E+03 
                1.45E-03         289.853E-03         15.0057E+03 
                1.5E-03          299.793E-03         15.1063E+03 
                1.55E-03         309.673E-03         15.1975E+03 
                1.6E-03          319.554E-03         15.2804E+03 
                1.65E-03         329.435E-03         15.3557E+03 
                1.7E-03          339.315E-03         15.4227E+03 
                1.75E-03         349.196E-03         15.4851E+03 
                1.8E-03          359.077E-03         15.5443E+03 
                1.85E-03         368.958E-03         15.6006E+03 
                1.9E-03          378.838E-03         15.6514E+03 
                1.95E-03         388.719E-03         15.6933E+03 
                2.00001E-03      398.766E-03         15.7338E+03 
                2.05E-03         408.823E-03         15.7733E+03 
                2.1E-03          418.88E-03          15.8065E+03 
                2.15E-03         428.936E-03         15.8365E+03 
                2.2E-03          438.994E-03         15.8655E+03 
                2.25001E-03      449.051E-03         15.8892E+03 
                2.3E-03          459.108E-03         15.9123E+03 
                2.35E-03         469.166E-03         15.9317E+03 
                2.4E-03          479.222E-03         15.9495E+03 
                2.45E-03         489.28E-03          15.9648E+03 
                2.50001E-03      499.338E-03         15.9784E+03 
                2.55E-03         509.394E-03         15.9899E+03 
                2.60001E-03      519.452E-03         16.E+03     
                2.65E-03         529.508E-03         16.008E+03  
                2.7E-03          539.566E-03         16.0148E+03 
                2.75E-03         549.622E-03         16.0199E+03 
                2.8E-03          559.68E-03          16.0236E+03 
                2.85001E-03      569.738E-03         16.0258E+03 
                2.9E-03          579.794E-03         16.0267E+03 
                2.95E-03         589.852E-03         16.0264E+03 
                3.E-03           599.908E-03         16.0247E+03 
                3.05E-03         609.966E-03         16.0218E+03 
                3.10001E-03      620.023E-03         16.0178E+03 
                3.15E-03         630.08E-03          16.0126E+03 
                3.20001E-03      640.137E-03         16.0062E+03 
                3.25E-03         650.194E-03         15.9989E+03 
                3.3E-03          660.252E-03         15.9907E+03 
                3.35E-03         670.308E-03         15.9814E+03 
                3.4E-03          680.366E-03         15.9713E+03 
                3.45001E-03      690.423E-03         15.96E+03   
                3.5E-03          700.48E-03          15.9479E+03 
                3.55E-03         710.537E-03         15.9348E+03 
                3.6E-03          720.594E-03         15.9208E+03 
                3.65E-03         730.652E-03         15.9059E+03 
                3.70001E-03      740.709E-03         15.8901E+03 
                3.75E-03         750.766E-03         15.8735E+03 
                3.8E-03          760.823E-03         15.8561E+03 
                3.85E-03         770.879E-03         15.8378E+03 
                3.9E-03          780.937E-03         15.8187E+03 
                3.95E-03         790.993E-03         15.7989E+03 
                4.E-03           801.052E-03         15.7783E+03 
                4.05001E-03      811.109E-03         15.7568E+03 
                4.1E-03          821.166E-03         15.7346E+03 
                4.15E-03         831.223E-03         15.7117E+03 
                4.2E-03          841.279E-03         15.6879E+03 
                4.25E-03         851.337E-03         15.6634E+03 
                4.3E-03          861.393E-03         15.638E+03  
                4.35E-03         871.452E-03         15.6119E+03 
                4.4E-03          881.508E-03         15.585E+03  
                4.45E-03         891.565E-03         15.5573E+03 
                4.5E-03          901.623E-03         15.5288E+03 
                4.55E-03         911.679E-03         15.4995E+03 
                4.6E-03          921.677E-03         15.4694E+03 
                4.65001E-03      931.506E-03         15.4387E+03 
                4.7E-03          941.334E-03         15.407E+03  
                4.75E-03         951.163E-03         15.3745E+03 
                4.8E-03          960.991E-03         15.341E+03  
                4.85E-03         970.819E-03         15.3066E+03 
                4.9E-03          980.648E-03         15.2717E+03 
                4.95E-03         990.476E-03         15.2355E+03 
                5.00001E-03        1.0003            15.1985E+03 
                5.05E-03           1.0099            15.1605E+03 
                5.1E-03            1.0195            15.1215E+03 
                5.15E-03           1.0291            15.0817E+03 
                5.2E-03            1.03924           15.0381E+03 
                5.25E-03           1.04958           14.9927E+03 
                5.3E-03            1.05992           14.9462E+03 
                5.35E-03           1.07026           14.898E+03  
                5.40001E-03        1.08059           14.8488E+03 
                5.45E-03           1.09093           14.7981E+03 
                5.5E-03            1.10127           14.7461E+03 
                5.55E-03           1.11161           14.6928E+03 
                5.6E-03            1.12195           14.6379E+03 
                5.65E-03           1.13229           14.5818E+03 
                5.7E-03            1.14262           14.5243E+03 
                5.75E-03           1.15269           14.4658E+03 
