
                  X             Displacement          Force      

                0.                 0.                 6.58043    
               33.3346E-06         6.66731E-03       98.8412     
               66.6674E-06        13.3331E-03       150.353      
              100.001E-06         20.0127E-03       348.158      
              133.335E-06         26.6868E-03       572.915      
              166.669E-06         33.3431E-03       558.753      
              200.001E-06         39.9889E-03       865.795      
              233.335E-06         46.6352E-03       934.342      
              266.669E-06         53.2815E-03       907.636      
              300.001E-06         59.9274E-03         1.03063E+03
              333.335E-06         66.5923E-03         1.21084E+03
              366.667E-06         73.2655E-03         1.2337E+03 
              400.001E-06         79.9392E-03         1.4533E+03 
              433.335E-06         86.6128E-03         1.54172E+03
              466.667E-06         93.286E-03          1.57508E+03
              500.001E-06         99.9597E-03         1.6182E+03 
              533.335E-06        106.633E-03          1.70386E+03
              566.667E-06        113.307E-03          1.80768E+03
              600.001E-06        119.98E-03           1.8931E+03 
              633.335E-06        126.654E-03          1.97684E+03
              666.667E-06        133.327E-03          2.00168E+03
              700.001E-06        140.001E-03          2.06428E+03
              733.335E-06        146.674E-03          2.16388E+03
              766.667E-06        153.348E-03          2.28449E+03
              800.001E-06        160.021E-03          2.24353E+03
              833.335E-06        166.695E-03          2.32826E+03
              866.667E-06        173.368E-03          2.37906E+03
              900.001E-06        180.042E-03          2.42476E+03
              933.336E-06        186.715E-03          2.44748E+03
              966.667E-06        193.389E-03          2.49528E+03
             1000.E-06           200.186E-03          2.54317E+03
                1.03334E-03      207.035E-03          2.57648E+03
                1.06667E-03      213.884E-03          2.60167E+03
                1.1E-03          220.733E-03          2.61946E+03
                1.13333E-03      227.582E-03          2.67839E+03
                1.16667E-03      234.431E-03          2.66547E+03
                1.2E-03          241.269E-03          2.69875E+03
                1.23333E-03      248.006E-03          2.72931E+03
                1.26667E-03      254.742E-03          2.72878E+03
                1.3E-03          261.479E-03          2.75915E+03
                1.33333E-03      268.216E-03          2.77216E+03
                1.36667E-03      274.953E-03          2.7788E+03 
                1.4E-03          281.69E-03           2.80156E+03
                1.43333E-03      288.426E-03          2.80392E+03
                1.46667E-03      295.163E-03          2.81648E+03
                1.5E-03          301.9E-03            2.83332E+03
                1.53333E-03      308.637E-03          2.83205E+03
                1.56667E-03      315.374E-03          2.84651E+03
                1.6E-03          322.111E-03          2.85879E+03
