
                  X             Displacement          Force      

                0.                 0.                 5.32051    
               50.0023E-06         9.99966E-03        1.01007E+03
              100.002E-06         19.9956E-03         2.14697E+03
              150.004E-06         29.9964E-03         2.94566E+03
              200.E-06            40.0076E-03         4.13923E+03
              250.004E-06         50.0207E-03         5.04602E+03
              300.001E-06         60.029E-03          6.10368E+03
              350.004E-06         70.0398E-03         7.12997E+03
              400.001E-06         80.0516E-03         7.8889E+03 
              450.004E-06         90.0647E-03         8.93839E+03
              500.E-06           100.066E-03          9.58649E+03
              550.002E-06        110.035E-03         10.3798E+03 
              600.004E-06        120.003E-03         11.0728E+03 
              650.002E-06        130.015E-03         11.6182E+03 
              700.005E-06        140.072E-03         12.1149E+03 
              750.001E-06        150.129E-03         12.5933E+03 
              800.004E-06        160.187E-03         13.0282E+03 
              850.006E-06        170.244E-03         13.4196E+03 
              900.003E-06        180.301E-03         13.7634E+03 
              950.005E-06        190.358E-03         14.0242E+03 
                1.E-03           200.415E-03         14.2601E+03 
                1.05E-03         210.472E-03         14.461E+03  
                1.1E-03          220.529E-03         14.5931E+03 
                1.15E-03         230.586E-03         14.7503E+03 
                1.20001E-03      240.644E-03         14.876E+03  
                1.25E-03         250.69E-03          14.9829E+03 
                1.3E-03          260.748E-03         15.0875E+03 
                1.35E-03         270.804E-03         15.1747E+03 
                1.4E-03          280.862E-03         15.2469E+03 
                1.45001E-03      290.919E-03         15.3109E+03 
                1.5E-03          300.976E-03         15.3706E+03 
                1.55001E-03      311.033E-03         15.426E+03  
                1.6E-03          321.09E-03          15.4762E+03 
                1.65E-03         331.147E-03         15.5214E+03 
                1.7E-03          341.204E-03         15.562E+03  
                1.75E-03         351.261E-03         15.5977E+03 
                1.80001E-03      361.319E-03         15.6304E+03 
                1.85E-03         371.376E-03         15.6609E+03 
                1.9E-03          381.433E-03         15.6888E+03 
                1.95E-03         391.466E-03         15.7134E+03 
                2.E-03           401.409E-03         15.7357E+03 
                2.05001E-03      411.352E-03         15.7562E+03 
                2.1E-03          421.295E-03         15.7745E+03 
                2.15E-03         431.238E-03         15.7909E+03 
                2.2E-03          441.18E-03          15.8059E+03 
                2.25E-03         451.124E-03         15.8191E+03 
                2.3E-03          461.065E-03         15.8309E+03 
                2.35E-03         471.009E-03         15.8414E+03 
                2.40001E-03      480.953E-03         15.8505E+03 
                2.45E-03         490.894E-03         15.8585E+03 
                2.5E-03          500.891E-03         15.8652E+03 
                2.55E-03         510.948E-03         15.8708E+03 
                2.6E-03          521.005E-03         15.8753E+03 
                2.65001E-03      531.063E-03         15.8788E+03 
                2.7E-03          541.119E-03         15.8814E+03 
                2.75E-03         551.177E-03         15.8829E+03 
                2.8E-03          561.234E-03         15.8836E+03 
                2.85E-03         571.291E-03         15.8833E+03 
                2.9E-03          581.347E-03         15.8822E+03 
                2.95E-03         591.405E-03         15.8803E+03 
                3.00001E-03      601.463E-03         15.8776E+03 
                3.05E-03         611.519E-03         15.8742E+03 
                3.1E-03          621.577E-03         15.87E+03   
                3.15E-03         631.634E-03         15.8652E+03 
                3.2E-03          641.691E-03         15.8595E+03 
                3.25001E-03      651.749E-03         15.8532E+03 
                3.3E-03          661.805E-03         15.8461E+03 
                3.35E-03         671.863E-03         15.8383E+03 
                3.4E-03          681.919E-03         15.8299E+03 
                3.45E-03         691.977E-03         15.8207E+03 
                3.5E-03          702.034E-03         15.811E+03  
                3.55E-03         712.091E-03         15.8005E+03 
                3.60001E-03      722.149E-03         15.7894E+03 
                3.65E-03         732.205E-03         15.7778E+03 
                3.7E-03          742.263E-03         15.7655E+03 
                3.75E-03         752.319E-03         15.7526E+03 
                3.8E-03          762.376E-03         15.7391E+03 
                3.85001E-03      772.434E-03         15.7251E+03 
                3.9E-03          782.49E-03          15.7105E+03 
                3.95E-03         792.549E-03         15.6953E+03 
