
                  X             Displacement          Force      

                0.                 0.                 1.32843    
              100.004E-06         28.007E-03          1.9755E+03 
              200.003E-06         55.9896E-03         3.68795E+03
              300.003E-06         84.0019E-03         5.74319E+03
              400.002E-06        112.042E-03          7.61898E+03
              500.004E-06        140.036E-03          9.29558E+03
              600.002E-06        167.887E-03         10.7616E+03 
              700.E-06           195.738E-03         11.8182E+03 
              800.005E-06        223.591E-03         12.7986E+03 
              900.003E-06        251.455E-03         13.5342E+03 
                1.E-03           279.425E-03         14.0667E+03 
                1.10001E-03      307.396E-03         14.463E+03  
                1.2E-03          335.366E-03         14.7132E+03 
                1.3E-03          363.336E-03         14.9349E+03 
                1.4E-03          391.261E-03         15.1021E+03 
                1.5E-03          418.995E-03         15.2342E+03 
                1.6E-03          446.728E-03         15.3419E+03 
                1.7E-03          474.461E-03         15.421E+03  
                1.80001E-03      502.232E-03         15.4925E+03 
                1.9E-03          530.202E-03         15.5504E+03 
                2.E-03           558.17E-03          15.5971E+03 
                2.1E-03          585.666E-03         15.6344E+03 
                2.2E-03          613.164E-03         15.6649E+03 
                2.3E-03          640.659E-03         15.6889E+03 
                2.4E-03          668.155E-03         15.7072E+03 
                2.50001E-03      695.653E-03         15.7205E+03 
                2.6E-03          723.148E-03         15.7294E+03 
                2.70001E-03      750.969E-03         15.7339E+03 
                2.8E-03          779.523E-03         15.7341E+03 
                2.9E-03          808.077E-03         15.7302E+03 
                3.E-03           836.63E-03          15.7223E+03 
                3.1E-03          865.135E-03         15.7108E+03 
                3.2E-03          893.197E-03         15.6955E+03 
                3.3E-03          921.258E-03         15.6766E+03 
                3.4E-03          949.32E-03          15.654E+03  
                3.5E-03          977.381E-03         15.6278E+03 
                3.60001E-03        1.00555           15.5979E+03 
                3.7E-03            1.03411           15.5642E+03 
                3.8E-03            1.06266           15.527E+03  
                3.9E-03            1.09121           15.4859E+03 
                4.E-03             1.11977           15.4405E+03 
                4.1E-03            1.14832           15.3906E+03 
                4.2E-03            1.17687           15.3357E+03 
                4.3E-03            1.20543           15.2748E+03 
                4.4E-03            1.23398           15.2079E+03 
                4.5E-03            1.26253           15.1348E+03 
                4.60001E-03        1.29109           15.0551E+03 
                4.7E-03            1.31964           14.969E+03  
                4.8E-03            1.3482            14.876E+03  
                4.9E-03            1.37675           14.7763E+03 
                5.E-03             1.4053            14.6694E+03 
                5.1E-03            1.43386           14.5556E+03 
                5.2E-03            1.46241           14.4346E+03 
                5.3E-03            1.49097           14.3061E+03 
                5.4E-03            1.51952           14.1703E+03 
                5.50001E-03        1.54807           14.0269E+03 
                5.60001E-03        1.57663           13.876E+03  
                5.7E-03            1.60518           13.7171E+03 
                5.8E-03            1.63374           13.5504E+03 
                5.9E-03            1.66229           13.3756E+03 
                6.E-03             1.69084           13.1924E+03 
                6.1E-03            1.7194            13.001E+03  
                6.2E-03            1.74795           12.8008E+03 
                6.3E-03            1.7765            12.5918E+03 
                6.4E-03            1.80506           12.3737E+03 
                6.46433E-03        1.82343           12.2285E+03 




