
                  X             Displacement          Force      

                0.                 0.                 6.98305    
               50.0063E-06         7.50095E-03      874.308      
              100.006E-06         15.0002E-03         1.55759E+03
              150.006E-06         22.4982E-03         2.61888E+03
              200.006E-06         29.9933E-03         3.22814E+03
              250.002E-06         37.4893E-03         4.25045E+03
              300.001E-06         44.9993E-03         4.99694E+03
              350.007E-06         52.5104E-03         5.84275E+03
              400.005E-06         60.0204E-03         6.62414E+03
              450.004E-06         67.5199E-03         7.44682E+03
              500.E-06            75.0094E-03         8.22875E+03
              550.002E-06         82.4764E-03         8.86542E+03
              600.005E-06         89.9434E-03         9.72865E+03
              650.007E-06         97.4104E-03        10.3491E+03 
              700.002E-06        104.876E-03         10.8678E+03 
              750.004E-06        112.343E-03         11.4689E+03 
              800.006E-06        119.81E-03          12.0156E+03 
              850.001E-06        127.287E-03         12.4847E+03 
              900.E-06           134.794E-03         12.902E+03  
              950.001E-06        142.296E-03         13.2851E+03 
                1.E-03           149.797E-03         13.6444E+03 
                1.05E-03         157.299E-03         13.9739E+03 
                1.1E-03          164.801E-03         14.2684E+03 
                1.15E-03         172.302E-03         14.5303E+03 
                1.2E-03          179.804E-03         14.7747E+03 
                1.25E-03         187.306E-03         15.0148E+03 
                1.3E-03          194.808E-03         15.2093E+03 
                1.35001E-03      202.309E-03         15.3564E+03 
                1.40001E-03      209.811E-03         15.5112E+03 
                1.45001E-03      217.313E-03         15.6359E+03 
                1.50001E-03      224.814E-03         15.7483E+03 
                1.55001E-03      232.316E-03         15.8598E+03 
                1.6E-03          239.817E-03         15.9438E+03 
                1.65E-03         247.319E-03         16.0309E+03 
                1.7E-03          254.86E-03          16.1048E+03 
                1.75E-03         262.414E-03         16.1678E+03 
                1.8E-03          269.968E-03         16.2388E+03 
                1.85E-03         277.522E-03         16.2927E+03 
                1.9E-03          285.076E-03         16.3422E+03 
                1.95E-03         292.63E-03          16.3942E+03 
                2.E-03           300.07E-03          16.4371E+03 
                2.05001E-03      307.503E-03         16.4716E+03 
                2.1E-03          314.935E-03         16.5029E+03 
                2.15E-03         322.367E-03         16.5324E+03 
                2.2E-03          329.789E-03         16.5591E+03 
                2.25001E-03      337.356E-03         16.5836E+03 
                2.3E-03          344.929E-03         16.6056E+03 
                2.35E-03         352.502E-03         16.6251E+03 
                2.40001E-03      360.076E-03         16.6418E+03 
                2.45E-03         367.649E-03         16.6561E+03 
                2.5E-03          375.222E-03         16.6683E+03 
                2.55E-03         382.794E-03         16.6789E+03 
                2.60001E-03      390.262E-03         16.6875E+03 
                2.65E-03         397.728E-03         16.6946E+03 
                2.7E-03          405.195E-03         16.7004E+03 
                2.75E-03         412.661E-03         16.7046E+03 
                2.8E-03          420.129E-03         16.7073E+03 
                2.85E-03         427.585E-03         16.7088E+03 
                2.9E-03          434.944E-03         16.7089E+03 
                2.95E-03         442.35E-03          16.7076E+03 
                3.00001E-03      449.965E-03         16.7049E+03 
                3.05001E-03      457.579E-03         16.7011E+03 
                3.1E-03          465.183E-03         16.6961E+03 
                3.15E-03         472.687E-03         16.6899E+03 
                3.2E-03          480.19E-03          16.683E+03  
                3.25E-03         487.694E-03         16.6751E+03 
                3.3E-03          495.197E-03         16.6663E+03 
                3.35E-03         502.687E-03         16.6565E+03 
                3.40001E-03      510.191E-03         16.6458E+03 
                3.45001E-03      517.58E-03          16.6343E+03 
                3.5E-03          525.044E-03         16.6214E+03 
                3.55E-03         532.587E-03         16.6075E+03 
                3.6E-03          540.129E-03         16.5927E+03 
                3.65E-03         547.672E-03         16.5772E+03 
                3.70001E-03      555.216E-03         16.5606E+03 
                3.75E-03         562.758E-03         16.5433E+03 
                3.80001E-03      570.259E-03         16.5253E+03 
                3.85E-03         577.573E-03         16.5064E+03 
                3.9E-03          584.888E-03         16.4868E+03 
                3.95E-03         592.201E-03         16.4664E+03 
                4.E-03           599.516E-03         16.4453E+03 
                4.05001E-03      606.831E-03         16.4234E+03 
                4.1E-03          614.145E-03         16.4008E+03 
                4.15E-03         621.459E-03         16.3774E+03 
