
                  X             Displacement          Force      

                0.                 0.                 6.63581    
               33.3341E-06         6.66622E-03       98.216      
               66.667E-06         13.3289E-03       151.543      
              100.002E-06         19.9968E-03       342.819      
              133.334E-06         26.6731E-03       577.305      
              166.667E-06         33.3601E-03       555.819      
              200.002E-06         40.0375E-03       911.37       
              233.334E-06         46.7143E-03       970.099      
              266.667E-06         53.3912E-03       953.272      
              300.002E-06         60.0686E-03         1.10752E+03
              333.334E-06         66.7626E-03         1.26749E+03
              366.667E-06         73.4672E-03         1.19606E+03
              400.002E-06         80.1722E-03         1.54242E+03
              433.334E-06         86.8769E-03         1.59771E+03
              466.669E-06         93.582E-03          1.69592E+03
              500.002E-06        100.256E-03          1.76449E+03
              533.333E-06        106.875E-03          1.88079E+03
              566.668E-06        113.494E-03          1.81346E+03
              600.002E-06        120.113E-03          2.01316E+03
              633.333E-06        126.718E-03          2.13356E+03
              666.668E-06        133.282E-03          2.172E+03  
              700.002E-06        139.846E-03          2.19896E+03
              733.334E-06        146.41E-03           2.23437E+03
              766.668E-06        152.974E-03          2.40035E+03
              800.002E-06        159.539E-03          2.41671E+03
              833.334E-06        166.102E-03          2.49824E+03
              866.668E-06        172.667E-03          2.50506E+03
              900.002E-06        179.231E-03          2.59236E+03
              933.334E-06        185.795E-03          2.61763E+03
              966.667E-06        192.505E-03          2.66881E+03
                1.E-03           199.242E-03          2.65959E+03
                1.03333E-03      205.979E-03          2.72378E+03
                1.06667E-03      212.715E-03          2.76452E+03
                1.1E-03          219.453E-03          2.76143E+03
                1.13333E-03      226.189E-03          2.78729E+03
                1.16667E-03      232.926E-03          2.82765E+03
                1.2E-03          239.663E-03          2.82527E+03
                1.23334E-03      246.4E-03            2.84643E+03
                1.26667E-03      253.137E-03          2.86863E+03
                1.3E-03          259.874E-03          2.86694E+03
                1.33333E-03      266.61E-03           2.89279E+03
                1.36667E-03      273.348E-03          2.90365E+03
                1.4E-03          280.084E-03          2.90929E+03
                1.43333E-03      286.821E-03          2.92329E+03
                1.46667E-03      293.558E-03          2.94278E+03
                1.5E-03          300.295E-03          2.93938E+03
                1.53333E-03      307.032E-03          2.95124E+03
                1.56667E-03      313.768E-03          2.9668E+03 
                1.6E-03          320.505E-03          2.96517E+03
                1.63333E-03      327.242E-03          2.97549E+03
                1.66667E-03      333.979E-03          2.99201E+03
                1.7E-03          340.715E-03          2.99218E+03
                1.73333E-03      347.284E-03          2.99316E+03
                1.76667E-03      353.797E-03          3.00662E+03
                1.8E-03          360.31E-03           3.01479E+03
                1.83334E-03      366.822E-03          3.01516E+03
                1.86667E-03      373.334E-03          3.02022E+03
                1.9E-03          379.846E-03          3.0303E+03 
                1.93333E-03      386.358E-03          3.03736E+03
                1.96667E-03      393.017E-03          3.03506E+03
                2.E-03           399.892E-03          3.04533E+03
                2.03334E-03      406.766E-03          3.04649E+03
                2.06667E-03      413.64E-03           3.05428E+03
                2.1E-03          420.514E-03          3.05777E+03
                2.13333E-03      427.388E-03          3.06153E+03
                2.16667E-03      434.262E-03          3.06928E+03
                2.2E-03          441.136E-03          3.06961E+03
                2.23333E-03      448.01E-03           3.07788E+03
                2.26667E-03      454.884E-03          3.07794E+03
                2.3E-03          461.758E-03          3.08364E+03
                2.33333E-03      468.632E-03          3.08792E+03
                2.36667E-03      475.506E-03          3.08893E+03
                2.4E-03          482.38E-03           3.09516E+03
                2.43333E-03      489.254E-03          3.09804E+03
                2.46667E-03      495.987E-03          3.1003E+03 
                2.5E-03          502.624E-03          3.10559E+03
                2.53333E-03      509.26E-03           3.10762E+03
                2.56667E-03      515.898E-03          3.10991E+03
                2.6E-03          522.535E-03          3.1141E+03 
                2.63333E-03      529.172E-03          3.11641E+03
                2.66667E-03      535.809E-03          3.1193E+03 
                2.7E-03          542.446E-03          3.12208E+03
                2.73334E-03      549.083E-03          3.1256E+03 
                2.76667E-03      555.72E-03           3.12754E+03
                2.8E-03          562.357E-03          3.1298E+03 
                2.83333E-03      568.994E-03          3.13264E+03
                2.86667E-03      575.631E-03          3.13493E+03
                2.9E-03          582.268E-03          3.1379E+03 
                2.93333E-03      588.905E-03          3.13976E+03
                2.96667E-03      595.543E-03          3.14191E+03
                3.E-03           602.179E-03          3.1441E+03 
                3.03333E-03      608.816E-03          3.14617E+03
                3.06667E-03      615.453E-03          3.14868E+03
                3.1E-03          622.09E-03           3.15054E+03
                3.13333E-03      628.727E-03          3.15229E+03
                3.16667E-03      634.992E-03          3.15429E+03
                3.2E-03          641.155E-03          3.15626E+03
                3.23333E-03      647.318E-03          3.15812E+03
                3.26667E-03      653.481E-03          3.15976E+03
                3.3E-03          659.644E-03          3.16136E+03
                3.33333E-03      666.325E-03          3.16329E+03
                3.36667E-03      673.258E-03          3.16511E+03
                3.4E-03          680.191E-03          3.16691E+03
                3.43333E-03      687.125E-03          3.16865E+03
                3.46667E-03      694.058E-03          3.17025E+03
                3.5E-03          700.991E-03          3.17188E+03
                3.53333E-03      707.924E-03          3.17332E+03
                3.56667E-03      714.858E-03          3.17479E+03
                3.6E-03          721.791E-03          3.17609E+03
                3.63333E-03      728.724E-03          3.17736E+03
                3.66667E-03      735.658E-03          3.17863E+03
                3.7E-03          742.592E-03          3.17983E+03
                3.73333E-03      749.524E-03          3.18106E+03
                3.76667E-03      756.458E-03          3.18209E+03
                3.8E-03          763.391E-03          3.1831E+03 
                3.83333E-03      770.325E-03          3.18403E+03
                3.86667E-03      777.257E-03          3.18484E+03
                3.9E-03          784.121E-03          3.18552E+03
                3.93333E-03      791.393E-03          3.1863E+03 
                3.96667E-03      799.174E-03          3.18726E+03
                4.E-03           806.995E-03          3.18815E+03
                4.03333E-03      814.817E-03          3.18874E+03
                4.06667E-03      822.639E-03          3.1894E+03 
                4.1E-03          830.461E-03          3.19023E+03
                4.13333E-03      838.284E-03          3.19084E+03
                4.16667E-03      846.106E-03          3.19164E+03
                4.2E-03          853.928E-03          3.19227E+03
                4.23333E-03      861.751E-03          3.19277E+03
                4.26667E-03      869.573E-03          3.1932E+03 
                4.3E-03          877.351E-03          3.19353E+03
                4.33333E-03      883.972E-03          3.19425E+03
                4.36667E-03      890.129E-03          3.19483E+03
                4.4E-03          896.089E-03          3.19494E+03
                4.43333E-03      902.314E-03          3.19565E+03
                4.46667E-03      908.937E-03          3.19629E+03
                4.5E-03          916.165E-03          3.19776E+03
                4.53333E-03      923.619E-03          3.19776E+03
                4.56667E-03      931.442E-03          3.19899E+03
                4.6E-03          939.265E-03          3.1986E+03 
                4.63333E-03      947.086E-03          3.19904E+03
                4.66667E-03      954.909E-03          3.20014E+03
                4.7E-03          962.402E-03          3.20001E+03
                4.73333E-03      969.601E-03          3.19995E+03
                4.76667E-03      976.715E-03          3.20143E+03
                4.8E-03          983.826E-03          3.20116E+03
                4.83333E-03      990.936E-03          3.20093E+03
                4.86667E-03      998.048E-03          3.20128E+03
                4.9E-03            1.00516            3.20329E+03
                4.93333E-03        1.01227            3.20158E+03
                4.96667E-03        1.01938            3.20321E+03
                5.E-03             1.02649            3.19816E+03
                5.03333E-03        1.0336             3.20003E+03
                5.06667E-03        1.04071            3.20427E+03
                5.1E-03            1.04783            3.20297E+03
                5.13333E-03        1.05494            3.20482E+03
                5.16667E-03        1.06205            3.20689E+03
                5.2E-03            1.06916            3.2059E+03 
                5.23333E-03        1.07627            3.20769E+03
                5.26667E-03        1.08338            3.20791E+03
                5.3E-03            1.09049            3.20773E+03
                5.33333E-03        1.0976             3.20729E+03
                5.36667E-03        1.10471            3.21191E+03
                5.4E-03            1.11182            3.21113E+03
                5.43333E-03        1.11894            3.2112E+03 
