
                  X             Displacement          Force      

                0.                 0.                 1.47616    
               33.3366E-06         6.66787E-03        1.0392E+03 
               66.6714E-06        13.3349E-03         2.16314E+03
              100.006E-06         20.0035E-03         3.27853E+03
              133.334E-06         26.6716E-03         4.43657E+03
              166.669E-06         33.339E-03          5.66518E+03
              200.004E-06         40.0035E-03         6.84708E+03
              233.339E-06         46.668E-03          8.06139E+03
              266.667E-06         53.3312E-03         9.13825E+03
              300.002E-06         59.9957E-03        10.154E+03  
              333.336E-06         66.6669E-03        11.112E+03  
              366.671E-06         73.3412E-03        11.9825E+03 
              400.006E-06         80.0154E-03        12.8621E+03 
              433.334E-06         86.6885E-03        13.7826E+03 
              466.669E-06         93.3628E-03        14.4684E+03 
              500.004E-06        100.037E-03         15.0267E+03 
              533.338E-06        106.711E-03         15.7272E+03 
              566.667E-06        113.384E-03         16.1596E+03 
              600.001E-06        120.048E-03         16.7425E+03 
              633.336E-06        126.703E-03         17.1426E+03 
              666.671E-06        133.357E-03         17.5421E+03 
              700.006E-06        140.012E-03         17.972E+03  
              733.334E-06        146.666E-03         18.3209E+03 
              766.669E-06        153.32E-03          18.6187E+03 
              800.003E-06        159.975E-03         18.8997E+03 
              833.338E-06        166.63E-03          19.1638E+03 
              866.673E-06        173.284E-03         19.4063E+03 
              900.001E-06        179.938E-03         19.6197E+03 
              933.336E-06        186.593E-03         19.8076E+03 
              966.671E-06        193.247E-03         19.9775E+03 
                1.E-03           199.945E-03         20.1317E+03 
                1.03333E-03      206.661E-03         20.2727E+03 
                1.06667E-03      213.377E-03         20.4012E+03 
                1.1E-03          220.093E-03         20.5145E+03 
                1.13334E-03      226.81E-03          20.6153E+03 
                1.16667E-03      233.525E-03         20.7035E+03 
                1.2E-03          240.241E-03         20.7872E+03 
                1.23334E-03      246.957E-03         20.8701E+03 
                1.26667E-03      253.673E-03         20.9474E+03 
                1.3E-03          260.39E-03          21.0153E+03 
                1.33334E-03      267.105E-03         21.0773E+03 
                1.36667E-03      273.822E-03         21.138E+03  
                1.4E-03          280.538E-03         21.1942E+03 
                1.43333E-03      287.253E-03         21.2444E+03 
                1.46667E-03      293.97E-03          21.292E+03  
                1.5E-03          300.685E-03         21.3377E+03 
                1.53334E-03      307.402E-03         21.3792E+03 
                1.56667E-03      314.117E-03         21.4185E+03 
                1.60001E-03      320.834E-03         21.4564E+03 
                1.63334E-03      327.55E-03          21.4912E+03 
                1.66667E-03      334.265E-03         21.5244E+03 
                1.7E-03          340.982E-03         21.5561E+03 
                1.73333E-03      347.698E-03         21.5856E+03 
                1.76667E-03      354.414E-03         21.6138E+03 
                1.8E-03          361.13E-03          21.6405E+03 
                1.83334E-03      367.847E-03         21.6656E+03 
                1.86667E-03      374.562E-03         21.6894E+03 
                1.9E-03          381.278E-03         21.7119E+03 
                1.93334E-03      387.994E-03         21.7332E+03 
                1.96667E-03      394.71E-03          21.7533E+03 
                2.E-03           401.427E-03         21.7722E+03 
                2.03334E-03      408.142E-03         21.7902E+03 
                2.06667E-03      414.859E-03         21.8072E+03 
                2.1E-03          421.575E-03         21.8233E+03 
                2.13333E-03      428.29E-03          21.8385E+03 
                2.16667E-03      435.007E-03         21.8528E+03 
                2.2E-03          441.722E-03         21.8662E+03 
                2.23334E-03      448.439E-03         21.8788E+03 
                2.26667E-03      455.154E-03         21.8906E+03 
                2.30001E-03      461.871E-03         21.9017E+03 
                2.33334E-03      468.587E-03         21.912E+03  
                2.36667E-03      475.302E-03         21.9216E+03 
                2.4E-03          482.019E-03         21.9304E+03 
                2.43333E-03      488.735E-03         21.9386E+03 
                2.46667E-03      495.451E-03         21.946E+03  
                2.5E-03          502.109E-03         21.9528E+03 
                2.53334E-03      508.747E-03         21.959E+03  
                2.56667E-03      515.384E-03         21.9645E+03 
                2.6E-03          522.02E-03          21.9694E+03 
                2.63334E-03      528.658E-03         21.9736E+03 
                2.66667E-03      535.294E-03         21.9773E+03 
                2.7E-03          541.932E-03         21.9804E+03 
                2.73334E-03      548.569E-03         21.9829E+03 
                2.76667E-03      555.206E-03         21.9849E+03 
                2.8E-03          561.843E-03         21.9863E+03 
                2.83333E-03      568.479E-03         21.9872E+03 
                2.86667E-03      575.117E-03         21.9875E+03 
                2.9E-03          581.754E-03         21.9873E+03 
                2.93334E-03      588.391E-03         21.9865E+03 
                2.96667E-03      595.028E-03         21.9852E+03 
                3.00001E-03      601.666E-03         21.9834E+03 
                3.03334E-03      608.302E-03         21.9811E+03 
                3.06667E-03      614.939E-03         21.9783E+03 
                3.1E-03          621.576E-03         21.975E+03  
                3.13333E-03      628.213E-03         21.9712E+03 
                3.16667E-03      634.851E-03         21.9669E+03 
                3.2E-03          641.487E-03         21.9621E+03 
                3.23334E-03      648.125E-03         21.9569E+03 
                3.26667E-03      654.761E-03         21.9512E+03 
                3.3E-03          661.398E-03         21.945E+03  
                3.33334E-03      668.036E-03         21.9384E+03 
                3.36667E-03      674.672E-03         21.9313E+03 
                3.4E-03          681.31E-03          21.9238E+03 
                3.43334E-03      687.946E-03         21.9159E+03 
                3.46667E-03      694.584E-03         21.9075E+03 
                3.5E-03          701.221E-03         21.8987E+03 
                3.53333E-03      707.857E-03         21.8895E+03 
                3.56667E-03      714.495E-03         21.8798E+03 
                3.6E-03          721.131E-03         21.8698E+03 
                3.63334E-03      727.769E-03         21.8592E+03 
                3.66667E-03      734.406E-03         21.8484E+03 
                3.70001E-03      741.043E-03         21.8371E+03 
                3.73334E-03      747.68E-03          21.8254E+03 
                3.76667E-03      754.316E-03         21.8134E+03 
                3.8E-03          760.954E-03         21.8008E+03 
                3.83333E-03      767.59E-03          21.788E+03  
                3.86667E-03      774.228E-03         21.7747E+03 
                3.9E-03          780.865E-03         21.7611E+03 
                3.93333E-03      787.668E-03         21.7468E+03 
                3.96667E-03      794.561E-03         21.7319E+03 
                4.E-03           801.453E-03         21.7167E+03 
                4.03334E-03      808.342E-03         21.7012E+03 
                4.06667E-03      815.07E-03          21.6853E+03 
                4.1E-03          821.798E-03         21.6692E+03 
                4.13334E-03      828.527E-03         21.6527E+03 
                4.16667E-03      835.255E-03         21.6359E+03 
                4.2E-03          841.982E-03         21.6188E+03 
                4.23334E-03      848.615E-03         21.6015E+03 
                4.26667E-03      855.179E-03         21.5838E+03 
                4.3E-03          861.742E-03         21.5659E+03 
                4.33334E-03      868.307E-03         21.5477E+03 
                4.36667E-03      874.87E-03          21.5293E+03 
                4.4E-03          881.418E-03         21.5105E+03 
