
                  X             Displacement          Force      

                0.                 0.                 1.32817    
              100.001E-06         28.0014E-03         1.97535E+03
              200.005E-06         55.9857E-03         3.68874E+03
              300.006E-06         83.9981E-03         5.74592E+03
              400.004E-06        112.039E-03          7.67048E+03
              500.E-06           140.065E-03          9.41809E+03
              600.005E-06        167.918E-03         10.8553E+03 
              700.003E-06        195.769E-03         11.9713E+03 
              800.001E-06        223.621E-03         12.9868E+03 
              900.006E-06        251.485E-03         13.7712E+03 
                1.E-03           279.455E-03         14.406E+03  
                1.1E-03          307.424E-03         14.8187E+03 
                1.2E-03          335.394E-03         15.1333E+03 
                1.3E-03          363.366E-03         15.3688E+03 
                1.4E-03          391.336E-03         15.5385E+03 
                1.5E-03          419.306E-03         15.6749E+03 
                1.60001E-03      447.152E-03         15.781E+03  
                1.7E-03          474.885E-03         15.8674E+03 
                1.8E-03          502.659E-03         15.9404E+03 
                1.9E-03          530.629E-03         16.0034E+03 
                2.E-03           558.6E-03           16.0547E+03 
                2.1E-03          586.57E-03          16.0975E+03 
                2.2E-03          614.54E-03          16.134E+03  
                2.30001E-03      642.201E-03         16.1648E+03 
                2.4E-03          669.697E-03         16.1899E+03 
                2.5E-03          697.193E-03         16.2101E+03 
                2.6E-03          724.689E-03         16.2264E+03 
                2.7E-03          752.186E-03         16.239E+03  
                2.8E-03          779.682E-03         16.2477E+03 
                2.9E-03          807.178E-03         16.253E+03  
                3.00001E-03      834.675E-03         16.2551E+03 
                3.1E-03          862.814E-03         16.254E+03  
                3.2E-03          891.368E-03         16.2499E+03 
                3.3E-03          919.922E-03         16.2428E+03 
                3.4E-03          948.475E-03         16.2327E+03 
                3.50001E-03      977.03E-03          16.2196E+03 
                3.60001E-03        1.00558           16.2035E+03 
                3.7E-03            1.03414           16.1845E+03 
                3.8E-03            1.06269           16.1625E+03 
                3.9E-03            1.09125           16.1376E+03 
                4.E-03             1.1198            16.1096E+03 
                4.1E-03            1.14835           16.0786E+03 
                4.2E-03            1.17691           16.0445E+03 
                4.3E-03            1.20546           16.0073E+03 
                4.4E-03            1.23401           15.967E+03  
                4.50001E-03        1.26257           15.9236E+03 
                4.6E-03            1.29112           15.8768E+03 
                4.7E-03            1.31968           15.8267E+03 
                4.8E-03            1.34823           15.7731E+03 
                4.9E-03            1.37678           15.7158E+03 
                5.E-03             1.40534           15.6548E+03 
                5.1E-03            1.43389           15.5899E+03 
                5.2E-03            1.46244           15.5209E+03 
                5.3E-03            1.49017           15.4478E+03 
                5.4E-03            1.51774           15.3704E+03 
                5.50001E-03        1.54531           15.2873E+03 
                5.6E-03            1.57288           15.2E+03    
                5.7E-03            1.60045           15.1071E+03 
                5.8E-03            1.62802           15.008E+03  
                5.9E-03            1.65558           14.9026E+03 
                6.E-03             1.68315           14.7905E+03 
                6.1E-03            1.71072           14.6706E+03 
                6.2E-03            1.73829           14.5424E+03 
                6.3E-03            1.76586           14.4048E+03 
                6.40001E-03        1.79343           14.2568E+03 
                6.5E-03            1.821             14.0972E+03 
                6.6E-03            1.84857           13.925E+03  
                6.7E-03            1.87614           13.7384E+03 
                6.8E-03            1.90371           13.5364E+03 
                6.9E-03            1.93128           13.3178E+03 
                7.E-03             1.95885           13.0823E+03 
                7.1E-03            1.98641           12.8296E+03 
                7.2E-03            2.01398           12.56E+03   
                7.3E-03            2.04155           12.2742E+03 
                7.40001E-03        2.06912           11.9728E+03 
                7.5E-03            2.09694           11.6586E+03 
                7.6E-03            2.12494           11.335E+03  
                7.7E-03            2.1529            11.0015E+03 
                7.8E-03            2.18078           10.6637E+03 
                7.9E-03            2.20927           10.313E+03  
                8.E-03             2.23613            9.98053E+03
                8.1E-03            2.26173            9.67611E+03
                8.2E-03            2.29144            9.3305E+03 
                8.3E-03            2.3213             8.96894E+03
                8.4E-03            2.35117            8.63193E+03
                8.5E-03            2.37735            8.36208E+03
                8.6E-03            2.40935            7.9893E+03 
                8.7E-03            2.44135            7.64094E+03
                8.8E-03            2.47335            7.31496E+03
                8.9E-03            2.50359            7.00876E+03
                9.E-03             2.5292             6.72123E+03
                9.1E-03            2.55479            6.45675E+03
                9.2E-03            2.58039            6.20395E+03
                9.3E-03            2.606              5.97552E+03
                9.4E-03            2.6316             5.76289E+03
                9.5E-03            2.6572             5.56617E+03
                9.6E-03            2.6828             5.39001E+03
                9.7E-03            2.70825            5.23005E+03
                9.8E-03            2.72745            5.08424E+03
                9.9E-03            2.74665            4.9526E+03 
               10.E-03             2.76585            4.83779E+03




