
                  X             Displacement          Force      

                0.                 0.                 1.26802    
              100.003E-06         28.0018E-03         1.59005E+03
              200.002E-06         56.0127E-03         3.53569E+03
              300.E-06            83.9667E-03         5.22735E+03
              400.004E-06        111.89E-03           6.80589E+03
              500.001E-06        139.905E-03          8.6877E+03 
              600.004E-06        167.862E-03         10.2257E+03 
              700.003E-06        195.86E-03          11.2316E+03 
              800.004E-06        223.861E-03         11.9935E+03 
              900.003E-06        251.975E-03         12.5449E+03 
                1.E-03           280.089E-03         12.9889E+03 
                1.1E-03          308.203E-03         13.2919E+03 
                1.2E-03          336.317E-03         13.5757E+03 
                1.30001E-03      364.432E-03         13.8056E+03 
                1.4E-03          392.547E-03         13.9966E+03 
                1.5E-03          420.661E-03         14.1496E+03 
                1.6E-03          448.774E-03         14.2994E+03 
                1.7E-03          476.889E-03         14.4143E+03 
                1.8E-03          505.053E-03         14.5262E+03 
                1.90001E-03      533.398E-03         14.6125E+03 
                2.E-03           561.74E-03          14.6897E+03 
                2.1E-03          590.083E-03         14.7584E+03 
                2.2E-03          618.425E-03         14.8181E+03 
                2.3E-03          646.768E-03         14.87E+03   
                2.4E-03          675.111E-03         14.915E+03  
                2.50001E-03      703.455E-03         14.9547E+03 
                2.6E-03          731.797E-03         14.988E+03  
                2.7E-03          760.14E-03          15.0152E+03 
                2.8E-03          788.458E-03         15.0387E+03 
                2.9E-03          816.343E-03         15.0586E+03 
                3.E-03           844.228E-03         15.0736E+03 
                3.10001E-03      872.115E-03         15.0859E+03 
                3.2E-03          900.001E-03         15.0942E+03 
                3.3E-03          927.886E-03         15.0998E+03 
                3.4E-03          955.772E-03         15.1019E+03 
                3.5E-03          983.657E-03         15.1012E+03 
                3.60001E-03        1.01178           15.0973E+03 
                3.70001E-03        1.03996           15.0906E+03 
                3.8E-03            1.06739           15.081E+03  
                3.9E-03            1.09482           15.0687E+03 
                4.E-03             1.12225           15.0536E+03 
                4.1E-03            1.14967           15.0357E+03 
                4.20001E-03        1.1771            15.0149E+03 
                4.3E-03            1.20453           14.9913E+03 
                4.4E-03            1.23196           14.9648E+03 
                4.5E-03            1.25939           14.9353E+03 
                4.6E-03            1.28682           14.903E+03  
                4.7E-03            1.31425           14.8677E+03 
                4.80001E-03        1.34168           14.8294E+03 
                4.9E-03            1.3691            14.788E+03  
                5.E-03             1.39653           14.7433E+03 
                5.1E-03            1.42396           14.6954E+03 
                5.2E-03            1.45139           14.6442E+03 
                5.3E-03            1.47882           14.5894E+03 
                5.40001E-03        1.50625           14.5311E+03 
                5.5E-03            1.53368           14.4691E+03 
                5.6E-03            1.5611            14.403E+03  
                5.7E-03            1.58853           14.3329E+03 
                5.8E-03            1.61596           14.2586E+03 
                5.9E-03            1.64339           14.1796E+03 
                6.00001E-03        1.67082           14.096E+03  
                6.1E-03            1.69825           14.0071E+03 
                6.2E-03            1.72568           13.9122E+03 
                6.3E-03            1.7531            13.8113E+03 
                6.4E-03            1.78053           13.7033E+03 
                6.5E-03            1.80796           13.5875E+03 
                6.60001E-03        1.83539           13.4634E+03 
                6.7E-03            1.86282           13.3298E+03 
                6.8E-03            1.89025           13.1862E+03 
                6.9E-03            1.91768           13.0314E+03 
                7.E-03             1.9451            12.8644E+03 
                7.1E-03            1.97253           12.6836E+03 
                7.20001E-03        1.99996           12.488E+03  
                7.3E-03            2.02739           12.276E+03  
                7.4E-03            2.05482           12.0468E+03 
                7.5E-03            2.08225           11.7995E+03 
                7.6E-03            2.10968           11.5337E+03 
                7.7E-03            2.1371            11.2491E+03 
                7.80001E-03        2.16453           10.9472E+03 
                7.9E-03            2.19196           10.629E+03  
                8.E-03             2.22007           10.2925E+03 
                8.1E-03            2.24821            9.94504E+03
                8.2E-03            2.27584            9.59284E+03
                8.3E-03            2.30295            9.24425E+03
                8.4E-03            2.33058            8.8957E+03 
                8.5E-03            2.36006            8.50568E+03
                8.6E-03            2.38864            8.10072E+03
                8.7E-03            2.41424            7.798E+03  
                8.8E-03            2.43984            7.49358E+03
                8.9E-03            2.47041            7.1293E+03 
                9.E-03             2.50028            6.76299E+03
                9.1E-03            2.53015            6.42337E+03
                9.2E-03            2.55941            6.10629E+03
                9.3E-03            2.58501            5.81987E+03
                9.4E-03            2.61061            5.55974E+03
                9.5E-03            2.63621            5.33549E+03
                9.6E-03            2.66181            5.17414E+03
                9.7E-03            2.68741            4.99932E+03
                9.8E-03            2.71241            4.86462E+03
                9.9E-03            2.7429             4.68607E+03
               10.E-03             2.7749             4.52688E+03




