
                  X             Displacement          Force      

                0.                 0.                 6.33408    
               33.335E-06          6.66639E-03      125.065      
               66.6684E-06        13.3322E-03       159.961      
              100.002E-06         19.9937E-03       414.082      
              133.334E-06         26.6566E-03       483.789      
              166.667E-06         33.3201E-03       474.268      
              200.001E-06         39.9835E-03       657.694      
              233.335E-06         46.6471E-03       754.748      
              266.669E-06         53.3105E-03         1.00199E+03
              300.E-06            59.9735E-03         1.03005E+03
              333.334E-06         66.6232E-03         1.01709E+03
              366.668E-06         73.2603E-03         1.24048E+03
              400.001E-06         79.8974E-03         1.34798E+03
              433.335E-06         86.5345E-03         1.3935E+03 
              466.667E-06         93.1711E-03         1.46833E+03
              500.E-06            99.8373E-03         1.4522E+03 
              533.334E-06        106.558E-03          1.67598E+03
              566.669E-06        113.278E-03          1.80606E+03
              600.001E-06        119.998E-03          1.80589E+03
              633.335E-06        126.718E-03          1.91704E+03
              666.667E-06        133.438E-03          1.99273E+03
              700.002E-06        140.158E-03          2.03874E+03
              733.334E-06        146.877E-03          2.05621E+03
              766.668E-06        153.598E-03          2.08738E+03
              800.E-06           160.317E-03          2.24546E+03
              833.334E-06        167.038E-03          2.25413E+03
              866.669E-06        173.758E-03          2.24846E+03
              900.001E-06        180.477E-03          2.36429E+03
              933.335E-06        187.198E-03          2.35818E+03
              966.667E-06        193.917E-03          2.3795E+03 
                1.E-03           200.638E-03          2.4546E+03 
                1.03333E-03      207.357E-03          2.46356E+03
                1.06667E-03      214.078E-03          2.48858E+03
                1.1E-03          220.797E-03          2.54901E+03
                1.13333E-03      227.517E-03          2.54619E+03
                1.16667E-03      234.238E-03          2.58045E+03
                1.2E-03          240.957E-03          2.6066E+03 
                1.23334E-03      247.678E-03          2.60804E+03
                1.26667E-03      254.357E-03          2.63979E+03
                1.3E-03          260.97E-03           2.66533E+03
                1.33333E-03      267.584E-03          2.67065E+03
                1.36667E-03      274.197E-03          2.6996E+03 
                1.4E-03          280.81E-03           2.70786E+03
                1.43333E-03      287.424E-03          2.71342E+03
                1.46667E-03      294.037E-03          2.73644E+03
                1.5E-03          300.65E-03           2.73412E+03
                1.53334E-03      307.264E-03          2.74722E+03
                1.56667E-03      313.877E-03          2.7583E+03 
                1.6E-03          320.49E-03           2.76384E+03
                1.63333E-03      327.103E-03          2.7792E+03 
                1.66667E-03      333.717E-03          2.78646E+03
                1.7E-03          340.33E-03           2.79677E+03
                1.73333E-03      346.944E-03          2.80733E+03
                1.76667E-03      353.557E-03          2.8179E+03 
                1.8E-03          360.17E-03           2.82295E+03
                1.83334E-03      366.784E-03          2.82761E+03
                1.86667E-03      373.397E-03          2.84043E+03
                1.9E-03          380.011E-03          2.84415E+03
                1.93333E-03      386.623E-03          2.84973E+03
                1.96667E-03      393.237E-03          2.8561E+03 
                2.E-03           399.85E-03           2.86232E+03
                2.03333E-03      406.464E-03          2.86681E+03
                2.06667E-03      413.077E-03          2.87231E+03
                2.1E-03          419.691E-03          2.8769E+03 
                2.13333E-03      426.304E-03          2.88348E+03
                2.16667E-03      432.917E-03          2.88925E+03
                2.2E-03          439.531E-03          2.8936E+03 
                2.23333E-03      446.144E-03          2.89962E+03
                2.26667E-03      452.6E-03            2.90474E+03
                2.3E-03          459.E-03             2.90977E+03
                2.33333E-03      465.4E-03            2.91387E+03
                2.36667E-03      471.8E-03            2.91892E+03
                2.4E-03          478.2E-03            2.92322E+03
                2.43333E-03      484.6E-03            2.92785E+03
                2.46667E-03      491.E-03             2.93156E+03
                2.5E-03          497.4E-03            2.9358E+03 
                2.53333E-03      503.8E-03            2.93898E+03
                2.56667E-03      510.2E-03            2.94327E+03
                2.6E-03          516.6E-03            2.94762E+03
                2.63333E-03      523.E-03             2.95151E+03
                2.66667E-03      529.4E-03            2.95498E+03
                2.7E-03          535.8E-03            2.95966E+03
