
                  X             Displacement          Force      

                0.                 0.                 5.07858    
               50.0068E-06        10.0011E-03       858.035      
              100.004E-06         20.0031E-03         1.79811E+03
              150.003E-06         30.001E-03          2.8555E+03 
              200.006E-06         39.9947E-03         3.52691E+03
              250.002E-06         49.9871E-03         4.52776E+03
              300.005E-06         59.9809E-03         5.57128E+03
              350.E-06            69.9621E-03         6.23891E+03
              400.003E-06         79.9423E-03         7.28687E+03
              450.006E-06         89.9225E-03         8.1783E+03 
              500.002E-06         99.9014E-03         9.03128E+03
              550.004E-06        109.882E-03          9.96594E+03
              600.E-06           119.861E-03         10.68E+03   
              650.007E-06        129.844E-03         11.4358E+03 
              700.002E-06        139.823E-03         12.0489E+03 
              750.005E-06        149.803E-03         12.3593E+03 
              800.001E-06        159.782E-03         12.7373E+03 
              850.004E-06        169.762E-03         13.0585E+03 
              900.006E-06        179.742E-03         13.3396E+03 
              950.002E-06        189.721E-03         13.5962E+03 
                1.E-03           199.701E-03         13.7647E+03 
                1.05E-03         209.68E-03          13.9187E+03 
                1.1E-03          219.66E-03          14.0816E+03 
                1.15001E-03      229.64E-03          14.226E+03  
                1.2E-03          239.619E-03         14.3485E+03 
                1.25E-03         249.599E-03         14.4792E+03 
                1.3E-03          259.578E-03         14.5991E+03 
                1.35E-03         269.558E-03         14.6984E+03 
                1.40001E-03      279.538E-03         14.7876E+03 
                1.45E-03         289.517E-03         14.8707E+03 
                1.5E-03          299.498E-03         14.9494E+03 
                1.55E-03         309.477E-03         15.0232E+03 
                1.6E-03          319.456E-03         15.0908E+03 
                1.65001E-03      329.437E-03         15.1513E+03 
                1.7E-03          339.416E-03         15.2066E+03 
                1.75E-03         349.396E-03         15.2613E+03 
                1.8E-03          359.375E-03         15.3162E+03 
                1.85E-03         369.355E-03         15.3641E+03 
                1.90001E-03      379.335E-03         15.4072E+03 
                1.95E-03         389.314E-03         15.4513E+03 
                2.00001E-03      399.456E-03         15.492E+03  
                2.05001E-03      409.607E-03         15.529E+03  
                2.1E-03          419.759E-03         15.566E+03  
                2.15E-03         429.911E-03         15.5989E+03 
                2.2E-03          440.062E-03         15.6311E+03 
                2.25E-03         450.214E-03         15.6607E+03 
                2.3E-03          460.365E-03         15.6888E+03 
                2.35E-03         470.517E-03         15.715E+03  
                2.4E-03          480.669E-03         15.74E+03   
                2.45001E-03      490.822E-03         15.763E+03  
                2.50001E-03      500.973E-03         15.7851E+03 
                2.55E-03         511.124E-03         15.8052E+03 
