
                  X             Displacement          Force      

                0.                 0.                 7.02608    
               50.0055E-06         7.50065E-03      873.798      
              100.004E-06         15.E-03             1.55839E+03
              150.004E-06         22.4981E-03         2.61912E+03
              200.004E-06         29.9933E-03         3.22808E+03
              250.005E-06         37.4826E-03         4.25053E+03
              300.005E-06         44.9712E-03         5.00025E+03
              350.006E-06         52.4597E-03         5.83682E+03
              400.006E-06         59.9484E-03         6.6646E+03 
              450.007E-06         67.4473E-03         7.45543E+03
              500.E-06            74.9479E-03         8.37044E+03
              550.E-06            82.4497E-03         9.05006E+03
              600.001E-06         89.9513E-03        10.0362E+03 
              650.001E-06         97.4531E-03        10.6814E+03 
              700.002E-06        104.955E-03         11.5024E+03 
              750.002E-06        112.457E-03         12.2005E+03 
              800.003E-06        119.958E-03         12.7589E+03 
              850.003E-06        127.46E-03          13.5567E+03 
              900.004E-06        134.962E-03         14.0255E+03 
              950.004E-06        142.463E-03         14.4561E+03 
                1.E-03           149.965E-03         14.8907E+03 
                1.05001E-03      157.467E-03         15.119E+03  
                1.10001E-03      164.968E-03         15.2803E+03 
                1.15001E-03      172.47E-03          15.442E+03  
                1.20001E-03      179.972E-03         15.5817E+03 
                1.25E-03         187.472E-03         15.7198E+03 
                1.3E-03          194.974E-03         15.8292E+03 
                1.35E-03         202.476E-03         15.9408E+03 
                1.4E-03          209.978E-03         16.0139E+03 
                1.45E-03         217.479E-03         16.0823E+03 
                1.5E-03          224.981E-03         16.1565E+03 
                1.55E-03         232.483E-03         16.2109E+03 
                1.6E-03          239.985E-03         16.2706E+03 
                1.65E-03         247.486E-03         16.3107E+03 
                1.7E-03          254.946E-03         16.3609E+03 
                1.75001E-03      262.396E-03         16.4003E+03 
                1.80001E-03      269.845E-03         16.4362E+03 
                1.85001E-03      277.294E-03         16.47E+03   
                1.90001E-03      284.743E-03         16.4989E+03 
                1.95E-03         292.192E-03         16.5249E+03 
                2.E-03           299.757E-03         16.5507E+03 
                2.05001E-03      307.331E-03         16.5727E+03 
                2.1E-03          314.904E-03         16.5924E+03 
                2.15E-03         322.477E-03         16.6104E+03 
                2.20001E-03      330.051E-03         16.6262E+03 
                2.25E-03         337.625E-03         16.6388E+03 
                2.3E-03          345.198E-03         16.6503E+03 
                2.35E-03         352.676E-03         16.6607E+03 
                2.40001E-03      360.144E-03         16.6699E+03 
                2.45E-03         367.61E-03          16.6773E+03 
                2.5E-03          375.077E-03         16.6827E+03 
                2.55E-03         382.543E-03         16.6864E+03 
                2.60001E-03      390.011E-03         16.6894E+03 
                2.65E-03         397.4E-03           16.6916E+03 
                2.7E-03          404.759E-03         16.6924E+03 
                2.75E-03         412.305E-03         16.692E+03  
                2.8E-03          419.919E-03         16.6903E+03 
                2.85E-03         427.532E-03         16.6876E+03 
                2.9E-03          435.09E-03          16.6838E+03 
                2.95E-03         442.593E-03         16.6789E+03 
                3.00001E-03      450.098E-03         16.673E+03  
                3.05001E-03      457.601E-03         16.6663E+03 
                3.1E-03          465.104E-03         16.6585E+03 
                3.15E-03         472.506E-03         16.6497E+03 
                3.2E-03          479.9E-03           16.6403E+03 
                3.25E-03         487.293E-03         16.6298E+03 
                3.3E-03          494.936E-03         16.6181E+03 
                3.35001E-03      502.503E-03         16.6056E+03 
                3.4E-03          510.046E-03         16.5921E+03 
                3.45E-03         517.589E-03         16.5779E+03 
                3.5E-03          525.131E-03         16.5628E+03 
                3.55E-03         532.675E-03         16.5469E+03 
                3.6E-03          540.144E-03         16.5302E+03 
                3.65E-03         547.459E-03         16.5129E+03 
                3.70001E-03      554.773E-03         16.4946E+03 
                3.75E-03         562.279E-03         16.4752E+03 
                3.80001E-03      569.864E-03         16.4547E+03 
                3.85E-03         577.449E-03         16.4333E+03 
                3.9E-03          585.035E-03         16.4112E+03 
                3.95E-03         592.383E-03         16.3888E+03 
                4.E-03           599.697E-03         16.3658E+03 
                4.05E-03         607.011E-03         16.3421E+03 
                4.10001E-03      614.326E-03         16.3175E+03 
                4.15E-03         621.639E-03         16.2922E+03 
                4.2E-03          628.954E-03         16.2661E+03 
                4.25E-03         636.831E-03         16.2371E+03 
                4.3E-03          644.597E-03         16.2073E+03 
                4.35E-03         652.227E-03         16.1766E+03 
                4.4E-03          659.859E-03         16.1449E+03 
                4.45001E-03      667.49E-03          16.1125E+03 
                4.5E-03          675.12E-03          16.0792E+03 
                4.55E-03         682.751E-03         16.0451E+03 
                4.6E-03          690.382E-03         16.01E+03   
                4.65E-03         698.013E-03         15.9741E+03 
                4.7E-03          705.643E-03         15.9377E+03 
                4.75E-03         713.171E-03         15.9001E+03 
                4.8E-03          720.555E-03         15.8616E+03 
                4.85E-03         727.94E-03          15.8226E+03 
                4.9E-03          735.324E-03         15.7828E+03 
                4.95E-03         742.71E-03          15.7421E+03 
                5.00001E-03      750.094E-03         15.7003E+03 
                5.05E-03         757.479E-03         15.6578E+03 
                5.1E-03          764.864E-03         15.6147E+03 
                5.15E-03         772.247E-03         15.5706E+03 
                5.2E-03          779.633E-03         15.5256E+03 
                5.25E-03         786.801E-03         15.4798E+03 
                5.3E-03          793.94E-03          15.4329E+03 
                5.35E-03         801.447E-03         15.3824E+03 
                5.4E-03          809.181E-03         15.3297E+03 
                5.45E-03         816.914E-03         15.2758E+03 
                5.5E-03          824.648E-03         15.2203E+03 
                5.55E-03         832.381E-03         15.1642E+03 
                5.6E-03          840.115E-03         15.106E+03  
                5.65001E-03      847.847E-03         15.0471E+03 
                5.7E-03          855.581E-03         14.987E+03  
                5.75E-03         863.073E-03         14.9258E+03 
                5.8E-03          870.539E-03         14.8646E+03 
                5.85E-03         877.924E-03         14.8026E+03 
                5.9E-03          885.135E-03         14.7394E+03 
                5.95E-03         892.944E-03         14.6707E+03 
                6.E-03           900.536E-03         14.6011E+03 
                6.05E-03         908.098E-03         14.5303E+03 
                6.1E-03          915.474E-03         14.4595E+03 
                6.15E-03         922.745E-03         14.3881E+03 
                6.2E-03          930.355E-03         14.311E+03  
                6.25E-03         938.035E-03         14.2311E+03 
                6.3E-03          945.595E-03         14.1509E+03 
                6.35E-03         952.955E-03         14.0697E+03 
                6.4E-03          960.234E-03         13.9882E+03 
                6.45E-03         967.852E-03         13.8998E+03 
                6.5E-03          975.608E-03         13.8083E+03 
                6.55E-03         983.074E-03         13.7162E+03 
                6.6E-03          990.528E-03         13.6241E+03 
                6.65E-03         997.639E-03         13.5316E+03 
                6.7E-03            1.00538           13.4304E+03 
                6.75E-03           1.01338           13.3255E+03 
                6.8E-03            1.02082           13.2207E+03 
                6.85E-03           1.02802           13.1158E+03 
                6.9E-03            1.03522           13.0107E+03 
                6.95E-03           1.04263           12.9023E+03 
                7.E-03             1.05086           12.7826E+03 
                7.05E-03           1.05835           12.663E+03  
                7.1E-03            1.06566           12.5433E+03 
                7.15E-03           1.07298           12.424E+03  
                7.2E-03            1.08029           12.3054E+03 
                7.25E-03           1.08761           12.1872E+03 
                7.3E-03            1.09575           12.0548E+03 
                7.35E-03           1.10321           11.9179E+03 
                7.4E-03            1.11068           11.7824E+03 
                7.45E-03           1.11815           11.6482E+03 
                7.5E-03            1.12561           11.5144E+03 
                7.55E-03           1.13308           11.3815E+03 
                7.6E-03            1.14055           11.2502E+03 
