
                  X             Displacement          Force      

                0.                 0.                 1.48555    
               33.3382E-06         6.66723E-03        1.03905E+03
               66.6674E-06        13.3341E-03         2.1623E+03 
              100.006E-06         20.0061E-03         3.27689E+03
              133.338E-06         26.6768E-03         4.43477E+03
              166.67E-06          33.3476E-03         5.6673E+03 
              200.002E-06         40.0183E-03         6.86003E+03
              233.335E-06         46.689E-03          8.07899E+03
              266.668E-06         53.3497E-03         9.18593E+03
              300.002E-06         60.0053E-03        10.24E+03   
              333.335E-06         66.6542E-03        11.2497E+03 
              366.668E-06         73.3E-03           12.2491E+03 
              400.002E-06         79.9458E-03        13.2481E+03 
              433.335E-06         86.5916E-03        14.2447E+03 
              466.669E-06         93.2373E-03        15.2498E+03 
              500.005E-06         99.8945E-03        16.1626E+03 
              533.335E-06        106.57E-03          16.8996E+03 
              566.672E-06        113.248E-03         17.4087E+03 
              600.003E-06        119.924E-03         17.9469E+03 
              633.333E-06        126.6E-03           18.3783E+03 
              666.67E-06         133.277E-03         18.6419E+03 
              700.001E-06        139.953E-03         18.9085E+03 
              733.338E-06        146.63E-03          19.1623E+03 
              766.669E-06        153.306E-03         19.3186E+03 
              800.005E-06        159.984E-03         19.4691E+03 
              833.336E-06        166.66E-03          19.618E+03  
              866.667E-06        173.336E-03         19.7519E+03 
              900.004E-06        180.013E-03         19.8681E+03 
              933.334E-06        186.689E-03         19.9698E+03 
              966.671E-06        193.366E-03         20.0622E+03 
                1.E-03           200.042E-03         20.1471E+03 
                1.03334E-03      206.719E-03         20.2264E+03 
                1.06667E-03      213.395E-03         20.301E+03  
                1.1E-03          220.071E-03         20.3706E+03 
                1.13334E-03      226.749E-03         20.4361E+03 
                1.16667E-03      233.425E-03         20.4974E+03 
                1.2E-03          240.102E-03         20.5548E+03 
                1.23334E-03      246.778E-03         20.6083E+03 
                1.26667E-03      253.427E-03         20.6585E+03 
                1.3E-03          260.064E-03         20.7056E+03 
                1.33333E-03      266.7E-03           20.7499E+03 
                1.36667E-03      273.338E-03         20.7918E+03 
                1.4E-03          279.975E-03         20.8314E+03 
                1.43334E-03      286.612E-03         20.8687E+03 
                1.46667E-03      293.249E-03         20.9038E+03 
                1.50001E-03      299.887E-03         20.9371E+03 
                1.53334E-03      306.523E-03         20.9686E+03 
                1.56667E-03      313.16E-03          20.9986E+03 
                1.6E-03          319.797E-03         21.027E+03  
                1.63333E-03      326.434E-03         21.054E+03  
                1.66667E-03      333.072E-03         21.0796E+03 
                1.7E-03          339.708E-03         21.1039E+03 
                1.73334E-03      346.346E-03         21.127E+03  
                1.76667E-03      352.982E-03         21.1488E+03 
                1.8E-03          359.619E-03         21.1695E+03 
                1.83334E-03      366.257E-03         21.1891E+03 
                1.86667E-03      372.893E-03         21.2075E+03 
                1.9E-03          379.531E-03         21.2251E+03 
                1.93334E-03      386.168E-03         21.2416E+03 
                1.96667E-03      392.805E-03         21.2572E+03 
                2.E-03           399.442E-03         21.272E+03  
                2.03333E-03      406.078E-03         21.2859E+03 
                2.06667E-03      412.716E-03         21.2989E+03 
                2.1E-03          419.353E-03         21.3112E+03 
                2.13334E-03      425.99E-03          21.3227E+03 
                2.16667E-03      432.627E-03         21.3335E+03 
                2.20001E-03      439.264E-03         21.3435E+03 
                2.23334E-03      445.901E-03         21.3527E+03 
                2.26667E-03      452.538E-03         21.3614E+03 
                2.3E-03          459.175E-03         21.3693E+03 
                2.33333E-03      465.812E-03         21.3766E+03 
                2.36667E-03      472.449E-03         21.3833E+03 
                2.4E-03          479.086E-03         21.3892E+03 
                2.43334E-03      485.724E-03         21.3946E+03 
                2.46667E-03      492.36E-03          21.3994E+03 
                2.5E-03          498.997E-03         21.4036E+03 
                2.53334E-03      505.634E-03         21.4073E+03 
                2.56667E-03      512.271E-03         21.4103E+03 
                2.6E-03          518.909E-03         21.4128E+03 
                2.63334E-03      525.545E-03         21.4148E+03 
                2.66667E-03      532.183E-03         21.4162E+03 
                2.7E-03          538.819E-03         21.4171E+03 
                2.73333E-03      545.456E-03         21.4175E+03 
                2.76667E-03      552.094E-03         21.4173E+03 
                2.8E-03          558.73E-03          21.4167E+03 
                2.83334E-03      565.368E-03         21.4155E+03 
                2.86667E-03      572.004E-03         21.4138E+03 
                2.90001E-03      578.642E-03         21.4117E+03 
                2.93334E-03      585.279E-03         21.409E+03  
                2.96667E-03      591.915E-03         21.4059E+03 
                3.E-03           598.553E-03         21.4023E+03 
                3.03333E-03      605.189E-03         21.3982E+03 
                3.06667E-03      611.827E-03         21.3937E+03 
                3.1E-03          618.464E-03         21.3887E+03 
                3.13334E-03      625.101E-03         21.3833E+03 
                3.16667E-03      631.738E-03         21.3774E+03 
                3.2E-03          638.374E-03         21.3711E+03 
                3.23334E-03      645.012E-03         21.3644E+03 
                3.26667E-03      651.649E-03         21.3572E+03 
                3.3E-03          658.286E-03         21.3497E+03 
                3.33334E-03      664.923E-03         21.3416E+03 
                3.36667E-03      671.561E-03         21.3332E+03 
                3.4E-03          678.197E-03         21.3244E+03 
                3.43333E-03      684.834E-03         21.3152E+03 
                3.46667E-03      691.471E-03         21.3056E+03 
                3.5E-03          698.108E-03         21.2956E+03 
                3.53334E-03      704.746E-03         21.2852E+03 
                3.56667E-03      711.382E-03         21.2744E+03 
                3.60001E-03      718.02E-03          21.2633E+03 
                3.63334E-03      724.656E-03         21.2518E+03 
                3.66667E-03      731.294E-03         21.2398E+03 
                3.7E-03          737.931E-03         21.2275E+03 
                3.73333E-03      744.567E-03         21.2149E+03 
                3.76667E-03      751.205E-03         21.2018E+03 
                3.8E-03          757.841E-03         21.1885E+03 
                3.83334E-03      764.479E-03         21.1747E+03 
                3.86667E-03      771.116E-03         21.1606E+03 
                3.88239E-03      774.245E-03         21.1538E+03 




