
                  X             Displacement          Force      

                0.                 0.                 6.63639    
               33.3354E-06         6.66645E-03       98.2792     
               66.6683E-06        13.3291E-03       151.599      
              100.001E-06         19.9965E-03       342.046      
              133.333E-06         26.6729E-03       577.026      
              166.668E-06         33.3603E-03       556.285      
              200.001E-06         40.0372E-03       907.422      
              233.336E-06         46.7146E-03       966.356      
              266.668E-06         53.3915E-03       949.191      
              300.001E-06         60.0684E-03         1.10334E+03
              333.335E-06         66.7629E-03         1.2643E+03 
              366.668E-06         73.4675E-03         1.19353E+03
              400.001E-06         80.1721E-03         1.53894E+03
              433.335E-06         86.8772E-03         1.59506E+03
              466.668E-06         93.5817E-03         1.68473E+03
              500.001E-06        100.256E-03          1.7464E+03 
              533.335E-06        106.875E-03          1.85781E+03
              566.669E-06        113.494E-03          1.79283E+03
              600.001E-06        120.113E-03          1.98322E+03
              633.335E-06        126.719E-03          2.08843E+03
              666.667E-06        133.282E-03          2.11866E+03
              700.001E-06        139.847E-03          2.14544E+03
              733.335E-06        146.411E-03          2.17706E+03
              766.667E-06        152.975E-03          2.35464E+03
              800.001E-06        159.539E-03          2.34542E+03
              833.335E-06        166.103E-03          2.41501E+03
              866.667E-06        172.667E-03          2.42379E+03
              900.002E-06        179.286E-03          2.50629E+03
              933.335E-06        186.023E-03          2.52074E+03
              966.668E-06        192.76E-03           2.57717E+03
                1.E-03           199.496E-03          2.56037E+03
                1.03333E-03      206.233E-03          2.64339E+03
                1.06667E-03      212.97E-03           2.66724E+03
                1.1E-03          219.707E-03          2.67265E+03
                1.13333E-03      226.444E-03          2.70693E+03
                1.16667E-03      233.18E-03           2.7439E+03 
                1.2E-03          239.917E-03          2.74361E+03
                1.23333E-03      246.654E-03          2.77286E+03
                1.26667E-03      253.391E-03          2.78653E+03
                1.3E-03          260.128E-03          2.80267E+03
                1.33333E-03      266.865E-03          2.8262E+03 
                1.36667E-03      273.601E-03          2.82892E+03
                1.4E-03          280.338E-03          2.85205E+03
                1.43333E-03      287.075E-03          2.86902E+03
                1.46667E-03      293.812E-03          2.86937E+03
                1.5E-03          300.549E-03          2.88209E+03
                1.53334E-03      307.286E-03          2.89844E+03
                1.56667E-03      314.023E-03          2.90115E+03
                1.6E-03          320.759E-03          2.91155E+03
                1.63333E-03      327.496E-03          2.92109E+03
                1.66667E-03      334.233E-03          2.93099E+03
                1.7E-03          340.97E-03           2.93394E+03
                1.73333E-03      347.707E-03          2.9445E+03 
                1.76667E-03      354.443E-03          2.9523E+03 
                1.8E-03          361.18E-03           2.95346E+03
                1.83333E-03      367.783E-03          2.9613E+03 
                1.86667E-03      374.296E-03          2.97239E+03
                1.9E-03          380.808E-03          2.97747E+03
                1.93333E-03      387.32E-03           2.97861E+03
                1.96667E-03      393.98E-03           2.98724E+03
                2.E-03           400.854E-03          2.9911E+03 
                2.03333E-03      407.728E-03          2.99804E+03
                2.06667E-03      414.601E-03          3.00292E+03
                2.1E-03          421.476E-03          3.00647E+03
                2.13333E-03      428.35E-03           3.01408E+03
                2.16667E-03      435.223E-03          3.01714E+03
                2.2E-03          442.098E-03          3.02374E+03
                2.23333E-03      448.972E-03          3.0268E+03 
                2.26667E-03      455.845E-03          3.03235E+03
                2.3E-03          462.719E-03          3.03709E+03
                2.33333E-03      469.595E-03          3.0401E+03 
                2.36667E-03      476.468E-03          3.04503E+03
                2.4E-03          483.342E-03          3.04905E+03
                2.43334E-03      490.217E-03          3.05242E+03
                2.46667E-03      496.992E-03          3.05691E+03
                2.5E-03          503.628E-03          3.06095E+03
                2.53333E-03      510.265E-03          3.06453E+03
                2.56667E-03      516.903E-03          3.06865E+03
                2.6E-03          523.54E-03           3.07209E+03
                2.63333E-03      530.177E-03          3.07574E+03
                2.66667E-03      536.814E-03          3.07878E+03
                2.7E-03          543.451E-03          3.08267E+03
                2.73333E-03      550.088E-03          3.08607E+03
                2.76667E-03      556.725E-03          3.08972E+03
                2.8E-03          563.362E-03          3.09304E+03
                2.83333E-03      569.999E-03          3.09595E+03
                2.86667E-03      576.636E-03          3.09923E+03
                2.9E-03          583.273E-03          3.10246E+03
                2.93333E-03      589.91E-03           3.10578E+03
                2.96667E-03      596.547E-03          3.10883E+03
                3.E-03           603.184E-03          3.11179E+03
                3.03333E-03      609.821E-03          3.11477E+03
                3.06667E-03      616.459E-03          3.11775E+03
                3.1E-03          622.778E-03          3.12079E+03
                3.13334E-03      628.941E-03          3.12372E+03
                3.16667E-03      635.104E-03          3.12639E+03
                3.2E-03          641.266E-03          3.12941E+03
                3.23333E-03      647.43E-03           3.1322E+03 
                3.26667E-03      654.162E-03          3.13528E+03
                3.3E-03          661.095E-03          3.13847E+03
                3.33333E-03      668.029E-03          3.14145E+03
                3.36667E-03      674.961E-03          3.14443E+03
                3.4E-03          681.895E-03          3.14744E+03
                3.43333E-03      688.829E-03          3.1504E+03 
                3.46667E-03      695.762E-03          3.1533E+03 
                3.5E-03          702.695E-03          3.15614E+03
                3.53333E-03      709.629E-03          3.15905E+03
