
                  X             Displacement          Force      

                0.                 0.                 7.02608    
               50.0055E-06         7.50065E-03      873.798      
              100.004E-06         15.E-03             1.55839E+03
              150.004E-06         22.4981E-03         2.61912E+03
              200.004E-06         29.9933E-03         3.22808E+03
              250.005E-06         37.4826E-03         4.25053E+03
              300.005E-06         44.9712E-03         5.00025E+03
              350.006E-06         52.4597E-03         5.83682E+03
              400.006E-06         59.9484E-03         6.66525E+03
              450.007E-06         67.4473E-03         7.45554E+03
              500.E-06            74.9479E-03         8.36413E+03
              550.E-06            82.4497E-03         9.04244E+03
              600.001E-06         89.9513E-03         9.98006E+03
              650.001E-06         97.4531E-03        10.5579E+03 
              700.002E-06        104.955E-03         11.3593E+03 
              750.002E-06        112.456E-03         12.0194E+03 
              800.003E-06        119.958E-03         12.4238E+03 
              850.003E-06        127.46E-03          12.9183E+03 
              900.004E-06        134.962E-03         13.0164E+03 
              950.004E-06        142.463E-03         13.1296E+03 
                1.E-03           149.965E-03         13.2862E+03 
                1.05001E-03      157.467E-03         13.3884E+03 
                1.10001E-03      164.968E-03         13.4767E+03 
                1.15001E-03      172.47E-03          13.5696E+03 
                1.20001E-03      179.972E-03         13.6458E+03 
                1.25E-03         187.472E-03         13.7243E+03 
                1.3E-03          194.974E-03         13.7878E+03 
                1.35E-03         202.476E-03         13.8521E+03 
                1.4E-03          209.978E-03         13.9082E+03 
                1.45E-03         217.479E-03         13.9683E+03 
                1.5E-03          224.981E-03         14.0172E+03 
                1.55E-03         232.483E-03         14.0635E+03 
                1.6E-03          239.985E-03         14.1108E+03 
                1.65E-03         247.486E-03         14.155E+03  
                1.7E-03          254.949E-03         14.1941E+03 
                1.75001E-03      262.398E-03         14.2307E+03 
                1.80001E-03      269.848E-03         14.2661E+03 
                1.85001E-03      277.297E-03         14.2987E+03 
                1.90001E-03      284.746E-03         14.3279E+03 
                1.95E-03         292.194E-03         14.3548E+03 
                2.E-03           299.76E-03          14.3808E+03 
                2.05001E-03      307.334E-03         14.4055E+03 
                2.1E-03          314.907E-03         14.4271E+03 
                2.15E-03         322.48E-03          14.4461E+03 
                2.20001E-03      330.054E-03         14.4632E+03 
                2.25E-03         337.627E-03         14.4786E+03 
                2.3E-03          345.2E-03           14.4926E+03 
                2.35E-03         352.739E-03         14.5037E+03 
                2.40001E-03      360.207E-03         14.5128E+03 
                2.45E-03         367.673E-03         14.5195E+03 
                2.5E-03          375.139E-03         14.5242E+03 
                2.55E-03         382.606E-03         14.5272E+03 
                2.60001E-03      390.073E-03         14.5283E+03 
                2.65E-03         397.539E-03         14.5273E+03 
                2.7E-03          404.92E-03          14.5243E+03 
                2.75001E-03      412.28E-03          14.5192E+03 
                2.80001E-03      419.874E-03         14.5117E+03 
                2.85001E-03      427.488E-03         14.5022E+03 
                2.9E-03          435.097E-03         14.491E+03  
                2.95E-03         442.6E-03           14.4776E+03 
                3.E-03           450.103E-03         14.4623E+03 
                3.05E-03         457.607E-03         14.4451E+03 
                3.1E-03          465.11E-03          14.4266E+03 
                3.15E-03         472.552E-03         14.4061E+03 
                3.20001E-03      479.946E-03         14.384E+03  
                3.25001E-03      487.339E-03         14.3605E+03 
                3.3E-03          494.732E-03         14.3353E+03 
                3.35E-03         502.092E-03         14.3091E+03 
                3.4E-03          509.471E-03         14.2811E+03 
                3.45E-03         517.014E-03         14.2507E+03 
                3.50001E-03      524.557E-03         14.2195E+03 
                3.55E-03         532.099E-03         14.1869E+03 
                3.60001E-03      539.642E-03         14.1529E+03 
                3.65E-03         547.185E-03         14.1181E+03 
                3.7E-03          554.728E-03         14.0822E+03 
                3.75E-03         562.271E-03         14.0453E+03 
                3.8E-03          569.813E-03         14.0074E+03 
                3.85001E-03      577.246E-03         13.9687E+03 
                3.9E-03          584.56E-03          13.929E+03  
                3.95E-03         591.875E-03         13.8883E+03 
                4.E-03           599.188E-03         13.8468E+03 
                4.05E-03         606.503E-03         13.8046E+03 
                4.10001E-03      613.818E-03         13.7614E+03 
                4.15E-03         621.132E-03         13.717E+03  
                4.20001E-03      628.447E-03         13.6719E+03 
                4.25E-03         635.76E-03          13.6259E+03 
                4.3E-03          643.075E-03         13.5787E+03 
                4.35E-03         650.389E-03         13.5305E+03 
                4.4E-03          657.703E-03         13.4815E+03 
                4.45001E-03      665.018E-03         13.4314E+03 
                4.5E-03          672.331E-03         13.3803E+03 
                4.55E-03         679.646E-03         13.3284E+03 
                4.6E-03          687.332E-03         13.2723E+03 
                4.65E-03         694.963E-03         13.2157E+03 
                4.7E-03          702.379E-03         13.1589E+03 
                4.75E-03         709.743E-03         13.1018E+03 
                4.8E-03          717.312E-03         13.0409E+03 
                4.85E-03         724.932E-03         12.9787E+03 
                4.9E-03          732.397E-03         12.9161E+03 
                4.95E-03         739.653E-03         12.8533E+03 
                5.E-03           747.378E-03         12.7858E+03 
                5.05E-03         754.942E-03         12.7173E+03 
                5.1E-03          762.339E-03         12.6487E+03 
                5.15E-03         769.662E-03         12.5797E+03 
                5.2E-03          777.375E-03         12.5046E+03 
                5.25E-03         784.975E-03         12.4292E+03 
                5.3E-03          792.336E-03         12.3545E+03 
                5.35E-03         799.572E-03         12.2793E+03 
                5.4E-03          807.393E-03         12.1961E+03 
                5.45E-03         814.972E-03         12.1139E+03 
                5.5E-03          822.439E-03         12.0315E+03 
                5.55E-03         829.634E-03         11.9496E+03 
                5.6E-03          837.242E-03         11.8623E+03 
                5.65E-03         844.95E-03          11.7714E+03 
                5.7E-03          852.55E-03          11.6806E+03 
                5.75E-03         859.909E-03         11.5907E+03 
                5.8E-03          867.11E-03          11.5016E+03 
                5.85E-03         874.609E-03         11.4077E+03 
                5.9E-03          882.38E-03          11.3074E+03 
                5.95E-03         890.152E-03         11.2075E+03 
                6.E-03           897.572E-03         11.109E+03  
                6.05E-03         904.886E-03         11.0109E+03 
                6.1E-03          912.201E-03         10.9142E+03 
                6.15E-03         919.213E-03         10.8163E+03 
                6.2E-03          927.212E-03         10.705E+03  
                6.25E-03         935.213E-03         10.5959E+03 
                6.3E-03          942.694E-03         10.4868E+03 
                6.35E-03         950.161E-03         10.3794E+03 
                6.4E-03          957.628E-03         10.2733E+03 
                6.45E-03         964.791E-03         10.1686E+03 
                6.5E-03          971.724E-03         10.064E+03  
                6.55E-03         978.896E-03          9.9581E+03 
                6.6E-03          987.216E-03          9.83652E+03
                6.65E-03         995.041E-03          9.71636E+03
                6.7E-03            1.00272            9.59753E+03
                6.75E-03           1.0104             9.48045E+03
                6.8E-03            1.01808            9.36474E+03
                6.85E-03           1.02576            9.24997E+03
                6.9E-03            1.03344            9.13651E+03
                6.95E-03           1.04078            9.02542E+03
                7.E-03             1.04718            8.91531E+03
                7.05E-03           1.05358            8.80588E+03
                7.1E-03            1.0614             8.67391E+03
                7.15E-03           1.0694             8.54036E+03
                7.2E-03            1.0774             8.40933E+03
                7.25E-03           1.0854             8.28039E+03
                7.3E-03            1.0934             8.1537E+03 
                7.35E-03           1.1014             8.02798E+03
                7.4E-03            1.1094             7.90438E+03
                7.45E-03           1.1174             7.78292E+03
                7.5E-03            1.12396            7.66371E+03
                7.55E-03           1.13036            7.54613E+03
                7.6E-03            1.13676            7.42963E+03
