
                  X             Displacement          Force      

                0.                 0.                 6.67671    
               33.334E-06          6.6675E-03        96.7728     
               66.6678E-06        13.3321E-03       152.195      
              100.002E-06         20.0014E-03       345.622      
              133.334E-06         26.665E-03        577.713      
              166.667E-06         33.3557E-03       557.689      
              200.002E-06         40.0487E-03       911.744      
              233.334E-06         46.7413E-03       971.41       
              266.667E-06         53.4048E-03       951.351      
              300.002E-06         60.0544E-03         1.09785E+03
              333.335E-06         66.7036E-03         1.26129E+03
              366.667E-06         73.3528E-03         1.21336E+03
              400.002E-06         80.0025E-03         1.52057E+03
              433.335E-06         86.6517E-03         1.62088E+03
              466.667E-06         93.3008E-03         1.65171E+03
              500.E-06            99.9809E-03         1.69231E+03
              533.336E-06        106.718E-03          1.80799E+03
              566.669E-06        113.455E-03          1.74599E+03
              600.002E-06        120.192E-03          1.94136E+03
              633.335E-06        126.929E-03          2.01983E+03
              666.668E-06        133.665E-03          2.06214E+03
              700.001E-06        140.402E-03          2.06601E+03
              733.335E-06        147.139E-03          2.13357E+03
              766.668E-06        153.876E-03          2.15563E+03
              800.001E-06        160.613E-03          2.26625E+03
              833.334E-06        167.35E-03           2.25542E+03
              866.667E-06        174.086E-03          2.27576E+03
              900.001E-06        180.823E-03          2.31169E+03
              933.334E-06        187.56E-03           2.35459E+03
              966.667E-06        194.297E-03          2.35612E+03
                1.E-03           201.034E-03          2.37502E+03
                1.03333E-03      207.77E-03           2.40135E+03
                1.06667E-03      214.507E-03          2.42192E+03
                1.1E-03          221.245E-03          2.43857E+03
                1.13334E-03      227.981E-03          2.44162E+03
                1.16667E-03      234.718E-03          2.47477E+03
                1.2E-03          241.352E-03          2.47857E+03
                1.23333E-03      247.976E-03          2.48334E+03
                1.26667E-03      254.642E-03          2.49534E+03
                1.3E-03          261.378E-03          2.51674E+03
                1.33333E-03      268.115E-03          2.51449E+03
                1.36667E-03      274.852E-03          2.52793E+03
                1.4E-03          281.589E-03          2.53868E+03
                1.43333E-03      288.326E-03          2.54564E+03
                1.46667E-03      295.063E-03          2.55124E+03
                1.5E-03          301.8E-03            2.55896E+03
