
                  X             Displacement          Force      

                0.                 0.                 5.35263    
               50.0035E-06        10.001E-03          1.01254E+03
              100.003E-06         20.003E-03          2.14459E+03
              150.E-06            30.0003E-03         2.94279E+03
              200.003E-06         39.9924E-03         4.13991E+03
              250.005E-06         49.9981E-03         5.04321E+03
              300.001E-06         59.9831E-03         6.11145E+03
              350.004E-06         69.9814E-03         7.15728E+03
              400.E-06            79.9806E-03         7.96794E+03
              450.003E-06         89.9612E-03         9.06457E+03
              500.006E-06         99.9332E-03         9.78842E+03
              550.002E-06        109.904E-03         10.6535E+03 
              600.005E-06        119.876E-03         11.0925E+03 
              650.001E-06        129.864E-03         11.4251E+03 
              700.003E-06        139.865E-03         11.7327E+03 
              750.006E-06        149.865E-03         11.9649E+03 
              800.002E-06        159.864E-03         12.1407E+03 
              850.005E-06        169.865E-03         12.2988E+03 
              900.001E-06        179.864E-03         12.4305E+03 
              950.004E-06        189.865E-03         12.5562E+03 
                1.E-03           199.864E-03         12.6607E+03 
                1.05E-03         209.865E-03         12.7748E+03 
                1.10001E-03      219.865E-03         12.8652E+03 
                1.15E-03         229.864E-03         12.9478E+03 
                1.2E-03          239.865E-03         13.0228E+03 
                1.25E-03         249.853E-03         13.0914E+03 
                1.3E-03          259.796E-03         13.1556E+03 
                1.35001E-03      269.74E-03          13.2148E+03 
                1.4E-03          279.682E-03         13.2684E+03 
                1.45E-03         289.625E-03         13.318E+03  
                1.5E-03          299.568E-03         13.3656E+03 
                1.55E-03         309.511E-03         13.4101E+03 
                1.6E-03          319.453E-03         13.4496E+03 
                1.65E-03         329.397E-03         13.4875E+03 
                1.70001E-03      339.34E-03          13.5231E+03 
                1.75E-03         349.282E-03         13.555E+03  
                1.8E-03          359.226E-03         13.5857E+03 
                1.85E-03         369.167E-03         13.6133E+03 
                1.9E-03          379.111E-03         13.6397E+03 
                1.95001E-03      389.054E-03         13.6636E+03 
                2.E-03           398.996E-03         13.6862E+03 
                2.05E-03         408.94E-03          13.7067E+03 
                2.1E-03          418.882E-03         13.7259E+03 
                2.15E-03         428.825E-03         13.7434E+03 
                2.2E-03          438.767E-03         13.7596E+03 
                2.25E-03         448.711E-03         13.7745E+03 
                2.30001E-03      458.654E-03         13.7879E+03 
                2.35E-03         468.596E-03         13.8003E+03 
                2.4E-03          478.54E-03          13.8115E+03 
                2.45E-03         488.482E-03         13.8215E+03 
                2.5E-03          498.419E-03         13.8305E+03 
                2.55001E-03      508.249E-03         13.8386E+03 
                2.6E-03          518.076E-03         13.8456E+03 
                2.65E-03         527.906E-03         13.8517E+03 
                2.7E-03          537.734E-03         13.8569E+03 
                2.75E-03         547.563E-03         13.8613E+03 
                2.8E-03          557.391E-03         13.8649E+03 
                2.85E-03         567.219E-03         13.8676E+03 
                2.90001E-03      577.049E-03         13.8696E+03 
                2.95E-03         586.876E-03         13.8708E+03 
                3.E-03           596.706E-03         13.8714E+03 
                3.05E-03         606.533E-03         13.8712E+03 
                3.1E-03          616.363E-03         13.8703E+03 
                3.15001E-03      626.192E-03         13.8689E+03 
                3.2E-03          636.02E-03          13.8667E+03 
                3.25E-03         645.849E-03         13.8639E+03 
                3.3E-03          655.677E-03         13.8605E+03 
                3.35E-03         665.506E-03         13.8565E+03 
                3.40001E-03      675.335E-03         13.8519E+03 
                3.45E-03         685.162E-03         13.8468E+03 
                3.50001E-03      694.992E-03         13.841E+03  
                3.55E-03         704.819E-03         13.8348E+03 
                3.6E-03          714.649E-03         13.8279E+03 
                3.65E-03         724.476E-03         13.8206E+03 
                3.7E-03          734.306E-03         13.8127E+03 
                3.75001E-03      744.134E-03         13.8042E+03 
                3.8E-03          753.963E-03         13.7953E+03 
                3.85E-03         763.791E-03         13.7858E+03 
                3.9E-03          773.62E-03          13.7759E+03 
                3.95E-03         783.448E-03         13.7654E+03 
                4.E-03           793.277E-03         13.7543E+03 
                4.05E-03         803.105E-03         13.7428E+03 
                4.10001E-03      812.935E-03         13.7308E+03 
                4.15E-03         822.762E-03         13.7182E+03 
                4.2E-03          832.592E-03         13.7053E+03 
                4.25E-03         842.419E-03         13.6919E+03 
                4.3E-03          852.249E-03         13.678E+03  
                4.35001E-03      862.077E-03         13.6637E+03 
                4.4E-03          871.715E-03         13.649E+03  
                4.45E-03         881.39E-03          13.6337E+03 
                4.5E-03          891.73E-03          13.6169E+03 
                4.55001E-03      902.069E-03         13.5996E+03 
                4.6E-03          912.407E-03         13.5817E+03 
                4.65E-03         922.745E-03         13.5633E+03 
                4.7E-03          933.083E-03         13.5443E+03 
                4.75E-03         943.421E-03         13.5248E+03 
                4.8E-03          953.759E-03         13.5047E+03 
                4.85E-03         963.936E-03         13.4839E+03 
                4.9E-03          974.026E-03         13.4627E+03 
                4.95E-03         984.119E-03         13.4407E+03 
                5.00001E-03      994.213E-03         13.4182E+03 
                5.05E-03           1.00439           13.3951E+03 
                5.1E-03            1.01472           13.3712E+03 
                5.15E-03           1.02456           13.3467E+03 
                5.2E-03            1.03441           13.3214E+03 
                5.25E-03           1.04425           13.2955E+03 
                5.3E-03            1.0541            13.2688E+03 
                5.35E-03           1.06395           13.2414E+03 
                5.4E-03            1.07379           13.2133E+03 
                5.45001E-03        1.08364           13.1844E+03 
                5.5E-03            1.09348           13.1547E+03 
                5.55E-03           1.10333           13.1243E+03 
                5.6E-03            1.11318           13.093E+03  
                5.65E-03           1.12302           13.061E+03  
                5.7E-03            1.13287           13.0283E+03 
                5.75E-03           1.14272           12.9946E+03 
                5.8E-03            1.15256           12.9601E+03 
                5.85E-03           1.16241           12.9248E+03 
                5.9E-03            1.17225           12.8888E+03 
                5.95E-03           1.1821            12.8517E+03 
                6.00001E-03        1.19195           12.8138E+03 
                6.05E-03           1.20179           12.7749E+03 
                6.1E-03            1.21164           12.7351E+03 
                6.15001E-03        1.22205           12.692E+03  
                6.2E-03            1.23225           12.6467E+03 
                6.25E-03           1.24238           12.6006E+03 
                6.3E-03            1.25251           12.5538E+03 
                6.35E-03           1.26265           12.5065E+03 
                6.4E-03            1.27256           12.4587E+03 
                6.45001E-03        1.28216           12.4104E+03 
                6.5E-03            1.29216           12.3596E+03 
                6.55E-03           1.30263           12.3059E+03 
                6.6E-03            1.31259           12.2516E+03 
                6.65E-03           1.32248           12.1968E+03 
                6.7E-03            1.33237           12.1416E+03 
                6.75E-03           1.34215           12.0849E+03 
                6.8E-03            1.35239           12.0233E+03 
                6.85E-03           1.36263           11.9611E+03 
                6.9E-03            1.37262           11.8985E+03 
                6.95E-03           1.38222           11.8356E+03 
                7.E-03             1.39215           11.7701E+03 
                7.05E-03           1.4026            11.6994E+03 
                7.1E-03            1.41255           11.6283E+03 
                7.15E-03           1.42251           11.5569E+03 
                7.2E-03            1.43225           11.4852E+03 
                7.25E-03           1.44225           11.4077E+03 
                7.3E-03            1.45265           11.327E+03  
                7.35E-03           1.46262           11.2465E+03 
                7.4E-03            1.47222           11.1661E+03 
                7.45E-03           1.48216           11.0832E+03 
                7.5E-03            1.49254           10.9919E+03 
                7.55E-03           1.50259           10.9012E+03 
                7.6E-03            1.51265           10.8111E+03 
                7.65E-03           1.52214           10.7214E+03 
                7.7E-03            1.53197           10.6258E+03 
                7.75E-03           1.54264           10.5231E+03 
                7.8E-03            1.55295           10.4211E+03 
                7.85E-03           1.56255           10.3203E+03 
                7.9E-03            1.57215           10.2206E+03 
                7.95E-03           1.58175           10.1221E+03 
                8.E-03             1.59086           10.0245E+03 
                8.05E-03           1.5994             9.92833E+03
