
                  X             Displacement          Force      

                0.                 0.                 1.48547    
               33.3387E-06         6.66791E-03        1.03919E+03
               66.6722E-06        13.3349E-03         2.16238E+03
              100.002E-06         19.9993E-03         3.27781E+03
              133.338E-06         26.6675E-03         4.436E+03  
              166.67E-06          33.3383E-03         5.6658E+03 
              200.002E-06         40.009E-03          6.85162E+03
              233.334E-06         46.6798E-03         8.05999E+03
              266.668E-06         53.3404E-03         9.13473E+03
              300.001E-06         59.996E-03         10.1315E+03 
              333.335E-06         66.6449E-03        11.0583E+03 
              366.668E-06         73.2907E-03        11.9293E+03 
              400.001E-06         79.9365E-03        12.8129E+03 
              433.335E-06         86.5823E-03        13.7108E+03 
              466.668E-06         93.2281E-03        14.3577E+03 
              500.004E-06         99.8852E-03        14.7298E+03 
              533.335E-06        106.561E-03         15.2103E+03 
              566.672E-06        113.239E-03         15.4251E+03 
              600.002E-06        119.915E-03         15.7167E+03 
              633.339E-06        126.592E-03         15.9414E+03 
              666.67E-06         133.268E-03         16.1039E+03 
              700.001E-06        139.944E-03         16.2574E+03 
              733.337E-06        146.621E-03         16.4027E+03 
              766.668E-06        153.297E-03         16.5363E+03 
              800.005E-06        159.974E-03         16.6569E+03 
              833.336E-06        166.65E-03          16.7667E+03 
              866.673E-06        173.327E-03         16.8691E+03 
              900.003E-06        180.004E-03         16.9653E+03 
              933.334E-06        186.68E-03          17.0563E+03 
              966.671E-06        193.357E-03         17.1409E+03 
                1.E-03           200.033E-03         17.2194E+03 
                1.03334E-03      206.71E-03          17.2927E+03 
                1.06667E-03      213.386E-03         17.3631E+03 
                1.10001E-03      220.063E-03         17.4313E+03 
                1.13334E-03      226.739E-03         17.4953E+03 
                1.16667E-03      233.415E-03         17.555E+03  
                1.2E-03          240.093E-03         17.6116E+03 
                1.23333E-03      246.769E-03         17.666E+03  
                1.26667E-03      253.419E-03         17.7173E+03 
                1.3E-03          260.056E-03         17.7659E+03 
                1.33334E-03      266.693E-03         17.8125E+03 
                1.36667E-03      273.33E-03          17.8569E+03 
                1.4E-03          279.966E-03         17.8992E+03 
                1.43334E-03      286.604E-03         17.9397E+03 
                1.46667E-03      293.241E-03         17.9784E+03 
                1.50001E-03      299.878E-03         18.0155E+03 
                1.53334E-03      306.515E-03         18.0509E+03 
                1.56667E-03      313.153E-03         18.0849E+03 
                1.6E-03          319.789E-03         18.1173E+03 
                1.63333E-03      326.426E-03         18.1482E+03 
                1.66667E-03      333.063E-03         18.1778E+03 
                1.7E-03          339.7E-03           18.206E+03  
                1.73334E-03      346.338E-03         18.2331E+03 
                1.76667E-03      352.974E-03         18.2588E+03 
                1.80001E-03      359.612E-03         18.2835E+03 
                1.83334E-03      366.248E-03         18.3071E+03 
                1.86667E-03      372.885E-03         18.3296E+03 
                1.9E-03          379.523E-03         18.3512E+03 
                1.93333E-03      386.159E-03         18.3718E+03 
                1.96667E-03      392.797E-03         18.3914E+03 
                2.E-03           399.433E-03         18.4102E+03 
                2.03334E-03      406.071E-03         18.428E+03  
                2.06667E-03      412.708E-03         18.4451E+03 
                2.1E-03          419.344E-03         18.4612E+03 
                2.13334E-03      425.982E-03         18.4766E+03 
                2.16667E-03      432.618E-03         18.4912E+03 
                2.2E-03          439.256E-03         18.505E+03  
                2.23334E-03      445.893E-03         18.518E+03  
                2.26667E-03      452.53E-03          18.5304E+03 
                2.3E-03          459.167E-03         18.542E+03  
                2.33333E-03      465.803E-03         18.5529E+03 
                2.36667E-03      472.441E-03         18.5631E+03 
                2.4E-03          479.078E-03         18.5727E+03 
                2.43334E-03      485.716E-03         18.5817E+03 
                2.46667E-03      492.352E-03         18.59E+03   
                2.50001E-03      498.99E-03          18.5977E+03 
                2.53334E-03      505.626E-03         18.6048E+03 
                2.56667E-03      512.263E-03         18.6114E+03 
                2.6E-03          518.9E-03           18.6173E+03 
                2.63333E-03      525.537E-03         18.6227E+03 
                2.66667E-03      532.175E-03         18.6275E+03 
                2.7E-03          538.811E-03         18.6318E+03 
                2.73334E-03      545.449E-03         18.6355E+03 
                2.76667E-03      552.086E-03         18.6387E+03 
                2.8E-03          558.722E-03         18.6413E+03 
                2.83334E-03      565.36E-03          18.6435E+03 
                2.86667E-03      571.996E-03         18.6451E+03 
                2.9E-03          578.634E-03         18.6462E+03 
                2.93334E-03      585.27E-03          18.6468E+03 
