
                  X             Displacement          Force      

                0.                 0.                 1.33654    
              100.001E-06         27.9954E-03         1.97484E+03
              200.002E-06         55.988E-03          3.69175E+03
              300.002E-06         83.9807E-03         5.74635E+03
              400.002E-06        111.973E-03          7.66528E+03
              500.003E-06        139.966E-03          9.45906E+03
              600.003E-06        167.961E-03         10.8931E+03 
              700.005E-06        195.94E-03          11.6061E+03 
              800.002E-06        223.834E-03         12.0236E+03 
              900.006E-06        251.744E-03         12.3132E+03 
                1.E-03           279.759E-03         12.5511E+03 
                1.1E-03          307.773E-03         12.7508E+03 
                1.2E-03          335.789E-03         12.9042E+03 
                1.3E-03          363.804E-03         13.0428E+03 
                1.40001E-03      391.82E-03          13.1606E+03 
                1.5E-03          419.834E-03         13.2592E+03 
                1.60001E-03      447.85E-03          13.3414E+03 
                1.7E-03          475.864E-03         13.4176E+03 
                1.8E-03          503.879E-03         13.4828E+03 
                1.9E-03          531.895E-03         13.539E+03  
                2.E-03           559.666E-03         13.5865E+03 
                2.1E-03          587.163E-03         13.6274E+03 
                2.2E-03          614.659E-03         13.6632E+03 
                2.3E-03          642.155E-03         13.6926E+03 
                2.40001E-03      669.652E-03         13.7161E+03 
                2.5E-03          697.148E-03         13.7362E+03 
                2.6E-03          724.644E-03         13.7511E+03 
                2.7E-03          752.14E-03          13.7624E+03 
                2.8E-03          779.637E-03         13.7697E+03 
                2.9E-03          807.133E-03         13.7735E+03 
                3.E-03           834.629E-03         13.7738E+03 
                3.10001E-03      862.126E-03         13.771E+03  
                3.2E-03          889.742E-03         13.7649E+03 
                3.3E-03          918.091E-03         13.7556E+03 
                3.4E-03          946.645E-03         13.7431E+03 
                3.5E-03          975.199E-03         13.7276E+03 
                3.6E-03            1.00375           13.7091E+03 
                3.70001E-03        1.03231           13.6879E+03 
                3.8E-03            1.06086           13.6637E+03 
                3.9E-03            1.08941           13.6367E+03 
                4.E-03             1.11797           13.6068E+03 
                4.1E-03            1.14652           13.5742E+03 
                4.2E-03            1.17508           13.5387E+03 
                4.3E-03            1.20363           13.5004E+03 
                4.4E-03            1.23218           13.4592E+03 
                4.5E-03            1.26074           13.4149E+03 
                4.6E-03            1.28929           13.3677E+03 
                4.70001E-03        1.31785           13.3174E+03 
                4.8E-03            1.3464            13.2639E+03 
                4.9E-03            1.37495           13.2072E+03 
                5.E-03             1.40351           13.1471E+03 
                5.1E-03            1.43206           13.0833E+03 
                5.2E-03            1.46061           13.016E+03  
                5.3E-03            1.48917           12.9447E+03 
                5.4E-03            1.51772           12.8692E+03 
                5.5E-03            1.54628           12.7893E+03 
                5.60001E-03        1.57483           12.7045E+03 
                5.7E-03            1.60338           12.6144E+03 
                5.8E-03            1.63194           12.5183E+03 
                5.9E-03            1.66049           12.4159E+03 
                6.E-03             1.68905           12.3062E+03 
                6.1E-03            1.7176            12.1889E+03 
                6.2E-03            1.74615           12.0629E+03 
                6.3E-03            1.77471           11.9277E+03 
                6.4E-03            1.80326           11.7822E+03 
                6.5E-03            1.83181           11.6256E+03 
                6.60001E-03        1.86037           11.4571E+03 
                6.7E-03            1.88892           11.2753E+03 
                6.8E-03            1.91748           11.0795E+03 
                6.9E-03            1.94603           10.8686E+03 
                7.E-03             1.97458           10.642E+03  
                7.1E-03            2.0029            10.3998E+03 
                7.2E-03            2.03047           10.1423E+03 
                7.3E-03            2.05804            9.87004E+03
                7.4E-03            2.08561            9.58442E+03
                7.5E-03            2.11338            9.28897E+03
                7.6E-03            2.1415             8.9863E+03 
                7.7E-03            2.16949            8.67644E+03
                7.8E-03            2.19775            8.35201E+03
                7.9E-03            2.22811            8.00383E+03
                8.E-03             2.25691            7.59738E+03
                8.1E-03            2.28374            7.34443E+03
                8.2E-03            2.30934            7.08134E+03
                8.3E-03            2.33755            6.79559E+03
                8.4E-03            2.36772            6.45369E+03
                8.5E-03            2.39759            6.16698E+03
                8.6E-03            2.42746            5.8454E+03 
                8.7E-03            2.45343            5.60912E+03
                8.8E-03            2.47903            5.36575E+03
                8.9E-03            2.50463            5.1709E+03 
                9.E-03             2.53023            4.98942E+03
                9.1E-03            2.55583            4.81732E+03
                9.2E-03            2.58117            4.65017E+03
                9.3E-03            2.61316            4.47101E+03
                9.4E-03            2.64516            4.30785E+03
                9.5E-03            2.67716            4.2117E+03 
                9.55255E-03        2.69375            3.89741E+03




