
                  X             Displacement          Force      

                0.                 0.                 7.02608    
               50.0055E-06         7.50065E-03      873.798      
              100.004E-06         15.E-03             1.55839E+03
              150.004E-06         22.4981E-03         2.61912E+03
              200.004E-06         29.9933E-03         3.22808E+03
              250.005E-06         37.4826E-03         4.25053E+03
              300.005E-06         44.9712E-03         5.00025E+03
              350.006E-06         52.4597E-03         5.83682E+03
              400.006E-06         59.9484E-03         6.6633E+03 
              450.007E-06         67.4473E-03         7.45196E+03
              500.E-06            74.9479E-03         8.332E+03  
              550.003E-06         82.4492E-03         9.01853E+03
              600.002E-06         89.9771E-03         9.95108E+03
              650.002E-06         97.498E-03         10.4917E+03 
              700.001E-06        105.018E-03         11.3132E+03 
              750.003E-06        112.489E-03         11.9198E+03 
              800.001E-06        119.955E-03         12.2813E+03 
              850.002E-06        127.442E-03         12.7469E+03 
              900.002E-06        134.96E-03          13.1587E+03 
              950.003E-06        142.477E-03         13.4235E+03 
                1.E-03           150.052E-03         13.6563E+03 
                1.05E-03         157.69E-03          13.8918E+03 
                1.1E-03          165.329E-03         14.1029E+03 
                1.15E-03         172.968E-03         14.2904E+03 
                1.2E-03          180.606E-03         14.4476E+03 
                1.25E-03         188.245E-03         14.5925E+03 
                1.3E-03          195.884E-03         14.7584E+03 
                1.35E-03         203.523E-03         14.8855E+03 
                1.4E-03          211.161E-03         15.0204E+03 
                1.45E-03         218.8E-03           15.1372E+03 
                1.5E-03          226.439E-03         15.2533E+03 
                1.55E-03         234.077E-03         15.3535E+03 
                1.6E-03          241.716E-03         15.465E+03  
                1.65E-03         249.355E-03         15.5524E+03 
                1.7E-03          256.993E-03         15.6358E+03 
                1.75E-03         264.632E-03         15.7243E+03 
                1.8E-03          272.271E-03         15.8054E+03 
                1.85E-03         279.909E-03         15.8772E+03 
                1.9E-03          287.548E-03         15.9423E+03 
                1.95E-03         295.187E-03         16.0063E+03 
                2.E-03           302.602E-03         16.0699E+03 
                2.05E-03         310.002E-03         16.1269E+03 
                2.1E-03          317.402E-03         16.1858E+03 
                2.15E-03         324.802E-03         16.2374E+03 
                2.2E-03          332.202E-03         16.2862E+03 
                2.25E-03         339.602E-03         16.3327E+03 
                2.3E-03          347.002E-03         16.3759E+03 
                2.35E-03         354.402E-03         16.4214E+03 
                2.4E-03          361.801E-03         16.4619E+03 
                2.45E-03         369.202E-03         16.5025E+03 
                2.5E-03          376.602E-03         16.5389E+03 
                2.55E-03         384.002E-03         16.5746E+03 
                2.6E-03          391.402E-03         16.609E+03  
                2.65E-03         398.802E-03         16.6381E+03 
                2.7E-03          406.202E-03         16.6695E+03 
                2.75E-03         413.602E-03         16.6972E+03 
                2.8E-03          421.002E-03         16.7249E+03 
                2.85E-03         428.402E-03         16.7514E+03 
                2.9E-03          435.802E-03         16.7757E+03 
                2.95E-03         443.202E-03         16.7987E+03 
                3.E-03           450.602E-03         16.8222E+03 
                3.05E-03         458.002E-03         16.8429E+03 
                3.1E-03          465.402E-03         16.862E+03  
                3.15E-03         472.802E-03         16.8818E+03 
                3.2E-03          480.202E-03         16.8987E+03 
                3.25E-03         487.602E-03         16.9152E+03 
                3.3E-03          495.002E-03         16.9313E+03 
                3.35E-03         502.264E-03         16.9451E+03 
                3.4E-03          509.464E-03         16.9592E+03 
                3.45E-03         516.664E-03         16.9711E+03 
                3.5E-03          523.864E-03         16.9832E+03 
                3.55E-03         531.064E-03         16.9935E+03 
                3.6E-03          538.264E-03         17.0036E+03 
                3.65E-03         545.464E-03         17.0124E+03 
                3.7E-03          552.664E-03         17.0205E+03 
                3.75E-03         559.864E-03         17.0277E+03 
                3.8E-03          567.064E-03         17.0341E+03 
                3.85E-03         574.264E-03         17.0397E+03 
                3.9E-03          581.464E-03         17.0443E+03 
                3.95E-03         588.664E-03         17.0484E+03 
                4.E-03           595.864E-03         17.0513E+03 
                4.05E-03         603.064E-03         17.0537E+03 
                4.1E-03          610.264E-03         17.0549E+03 
                4.15E-03         617.464E-03         17.0556E+03 
                4.2E-03          624.664E-03         17.0556E+03 
                4.25E-03         631.864E-03         17.0548E+03 
                4.3E-03          639.064E-03         17.0531E+03 
                4.35E-03         646.265E-03         17.0507E+03 
                4.4E-03          653.464E-03         17.0476E+03 
                4.45E-03         660.664E-03         17.0437E+03 
                4.5E-03          667.864E-03         17.0392E+03 
                4.55E-03         675.064E-03         17.0339E+03 
                4.6E-03          682.264E-03         17.0278E+03 
                4.65E-03         689.464E-03         17.0211E+03 
                4.7E-03          696.664E-03         17.0136E+03 
                4.75E-03         703.865E-03         17.0055E+03 
                4.8E-03          711.064E-03         16.9966E+03 
                4.85E-03         718.264E-03         16.987E+03  
                4.9E-03          725.464E-03         16.9767E+03 
                4.95E-03         732.664E-03         16.9656E+03 
                5.E-03           739.864E-03         16.9539E+03 
                5.05E-03         747.064E-03         16.9414E+03 
                5.1E-03          754.264E-03         16.9282E+03 
                5.15E-03         761.464E-03         16.9143E+03 
                5.2E-03          768.664E-03         16.8996E+03 
                5.25E-03         775.864E-03         16.8843E+03 
                5.3E-03          783.064E-03         16.8681E+03 
                5.35E-03         790.264E-03         16.8513E+03 
                5.4E-03          797.464E-03         16.8337E+03 
                5.45E-03         804.665E-03         16.8155E+03 
                5.5E-03          811.863E-03         16.7964E+03 
                5.55E-03         819.064E-03         16.7767E+03 
                5.6E-03          826.264E-03         16.7561E+03 
                5.65E-03         833.464E-03         16.7348E+03 
                5.7E-03          840.664E-03         16.7127E+03 
                5.75E-03         847.864E-03         16.6898E+03 
                5.8E-03          855.064E-03         16.6661E+03 
                5.85E-03         862.264E-03         16.6416E+03 
                5.9E-03          869.465E-03         16.6163E+03 
                5.95E-03         876.664E-03         16.5901E+03 
                6.E-03           883.864E-03         16.563E+03  
                6.05E-03         891.064E-03         16.5352E+03 
                6.1E-03          898.264E-03         16.5064E+03 
                6.15E-03         905.464E-03         16.4769E+03 
                6.2E-03          912.664E-03         16.4462E+03 
                6.25E-03         919.864E-03         16.4148E+03 
                6.3E-03          927.064E-03         16.3826E+03 
                6.35E-03         934.265E-03         16.3492E+03 
                6.4E-03          941.464E-03         16.315E+03  
                6.45E-03         948.664E-03         16.2798E+03 
                6.5E-03          955.864E-03         16.244E+03  
                6.55E-03         963.065E-03         16.2072E+03 
                6.6E-03          970.264E-03         16.1691E+03 
                6.65E-03         977.464E-03         16.1302E+03 
                6.7E-03          984.665E-03         16.0903E+03 
                6.75E-03         991.864E-03         16.0496E+03 
                6.8E-03          999.064E-03         16.0078E+03 
                6.85E-03           1.00626           15.9647E+03 
                6.9E-03            1.01346           15.9208E+03 
                6.95E-03           1.02066           15.8758E+03 
                7.E-03             1.02786           15.83E+03   
                7.05E-03           1.03506           15.7831E+03 
                7.1E-03            1.04226           15.735E+03  
                7.15E-03           1.04946           15.6854E+03 
                7.2E-03            1.05666           15.6344E+03 
                7.25E-03           1.06386           15.5826E+03 
                7.3E-03            1.07106           15.53E+03   
                7.35E-03           1.07826           15.476E+03  
                7.4E-03            1.08546           15.4205E+03 
                7.45E-03           1.09266           15.3637E+03 
                7.5E-03            1.09986           15.3052E+03 
                7.55E-03           1.10706           15.2457E+03 
                7.6E-03            1.11426           15.1848E+03 
