
                  X             Displacement          Force      

                0.                 0.                 5.16392    
               50.0017E-06        10.0007E-03         1.00631E+03
              100.001E-06         20.0018E-03         2.14147E+03
              150.E-06            30.0019E-03         2.91726E+03
              200.006E-06         40.0169E-03         3.97857E+03
              250.005E-06         50.0305E-03         4.76414E+03
              300.004E-06         60.0441E-03         5.56673E+03
              350.004E-06         70.0578E-03         6.23796E+03
              400.003E-06         80.0714E-03         6.77172E+03
              450.002E-06         90.0851E-03         7.26933E+03
              500.001E-06        100.099E-03          7.67049E+03
              550.001E-06        110.112E-03          7.96288E+03
              600.006E-06        120.127E-03          8.20312E+03
              650.006E-06        130.122E-03          8.43168E+03
              700.005E-06        140.108E-03          8.65617E+03
              750.004E-06        150.094E-03          8.86621E+03
              800.003E-06        160.08E-03           9.05993E+03
              850.003E-06        170.066E-03          9.17239E+03
              900.002E-06        180.052E-03          9.24127E+03
              950.001E-06        190.039E-03          9.29856E+03
                1.E-03           200.025E-03          9.36245E+03
                1.05001E-03      210.012E-03          9.42581E+03
                1.10001E-03      219.998E-03          9.48084E+03
                1.15E-03         229.984E-03          9.53623E+03
                1.2E-03          239.97E-03           9.58386E+03
                1.25E-03         249.969E-03          9.62722E+03
                1.3E-03          260.01E-03           9.66669E+03
                1.35E-03         270.051E-03          9.70452E+03
                1.4E-03          280.092E-03          9.73665E+03
                1.45E-03         290.134E-03          9.76678E+03
                1.50001E-03      300.176E-03          9.79382E+03
                1.55001E-03      310.217E-03          9.81899E+03
                1.6E-03          320.259E-03          9.84129E+03
                1.65E-03         330.239E-03          9.86161E+03
                1.7E-03          340.17E-03           9.88033E+03
                1.75E-03         350.101E-03          9.89724E+03
                1.8E-03          360.031E-03          9.91258E+03
                1.85E-03         369.963E-03          9.92624E+03
                1.90001E-03      379.894E-03          9.93823E+03
                1.95001E-03      389.826E-03          9.94646E+03
                2.E-03           399.756E-03          9.95124E+03
                2.05E-03         409.687E-03          9.95462E+03
                2.1E-03          419.618E-03          9.95769E+03
                2.15E-03         429.549E-03          9.96082E+03
                2.2E-03          439.48E-03           9.96406E+03
                2.25E-03         449.411E-03          9.96727E+03
                2.3E-03          459.341E-03          9.97029E+03
                2.35001E-03      469.274E-03          9.97343E+03
                2.40001E-03      479.205E-03          9.97693E+03
                2.45E-03         489.136E-03          9.9808E+03 
                2.5E-03          499.067E-03          9.98493E+03
                2.55E-03         508.997E-03          9.9893E+03 
                2.6E-03          518.928E-03          9.9938E+03 
                2.65E-03         528.859E-03          9.99839E+03
                2.7E-03          538.79E-03          10.003E+03  
                2.75001E-03      548.722E-03         10.0075E+03 
                2.80001E-03      558.653E-03         10.0119E+03 
                2.85E-03         568.584E-03         10.016E+03  
                2.9E-03          578.515E-03         10.0198E+03 
                2.95E-03         588.446E-03         10.0233E+03 
                3.E-03           598.377E-03         10.0264E+03 
                3.05E-03         608.307E-03         10.0289E+03 
                3.1E-03          618.238E-03         10.0308E+03 
                3.15E-03         628.17E-03          10.032E+03  
                3.20001E-03      638.101E-03         10.0325E+03 
                3.25001E-03      648.033E-03         10.0322E+03 
                3.3E-03          657.963E-03         10.0309E+03 
                3.35E-03         667.894E-03         10.0286E+03 
                3.4E-03          677.826E-03         10.0251E+03 
                3.45E-03         687.756E-03         10.0205E+03 
                3.5E-03          697.687E-03         10.0146E+03 
                3.55E-03         707.618E-03         10.0076E+03 
                3.6E-03          717.548E-03          9.99941E+03
                3.65001E-03      727.481E-03          9.99006E+03
                3.70001E-03      737.412E-03          9.97961E+03
                3.75E-03         747.342E-03          9.96811E+03
                3.8E-03          757.274E-03          9.95561E+03
                3.85E-03         767.204E-03          9.94224E+03
                3.9E-03          777.135E-03          9.92814E+03
                3.95E-03         787.377E-03          9.91282E+03
                4.E-03           797.662E-03          9.89685E+03
                4.05E-03         807.93E-03           9.8803E+03 
                4.1E-03          817.986E-03          9.86329E+03
                4.15E-03         828.044E-03          9.84588E+03
                4.20001E-03      838.101E-03          9.82806E+03
                4.25E-03         848.157E-03          9.8099E+03 
                4.3E-03          858.215E-03          9.79138E+03
                4.35E-03         868.271E-03          9.77254E+03
                4.4E-03          878.33E-03           9.7535E+03 
                4.45001E-03      888.26E-03           9.73413E+03
                4.5E-03          898.088E-03          9.71465E+03
                4.55E-03         907.917E-03          9.69497E+03
                4.6E-03          917.745E-03          9.67525E+03
                4.65E-03         927.574E-03          9.65547E+03
                4.7E-03          937.402E-03          9.63569E+03
                4.75E-03         947.231E-03          9.61602E+03
                4.80001E-03      956.905E-03          9.59639E+03
                4.85E-03         966.503E-03          9.57691E+03
                4.9E-03          976.498E-03          9.55661E+03
                4.95E-03         986.835E-03          9.53581E+03
                5.E-03           997.174E-03          9.51505E+03
                5.05E-03           1.00751            9.49426E+03
                5.1E-03            1.01785            9.47348E+03
                5.15E-03           1.02819            9.45264E+03
                5.2E-03            1.03853            9.43158E+03
                5.25001E-03        1.04887            9.41045E+03
                5.3E-03            1.059              9.38896E+03
                5.35E-03           1.06884            9.36718E+03
                5.4E-03            1.07869            9.34505E+03
                5.45E-03           1.08854            9.32244E+03
                5.5E-03            1.09838            9.29942E+03
                5.55E-03           1.10823            9.27584E+03
