
                  X             Displacement          Force      

                0.                 0.                 1.28933    
              100.005E-06         27.9965E-03         1.96085E+03
              200.003E-06         55.9887E-03         3.6082E+03 
              300.001E-06         84.003E-03          5.41632E+03
              400.005E-06        112.026E-03          6.58793E+03
              500.003E-06        140.047E-03          7.5321E+03 
              600.E-06           168.068E-03          8.07658E+03
              700.004E-06        196.09E-03           8.50315E+03
              800.002E-06        224.111E-03          8.93204E+03
              900.006E-06        252.119E-03          9.15163E+03
                1.E-03           280.084E-03          9.27955E+03
                1.1E-03          308.244E-03          9.39875E+03
                1.2E-03          336.404E-03          9.49801E+03
                1.3E-03          364.564E-03          9.58403E+03
                1.4E-03          392.724E-03          9.65394E+03
                1.5E-03          420.884E-03          9.71348E+03
                1.6E-03          449.044E-03          9.76328E+03
                1.7E-03          477.204E-03          9.80438E+03
                1.8E-03          505.419E-03          9.8376E+03 
                1.9E-03          533.479E-03          9.86408E+03
                2.E-03           561.174E-03          9.88108E+03
                2.1E-03          588.602E-03          9.88555E+03
                2.2E-03          616.03E-03           9.89025E+03
                2.3E-03          643.458E-03          9.89524E+03
                2.4E-03          670.887E-03          9.9007E+03 
                2.5E-03          699.093E-03          9.90772E+03
                2.60001E-03      727.539E-03          9.9163E+03 
                2.7E-03          755.982E-03          9.92556E+03
                2.8E-03          784.427E-03          9.93463E+03
                2.90001E-03      812.872E-03          9.94284E+03
                3.E-03           841.316E-03          9.94954E+03
                3.1E-03          869.76E-03           9.95375E+03
                3.2E-03          898.204E-03          9.95475E+03
                3.30001E-03      926.65E-03           9.95116E+03
                3.4E-03          955.094E-03          9.94213E+03
                3.5E-03          983.484E-03          9.92703E+03
                3.60001E-03        1.01166            9.90568E+03
                3.7E-03            1.0401             9.87837E+03
                3.8E-03            1.06855            9.84587E+03
                3.9E-03            1.09699            9.80921E+03
                4.E-03             1.12449            9.77096E+03
                4.1E-03            1.15191            9.73061E+03
                4.2E-03            1.17934            9.68764E+03
                4.30001E-03        1.20677            9.63927E+03
                4.4E-03            1.2342             9.58945E+03
                4.5E-03            1.26163            9.54236E+03
                4.6E-03            1.28906            9.49597E+03
                4.7E-03            1.31648            9.45397E+03
                4.8E-03            1.34391            9.41159E+03
                4.90001E-03        1.37134            9.37058E+03
                5.E-03             1.39877            9.32666E+03
                5.1E-03            1.4262             9.28095E+03
                5.2E-03            1.45363            9.23075E+03
                5.3E-03            1.48106            9.17625E+03
                5.4E-03            1.50848            9.11602E+03
                5.50001E-03        1.53591            9.05005E+03
                5.6E-03            1.56334            8.97746E+03
                5.7E-03            1.59077            8.89824E+03
                5.8E-03            1.6182             8.81188E+03
                5.9E-03            1.64563            8.71858E+03
                6.E-03             1.67306            8.61796E+03
                6.10001E-03        1.70049            8.51036E+03
                6.2E-03            1.72791            8.39582E+03
                6.3E-03            1.75534            8.27444E+03
                6.4E-03            1.78277            8.14623E+03
                6.5E-03            1.8102             8.01128E+03
                6.6E-03            1.83763            7.86937E+03
                6.70001E-03        1.86506            7.72019E+03
                6.8E-03            1.89249            7.56363E+03
                6.9E-03            1.91991            7.39914E+03
                7.E-03             1.94734            7.22595E+03
                7.01596E-03        1.95172            7.19749E+03




