PEEQ,C1,C2,R_squared
0.0,3.6503129664606525e-05,0.0016249659611634396,0.10063055120747677
0.00011,2.407249225634522e-05,0.001594271227380952,0.14928179987841128
0.0002,1.845505542236845e-05,0.0015634456491257168,0.20018939436240135
0.0003,1.4727452112438338e-05,0.0015307135764390564,0.2603252555585722
0.0004,1.2419809051592943e-05,0.0015012158254169969,0.31378757888996467
0.0005,1.0877022936384614e-05,0.0014750992284808101,0.35628554432710013
0.0006,9.766907808148276e-06,0.0014520620279377052,0.38960320053916386
0.0007,8.917877321682222e-06,0.0014317070661877024,0.4171825431592605
0.0008,8.238457236648398e-06,0.001413651280341812,0.4418217811240345
0.0009,7.67759928149633e-06,0.0013975567063354336,0.46530819435806703
0.001,7.205050424878868e-06,0.0013831350098826387,0.4886506803670124
0.002,4.860825013732689e-06,0.0012925969325355223,0.7323392813039695
0.003,4.093993491161656e-06,0.0012441338254855269,0.8835056041951059
0.004,3.648403953699436e-06,0.0012096302165522505,0.9301138324236867
0.005,3.2504031461992827e-06,0.0011815445512159384,0.9400230400564276
0.01,1.2771431717714836e-06,0.0010847562492986105,0.8950571861909736
0.011,9.18123392883238e-07,0.0010708116634577593,0.8158317671413363
0.012,5.765551859799079e-07,0.001058092166715046,0.6179768929815941
0.013,2.523990685019495e-07,0.0010464351989491786,0.21622634357076886
0.014,-5.482634872813931e-08,0.0010357043750730674,0.011325678273140682
0.015,-3.458323327778452e-07,0.001025785000241496,0.28691052945086604
0.016,-6.214352754449797e-07,0.0010165803502841548,0.5363392146773309
0.017,-8.824857080592086e-07,0.0010080085619671613,0.6771622131973425
0.018,-1.1298292593601636e-06,0.0010000000465922856,0.7572988498853281
0.019,-1.3642860853729323e-06,0.0009924953557424567,0.8063107146015418
0.02,-1.5866407317087625e-06,0.000985443432075552,0.838389514075228
0.021,-1.7976377498452398e-06,0.000978800182492486,0.8605634566420023
0.022,-1.9979804080864425e-06,0.0009725273170693239,0.8765605120938068
0.023,-2.188331008855708e-06,0.0009665914047894559,0.888495449474784
0.024,-2.3693120339009392e-06,0.0009609631043782179,0.897640180107354
0.025,-2.5415076576175034e-06,0.0009556165364944537,0.9047985235668495
0.026,-2.7054654348191803e-06,0.0009505287689681322,0.9105001188602313
0.027,-2.8616980627520645e-06,0.0009456793930355227,0.9151064694324965
0.028,-3.010685150675107e-06,0.0009410501724857754,0.9188718252068786
0.029,-3.1528749472276856e-06,0.0009366247518749465,0.9219796515245553
0.03,-3.288686092449014e-06,0.000932388411906971,0.92456529994834
0.031,-3.418509287544357e-06,0.0009283278637306734,0.9267305672867013
0.032,-3.542708947091307e-06,0.0009244310745428508,0.9285533166959177
0.033,-3.6616248084471928e-06,0.0009206871190603563,0.930093998455491
0.034,-3.7755734532161434e-06,0.000917086052451957,0.9314001697669332
0.035,-3.884849821646904e-06,0.0009136188006957024,0.9325096908774407
0.036,-3.989728628201738e-06,0.000910277065984561,0.9334530259914662
0.037,-4.090465716327566e-06,0.0009070532444002087,0.9342549265658346
0.038,-4.187299373600223e-06,0.0009039403539932488,0.9349356807727582
0.039,-4.28045153276444e-06,0.0009009319720068142,0.9355120532198338
