strain,StrRt0.0001,StrRt0.001,StrRt0.01,StrRt0.1
0.0,570.6734130973928,346.0651971401362,561.8756494501962,537.8084003329277
0.00011,617.0899876066469,513.7254790476584,623.5219181205426,598.8582180400845
0.0002,640.2133203419726,567.4510594420673,634.5865752326762,625.5944931628765
0.0003,659.20323331494,605.1199061650058,644.3335251680782,646.8434006677708
0.0004,674.1443371101122,631.8762380184901,652.774802137044,663.3574658443104
0.0005,686.4969254695607,652.4831729096519,660.4221810971219,676.9706537912716
0.0006,697.0497223449784,669.1703313717081,667.5170214999417,688.6157581792213
0.0007,706.277482739366,683.1537067154383,674.1941295283618,698.8327903544996
0.0008,714.4882989637845,695.1663186114355,680.5372689702402,707.9627883658395
0.0009,721.8935144025381,705.6826246337373,686.6025031380386,716.2351046717376
0.001,728.644431037952,715.0265453518687,692.4294861599852,723.8115197707084
0.002,775.9749250737877,775.1733405263194,741.7830235180987,777.8658269636799
0.003,806.0178133005174,809.6340891549053,780.5013787549123,812.5585848598275
0.004,828.3864265230368,833.9907548358358,812.0113742545826,837.9935658661416
0.005,846.2990987708254,852.9069062347618,838.0179645924292,857.76526161324
0.01,904.0128625289072,911.7743688289506,916.6260169222384,915.36963689368
0.011,912.0045349236972,919.7908725647854,925.8624085135932,922.513463958283
0.012,919.2654241570708,927.0579419117016,933.7516682595505,928.848487965588
0.013,925.9020611859742,933.6864071623772,940.52117022345,934.524279475212
0.014,931.9998317038772,939.763559976936,946.3582146591395,939.656937955413
0.015,937.6283894353182,945.3596430597544,951.4174125240002,944.3375306348316
0.016,942.8453862819952,950.53220982834,955.8266027696458,948.6381563981412
0.017,947.6991216508686,955.3291444551202,959.6916348311222,952.6163863502444
0.018,952.2304741361512,959.7908105302248,963.1002573435784,956.31856410217
0.019,956.4743425509514,963.9516160960092,966.1252938960512,959.7822877655854
0.02,960.460742726551,967.8411775995974,968.8272448712788,963.0382947064354
0.021,964.2156571868544,971.4852018496626,971.2564242583536,966.1119044613442
0.022,967.7617037225718,974.9061656122032,973.454717840498,969.0241311813588
0.023,971.118668769559,978.1238472896014,975.4570319886076,971.7925466536544
0.024,974.3039381604104,981.1557486539796,977.292488934278,974.431953639898
0.025,977.332848786362,984.0174335993116,978.9854138613588,976.9549140176388
0.026,980.2189784687072,986.7228033783708,980.5561507585958,979.37216514413
0.027,982.9743869528102,989.2843225910984,982.0217372301348,981.6929497243837
0.028,985.6098178019092,991.7132065266532,983.3964630077962,983.9252784355776
0.029,988.1348686912752,994.0195778403591,984.69233248052,986.0761400404152
0.03,990.5581359273492,996.2125986459544,985.9194479465672,988.1516703247908
0.031,992.8873377653216,998.3005827074352,987.0863273430988,990.1572886127396
0.032,995.1294201542188,1000.2910913771236,988.2001677898749,992.0978086474352
0.033,997.290647816124,1002.1910161467345,989.2670642990754,993.9775291254628
0.034,999.376683008566,1004.0066500860332,990.2921913716292,995.8003080120544
0.035,1001.3926538837476,1005.7437499895556,991.2799538574882,997.5696238739764
0.036,1003.34321401536,1007.40759070043,992.234112350806,999.2886267785216
0.037,1005.2325943912656,1009.0030128059644,993.1578874785872,1000.9601807662402
0.038,1007.0646489516804,1010.5344646837086,994.0540466884576,1002.586899491842
0.039,1008.8428945763516,1012.006039705354,994.924976519534,1004.1711762971244
0.04,1010.5705462805126,1013.4215092689036,995.7727428267934,1005.715209726768
0.041,1012.2505482616688,1014.784352219312,996.599141004848,1007.2210252957302
0.042,1013.8856013429032,1016.0977811284477,997.405737906051,1008.6904941566172
0.043,1015.47818727736,1017.3647658323736,998.1939068575344,1010.1253491927636
0.044,1017.0305903121262,1018.588054564123,998.9648569415492,1011.5271989621106
0.045,1018.544916353334,1019.7701929707764,999.7196575046544,1012.897539836238
0.046,1020.023110027112,1020.913541262629,1000.4592586966688,1014.2377666183164
0.047,1021.466969891022,1022.0202897080362,1001.1845087039686,1015.5491818715818
0.048,1022.8781620169102,1023.092472658775,1001.8961682287742,1016.8330041492007
0.049,1024.258232136788,1024.1319812665602,1002.5949226724782,1018.0903752840824
0.05,1025.6086165190063,1025.14057503081,1003.2813924035124,1019.3223668699502
0.051,1026.9306517206203,1026.119892300313,1003.956141425934,1020.529986044683
0.052,1028.2255833435338,1027.071459836479,1004.6196847115962,1021.7141806675936
0.053,1029.4945739063187,1027.9967015330758,1005.2724944145198,1022.8758439688244
0.054,1030.7387099300397,1028.8969463762724,1005.9150051493974,1024.015818736807
0.055,1031.9590083243238,1029.7734357192844,1006.5476184856824,1025.1349011006532
