strain,StrRt0.0001,StrRt0.001,StrRt0.01,StrRt0.1,ref_StrRt0.0001,ref_StrRt0.001,ref_StrRt0.01,ref_StrRt0.1
0.0,643.9279975015197,374.38610628626975,665.1026689350376,663.1938575050821,2.328432671295064,1.3537737836190908,2.404999922542165,2.398097692923178
0.00011,665.1985349922516,523.147831319131,700.2602706576097,687.9167583113174,1.4311754119679108,1.1255531598803021,1.5066107765177792,1.4800536955291062
0.0002,679.5665166593662,591.408688602347,718.0914523822692,702.7533844828603,1.1737043578869222,1.0214437263875709,1.2402421931639798,1.2137512512270545
0.0003,693.2159068486503,637.8434890905264,732.2365851393256,716.0714578630376,1.1027736784728197,1.0146867719062167,1.164848100755959,1.1391324807112715
0.0004,705.010504627513,667.3784273934662,742.9122356962371,727.213165551665,1.0793604466954552,1.0217463041730268,1.137387425170738,1.113352385617815
0.0005,715.3646863574827,687.693316375231,751.4450408826065,736.8368884504109,1.0682849883130763,1.0269621361764747,1.12216534031712,1.1003503552501814
0.0006,724.5724145116831,702.804451242665,758.576142778815,745.3382278375617,1.0610704390764218,1.0291932355270392,1.1108658082624774,1.0914800851272153
0.0007,732.8493484623953,714.8412152554783,764.7502711437237,752.9738291525285,1.0554105885262466,1.0294762344792,1.1013525978249814,1.0843927934685336
0.0008,740.3580694415862,724.9543574351146,770.247941302872,759.919840714023,1.050600212211887,1.0287416767669286,1.093015236801459,1.0783592141034495
0.0009,747.2239353163266,733.7825469618529,775.252632448191,766.3025073455397,1.0463776766600068,1.0275549810092244,1.0856277616726495,1.0730944223775638
0.001,753.5454490880438,741.6932399288917,779.8876761222159,772.2154679845253,1.0426160913760645,1.0262172079342737,1.0790635675326095,1.068448192347976
0.002,798.7845136611588,796.4272513145133,816.4642271621558,815.9102755003793,1.0195777228456802,1.0165688861263416,1.0421443121117773,1.0414372418516242
0.003,828.1403175287653,830.7799449151562,844.2026929425683,845.2161755862055,1.0094851544273882,1.0127028031801177,1.029064843016225,1.0303002564617079
0.004,850.619134923604,855.8900191650919,866.1834603456359,867.4493037630518,1.0049928364101783,1.0112203014256678,1.0233818367400425,1.0248774103925613
0.005,869.1937991738209,875.6727652860982,883.9114517223459,885.295554289756,1.0033760933341032,1.010855253577492,1.0203657919849958,1.0219635661846986
0.01,933.0313052948682,938.1910603305278,939.3135541275856,941.1906261165894,1.008566209749213,1.01414368024781,1.015357047160518,1.01738608023865
0.011,942.3185058725078,946.865013427956,946.8246314484096,948.5893234432926,1.0102269856178119,1.0151011386713766,1.015057846551763,1.0169497116307407
0.012,950.8461752928852,954.7930414126686,953.6505005594124,955.2279051838304,1.011876138065974,1.0160763333767662,1.0148604586577883,1.0165391088338085
0.013,958.718146558154,962.092562609485,959.9026262946602,961.228715933483,1.013489732849485,1.0170569293552194,1.014741881936291,1.0161437311018775
0.014,966.0199370932272,968.8553349792246,965.6675677062542,966.6898306726628,1.0150554422225464,1.018034765882996,1.0146851864439794,1.0157593398310802
0.015,972.822633701649,975.1544213889048,971.0138350193338,971.6907844711576,1.0165677770000403,1.0190044187305582,1.0146776416435828,1.0153850316400135
0.016,979.1857681182066,981.048942210432,975.9965562611874,976.2966933293662,1.0180252185504146,1.019962295532324,1.0147095064522036,1.0150215484715797
0.017,985.159520233172,986.5874083043228,980.6607343317614,980.561297224657,1.0194284936011815,1.0209060510479795,1.0147732165213603,1.014670320474353
0.018,990.78644290052,991.8101145110204,985.0435733122616,984.5292559693478,1.0207795402054187,1.0218342004133532,1.0148628224104108,1.0143329356476467
0.019,996.1028303478186,996.7508944382616,989.1761747756034,988.2379119191824,1.02208089285974,1.022745858266935,1.0149735921914853,1.0140108597216928
0.02,1001.1398132086804,1001.4384306773428,993.084797811416,991.7186629174048,1.0233353219074726,1.0236405597967155,1.0151017248955725,1.013705302464772
0.021,1005.9242401058186,1005.8972490636306,996.7918105764918,994.9980444294454,1.0245456268963007,1.0245181362035263,1.0152441403984447,1.0134171685566709
0.022,1010.4793907969412,1010.148484186776,1000.3164196152018,998.0985909508142,1.0257145227009559,1.0253786269679055,1.0153983230536974,1.0131470558921467
0.023,1014.8255555291998,1014.2104765131198,1003.6752363551713,1001.0395274491328,1.0268445810744735,1.0262222174069908,1.0155622037646792,1.012895278998438
0.024,1018.9805076495768,1018.0992436846154,1006.8827224690384,1003.8373283269368,1.027938204873378,1.0270491938556388,1.0157340699678818,1.012661904245316
0.025,1022.9598907556864,1021.8288565152698,1009.9515438624436,1006.5061720561674,1.0289976211320506,1.0278599112830868,1.015912496163838,1.0124467890284832
0.026,1026.7775372128538,1025.411741905582,1012.8928548629042,1009.0583129312964,1.030024884633141,1.0286547697807809,1.0160962897648742,1.0122496204839642
0.027,1030.4457313767582,1028.8589290781665,1015.7165284724596,1011.5043864843976,1.0310218869710992,1.0294341974399306,1.016284448492238,1.0120699513591191
0.028,1033.9754281196977,1032.1802513980592,1018.431344499042,1013.853661459808,1.0319903681527764,1.0301986378703345,1.016476126574087,1.0119072319210132
0.029,1037.3764350979154,1035.384513053823,1021.0451444717096,1016.1142484965932,1.032931929024963,1.0309485411149826,1.0166706077154983,1.0117608375307556
0.03,1040.6575654920368,1038.4796276918614,1023.5649601255882,1018.2932735673542,1.0338480435723734,1.0316843570645362,1.0168672833265162,1.0116300919436043
0.031,1043.8267666055176,1041.472734480888,1025.997120680087,1020.3970226007,1.034740070581382,1.0324065307213999,1.0170656348669993,1.0115142866286595
0.032,1046.8912286406514,1044.3702958753292,1028.3473429693206,1022.4310624509434,1.0356092644318178,1.033115498837691,1.017265219439932,1.0114126965147334
0.033,1049.8574771281951,1047.1781804334669,1030.6208076063813,1024.4003423850547,1.0364567849337,1.0338116875765828,1.0174656579666854,1.0113245926082484
