strain,StrRt0.0001,StrRt0.001,StrRt0.01,StrRt0.1,ref_StrRt0.0001,ref_StrRt0.001,ref_StrRt0.01,ref_StrRt0.1
0.0,643.9279975015197,374.38610628626975,665.1026689350376,663.1938575050821,1.10968076825641,0.6451793735638793,1.1461710680338595,1.1428816143336502
0.00011,665.1985349922516,523.147831319131,700.2602706576097,687.9167583113174,1.1463362739581735,0.9015403734926404,1.2067581439816863,1.1854865758613953
0.0002,679.5665166593662,591.408688602347,718.0914523822692,702.7533844828603,1.171096608959169,1.0191742717635437,1.2374866097603359,1.2110545256822633
0.0003,693.2159068486503,637.8434890905264,732.2365851393256,716.0714578630376,1.1946185956568207,1.0991953382173818,1.261862909355699,1.2340055543027817
0.0004,705.010504627513,667.3784273934662,742.9122356962371,727.213165551665,1.2149442196012785,1.1500928813488784,1.2802602521604782,1.253206053109444
0.0005,715.3646863574827,687.693316375231,751.4450408826065,736.8368884504109,1.232787575351239,1.185101518494331,1.294964830702383,1.2697906095524056
0.0006,724.5724145116831,702.804451242665,758.576142778815,745.3382278375617,1.24865524827693,1.2111425290016908,1.3072538547258816,1.284440963099612
0.0007,732.8493484623953,714.8412152554783,764.7502711437237,752.9738291525285,1.2629188840574384,1.2318854778855501,1.3178937267828028,1.2975993906973686
0.0008,740.3580694415862,724.9543574351146,770.247941302872,759.919840714023,1.2758586588414846,1.2493134503093748,1.3273678587812483,1.3095694486476115
0.0009,747.2239353163266,733.7825469618529,775.252632448191,766.3025073455397,1.2876906017732865,1.2645270645245588,1.3359924403129908,1.320568694586082
0.001,753.5454490880438,741.6932399288917,779.8876761222159,772.2154679845253,1.298584463021688,1.278159557416877,1.3439800085582772,1.3307584964428087
0.002,798.7845136611588,796.4272513145133,816.4642271621558,815.9102755003793,1.376544918422724,1.3724826495014208,1.4070123590938268,1.4060577344960423
0.003,828.1403175287653,830.7799449151562,844.2026929425683,845.2161755862055,1.4271337592791324,1.4316826277200234,1.4548140421032532,1.4565605761924207
0.004,850.619134923604,855.8900191650919,866.1834603456359,867.4493037630518,1.4658714930831998,1.474954805032951,1.4926934866270858,1.494874913900602
0.005,869.1937991738209,875.6727652860982,883.9114517223459,885.295554289756,1.497881201894218,1.5090464006755648,1.523244124535176,1.5256293477376284
0.01,933.0313052948682,938.1910603305278,939.3135541275856,941.1906261165894,1.6078923415105066,1.6167841445602291,1.6187185375108621,1.621953294649723
0.011,942.3185058725078,946.865013427956,946.8246314484096,948.5893234432926,1.6238969692203342,1.6317319632205778,1.6316623729771647,1.6347034657332116
0.012,950.8461752928852,954.7930414126686,953.6505005594124,955.2279051838304,1.6385926972994953,1.6453943295394355,1.643425389507747,1.6461437300400228
0.013,958.718146558154,962.092562609485,959.9026262946602,961.228715933483,1.6521584611041904,1.6579735904521713,1.6541996743905987,1.6564849239447343
0.014,966.0199370932272,968.8553349792246,965.6675677062542,966.6898306726628,1.6647416327663114,1.6696278724028148,1.6641343947931786,1.6658960600078079
0.015,972.822633701649,975.1544213889048,971.0138350193338,971.6907844711576,1.6764647161357853,1.6804830845904024,1.673347614349249,1.6745142009717988
0.016,979.1857681182066,981.048942210432,975.9965562611874,976.2966933293662,1.6874303022188284,1.6906411091197213,1.6819343351582858,1.6824515612048176
0.017,985.159520233172,986.5874083043228,980.6607343317614,980.561297224657,1.6977248659930841,1.7001855447303447,1.689972110693317,1.6898007507806667
0.018,990.78644290052,991.8101145110204,985.0435733122616,984.5292559693478,1.7074217387686887,1.7091858314989163,1.6975250547272718,1.6966387319296505
0.019,996.1028303478186,996.7508944382616,989.1761747756034,988.2379119191824,1.7165834663682922,1.7177002748632677,1.7046467645838583,1.7030298567131343
0.02,1001.1398132086804,1001.4384306773428,993.084797811416,991.7186629174048,1.725263696195886,1.725778303517397,1.7113824925379686,1.709028233017323
0.021,1005.9242401058186,1005.8972490636306,996.7918105764918,994.9980444294454,1.7335086964684057,1.733462182820067,1.7177707856220505,1.714679589395376
0.022,1010.4793907969412,1010.148484186776,1000.3164196152018,998.0985909508142,1.7413585851796611,1.740788333998141,1.7238447424635837,1.720022759531163
0.023,1014.8255555291998,1014.2104765131198,1003.6752363551713,1001.0395274491328,1.7488483285015461,1.7477883631673001,1.7296329895267704,1.7250908738009418
0.024,1018.9805076495768,1018.0992436846154,1006.8827224690384,1003.8373283269368,1.7560085552332585,1.7544898735212202,1.735160448604211,1.7299123225336515
0.025,1022.9598907556864,1021.8288565152698,1009.9515438624436,1006.5061720561674,1.7628662239780686,1.7609171132860353,1.7404489468442141,1.7345115394822854
0.026,1026.7775372128538,1025.411741905582,1012.8928548629042,1009.0583129312964,1.769445172043626,1.7670914977326238,1.7455177064933307,1.7389096424658492
0.027,1030.4457313767582,1028.8589290781665,1015.7165284724596,1011.5043864843976,1.7757665690533988,1.7730320335143255,1.7503837416906112,1.7431249596909877
0.028,1033.9754281196977,1032.1802513980592,1018.431344499042,1013.853661459808,1.7818492935328667,1.778755666463764,1.7550621826742954,1.747173463979781
0.029,1037.3764350979154,1035.384513053823,1021.0451444717096,1016.1142484965932,1.7877102470107051,1.7842775688343069,1.759566542747149,1.7510691323921244
0.03,1040.6575654920368,1038.4796276918614,1023.5649601255882,1018.2932735673542,1.7933646172362978,1.7896113782085017,1.7639089396944938,1.75482424511273
0.031,1043.8267666055176,1041.472734480888,1025.997120680087,1020.3970226007,1.7988260997933723,1.794769397511914,1.7681002806566994,1.7584496346789544
0.032,1046.8912286406514,1044.3702958753292,1028.3473429693206,1022.4310624509434,1.8041070855536347,1.799762763488746,1.7721504174508895,1.7619548944478107
0.033,1049.8574771281951,1047.1781804334669,1030.6208076063813,1024.4003423850547,1.8092188199606936,1.8046015894222964,1.7760682778247916,1.76534855348838
0.034,1052.7314518175774,1049.9017333496658,1032.8222236958477,1026.3092794701893,1.8141715389815118,1.8092950866831101,1.7798619769757675,1.7686382237300908
0.035,1055.518574302882,1052.5458368240188,1034.9558840968234,1028.161830618052,1.8189745856462285,1.8138516687639545,1.783538912785578,1.7718307241167348
0.036,1058.223806235957,1055.1149619766447,1037.025712842394,1029.9615535397625,1.8236365103667784,1.8182790407437015,1.787105847538308,1.7749321856499518
0.037,1060.851699639292,1057.6132136885262,1039.0353060121647,1031.7116584600612,1.8281651576410445,1.8225842765615183,1.7905689783559873,1.7779481405082929
0.038,1063.4064405596775,1060.0443694942924,1040.987967111457,1033.415052112104,1.8325677412811863,1.8267738860407787,1.7939339981675417,1.7808835978634256
0.039,1065.8918870851278,1062.4119134489165,1042.8867378183586,1035.074375268052,1.836850909928183,1.8308538732515258,1.797206148695167,1.7837431085565818
0.04,1068.311602571012,1064.7190657278152,1044.7344248065042,1036.692034843772,1.8410208043104062,1.834829787520305,1.8003902666780132,1.786530820424566
0.041,1070.668884778249,1066.968808589263,1046.5336232285583,1038.2702314386108,1.8450831074574563,1.8387067681711813,1.8034908243412573,1.7892505257590374
0.042,1072.9667915099265,1069.163909222514,1048.2867373462384,1039.8109830257736,1.849043088879732,1.842489583899892,1.8065119649478105,1.7919057021321239
0.043,1075.2081632375057,1071.3069399192063,1049.995998712295,1041.3161453892574,1.8529056435601603,1.8461826675352206,1.8094575341313157,1.7944995476153798
0.044,1077.3956431296856,1073.400295935623,1051.6634822443214,1042.787429804709,1.8566753264699238,1.8497901468210176,1.8123311075961341,1.7970350112491975
0.045,1079.5316948326292,1075.446211355761,1053.2911204765162,1044.2264183801783,1.8603563832091166,1.8533158717530214,1.8151360156774001,1.7995148194795194
0.046,1081.6186182970614,1077.4467732177443,1054.8807162312903,1045.634577405315,1.8639527772815734,1.856763438922897,1.817875365177995,1.8019414991625022
0.047,1083.6585639035436,1079.403934126729,1056.4339539159955,1047.013269001655,1.8674682144369474,1.8601362132540493,1.820552058836193,1.8043173976414495
0.048,1085.6535451004086,1081.3195235447583,1057.952409619644,1048.3637613201936,1.8709061644496567,1.863437347457424,1.8231688127253325,1.8066447003202815
0.049,1087.6054497380244,1083.1952579205854,1059.4375601591153,1049.6872374937234,1.8742698806512148,1.8666697994882238,1.82572817184314,1.8089254460910975
0.05,1089.516050257189,1085.0327497995668,1060.8907912030825,1050.984803519199,1.877562417487886,1.8698363482449862,1.8282325241116866,1.8111615409178483
0.051,1091.387012867647,1086.8335160343804,1062.3134045840245,1052.2574952183916,1.8807866463380178,1.8729396077191072,1.8306841129781761,1.8133547698316295
0.052,1093.2199058342962,1088.5989852009543,1063.7066248935996,1053.5062844025642,1.883945269791657,1.8759820397747067,1.8330850487807477,1.8155068075542629
0.053,1095.0162069730122,1090.3305043101343,1065.07160544388,1054.7320843479802,1.8870408345680985,1.878965965714844,1.835437319021469,1.8176192279342365
0.054,1096.7773104447008,1092.029344893821,1066.4094336660924,1055.9357546731644,1.890075743224074,1.8818935767697527,1.8377427976699825,1.8196935123516875
0.055,1098.50453292484,1093.6967085342258,1067.7211360092529,1057.1181056955072,1.89305226478572,1.8847669436254046,1.8400032536053197,1.8217310572261345
0.056,1100.1991192160265,1095.333731896263,1069.007682393168,1058.2799023335149,1.895972544420674,1.8875880250958295,1.842220358289756,1.8237331807412236
0.057,1101.8622473627129,1096.9414913156895,1070.2699902634845,1059.421867611532,1.8988386122523022,1.8903586760298516,1.8443956927568768,1.8257011288844152
0.058,1103.4950333200818,1098.5210069892137,1071.5089282906315,1060.5446858157309,1.901652391405564,1.8930806545319048,1.84653075398596,1.8276360808856982
0.059,1105.098535222843,1100.0732468072883,1072.725319749463,1061.6490053433463,1.9044157053634303,1.8957556285670805,1.848626960726114,1.8295391541276749
0.06,1106.673757294309,1101.59912986552,1073.9199456120443,1062.735441281382,1.9071302847033893,1.898385182012338,1.8506856588260752,1.831411408589445
0.061,1108.2216534314723,1103.0995296864885,1075.0935473822587,1063.8045777460993,1.9097977732756102,1.9009708202086648,1.8527081261190828,1.8332538508782439
0.062,1109.7431304977265,1104.57527718015,1076.2468296976208,1064.8569700104188,1.9124197338772868,1.9035139750627366,1.8546955769065825,1.8350674378955942
0.063,1111.2390513513255,1106.027163367874,1077.3804627208174,1065.8931464428165,1.9149976534715791,1.90601600974125,1.8566491660795685,1.8368530801786036
0.064,1112.7102376345963,1107.4559418923727,1078.495084341011,1066.9136102782309,1.9175329479942627,1.9084782229962813,1.8585699929120885,1.838611644951768
0.065,1114.157472346184,1108.8623313334238,1079.591302202737,1067.918841238903,1.9200269667864773,1.910901853155971,1.8604591045576395,1.8403439589201651
0.066,1115.5815022162428,1110.2470173471063,1080.6696955783214,1068.9092970208208,1.9224809966878922,1.9132880818110676,1.8623174992759064,1.8420508108310418
0.067,1116.9830399023851,1111.610654644468,1081.7308170980468,1069.8854146595172,1.9248962658209836,1.9156380372247641,1.8641461294143553,1.843732953827495
0.068,1118.3627660223435,1112.953868823839,1082.7751943508226,1070.84761178732,1.92727394709392,1.9179527974903228,1.8659459041666668,1.845391107615088
0.069,1119.7213310376849,1114.277258069612,1083.8033313667877,1071.7962877926925,1.9296151614467665,1.9202333934585827,1.8677176921277057,1.8470259604597428
0.07,1121.0593570014569,1115.581394728978,1084.815709992126,1072.7318248910933,1.9319209808632023,1.9224808114551473,1.8694623236627383,1.8486381710331514
0.071,1122.3774391813745,1116.8668267769915,1085.812791165348,1073.6545891156843,1.9341924311677567,1.92469599580513,1.8711805931068506,1.8502283701200628
